,https://roic.ai/company/CLPR,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,9157000,125332000,37547000,7940000,37028000,42500000,72058000,34524000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1303752000
33,Cash and Short-Term Investments,9157000,125332000,37547000,7940000,37028000,42500000,72058000,1338276000
34,Net Receivables,4111000,1476000,4485000,6569000,3580000,4187000,7002000,10260000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,13596000,19055000,22321000,25276000,22214000,28931000,28134000,- -
37,Total Current Assets,26864000,145863000,64353000,39785000,62822000,75618000,107194000,1348536000
38,PP&E,728744000,726107000,823077000,996892000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,7258000,5267000,13687000,11628000,9678000,8434000,7372000,7126000
41,Intangible Assets,7258000,5267000,13687000,11628000,9678000,8434000,7372000,7126000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3990000,3881000,4091000,3780000,1028508000,1082155000,1093300000,- -
45,Total Non-Current Assets,739992000,735255000,840855000,1012300000,1038186000,1090589000,1100672000,7126000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,766856000,881118000,905208000,1052085000,1101008000,1166207000,1207866000,1233657000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,11725000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1131154000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4944000,5326000,8982000,8595000,12550000,13029000,- -,- -
53,Total Current Liabilities,4944000,5326000,8982000,8595000,12550000,13029000,11725000,1131154000
54,Long-Term Debt,708228000,713440000,754459000,843946000,913564000,997903000,1079458000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,16487000,15975000,15551000,13953000,13409000,13492000,12569000,32554000
58,Total Non-Current Liabilities,724715000,729415000,770010000,857899000,926973000,1011395000,1092027000,32554000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2923000,1625000,- -,- -
61,Total Liabilities,729659000,734741000,778992000,866494000,939523000,1024424000,1103752000,1163708000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,114000,114000,178000,178000,178000,160000,160000
64,Retained Earnings,- -,-1860000,-8584000,-17539000,-27941000,-36375000,-48045000,-61736000
65,Other Comprehensive Income/Loss,-33010000,-44672000,-58174000,-73714000,- -,- -,- -,- -
66,Other Total Stockholders Equity,70207000,90721000,104845000,165987000,92945000,93431000,87347000,131525000
67,Total Stockholders Equity,37197000,44303000,38201000,74912000,65182000,57234000,39462000,69949000
68,Total Liabilities And Stockholders Equity,766856000,779044000,817193000,941406000,1004705000,1081658000,1143214000,1233657000
69,Minority Interest,- -,102074000,88015000,110679000,96303000,84549000,64652000,- -
70,Total Liabilities & Equity,766856000,881118000,905208000,1052085000,1101008000,1166207000,1207866000,1233657000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649096/000143774917007611/0001437749-17-007611-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774918004608/0001437749-18-004608-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774919004331/0001437749-19-004331-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774920004934/0001437749-20-004934-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774921006192/0001437749-21-006192-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774922006301/0001437749-22-006301-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,5238000,-5055000,-3735000,-2357000,-3633000,-1665000,-4906000,-20018000
74,Depreciation and Amortization,4034000,11662000,13502000,15540000,16765000,18956000,23148000,26243000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,709000,2523000,3110000,1940000,1510000,1805000,2611000
77,Change in Working Capital,-2328000,118617000,-85166000,-24181000,19082000,12317000,32880000,121913000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-5358000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1870000,- -,- -,- -,- -,- -,- -,3456000
81,Other Working Capital,21920000,140537000,55371000,31190000,50272000,62589000,95469000,217382000
82,Other Non-Cash Items,528000,-116493000,82226000,18328000,-6898000,-7346000,-36937000,-119927000
83,Cash Provided by Operating Activities,7472000,9440000,9350000,10440000,27256000,23772000,15990000,10822000
84,CAPEX,-224822000,-9025000,-121285000,-187656000,-39877000,-74903000,- -,- -
85,Acquisitions Net,-222280000,- -,-103123000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,356000,- -,- -,- -
88,Other Investing Activites,220280000,- -,103123000,- -,226000,- -,97000,-77944000
89,Cash Used for Investing Activites,-226822000,-9025000,-121285000,-187656000,-39295000,-74903000,-31714000,-77944000
90,Debt Repayment,-655000,-737000,-515650000,-3895000,-615167000,-142638000,-249630000,- -
91,Common Stock Issued,- -,144000000,132000,78685000,- -,- -,- -,1917000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-10002000,-1751444000
93,Dividends Paid,-67450000,-15884000,-9951000,-16565000,-17038000,-17089000,-17243000,-16758000
94,Other Financing Activites,292812000,-11619000,549619000,89384000,673332000,221926000,324699000,1796599000
95,Cash Used/Provided by Financing Activities,224707000,115760000,24150000,147609000,41127000,62199000,47824000,30314000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5357000,116175000,-87785000,-29607000,29088000,5472000,32100000,-36808000
98,Cash at the End of Period,9157000,125332000,37547000,7940000,37028000,42500000,89032000,52224000
99,Cash at the Beginning of Period,3800000,9157000,125332000,37547000,7940000,37028000,56932000,89032000
100,Free Cash Flow,7472000,9440000,9350000,10440000,27256000,23772000,15990000,10822000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649096/000143774917007611/0001437749-17-007611-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774918004608/0001437749-18-004608-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774919004331/0001437749-19-004331-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774920004934/0001437749-20-004934-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774921006192/0001437749-21-006192-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774922006301/0001437749-22-006301-index.htm
102,false,,,,,,,,
