,https://roic.ai/company/SKLZ,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,82000,46000,19837000
58,Total Non-Current Liabilities,- -,9710000,46000,312293000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,15677000
61,Total Liabilities,- -,20191000,47402000,399125000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,29000,37000,40000
64,Retained Earnings,- -,-90256000,-215266000,-419692000
65,Other Comprehensive Income/Loss,- -,- -,- -,-248000
66,Other Total Stockholders Equity,- -,108892000,450248000,1043600000
67,Total Stockholders Equity,- -,18665000,235019000,623700000
68,Total Liabilities And Stockholders Equity,- -,38856000,282421000,1022825000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,38856000,282421000,1022825000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1801661/000162828021010194/0001628280-21-010194-index.htm,https://www.sec.gov/Archives/edgar/data/1801661/000162828022004552/0001628280-22-004552-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-27780000,-23605000,-122461000,-181377000
74,Depreciation and Amortization,404000,711000,1609000,11133000
75,Deferred Income Tax,- -,- -,- -,-19233000
76,Stock Based Compensation,6680000,1237000,23757000,60331000
77,Change in Working Capital,2416000,- -,201252000,36131000
78,Accounts Receivable,- -,- -,- -,203000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1851000,-54000,10729000,6261000
81,Other Working Capital,24611000,24611000,225863000,- -
82,Other Non-Cash Items,1332000,-280000,-160389000,-87139000
83,Cash Provided by Operating Activities,-16948000,-21937000,-56232000,-180154000
84,CAPEX,-867000,-3223000,-3246000,-3236000
85,Acquisitions Net,- -,- -,- -,-83987000
86,Purchases of Investments,- -,- -,- -,-558801000
87,Sales/Maturities of Investments,- -,- -,- -,2100000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-867000,-3223000,-3246000,-643924000
90,Debt Repayment,-5000000,-3500000,-10000000,-1582000
91,Common Stock Issued,- -,- -,246484000,402139000
92,Common Stock Repurchased,- -,- -,-2550000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,38330000,34668000,62644000,402125000
95,Cash Used/Provided by Financing Activities,33330000,31168000,296578000,802682000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,15515000,6008000,237100000,-21396000
98,Cash at the End of Period,22540000,28548000,265648000,244252000
99,Cash at the Beginning of Period,7025000,22540000,28548000,265648000
100,Free Cash Flow,-17815000,-25160000,-59478000,-183390000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1801661/000162828021010194/0001628280-21-010194-index.htm,https://www.sec.gov/Archives/edgar/data/1801661/000162828022004552/0001628280-22-004552-index.htm
102,false,,,,
