,https://roic.ai/company/TSEM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,7500000,16300000,30100000,39900000,16800000,44591000,20543000,24045000,34122000,43324000,38350000,33447000,119567000,45394000,48192000,55318000,63862000,73125000,75506000,75980000,110624000,124462000,128573000,134463000,138004000,142955000,142285000,162607000
11,COGS and Expenses,46900000,76200000,88200000,105800000,93600000,95000000,109200000,100800000,101100000,165700000,266800000,271800000,226800000,330200000,339000000,380600000,465900000,600800000,641300000,560300000,765200000,878667000,1024009000,1167468000,1149091000,1147287000,1174651000,1341655000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10762000,12949000,8484000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45710000,- -,45277000,- -,- -,- -,- -,- -,- -,10610000,6823000,6755000,- -
14,Depreciation and Amortization,3500000,8400000,17600000,23600000,25400000,26643000,25917000,26643000,18821000,54611000,121067000,144852000,154794000,154343000,138808000,143404000,143023000,162679000,173585000,164824000,243362000,168032000,197606000,208411000,214391000,214474000,240531000,270710000
15,EBITDA,13500000,34000000,29900000,46800000,4200000,3743000,22417000,-11857000,-32579000,-59689000,-16733000,-58248000,67894000,20143000,33008000,63614000,87793000,210856000,95959000,47736000,272404000,150663000,400098000,506429000,354642000,314293000,334987000,421746000
16,EBITDA ratio,0.2340,0.3414,0.3054,0.3717,0.0603,0.0536,0.2139,-0.2263,-0.6289,-0.9721,-0.1327,-0.5711,0.3623,0.0872,0.1311,0.2129,0.1724,0.3451,0.1502,0.0945,0.3290,0.1568,0.3202,0.3650,0.2720,0.2547,0.2647,0.2796
17,Operating Income,10800000,23400000,9700000,20000000,-24000000,-25166000,-4405000,-48406000,-49343000,-104351000,-140705000,-169814000,-119448000,-99312000,-218074000,-81816000,43323000,10207000,-2510000,-55335000,-103565000,81894000,175154000,219842000,154943000,86716000,91033000,166511000
18,Operating Income ratio,0.1872,0.2349,0.0991,0.1589,-0.3448,-0.3605,-0.0420,-0.9238,-0.9526,-1.6995,-1.1158,-1.6648,-0.6374,-0.4301,-0.8664,-0.2738,0.0851,0.0167,-0.0039,-0.1096,-0.1251,0.0853,0.1402,0.1585,0.1188,0.0703,0.0719,0.1104
19,Total Other Income Expenses (Gains),-800000,2200000,2600000,3200000,2800000,2266000,905000,9906000,-2057000,-9949000,2905000,-33286000,32548000,-34888000,112174000,-43684000,-72823000,-7407000,-60390000,-61665000,77465000,-123299000,35444000,-18074000,-15626000,4305000,-2345000,-11412000
20,Income Before Tax,10000000,25600000,12300000,23200000,-21200000,-22900000,-3500000,-38500000,-51400000,-114300000,-137800000,-203100000,-86900000,-134200000,-105900000,-125500000,-29500000,2800000,-62900000,-117000000,-26100000,-41405000,210598000,201768000,139317000,91021000,88688000,155099000
21,Income Before Tax Ratio,0.1733,0.2570,0.1256,0.1843,-0.3046,-0.3281,-0.0334,-0.7347,-0.9923,-1.8616,-1.0928,-1.9912,-0.4637,-0.5812,-0.4207,-0.4200,-0.0579,0.0046,-0.0985,-0.2317,-0.0315,-0.0431,0.1685,0.1454,0.1068,0.0738,0.0701,0.1028
22,Income Tax expense (Gain),2200000,5200000,2300000,4000000,-5700000,-2400000,500000,- -,- -,- -,- -,- -,- -,- -,600000,-5000000,-12830000,21400000,-7326000,-9388000,24742000,12278000,-1432000,7000,-5938000,2948000,5399000,1024000
23,Net Income,7800000,20400000,10000000,19200000,-15500000,-20500000,-4000000,-38500000,-51400000,-114300000,-137800000,-203100000,-86900000,-134200000,-106400000,-120500000,-42400000,-18500000,-70300000,-107700000,4300000,-29647000,203924000,298011000,135579000,90048000,82302000,150012000
24,Net Income ratio,0.1352,0.2048,0.1021,0.1525,-0.2227,-0.2937,-0.0382,-0.7347,-0.9923,-1.8616,-1.0928,-1.9912,-0.4637,-0.5812,-0.4227,-0.4033,-0.0833,-0.0303,-0.1101,-0.2133,0.0052,-0.0309,0.1632,0.2148,0.1040,0.0730,0.0650,0.0995
25,EPS,15.25,26.06,11.25,21.47,-17.47,-22.80,-3.85,-28.43,-24.14,-35.54,-31.54,-37.76,-15.55,-16.73,-11.70,-10.51,-2.67,-0.89,-3.21,-2.72,0.08,-0.40,2.33,3.08,1.35,0.85,0.77,1.40
26,EPS Diluted,15.25,26.06,11.25,20.43,-17.47,-22.80,-3.85,-28.43,-24.14,-35.54,-31.54,-37.76,-15.55,-16.73,-11.70,-10.51,-2.67,-0.89,-3.21,-2.72,0.07,-0.40,2.09,2.90,1.32,0.84,0.76,1.38
27,Weighted Average Shares Outstanding,511414,782767,888590,894228,887084,888462,923579,1352008,2128838,3215104,4370524,5380681,5576932,8026754,9099986,11511653,15891835,20399316,21903839,39633000,51798000,74366000,87480000,96647000,100399000,106256000,107254000,107254000
28,Weighted Average Shares Outstanding Diluted,511414,782767,888590,939588,887084,888462,923579,1352008,2128838,3215104,4370524,5380681,5576932,8026754,9099986,11511653,15891835,20399316,21903839,39633000,63182000,74366000,101303000,105947000,102517000,107438000,108480000,108480000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928876/000117891310001138/zk1008214.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891311001431/zk1109871.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891312001224/zk1211364.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891313001288/zk1313025.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891314001662/zk1414867.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891315001676/zk1516675.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891316005389/zk1618437.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891317001103/zk1719799.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891318001356/zk1821515.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891319001206/zk1922940.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891320001277/tsem20f2019.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,11500000,4800000,7300000,10500000,10300000,19600000,7900000,12400000,81500000,7300000,39700000,44500000,34900000,81800000,100400000,101100000,123400000,112900000,187200000,175575000,355284000,445961000,385091000,355561000,211683000,210930000
32,Short-Term Investments,- -,- -,60700000,79300000,57100000,36400000,8400000,10000000,10500000,- -,- -,- -,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113874000,255929000,391679000,499197000,553716000
33,Cash and Short-Term Investments,- -,- -,72200000,84100000,64400000,46900000,18700000,29600000,18400000,12400000,81500000,7300000,40900000,44500000,34900000,81800000,100400000,101100000,123400000,112900000,187200000,175575000,355284000,559835000,641020000,747240000,710880000,764646000
34,Net Receivables,- -,- -,22400000,18000000,9000000,13300000,22600000,24600000,28800000,22700000,30700000,25800000,36900000,49700000,48200000,43100000,72800000,80400000,84700000,91300000,104900000,116978000,155668000,158810000,157406000,135122000,162100000,142228000
35,Inventory,- -,- -,14300000,12400000,9800000,13500000,15600000,8400000,10200000,19400000,25700000,24400000,41100000,27800000,38700000,32300000,42500000,69000000,65600000,64800000,87900000,105681000,137532000,143315000,170778000,192256000,199126000,234512000
36,Other Current Assets,- -,- -,1100000,1200000,2100000,1800000,1800000,1300000,1300000,1800000,1700000,32700000,1500000,1600000,7700000,10300000,106400000,15600000,24800000,21400000,14100000,48493000,49514000,12372000,18755000,13863000,30810000,54817000
37,Total Current Assets,- -,- -,110000000,115700000,85300000,75500000,58700000,63900000,58700000,56300000,139600000,90200000,120400000,123600000,129500000,167500000,322100000,266100000,298500000,290400000,394100000,446727000,697998000,874332000,987959000,1088481000,1102916000,1196203000
38,PP&E,- -,- -,105600000,99200000,88400000,72700000,92500000,336200000,487300000,562500000,609300000,510600000,533000000,502300000,449700000,371400000,375300000,498700000,434500000,350000000,419100000,459533000,616686000,635124000,657234000,699767000,839171000,876683000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,- -,- -
40,Intangible Assets,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,61400000,45000000,34700000,81000000,67600000,54200000,58700000,47900000,32400000,42000000,34468000,28129000,19841000,13435000,10281000,1436940000,- -
41,Intangible Assets,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,61400000,45000000,34700000,88000000,74600000,61200000,65700000,54900000,39400000,49000000,41468000,35129000,26841000,20435000,17281000,- -,18820000
42,Investments,- -,- -,400000,2600000,6300000,13100000,29400000,16300000,- -,- -,- -,- -,- -,- -,29499000,31643000,31051000,12644000,12963000,14494000,11896000,11737000,25624000,26073000,35945000,28225000,30227000,39597000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000,- -,- -,20400000,26800000,13600000,75300000,69744000,95233000,63924000,50401000,45238000,- -,99938000
44,Other Non-Current Assets,- -,- -,200000,100000,- -,1000000,19200000,61400000,176700000,178000000,98600000,16500000,1300000,26200000,-2899000,5657000,12049000,-6344000,-13063000,-1994000,-65296000,-63841000,-90786000,47345000,38003000,53841000,121835000,- -
45,Total Non-Current Assets,- -,- -,106600000,101900000,94700000,86800000,141100000,413900000,664000000,740500000,707900000,588500000,579300000,563200000,576000000,483300000,479600000,591100000,516100000,415500000,490000000,518641000,681886000,799307000,802018000,844352000,991233000,1035038000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,216600000,217600000,180000000,162300000,199800000,477800000,722700000,796800000,847500000,678700000,699700000,686800000,705500000,650800000,801700000,857200000,814600000,705900000,884100000,965368000,1379884000,1673639000,1789977000,1932833000,2094149000,2231241000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,11300000,2500000,13600000,13600000,4200000,66400000,98600000,91773000,99262000,115347000,104329000,119199000,96940000,78712000
49,Short-Term Debt,- -,- -,200000,300000,- -,95000,- -,14000000,4000000,- -,1208000,27556000,6632000,7887000,15330000,7000000,122179000,48255000,49923000,36441000,120558000,33259000,48084000,105958000,10814000,65932000,106513000,83868000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10342000,8567000,12096000,282000,4935000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40273000,5731000,1784000,3166000,5478000,23373000,26169000,14338000,20711000,10322000,69459000,39992000
52,Other Current Liabilities,- -,- -,30500000,24500000,19200000,19405000,30100000,73400000,84300000,49800000,74792000,68744000,77268000,61513000,79970000,87900000,73948000,162714000,113393000,33893000,75664000,62714000,73600000,66730000,67867000,57603000,- -,73756000
53,Total Current Liabilities,- -,- -,30700000,24800000,19200000,19500000,30100000,87400000,88300000,49800000,76000000,96300000,83900000,76900000,106600000,97400000,250000000,230300000,169300000,139900000,300300000,211119000,247115000,302373000,203721000,253056000,272912000,276328000
54,Long-Term Debt,- -,- -,12100000,12100000,12100000,12100000,12100000,115000000,274600000,454200000,523700000,541900000,419100000,496800000,431500000,428800000,359500000,301600000,289000000,316900000,267100000,256019000,296144000,228723000,256669000,235124000,283765000,230972000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69968000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111269000,88404000,105047000,- -,23962000
57,Other Non-Current Liabilities,- -,- -,13200000,13800000,5400000,8600000,10400000,30800000,76900000,93300000,79800000,70600000,63700000,68400000,57100000,68600000,74400000,150600000,136300000,107800000,111800000,100887000,146593000,-4786000,-1783000,-14941000,- -,14622000
58,Total Non-Current Liabilities,- -,- -,25300000,25900000,17500000,20700000,22500000,145800000,351500000,547500000,603500000,612500000,482800000,565200000,488600000,497400000,433900000,452200000,425300000,424700000,378900000,356906000,442737000,335206000,343290000,325230000,283765000,339524000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650100000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559000,- -,- -,- -,10814000,- -,- -,- -
61,Total Liabilities,- -,- -,56000000,50700000,36700000,40200000,52600000,233200000,439800000,597300000,679500000,708800000,566700000,642100000,595200000,594800000,683900000,682500000,594600000,564600000,679200000,568025000,689852000,637579000,547011000,578286000,639247000,615852000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4300000,4300000,4300000,- -,- -,- -,11300000,13200000,16300000,16500000,24200000,29800000,39900000,50300000,68100000,83000000,87300000,192800000,235100000,326572000,369057000,391727000,418492000,426111000,1454902000,- -
64,Retained Earnings,- -,- -,19300000,25300000,9700000,- -,- -,- -,-122500000,-234800000,-356700000,-559800000,-646700000,-796600000,-903100000,-1009400000,-1051800000,-1070300000,-1140600000,-1248300000,-1244000000,-1273654000,-1071036000,-773025000,-637446000,-547398000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-1800000,-1400000,-2000000,244200000,294400000,489200000,-53000,16402000,-26000,-26000,199977000,189632000,-2367000,-1498000,-829000,2092000,-3475000,-16126000,-25726000,-26810000,-27827000,-22759000,-23388000,-18244000,-16509000,- -
66,Other Total Stockholders Equity,- -,- -,138800000,138700000,131300000,- -,- -,- -,409587000,434655000,508406000,513259000,555513000,621877000,975844000,1016612000,1102311000,1159911000,1276800000,1212874000,1239605000,1371235000,1419838000,1440117000,1485308000,1494078000,19419000,- -
67,Total Stockholders Equity,- -,- -,160600000,166900000,143300000,122100000,147200000,244600000,298334000,229457000,167980000,-30067000,132990000,44709000,110277000,56014000,117782000,174703000,220025000,141248000,204979000,397343000,690032000,1036060000,1242966000,1354547000,1457812000,1618299000
68,Total Liabilities And Stockholders Equity,- -,- -,216600000,217600000,180000000,162300000,199800000,477800000,738134000,826757000,847480000,678733000,699690000,686809000,705477000,650814000,801682000,857203000,814625000,705848000,884179000,965368000,1379884000,1673639000,1789977000,1932833000,2097059000,2234151000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-15434000,-29957000,20000,-33000,10000,-9000,23000,-14000,18000,-3000,-25000,52000,-79000,- -,- -,- -,- -,- -,-2910000,-2910000
70,Total Liabilities & Equity,- -,- -,216600000,217600000,180000000,162300000,199800000,477800000,722700000,796800000,847500000,678700000,699700000,686800000,705500000,650800000,801700000,857200000,814600000,705900000,884100000,965368000,1379884000,1673639000,1789977000,1932833000,2094149000,2231241000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928876/000117891310001138/zk1008214.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891311001431/zk1109871.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891312001224/zk1211364.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891313001288/zk1313025.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891314001662/zk1414867.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891315001676/zk1516675.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891316005389/zk1618437.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891317001103/zk1719799.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891318001356/zk1821515.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891319001206/zk1922940.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891320001277/tsem20f2019.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7800000,20400000,10000000,19200000,-15500000,-20500000,-4000000,-38500000,-51400000,-114300000,-137800000,-203100000,-86900000,-134200000,-106400000,-120500000,-42400000,-18500000,-70300000,-107700000,4300000,-29647000,203924000,298011000,135579000,90048000,82302000,150012000
74,Depreciation and Amortization,3500000,8400000,17600000,23600000,25400000,26643000,25917000,26643000,18821000,54611000,121067000,144852000,154794000,154343000,138808000,143404000,143023000,162679000,173585000,164824000,243362000,168032000,197606000,208411000,214391000,214474000,240531000,270710000
75,Deferred Income Tax,1100000,2600000,2300000,4000000,-5700000,-2405000,- -,-2405000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-2800000,8300000,-2000000,-4000000,2400000,-6810000,-6154000,-6810000,33559000,-7234000,13807000,906000,-115293000,148000,-4775000,13218000,-7704000,8522000,-28438000,-19891000,43461000,-72840000,-27953000,-169924000,-27524000,-17228000,-59119000,-3169000
78,Accounts Receivable,- -,- -,- -,- -,5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15666000,5256000,-28061000,-7686000,-6857000,-5194000,-24021000,-11115000,-30104000,-6564000,-3096000,27317000,-33087000,14335000
79,Inventory,-3500000,-3700000,-1100000,1900000,2600000,-3672000,-2113000,-3672000,-609000,-6221000,-6287000,1293000,-16725000,459000,-4008000,8649000,-10262000,-3999000,2316000,-780000,-1758000,-17908000,-22069000,-4277000,-26344000,-21021000,-2891000,-44192000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5119000,-6185000,-2834000,21733000,-7603000,25000,11107000,-26162000,5550000,-8649000,-3562000,-339000,-18576000,-25004000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6128000,-85662000,-1237000,-4090000,-4576000,3303000,-23699000,8491000,-10257000,-17545000,-11130000,19080000,-133894000,-5782000,-18585000,3434000,61573000
82,Other Non-Cash Items,- -,-3200000,-3000000,-2100000,-1400000,-965000,422000,17035000,-47000,-755000,-31974000,-3396000,1944000,-3608000,-15072000,1127000,28526000,-44708000,332000,5035000,-193358000,104761000,-46109000,19137000,-9549000,4026000,12847000,3740000
83,Cash Provided by Operating Activities,9600000,36500000,24900000,40700000,5200000,-4037000,16185000,-4037000,933000,-67678000,-34900000,-60738000,-45455000,16683000,12561000,37249000,121445000,107993000,75179000,42268000,97765000,170306000,327468000,355635000,312897000,291320000,276561000,421293000
84,CAPEX,-27400000,-62100000,-84500000,-29400000,-20900000,-15297000,-53530000,-15297000,-205099000,-179310000,-154975000,-38878000,-150239000,-107485000,-87302000,-28066000,-106710000,-117166000,-103830000,-81819000,-50209000,-165370000,-217496000,-187676000,-210192000,-191396000,-313656000,-279260000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2616000,-1472000,- -,-40000000,- -,- -,57582000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-39000000,-88100000,-110000000,-48800000,- -,-14467000,-2850000,-14467000,- -,- -,-10037000,- -,- -,-950000,- -,- -,- -,- -,-10000000,-409000,-76000,-30000000,- -,- -,-143940000,-132515000,-105620000,-59684000
87,Sales/Maturities of Investments,6000000,51900000,151700000,57900000,- -,35548000,5127000,35548000,- -,- -,38677000,27266000,- -,1230000,- -,- -,- -,64692000,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10100000,-10800000,29200000,-14200000,26600000,2132000,21576000,2132000,-53878000,36776000,34560000,5834000,36250000,215000,-78000,- -,-98928000,103758000,-1880000,4775000,- -,-119000,-9229000,-57684000,25915000,18817000,55667000,- -
89,Cash Used for Investing Activites,-50300000,-109100000,-13600000,-34500000,5700000,7916000,-29677000,7916000,-258977000,-142534000,-91775000,-5778000,-113989000,-106990000,-84686000,-29538000,-204117000,11284000,-115710000,-77453000,17297000,-195489000,-226725000,-245360000,-328217000,-305094000,-363609000,-338944000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11105000,-13670000,-57599000,-141242000,-55854000,-6540000,-137295000,-69689000,-132018000,-50255000,-147839000,-19402000,-63699000,-77315000
91,Common Stock Issued,41500000,86800000,- -,300000,- -,190000,12631000,190000,96751000,40803000,75891000,- -,121232000,26761000,- -,52922000,158825000,22653000,- -,38956000,19613000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,-200000,- -,-8100000,-963000,- -,-963000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-19800000,-13200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1570000,-2563000,-4378000,- -,- -,- -,- -
94,Other Financing Activites,-3900000,4300000,-3900000,100000,-200000,79000,618000,79000,149540000,174000000,66000000,46189000,70585000,68372000,73440000,- -,- -,- -,122933000,- -,85884000,85016000,207912000,31315000,99704000,1842000,2512000,458000
95,Cash Used/Provided by Financing Activities,37600000,90900000,-23900000,-12800000,-8300000,-694000,13249000,-694000,246291000,214803000,141891000,46189000,191817000,95133000,62335000,39252000,101226000,-118589000,67079000,32416000,-31798000,13757000,73331000,-23318000,-48135000,-17560000,-61187000,-76857000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000,-73000,26000,86000,-4299000,-7758000,-8968000,-166000,5635000,3720000,2585000,1804000,4357000,-6245000
97,Net Change In Cash,37600000,90900000,-23900000,-12800000,2500000,3185000,-243000,3185000,-11753000,4591000,15216000,-20327000,32373000,4826000,-9631000,46890000,18580000,774000,22249000,-10527000,74296000,-11592000,179709000,90677000,-60870000,-29530000,-143878000,-753000
98,Cash at the End of Period,- -,- -,- -,- -,7300000,10505000,10262000,10505000,7857000,12448000,27664000,7337000,39710000,44536000,34905000,81795000,100375000,101149000,123398000,112871000,187167000,175575000,355284000,445961000,385091000,355561000,211683000,210930000
99,Cash at the Beginning of Period,8800000,5600000,24000000,11500000,4800000,7320000,10505000,7320000,19610000,7857000,12448000,27664000,7337000,39710000,44536000,34905000,81795000,100375000,101149000,123398000,112871000,187167000,175575000,355284000,445961000,385091000,355561000,211683000
100,Free Cash Flow,-17800000,-25600000,-59600000,11300000,-15700000,-19334000,-37345000,-19334000,-204166000,-246988000,-189875000,-99616000,-195694000,-90802000,-74741000,9183000,14735000,-9173000,-28651000,-39551000,47556000,4936000,109972000,167959000,102705000,99924000,-37095000,142033000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928876/000117891310001138/zk1008214.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891311001431/zk1109871.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891312001224/zk1211364.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891313001288/zk1313025.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891314001662/zk1414867.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891315001676/zk1516675.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891316005389/zk1618437.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891317001103/zk1719799.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891318001356/zk1821515.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891319001206/zk1922940.htm,https://www.sec.gov/Archives/edgar/data/928876/000117891320001277/tsem20f2019.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
