,https://roic.ai/company/OWPC,2013,2014,2015,2016,2017,2018,2019,2020
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1622244/000121390017004264/0001213900-17-004264-index.htm,https://www.sec.gov/Archives/edgar/data/1622244/000121390018004042/0001213900-18-004042-index.htm,https://www.sec.gov/Archives/edgar/data/1622244/000121390019005441/0001213900-19-005441-index.html,https://www.sec.gov/Archives/edgar/data/1622244/000149315220010154/0001493152-20-010154-index.htm,https://www.sec.gov/Archives/edgar/data/1622244/000149315221008948/0001493152-21-008948-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-420,-26500,-21888,-56880,-26964,-6207184,-7965160
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,19668,33610
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,236560,3578500
77,Change in Working Capital,- -,-300,-300,-21888,-56880,98626,-558732,-723367
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-5636
79,Inventory,- -,- -,- -,- -,- -,- -,-24682,-242470
80,Accounts Payable,- -,- -,- -,2597,-469,-2227,209327,404031
81,Other Working Capital,- -,-417,-300,-41465,-98345,281,-558451,-1281818
82,Other Non-Cash Items,- -,- -,- -,10017,56411,-109554,2448748,3647305
83,Cash Provided by Operating Activities,- -,-720,-26800,-33759,-57349,-37892,-4060940,-1429112
84,CAPEX,- -,- -,- -,- -,- -,- -,-365179,-62567
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-102000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-467179,-62567
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-779332
91,Common Stock Issued,- -,- -,29800,- -,- -,- -,4380350,1577332
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1720,1700,30568,57349,37892,316461,476841
95,Cash Used/Provided by Financing Activities,- -,1720,31500,30568,57349,37892,4696811,1274841
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-12158,-36622
97,Net Change In Cash,- -,1000,4700,30568,57349,37892,156534,-253460
98,Cash at the End of Period,- -,1000,5700,- -,- -,- -,282380,28920
99,Cash at the Beginning of Period,- -,- -,1000,3191,- -,- -,125846,282380
100,Free Cash Flow,- -,-720,-26800,-33759,-57349,-37892,-4426119,-1491679
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1622244/000121390017004264/0001213900-17-004264-index.htm,https://www.sec.gov/Archives/edgar/data/1622244/000121390018004042/0001213900-18-004042-index.htm,https://www.sec.gov/Archives/edgar/data/1622244/000121390019005441/0001213900-19-005441-index.html,https://www.sec.gov/Archives/edgar/data/1622244/000149315220010154/0001493152-20-010154-index.htm,https://www.sec.gov/Archives/edgar/data/1622244/000149315221008948/0001493152-21-008948-index.htm
102,false,,,,,,,,
