,https://roic.ai/company/RGLS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,38666000,98929000,117182000,164951000,134258000,87474000,66736000,19295000,40407000,36730000,65235000
38,PP&E,- -,3110000,3310000,3768000,3568000,5400000,11830000,9708000,7806000,921000,472000,2845000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,980000,1154000,1128000,1150000,1081000,1015000,775000,500000,266000,125000,83000
41,Intangible Assets,- -,980000,1154000,1128000,1150000,1081000,1015000,775000,500000,266000,125000,83000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,125000,125000,987000,1811000,344000,342000,590000,326000,487000,277000,291000
45,Total Non-Current Assets,- -,4215000,4589000,5883000,6529000,6825000,13187000,11073000,8632000,1674000,874000,3219000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,42881000,103518000,123065000,171480000,141083000,100661000,77809000,27927000,42081000,37604000,68454000
48,Accounts Payable,- -,501000,311000,1172000,2188000,2717000,5840000,5743000,1714000,1321000,535000,285000
49,Short-Term Debt,- -,- -,- -,- -,23397000,- -,- -,19859000,16575000,14631000,4652000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,10735000,10451000,4888000,3097000,1194000,72000,72000,2572000,6000,- -,- -
52,Other Current Liabilities,- -,1614000,2006000,4310000,6510000,8721000,7895000,6926000,5785000,5640000,6391000,4942000
53,Total Current Liabilities,- -,12850000,12768000,10370000,35192000,12632000,13807000,32600000,26646000,21598000,11578000,5227000
54,Long-Term Debt,- -,10000000,10134000,11279000,23397000,- -,19802000,- -,- -,- -,- -,7090000
55,Deferred Revenue,- -,16987000,17756000,6500000,3252000,2065000,1993000,1921000,6000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,44538000,767000,1459000,-22375000,2308000,8984000,8072000,7129000,468000,- -,1179000
58,Total Non-Current Liabilities,- -,71525000,28657000,19238000,4274000,4373000,30779000,9993000,7135000,468000,- -,8269000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,815000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2417000
61,Total Liabilities,- -,84375000,41425000,29608000,39466000,17005000,44586000,42593000,33781000,22066000,11578000,13496000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,2000,5000
63,Common Stock,- -,- -,36000,42000,49000,53000,53000,104000,9000,21000,67000,146000
64,Retained Earnings,- -,-43011000,-60419000,-79087000,-135767000,-191515000,-273351000,-345858000,-392723000,-411315000,-427045000,-454853000
65,Other Comprehensive Income/Loss,- -,-1497000,-2442000,-3731000,-5153000,-6450000,-7803000,-8259000,-9894000,-4410000,- -,- -
66,Other Total Stockholders Equity,- -,3014000,124918000,176233000,272885000,321990000,337176000,389229000,396754000,435715000,453002000,509660000
67,Total Stockholders Equity,- -,-41494000,62093000,93457000,132014000,124078000,56075000,35216000,-5854000,20015000,26026000,54958000
68,Total Liabilities And Stockholders Equity,- -,42881000,103518000,123065000,171480000,141083000,100661000,77809000,27927000,42081000,37604000,68454000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,42881000,103518000,123065000,171480000,141083000,100661000,77809000,27927000,42081000,37604000,68454000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1505512/000119312513065164/0001193125-13-065164-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000119312514074001/0001193125-14-074001-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000119312515052948/0001193125-15-052948-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828016011521/0001628280-16-011521-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828017002123/0001628280-17-002123-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828018002874/0001628280-18-002874-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828019003037/0001628280-19-003037-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828020003483/0001628280-20-003483-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828021004294/0001628280-21-004294-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828022005771/0001628280-22-005771-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-15559000,-7602000,-17408000,-18668000,-56680000,-55748000,-81836000,-71905000,-48709000,-18592000,-15730000,-27808000
74,Depreciation and Amortization,494000,911000,1017000,1360000,1490000,1591000,2276000,2524000,2262000,931000,467000,459000
75,Deferred Income Tax,394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,603000,825000,1550000,3422000,7039000,15368000,12872000,7642000,5441000,2288000,2614000,2923000
77,Change in Working Capital,25857000,-129000,60345000,20651000,22947000,-8133000,-47959000,-39531000,-41487000,26160000,6343000,914000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,347000,- -,638000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-616000,- -,- -,- -,- -,- -
80,Accounts Payable,574000,-793000,-189000,860000,940000,529000,3123000,-65000,-4029000,-393000,-786000,-250000
81,Other Working Capital,25945000,25816000,86161000,106812000,129759000,121626000,73667000,34136000,-7351000,18809000,25152000,552000
82,Other Non-Cash Items,518000,-9068000,-54225000,-35095000,-14306000,-2937000,57765000,42497000,39220000,-30608000,-6230000,-616000
83,Cash Provided by Operating Activities,12307000,-15063000,-8721000,-28330000,-39510000,-49859000,-56882000,-58773000,-43273000,-19821000,-12536000,-24128000
84,CAPEX,-2415000,-598000,-1426000,-835000,-1211000,-1430000,-966000,-319000,-22000,-244000,-11000,-251000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-43477000,-50663000,-62041000,-72005000,-113417000,-78401000,-65110000,-55686000,- -,- -,- -,- -
87,Sales/Maturities of Investments,23932000,54585000,33083000,31951000,85421000,101306000,101387000,69941000,46541000,- -,- -,- -
88,Other Investing Activites,-531000,-131000,-275000,-35000,-65000,-67000,-53000,-16000,- -,295000,-11000,- -
89,Cash Used for Investing Activites,-21960000,3324000,-30384000,-40889000,-29207000,21475000,35311000,13936000,46519000,74000,-11000,-251000
90,Debt Repayment,-353000,-412000,-445000,- -,- -,- -,-167000,- -,-3342000,-2240000,-10277000,-80000
91,Common Stock Issued,- -,58000,65927000,46574000,88379000,7172000,- -,- -,219000,42170000,19123000,53791000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15046000,- -,5000000,-100000,-142000,-155000,20719000,43415000,293000,3000,667000,26000
95,Cash Used/Provided by Financing Activities,14693000,-354000,70482000,46474000,88237000,7017000,20552000,43415000,-2830000,39933000,9513000,53737000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5040000,-12093000,31377000,-22745000,19520000,-21367000,-1019000,-1422000,416000,20186000,-3034000,29358000
98,Cash at the End of Period,21268000,9175000,40552000,17807000,37327000,15960000,14941000,13519000,13935000,34121000,31087000,60445000
99,Cash at the Beginning of Period,16228000,21268000,9175000,40552000,17807000,37327000,15960000,14941000,13519000,13935000,34121000,31087000
100,Free Cash Flow,9892000,-15661000,-10147000,-29165000,-40721000,-51289000,-57848000,-59092000,-43295000,-20065000,-12547000,-24379000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505512/000119312513065164/0001193125-13-065164-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000119312514074001/0001193125-14-074001-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000119312515052948/0001193125-15-052948-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828016011521/0001628280-16-011521-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828017002123/0001628280-17-002123-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828018002874/0001628280-18-002874-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828019003037/0001628280-19-003037-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828020003483/0001628280-20-003483-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828021004294/0001628280-21-004294-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828022005771/0001628280-22-005771-index.htm
102,false,,,,,,,,,,,,
