,https://roic.ai/company/CHUY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,4679000,9258000,7025000,13000000,11100000,12914000,17223000,27689000,26586000,17730000,16783000,94561000,114464000
38,PP&E,18499000,32113000,48114000,69700000,92800000,118807000,136493000,165150000,197255000,210960000,380049000,185105000,327813000
39,Goodwill,24069000,24069000,24069000,24100000,24100000,24069000,24069000,24069000,24069000,24069000,24069000,24069000,24069000
40,Intangible Assets,22917000,23202000,25092000,21900000,22000000,21975000,21975000,21975000,21975000,22052000,22114000,1078000,21900000
41,Intangible Assets,46986000,47271000,49161000,46000000,46100000,46044000,46044000,46044000,46044000,46121000,46183000,25147000,45969000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,4200000,4100000,7207000,10281000,13769000,- -,2601000,- -,- -,5400000
44,Other Non-Current Assets,- -,- -,1638000,-3200000,-2900000,-5760000,-8593000,-11924000,2082000,-328000,3054000,- -,1678000
45,Total Non-Current Assets,65485000,79384000,98913000,116700000,140100000,166298000,184225000,213039000,245381000,259354000,429286000,210252000,380860000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,70164000,88642000,105938000,129700000,151200000,179212000,201448000,240728000,271967000,277084000,446069000,304813000,495324000
48,Accounts Payable,1660000,1878000,2082000,3500000,4600000,5921000,7294000,8014000,6396000,6463000,4253000,2977000,4127000
49,Short-Term Debt,1232000,1107000,713000,- -,- -,- -,- -,- -,- -,- -,10307000,14566000,13003000
50,Tax Payable,1123000,1586000,- -,2772000,2502000,2606000,3358000,3391000,4325000,4634000,5706000,5254000,5588000
51,Deferred Revenue,476000,660000,846000,- -,- -,- -,- -,- -,2098000,- -,- -,- -,2919000
52,Other Current Liabilities,4128000,4752000,7642000,12200000,11300000,11816000,17714000,20092000,17163000,20180000,21639000,25775000,22323000
53,Total Current Liabilities,7496000,8397000,11283000,15700000,15900000,17737000,25008000,28106000,25657000,26643000,36199000,43318000,42372000
54,Long-Term Debt,28682000,29625000,54487000,5000000,6000000,8750000,- -,- -,- -,- -,- -,- -,188735000
55,Deferred Revenue,- -,- -,- -,- -,3502000,5252000,6908000,9169000,- -,14516000,- -,- -,- -
56,Deferred Tax Liabilities,228000,1459000,2676000,4186000,4058000,6976000,10281000,13769000,6438000,2601000,- -,- -,- -
57,Other Non-Current Liabilities,1838000,8193000,11865000,17414000,17240000,22309000,26194000,32619000,50910000,39473000,214934000,- -,1423000
58,Total Non-Current Liabilities,30748000,39277000,69028000,26600000,30800000,43287000,43383000,55557000,57348000,56590000,214934000,- -,190158000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208499000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224848000,222167000,201738000
61,Total Liabilities,38244000,47674000,80311000,42300000,46700000,61024000,68391000,83663000,83005000,83233000,251133000,251817000,232530000
62,Preferred Stock,277000,294000,107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4000,5000,2000,200000,200000,164000,165000,168000,169000,169000,166000,197000,195000
64,Retained Earnings,1434000,4725000,1540000,7000000,18100000,29557000,42453000,59697000,88653000,94192000,100058000,96764000,126940000
65,Other Comprehensive Income/Loss,-2678000,-5290000,-9600000,-16000000,-24700000,-34646000,-45927000,-60738000,-76239000,-92156000,-108606000,- -,- -
66,Other Total Stockholders Equity,32883000,41234000,33578000,96263000,110888000,123113000,136366000,157938000,176379000,191646000,203318000,144897000,135659000
67,Total Stockholders Equity,31920000,40968000,25627000,87463000,104488000,118188000,133057000,157065000,188962000,193851000,194936000,241858000,262794000
68,Total Liabilities And Stockholders Equity,70164000,88642000,105938000,129763000,151188000,179212000,201448000,240728000,271967000,277084000,446069000,493675000,495324000
69,Minority Interest,- -,- -,- -,-63000,12000,- -,- -,- -,- -,- -,- -,-188862000,- -
70,Total Liabilities & Equity,70164000,88642000,105938000,129700000,151200000,179212000,201448000,240728000,271967000,277084000,446069000,304813000,495324000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524931/000119312513132302/0001193125-13-132302-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493114000041/0001524931-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493115000055/0001524931-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493116000122/0001524931-16-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493117000030/0001524931-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493118000024/0001524931-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493119000023/0001524931-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493120000023/0001524931-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493121000010/0001524931-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493122000005/0001524931-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,2653000,3291000,3464000,5457000,11069000,11491000,12896000,17244000,28956000,5539000,6215000,-8801000,30176000
74,Depreciation and Amortization,1549000,2732000,4448000,6528000,8858000,10310000,12827000,15081000,17560000,19804000,21756000,29264000,29771000
75,Deferred Income Tax,882000,1218000,1198000,1760000,-314000,3060000,3074000,3488000,-7331000,-3837000,-5096000,-5205000,2406000
76,Stock Based Compensation,235000,310000,352000,329000,531000,1054000,1718000,2193000,2880000,3096000,3286000,3702000,3867000
77,Change in Working Capital,674000,3678000,-5119000,1558000,-2100000,-23000,-2962000,7368000,1346000,-9842000,-10503000,70659000,-20711000
78,Accounts Receivable,135000,-188000,-44000,-117000,-72000,-286000,-196000,-14000,-1564000,642000,628000,-81000,-304000
79,Inventory,-100000,-107000,-204000,-4000,-84000,-221000,-268000,-265000,-154000,64000,-116000,208000,-227000
80,Accounts Payable,152000,217000,204000,1381000,-610000,-770000,-1708000,-1471000,-2248000,-1454000,-2594000,-1302000,711000
81,Other Working Capital,-2817000,861000,-4258000,-2700000,-4800000,-4823000,-7785000,-417000,929000,-8913000,-19416000,51243000,- -
82,Other Non-Cash Items,299000,523000,12860000,8892000,6197000,3243000,17840000,-2736000,971000,33122000,27773000,-46905000,4271000
83,Cash Provided by Operating Activities,6292000,11752000,17203000,24524000,24241000,29135000,45393000,42638000,44382000,47882000,43431000,42714000,49780000
84,CAPEX,-11613000,-16370000,-20452000,-26834000,-30905000,-33936000,-31628000,-41566000,-49185000,-44087000,-32870000,-12149000,-16413000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3975000,-276000,-230000,-412000,-293000,-388000,-372000,-319000,51000,-434000,-404000,- -,- -
89,Cash Used for Investing Activites,-15588000,-16646000,-20682000,-27246000,-31198000,-34324000,-32000000,-41885000,-49134000,-44521000,-33274000,-12149000,-16413000
90,Debt Repayment,-750000,-1232000,-31732000,-86950000,-2000000,-1500000,-9750000,-2000000,- -,- -,-5000000,-25000000,- -
91,Common Stock Issued,- -,- -,183000,81104000,- -,- -,- -,- -,- -,- -,- -,48167000,- -
92,Common Stock Repurchased,- -,- -,- -,-22474000,- -,- -,-57000,-324000,-497000,-4400000,-8670000,-2107000,-17064000
93,Dividends Paid,- -,- -,-19010000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10500000,7401000,53528000,34070000,8425000,5181000,1128000,6736000,340000,453000,5388000,25118000,3501000
95,Cash Used/Provided by Financing Activities,9750000,6169000,2969000,5750000,6425000,3681000,-8679000,4412000,-157000,-3947000,-8282000,46178000,-13563000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,454000,1275000,-510000,3028000,-532000,-1508000,4714000,5165000,-4909000,-586000,1875000,76743000,19804000
98,Cash at the End of Period,2062000,3337000,2827000,5855000,5323000,3815000,8529000,13694000,8785000,8199000,10074000,86817000,106621000
99,Cash at the Beginning of Period,1608000,2062000,3337000,2827000,5855000,5323000,3815000,8529000,13694000,8785000,8199000,10074000,86817000
100,Free Cash Flow,-5321000,-4618000,-3249000,-2310000,-6664000,-4801000,13765000,1072000,-4803000,3795000,10561000,30565000,33367000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524931/000119312513132302/0001193125-13-132302-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493114000041/0001524931-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493115000055/0001524931-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493116000122/0001524931-16-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493117000030/0001524931-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493118000024/0001524931-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493119000023/0001524931-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493120000023/0001524931-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493121000010/0001524931-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493122000005/0001524931-22-000005-index.htm
102,false,,,,,,,,,,,,,
