,https://roic.ai/company/OBLG,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,2000000,- -,26800000,31500000,17700000,21943277,40202737,75226696,14507482,17953576,34000000,28000000,27000000,28000000,25000000,30000000,27000000,30000000,35000000,33000000,26000000,21000000,17000000,19000000,20000000,16967000,14512000
11,COGS and Expenses,- -,4100000,6200000,- -,49400000,56000000,42400000,58290859,102285518,136847969,24569363,30796047,34374000,28018000,27413000,27744000,25528000,30165000,27336000,29666000,34896000,30998000,25892000,20628000,15453000,14204000,18084000,24247000,22269000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,314986,76928,71644,7000,41520,100000,83000,59000,18000,- -,- -,- -,5000,1000,5000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,500000,- -,78056,598147,431792,1026469,61871,3000,3969000,6043000,4535000,99000,102000,67000,426000,1927000,1330000,1387000,1527000,1123000,580000,187000,352000,22000
14,Depreciation and Amortization,- -,100000,100000,- -,1200000,3000000,600000,3270691,7100093,5146515,7253116,8723558,2294000,2336000,1998000,1261000,1056000,1078000,1436000,2085000,2860000,2735000,2235000,1959000,1621000,755000,1321000,4141000,2736000
15,EBITDA,- -,100000,900000,- -,1300000,700000,-10900000,1328057,-6632150,-52986876,-14159353,-8415671,-14137000,-4485000,2570000,-1519000,608000,-1483000,1872000,1341000,546000,1449000,1649000,-126000,8299000,-5820000,-6253000,-2825000,-7087000
16,EBITDA ratio,- -,0.0244,0.1286,- -,0.0261,0.0121,-0.3070,0.0237,-0.0746,-0.6403,-1.3733,-0.5261,-0.7971,-0.2299,0.1128,-0.0619,0.0229,-0.0538,0.0673,0.0461,0.0163,0.0451,0.0646,-0.0066,0.5608,-0.4635,-0.4875,-0.1842,-0.9158
17,Operating Income,- -,- -,800000,- -,500000,2000000,-6900000,-2257620,-13369284,-55059892,-14258619,-14800870,-16639000,-8507000,-4621000,-3207000,1012000,-2615000,470000,-596000,-1442000,-1184000,-489000,-2085000,-2367000,-6740000,-7574000,-10064000,-11794000
18,Operating Income ratio,- -,- -,0.1143,- -,0.0100,0.0345,-0.1944,-0.0403,-0.1504,-0.6654,-1.3829,-0.9253,-0.9382,-0.4360,-0.2027,-0.1307,0.0381,-0.0949,0.0169,-0.0205,-0.0431,-0.0368,-0.0191,-0.1085,-0.1599,-0.5368,-0.5905,-0.6564,-1.5240
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-300000,-4200000,-600000,236930,-621131,-522188,-3383615,508101,205000,-2283000,-850000,409000,-1460000,-58000,-62000,-574000,-2799000,-1432000,-1484000,-1527000,7922000,-415000,-187000,2746000,2653000
20,Income Before Tax,- -,- -,800000,- -,- -,- -,-7500000,-2020690,-13990415,-55582080,-17642234,-14292769,-16434000,-10790000,-5471000,- -,- -,- -,- -,-1170000,-4241000,-2616000,-1973000,-3612000,5555000,-7155000,-7761000,-7318000,-9141000
21,Income Before Tax Ratio,- -,- -,0.1143,- -,- -,- -,-0.2113,-0.0361,-0.1573,-0.6717,-1.7111,-0.8936,-0.9266,-0.5530,-0.2400,- -,- -,- -,- -,-0.0402,-0.1268,-0.0814,-0.0772,-0.1879,0.3754,-0.5698,-0.6051,-0.4773,-1.1812
22,Income Tax expense (Gain),- -,- -,300000,- -,- -,- -,400000,511239,200000,- -,- -,212000,- -,- -,- -,- -,- -,- -,- -,-2221000,-30000,139000,170000,-79000,-230000,13000,- -,103000,-90000
23,Net Income,- -,- -,500000,- -,100000,-2800000,-11900000,-2531929,-14530390,-58565183,-22438938,-17413100,-16434000,-10790000,-5471000,-7315000,-547000,-2663000,369000,1051000,-4211000,-2755000,-2143000,-3533000,5785000,-7168000,-7761000,-7421000,-9755000
24,Net Income ratio,- -,- -,0.0714,- -,0.0020,-0.0483,-0.3352,-0.0452,-0.1634,-0.7078,-2.1763,-1.0886,-0.9266,-0.5530,-0.2400,-0.2981,-0.0206,-0.0967,0.0133,0.0362,-0.1259,-0.0857,-0.0839,-0.1838,0.3909,-0.5708,-0.6051,-0.4840,-1.2605
25,EPS,- -,-30.40,-40.00,- -,0.80,-16.40,-61.20,-50.80,-36.40,-81.20,-30.40,-19.60,-16.40,-9.60,-4.40,-4.40,-0.40,-1.90,0.20,0.40,-1.40,-0.80,-0.60,-1.00,1.50,-1.50,-1.52,-1.48,-1.86
26,EPS Diluted,- -,-30.40,-40.00,- -,0.80,-16.40,-61.20,-50.80,-36.40,-81.20,-30.40,-19.60,-16.40,-9.60,-4.40,-4.40,-0.40,-1.90,0.20,0.40,-1.40,-0.80,-0.60,-1.00,1.40,-1.50,-1.52,-1.48,-1.86
27,Weighted Average Shares Outstanding,- -,20833,20833,71756,62500,172202,196062,320428,522003,719805,736391,909752,1108700,1156050,1168375,1161925,1323450,1912700,2228600,2525400,3052500,3488500,3544200,3561100,3810000,4795000,5108000,5558108,5237000
28,Weighted Average Shares Outstanding Diluted,- -,20833,20833,71756,62500,172202,196062,320428,522003,719805,736391,909752,1108700,1156050,1168375,1161925,1323450,1912700,2336300,2665600,3052500,3488500,3544200,3561100,4082143,4795000,5108000,5558108,5237000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746210/000141588912000332/0001415889-12-000332-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000141588913000639/0001415889-13-000639-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621014000016/0000746210-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621015000055/0000746210-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621016000121/0000746210-16-000121-index.htm,- -,https://www.sec.gov/Archives/edgar/data/746210/000074621018000012/0000746210-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621019000009/0000746210-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621020000027/0000746210-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621021000024/0000746210-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621022000023/0000746210-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,5000000,- -,1200000,700000,100000,1870573,1689451,2762215,4520085,4586222,2023000,2153000,2312000,1227000,587000,2035000,1818000,2218000,2294000,1938000,1764000,1140000,3946000,2007000,4509000,4900000,8939000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,200000,5000000,- -,1200000,700000,100000,1870573,1689451,2762215,4520085,4586222,2023000,2153000,2312000,1227000,587000,2035000,1818000,2218000,2294000,1938000,1764000,1140000,3946000,2007000,4509000,4900000,8939000
34,Net Receivables,- -,900000,2300000,- -,13300000,14100000,9200000,27614169,35471482,25441557,2305552,5512892,2171000,2748000,2546000,3090000,3323000,2706000,2520000,4130000,4103000,3368000,2734000,1635000,1230000,1371000,2543000,3166000,849000
35,Inventory,- -,100000,500000,- -,2500000,4400000,2800000,10751344,10218796,8122996,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,- -,- -,- -,- -,- -,- -,1816000,920000,1821000
36,Other Current Assets,- -,100000,100000,- -,500000,500000,1800000,1515432,3824276,7683543,1439978,1275928,510000,327000,348000,294000,291000,392000,330000,777000,378000,930000,589000,978000,705000,547000,1058000,1007000,1142000
37,Total Current Assets,- -,1300000,7900000,- -,17500000,19700000,13900000,41751518,51204005,44010311,8265615,11375042,4704000,5228000,5206000,4611000,4201000,5133000,4668000,7162000,6775000,6236000,5087000,3753000,5881000,3925000,9926000,9993000,12751000
38,PP&E,- -,200000,100000,- -,3400000,3500000,2200000,6726562,10857547,14196679,13024055,12591011,4117000,2762000,2692000,2533000,2682000,3148000,4738000,4256000,2867000,3246000,2986000,2203000,1159000,728000,4433000,1476000,818000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,9825000,9825000,9825000,9225000,7750000,2795000,7907000,7367000,7367000
40,Intangible Assets,- -,- -,- -,- -,4200000,2300000,- -,36065945,42163844,2547862,2547862,2547862,- -,- -,- -,- -,- -,- -,- -,7256000,5998000,3047000,2178000,1309000,626000,499000,12572000,10140000,7562000
41,Intangible Assets,- -,- -,- -,- -,4200000,2300000,- -,36065945,42163844,2547862,2547862,2547862,- -,- -,- -,- -,- -,- -,- -,17156000,15823000,12872000,12003000,10534000,8376000,3294000,20479000,17507000,14929000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,100000,- -,700000,700000,400000,341813,274089,746812,149574,296332,216000,403000,664000,33000,31000,83000,59000,742000,421000,262000,155000,10000,8000,15000,71000,167000,109000
45,Total Non-Current Assets,- -,200000,200000,- -,8300000,6500000,2600000,43134320,53295480,17491353,15721491,15435205,4333000,3165000,3356000,2566000,2713000,3231000,4797000,22154000,19111000,16380000,15144000,12747000,9543000,4037000,24983000,19150000,15856000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1500000,8100000,- -,25800000,26200000,16500000,84885838,104499485,61501664,23987106,26810247,9037000,8393000,8562000,7177000,6914000,8364000,9465000,29316000,25886000,22616000,20231000,16500000,15424000,7962000,34909000,29143000,28607000
48,Accounts Payable,- -,1200000,1600000,- -,7200000,7700000,7800000,11804298,12297914,9049961,2368484,2832569,1586000,1957000,1575000,2367000,3232000,2333000,1382000,2384000,1885000,1220000,385000,75000,337000,222000,647000,313000,259000
49,Short-Term Debt,- -,- -,300000,- -,700000,300000,6500000,101643,10684994,25874,131182,34972,- -,4326000,125000,- -,- -,750000,750000,1397000,950000,400000,400000,10660000,1194000,- -,2664000,2014000,492000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,7898277,7871268,- -,1018186,374000,288000,330000,325000,259000,242000,374000,360000,360000,267000,284000,118000,393000,43000,1901000,1217000,783000
52,Other Current Liabilities,- -,100000,600000,- -,4300000,6000000,5700000,9924467,4683939,2122813,900690,1486949,6270000,10525000,12268000,6144000,2075000,2334000,1685000,2310000,2744000,1834000,1685000,1489000,869000,867000,3046000,2031000,959000
53,Total Current Liabilities,- -,1300000,2500000,- -,12200000,14000000,20000000,21830408,35565124,19069916,3400356,5372676,8230000,17096000,14298000,8836000,5566000,5659000,4191000,6451000,5939000,3721000,2754000,12342000,2793000,1132000,8258000,5575000,2493000
54,Long-Term Debt,- -,- -,- -,- -,5300000,5200000,- -,3026067,- -,5845516,- -,- -,- -,- -,6873000,1482000,- -,- -,- -,9631000,10235000,10785000,10785000,- -,369000,- -,2843000,403000,236000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,381000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000,309000,230000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,400000,- -,- -,- -,-100000,100000,- -,25696,- -,1773167,- -,3212000,2888000,4563000,72000,195000,- -,334000,231000,43000,1000,- -,- -,- -,- -,2023000,602000,- -
58,Total Non-Current Liabilities,- -,400000,- -,- -,5300000,5100000,100000,3026067,25696,5845516,1773167,212000,3212000,2888000,11436000,1554000,195000,- -,334000,9862000,10278000,10928000,11094000,230000,369000,- -,4866000,1511000,617000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34972,- -,- -,- -,233000,233000,- -,- -,511000,471000,260000,42000,- -,- -,- -,- -,3314000,1432000,- -
61,Total Liabilities,- -,1700000,2500000,- -,17500000,19100000,20100000,24856475,35590820,24915432,5173523,5584676,11442000,19984000,25734000,10390000,5761000,5659000,4525000,16313000,16217000,14649000,13848000,12572000,3162000,1132000,13124000,7086000,617000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11574000,14275000,13354000,10297000,10167000,167000,167000,100000,100000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1730,2529,2893,3054,3788,5000,5000,5000,5000,7000,9000,3000,3000,4000,4000,4000,4000,5000,5000,1000,1000,3000
64,Retained Earnings,- -,-200000,300000,- -,-5400000,-8200000,-20200000,-16779816,-35744110,-94309293,-116748231,-134529874,-161833000,-172623000,-178094000,-185409000,-162405000,-165068000,-164699000,-163648000,-167859000,-170614000,-172757000,-176290000,-170505000,-177673000,-185434000,-192855000,-201906000
65,Other Comprehensive Income/Loss,- -,- -,-100000,- -,-4300000,-5100000,-1800000,-2030104,-6103703,-7543561,-6729127,-10523573,-8113000,-9210000,-10565000,-11610000,-12237000,-10761000,-11580000,-10896000,-11589000,-12281000,-11367000,-11800000,-10148000,-8711000,-8274000,- -,- -
66,Other Total Stockholders Equity,- -,- -,5400000,- -,18000000,20400000,18400000,78837553,110753949,138436193,142287887,166275230,167536000,170237000,171482000,182227000,161513000,165171000,170919000,177377000,188946000,190691000,190403000,191914000,192910000,193209000,215492000,214911000,227400000
67,Total Stockholders Equity,- -,-200000,5600000,- -,8300000,7100000,-3600000,60029363,68908665,36586232,18813583,21225571,-2405000,-11591000,-17172000,-3213000,1153000,2705000,4940000,13003000,9669000,7967000,6383000,3928000,12262000,6830000,21785000,22057000,25497000
68,Total Liabilities And Stockholders Equity,- -,1500000,8100000,- -,25800000,26200000,16500000,84885838,104499485,61501664,23987106,26810247,9037000,8393000,8562000,7177000,6914000,8364000,9465000,29316000,25886000,22616000,20231000,16500000,15424000,7962000,34909000,29143000,26114000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2493000
70,Total Liabilities & Equity,- -,1500000,8100000,- -,25800000,26200000,16500000,84885838,104499485,61501664,23987106,26810247,9037000,8393000,8562000,7177000,6914000,8364000,9465000,29316000,25886000,22616000,20231000,16500000,15424000,7962000,34909000,29143000,28607000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746210/000141588912000332/0001415889-12-000332-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000141588913000639/0001415889-13-000639-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621014000016/0000746210-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621015000055/0000746210-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621016000121/0000746210-16-000121-index.htm,- -,https://www.sec.gov/Archives/edgar/data/746210/000074621018000012/0000746210-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621019000009/0000746210-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621020000027/0000746210-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621021000024/0000746210-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621022000023/0000746210-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,500000,-700000,100000,-2800000,-11900000,-2531929,-14530390,-58565183,-22438938,-17413100,-16434000,-10790000,-5471000,-7315000,-547000,-2663000,369000,1051000,-4211000,-2755000,-2143000,-3533000,5785000,-7168000,-7761000,-7421000,-9755000
74,Depreciation and Amortization,- -,100000,100000,200000,1200000,3000000,600000,3270691,7100093,5146515,7253116,8723558,2294000,2336000,1998000,1261000,1056000,1078000,1436000,2085000,2860000,2735000,2235000,1959000,1621000,755000,1321000,4141000,2736000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,276482,200000,- -,- -,212000,- -,- -,- -,- -,- -,- -,- -,-2221000,- -,142000,170000,-79000,-230000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000,556000,514000,234000,678000,1203000,600000,813000,929000,458000,365000,110000,198000,597000
77,Change in Working Capital,- -,200000,-4200000,5400000,-100000,400000,-11800000,26021110,-4282229,9301514,-20075136,1137107,-9528366,-8342000,2776000,4867000,2860000,839000,1003000,234000,125000,1679000,-182000,-10922000,11677000,-295000,-1125000,2750000,5840000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-801000,-491000,67000,84000,-410000,-179000,935000,539000,1043000,421000,-160000,780000,-792000,1996000
79,Inventory,- -,- -,-300000,-600000,-500000,-2000000,-200000,-6324284,548423,-2401306,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,820000,-901000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,793000,865000,-874000,- -,31000,-499000,-726000,-835000,-310000,262000,-115000,129000,-335000,-54000
81,Other Working Capital,- -,4200000,- -,5400000,5300000,5700000,-6100000,19921110,15638881,24940395,4865259,6002366,-3526000,-11868000,-9092000,-4225000,-1365000,-526000,477000,711000,836000,2515000,2333000,-8589000,3088000,2793000,1668000,4418000,10258000
82,Other Non-Cash Items,- -,100000,3300000,-7300000,-2600000,-900000,21900000,-40327368,-4010828,30063849,28431588,-1753340,10000366,12102000,-1181000,-645000,-3801000,-1212000,-2290000,-1006000,2323000,-616000,344000,11829000,-17702000,5188000,4202000,-6234000,-7150000
83,Cash Provided by Operating Activities,- -,400000,-300000,-2400000,-1400000,-300000,-1200000,-13291014,-15523354,-14053305,-6829370,-9093775,-13668000,-4694000,-1878000,-1264000,124000,-1444000,752000,821000,2300000,1785000,1237000,183000,1609000,-1155000,-3253000,-6566000,-7732000
84,CAPEX,- -,-100000,-100000,-500000,-3200000,-1000000,-900000,-4323095,-7981050,-4745933,-2399297,-3361402,-1308000,-761000,-1053000,-1179000,-1213000,-1620000,-940000,-740000,-856000,-2176000,-1247000,-382000,-133000,-335000,-45000,-38000,98000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2519185,-175513,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7562000,-46000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,- -,- -,- -,- -,2017383,15000,16233312,- -,3087000,- -,- -,- -,- -,61000,12000,11000,2000,4000,3000,- -,- -,- -,2194000,7000,-147000
89,Cash Used for Investing Activites,- -,-100000,-100000,-700000,-3200000,-1000000,-900000,-6842280,-6139180,-4730933,13834015,-3361402,1779000,-761000,-1053000,-1179000,-1213000,-1559000,-928000,-8291000,-900000,-2172000,-1244000,-382000,-133000,-335000,2149000,-31000,-49000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-984000,- -,-41000,-205000,-10013000,-465000,-656000,-400000,-605000,-1832000,- -,-2500000,- -
91,Common Stock Issued,- -,- -,5300000,- -,3300000,1600000,300000,24981350,13940623,20629455,630935,13002916,9450000,- -,- -,- -,- -,- -,- -,- -,- -,416000,18000,- -,- -,- -,- -,7371000,11504000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-342000,- -,-307000,- -,- -,-289000,-66000,-140000,-13000,-2325000,-144000,-51000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-200000,-100000,-400000,2100000,-800000,1500000,-3037502,7540789,-772453,-6212898,-146414,-35000,5585000,3090000,1700000,1433000,4758000,- -,8075000,8978000,146000,611000,-12000,4260000,1527000,3750000,2401000,- -
95,Cash Used/Provided by Financing Activities,- -,-200000,5200000,-400000,5400000,800000,1800000,21943848,21481412,19857002,-5581963,12856502,9415000,5585000,3090000,1358000,449000,4451000,-41000,7870000,-1324000,31000,-167000,-425000,1330000,-449000,3699000,7272000,11504000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-200000,5200000,-400000,5400000,800000,-200000,1810554,-181122,1072764,1422682,401325,-2474000,130000,159000,-1085000,-640000,1448000,-217000,400000,76000,-356000,-174000,-624000,2806000,-1939000,2595000,675000,3723000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,100000,1870573,1689451,2762215,4184897,4586222,2023000,2153000,2312000,1227000,587000,2035000,1818000,2218000,2294000,1938000,1764000,1140000,3946000,2007000,4602000,5277000,9000000
99,Cash at the Beginning of Period,- -,100000,200000,5000000,400000,1200000,300000,60019,1870573,1689451,2762215,4184897,4497000,2023000,2153000,2312000,1227000,587000,2035000,1818000,2218000,2294000,1938000,1764000,1140000,3946000,2007000,4602000,5277000
100,Free Cash Flow,- -,300000,-400000,-2900000,-4600000,-1300000,-2100000,-17614109,-23504404,-18799238,-9228667,-12455177,-14976000,-5455000,-2931000,-2443000,-1089000,-3064000,-188000,81000,1444000,-391000,-10000,-199000,1476000,-1490000,-3298000,-6604000,-7634000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746210/000141588912000332/0001415889-12-000332-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000141588913000639/0001415889-13-000639-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621014000016/0000746210-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621015000055/0000746210-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621016000121/0000746210-16-000121-index.htm,- -,https://www.sec.gov/Archives/edgar/data/746210/000074621018000012/0000746210-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621019000009/0000746210-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621020000027/0000746210-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621021000024/0000746210-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/746210/000074621022000023/0000746210-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
