,https://roic.ai/company/HIVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4271743,4480471,5282349,5171096,5537763,4907187,4805809,5791656,180366602,188027060,188542547,259905407
64,Retained Earnings,-5747123,-4893001,-6340209,-7002168,-7404298,-7729157,-7696343,-7243055,-7703899,-8023964,-33702459,-171504579,-173167402,-130627718
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,35804,31217,30490,29677,4442582,5426044,5711290,5195324
66,Other Total Stockholders Equity,- -,- -,-0,36012,376439,687579,11363,9907,9676,9418,- -,- -,- -,- -
67,Total Stockholders Equity,-1516467,-1444347,-2068466,-2485685,-1745510,-1870482,-2111414,-2294744,-2857924,-2193212,151106725,21948525,21086435,134473013
68,Total Liabilities And Stockholders Equity,103380,83578,104173,55637,76986,183866,192862,151585,149114,477989,161367859,27761197,29104363,178330730
69,Minority Interest,0,0,0,-0,-0,-0,-0,-0,-0,-0,- -,- -,- -,- -
70,Total Liabilities & Equity,103380,83578,104173,55637,76986,183866,192862,151585,149114,477989,161367859,27761197,29104363,178330730
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-271260,-208187,-279397,-248969,-583201,-468513,-582020,-532703,-629583,-525375,-26242436,-137802120,-1662823,42539684
74,Depreciation and Amortization,16,10,26,- -,- -,- -,- -,- -,- -,- -,3197911,29324286,6301146,10669991
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000,-227000,830742,- -
76,Stock Based Compensation,- -,- -,- -,- -,39668,- -,- -,- -,12943,- -,4817019,1132371,686659,1654346
77,Change in Working Capital,249998,199520,252436,438244,-581404,-169928,353630,436101,358325,78307,-24895656,13552418,-4207637,-56369838
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2856,16749,441,679,-25211531,24578776,-8481265,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,356789,419352,- -,- -,- -,- -,- -,2383786
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7754307,- -,- -,- -
82,Other Non-Cash Items,3653,-0,-0,-212734,395642,317219,0,0,0,-0,17644105,92378132,-1178576,24455266
83,Cash Provided by Operating Activities,-17594,-8658,-26934,-23458,-729295,-321223,-228389,-96602,-258316,-447068,-25252057,-1641913,769511,22949449
84,CAPEX,- -,- -,- -,-823,- -,- -,-22617,- -,- -,-273699,-113118103,- -,- -,-65240061
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7109792,- -,-1431521
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-823,- -,- -,- -,- -,- -,- -,- -,- -,-1879505,-187386
89,Cash Used for Investing Activites,- -,- -,- -,-823,- -,- -,-22617,- -,- -,-273699,-113118103,-7109792,-1879505,-66858968
90,Debt Repayment,- -,- -,- -,- -,- -,-2132,-25176,-84896,-77421,-372466,-285449,- -,-670487,-658334
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,192296,78877,- -,1124792,150263237,- -,- -,64543080
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11935,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16983,8562,28547,25714,733214,318443,82036,102800,337239,-2346,2886645,1113587,329323,14409329
95,Cash Used/Provided by Financing Activities,16983,8562,28547,25714,733214,316311,249156,96781,259818,749981,152852498,1113587,-341164,78294075
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216040,-280701,-229186,775830
97,Net Change In Cash,-610,-96,1613,1433,3919,-4911,-1850,179,1502,29213,14698378,-7918819,-1680344,35160386
98,Cash at the End of Period,219,82,1715,3232,7067,2019,8,186,1684,30852,14729290,6810471,5130127,40290513
99,Cash at the Beginning of Period,829,178,102,1799,3148,6930,1858,7,182,1639,30912,14729290,6810471,5130127
100,Free Cash Flow,-17594,-8658,-26934,-24281,-729295,-321223,-228389,-96602,-258316,-447068,-138370160,-1641913,769511,-42290612
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,
