,https://roic.ai/company/VHC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
63,Common Stock,- -,- -,4403,4518,4998,4998,4998,4998,4998,4998,3467,3489,3975,4934,5000,5000,5000,5000,5000,6000,6000,7000,7000,7000
64,Retained Earnings,- -,- -,-2445615,-6241830,-6365670,-6402763,-6332731,-6267607,-6147083,-6086665,-10975981,-23048161,-36130912,-17755080,-36001000,-62925000,-90533000,-100435000,-129669000,-158238000,-175516000,-198422000,-217602000,-8014000
65,Other Comprehensive Income/Loss,- -,-300000,-426589,-43852,-50584,178,1297,-6240,-38319,-47356,-26298,-45883,-60996,-984266,-4000,8000,-37000,-15000,-19000,-12000,-13000,-14000,-14000,-13000
66,Other Total Stockholders Equity,- -,500000,5494791,6284676,6461846,6398754,6398754,6398754,6398754,6398754,19494188,22196204,33791213,78187376,104277000,116856000,124589000,133072000,144778000,169391000,177076000,208317000,223237000,232457000
67,Total Stockholders Equity,- -,200000,2626990,3512,50590,1167,72318,129905,218350,269731,8495376,-894351,-2396720,59452964,68277000,53944000,34024000,32627000,15095000,11147000,1553000,9888000,5628000,224437000
68,Total Liabilities And Stockholders Equity,- -,600000,3167408,660674,207493,142101,215523,221909,290661,321775,9279166,978982,2241605,81694120,74633000,61313000,39398000,45090000,22172000,18871000,7175000,11751000,7498000,234793000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,600000,3167408,660674,207493,142101,215523,221909,290661,321775,9279166,978982,2241605,81694120,74633000,61313000,39398000,45090000,22172000,18871000,7175000,11751000,7498000,234793000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082324/000108232402000001/0001082324-02-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232403000002/0001082324-03-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232404000001/0001082324-04-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232405000001/0001082324-05-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232406000003/0001082324-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232407000003/0001082324-07-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000089161808000194/0000891618-08-000194-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000136231009004649/0001362310-09-004649-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000101968710001194/0001019687-10-001194-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036111017128/0001140361-11-017128-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036112011924/0001140361-12-011924-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036113010115/0001140361-13-010115-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036114010413/0001140361-14-010413-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036115009713/0001140361-15-009713-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000156761916002021/0001567619-16-002021-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000156761917000463/0001567619-17-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036118013886/0001140361-18-013886-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036119005116/0001140361-19-005116-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036120005863/0001140361-20-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036121008678/0001140361-21-008678-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-500000,-2464067,-2613101,-1306954,-37093,70032,65124,120524,60418,-8692164,-12072180,-13082751,41416893,-17263000,-26924000,-27608000,-9902000,-29234000,-28569000,-17278000,-25406000,-19180000,280429000
74,Depreciation and Amortization,- -,100000,77828,43466,7543,2228,- -,- -,703,836,18609,68623,63113,59066,68000,71000,36000,25000,26000,28000,26000,18000,7000,5000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2851462,5663000,3158000,- -,- -,- -,- -,- -,- -,- -,-9049000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2682431,3031717,3380876,4367000,6162000,7563000,8189000,7275000,5398000,3986000,4055000,3711000,3938000
77,Change in Working Capital,- -,- -,-2538670,55104,-48291,81509,52124,89019,54628,8146629,-9479895,-1390973,60130806,10439344,-14252000,-19891000,-4052000,-16131000,-2548000,-10543000,7578000,-4330000,210131000,-213907529
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,1000,-3000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1970000,-1449000,1806000,-1044000,-477000,-1392000,636000,296000,-692000
81,Other Working Capital,- -,2522666,-16004,39100,-9191,72318,124442,213461,268089,8414718,-1065177,-2456150,57674656,68114000,53862000,33971000,29919000,13788000,11240000,697000,8275000,3945000,214076000,168471
82,Other Non-Cash Items,- -,- -,2715637,-99318,1041375,-86938,-41745,-113536,-63024,-8160350,10350912,2648523,-57087255,22451468,3165000,17831000,16777000,19786000,-1927000,11671000,-9256000,3365000,-209749000,219973529
83,Cash Provided by Operating Activities,- -,-400000,-2209272,-2613849,-306327,-40294,80411,40607,112831,47533,-7802538,-8063576,-6944370,74896185,-18252000,-19593000,-7284000,1967000,-26408000,-22015000,-14944000,-22298000,-15080000,281389000
84,CAPEX,- -,-100000,- -,-124739,- -,-623,- -,- -,-2529,-652,-22955,-20716,-5980,-13100,-51000,-37000,-7000,-35000,-10000,-13000,- -,- -,-14000,- -
85,Acquisitions Net,- -,- -,-1236635,- -,- -,- -,- -,- -,- -,- -,14009,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-136500,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34082000,-59342000,-92729000,-45500000,-10673000,-10527000,-946000,-3090000,-5784000,-33065000
87,Sales/Maturities of Investments,- -,- -,- -,412336,302856,- -,- -,- -,- -,- -,- -,- -,- -,- -,63101000,47299000,99362000,42766000,23287000,11240000,8741000,2720000,5192000,7112000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,8622,- -,- -,- -,- -,- -,- -,-43456803,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-100000,-1236635,287597,166356,-623,8622,- -,-2529,-652,-8946,-20716,-5980,-43469903,28968000,-12080000,6626000,-2769000,12604000,700000,7795000,-370000,-606000,-25953000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000,-160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2905
91,Common Stock Issued,- -,- -,4869169,969250,- -,- -,- -,- -,- -,- -,14760934,- -,8548665,- -,- -,- -,- -,- -,3276000,19196000,3677000,27051000,10539000,4488000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23599439,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70841000
94,Other Financing Activites,- -,100000,- -,- -,- -,- -,- -,-32075,- -,- -,1500000,-48000,- -,24956220,4131000,1852000,170000,287000,596000,20000,-20000,93000,671000,692905
95,Cash Used/Provided by Financing Activities,- -,100000,4869169,969250,- -,- -,- -,-32075,- -,- -,16260934,-48000,8504665,1196781,4131000,1852000,170000,287000,3872000,19216000,3657000,27144000,11210000,-65663000
96,Effect of Forex Changes on Cash,- -,- -,14415,-50337,37750,-12330,1119,-7537,-32079,-9037,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-400000,1437677,-1407339,-102221,-53247,90152,995,78223,37844,8449450,-8132292,1554315,32623063,14847000,-29821000,-488000,-515000,-9932000,-2099000,-3492000,4476000,-4476000,189773000
98,Cash at the End of Period,- -,200000,1661708,254369,152148,98901,189053,190048,268271,306115,8589447,457155,2011470,34634533,49482000,19661000,19173000,18658000,8726000,6627000,3135000,7611000,3135000,192908000
99,Cash at the Beginning of Period,- -,600000,224031,1661708,254369,152148,98901,189053,190048,268271,139997,8589447,457155,2011470,34635000,49482000,19661000,19173000,18658000,8726000,6627000,3135000,7611000,3135000
100,Free Cash Flow,- -,-500000,-2209272,-2738588,-306327,-40917,80411,40607,110302,46881,-7825493,-8084292,-6950350,74883085,-18303000,-19630000,-7291000,1932000,-26418000,-22028000,-14944000,-22298000,-15094000,281389000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082324/000108232402000001/0001082324-02-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232403000002/0001082324-03-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232404000001/0001082324-04-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232405000001/0001082324-05-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232406000003/0001082324-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232407000003/0001082324-07-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000089161808000194/0000891618-08-000194-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000136231009004649/0001362310-09-004649-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000101968710001194/0001019687-10-001194-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036111017128/0001140361-11-017128-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036112011924/0001140361-12-011924-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036113010115/0001140361-13-010115-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036114010413/0001140361-14-010413-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036115009713/0001140361-15-009713-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000156761916002021/0001567619-16-002021-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000156761917000463/0001567619-17-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036118013886/0001140361-18-013886-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036119005116/0001140361-19-005116-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036120005863/0001140361-20-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036121008678/0001140361-21-008678-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
