,https://roic.ai/company/GENE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.6980,-0.6091,-0.6774,-0.4669,-2.0236,-0.8202,-0.6232,-0.1131,-0.1236,-0.7230,-0.7874,0.0528,-1.6003,-2.6972,-2.0451,-4.0256,-10.2584,-15.4200,-31.5835,-242.1456,-616.7992,-60.0746
19,Total Other Income Expenses (Gains),-4298,-12682,-10487,- -,839405,537030,852538,120060,-3517586,-1498762,-1673147,-64209,610237,-240663,-800230,-710981,- -,-408448,513424,-264451,-14823,164616
20,Income Before Tax,-2809410,-3443603,-8888430,-4325345,-6816267,-7229657,-5315974,-1435424,-5463345,-9737088,-9355209,901341,-5296828,-9349483,-10134469,-8810170,-8458965,-8403826,-5463872,-6425604,-6098930,-7077619
21,Income Before Tax Ratio,-0.6991,-0.6114,-0.6782,-0.4669,-1.8017,-0.7635,-0.5371,-0.1043,-0.3472,-0.8546,-0.9588,0.0493,-1.4350,-2.7684,-2.2204,-4.3790,-10.2584,-16.2078,-28.8706,-252.5391,-618.3019,-58.7091
22,Income Tax expense (Gain),- -,- -,- -,- -,39447,256183,91165,246234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2439598,-3390403,-8824594,-4325345,-6889411,-7531763,-5417868,-1665678,-5457784,-7841073,-9343766,910002,-5287523,-9298367,-10125197,-8810170,-8458965,-8403826,-5463872,-6425604,-6098930,-7077619
24,Net Income ratio,-0.6071,-0.6019,-0.6733,-0.4669,-1.8211,-0.7954,-0.5474,-0.1211,-0.3468,-0.6882,-0.9577,0.0498,-1.4325,-2.7533,-2.2184,-4.3790,-10.2584,-16.2078,-28.8706,-252.5391,-618.3019,-58.7091
25,EPS,-5.26,-7.31,-19.04,-8.96,-16.02,-14.69,-7.55,-2.64,-8.43,-14.57,-14.00,1.23,-6.44,-11.03,-9.86,-4.59,-2.74,-2.24,-1.23,-1.34,-0.90,-48.00
26,EPS Diluted,-5.26,-7.31,-19.04,-8.96,-16.02,-14.69,-7.55,-2.64,-8.43,-14.57,-14.00,1.23,-6.44,-11.03,-9.86,-4.59,-2.74,-2.24,-1.23,-1.34,-0.90,-48.00
27,Weighted Average Shares Outstanding,463954,463954,463954,467038,496084,562972,647120,647125,647125,666758,680295,722509,822148,843009,1025996,1915721,3062884,3788642,4348721,4706171,6925029,14240263
28,Weighted Average Shares Outstanding Diluted,463954,463954,463954,467038,496084,588729,647125,647125,647125,666758,680295,722509,822148,843009,1025996,1915721,3062884,3788642,4348721,4706171,6925029,14240263
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166272/000110465906084132/0001104659-06-084132-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465907090063/0001104659-07-090063-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465908078851/0001104659-08-078851-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465909071474/0001104659-09-071474-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465910063649/0001104659-10-063649-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465911065433/0001104659-11-065433-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465912070787/0001104659-12-070787-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465913079315/0001104659-13-079315-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465914074541/0001104659-14-074541-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465915078544/0001104659-15-078544-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465916152802/0001104659-16-152802-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465917064850/0001104659-17-064850-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465918064930/0001104659-18-064930-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465919052941/0001104659-19-052941-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1229239,646378,7160299,5828540,11299106,17658312,11102278,12459772,12948517,7826902,3306311,5104667,8900235,1721293,2831085,18341357,11179687,10988255,5487035,2131741,14214160,20902282
32,Short-Term Investments,- -,- -,- -,- -,38437,- -,- -,- -,- -,200,71658,- -,17460,209296,2949,3590,4209,3377,3505,53456,- -,- -
33,Cash and Short-Term Investments,1229239,646378,7160299,5828540,11337542,17658312,11102278,12459772,12948517,7827102,3377969,5104667,8917695,1930589,2834034,18344947,11183896,10991632,5490540,2185197,14214160,20902282
34,Net Receivables,89046,190696,233163,1236596,1626570,1190704,1400649,647203,1600166,1829239,754657,674369,495975,328642,1111565,714951,630773,426272,301383,818766,789354,1074325
35,Inventory,4083245,2457509,781817,258341,- -,- -,- -,- -,- -,- -,- -,- -,316716,213791,212994,317497,166942,76822,59007,31865,91390,76927
36,Other Current Assets,- -,87000,69750,49750,- -,826298,589479,544291,1379298,446825,369535,476308,219409,184394,201916,188701,149459,136923,139767,159844,97845,182580
37,Total Current Assets,5401530,3381583,8245029,7373227,12964112,19675315,13092406,13651266,15927981,10103166,4502161,6255344,9949795,2657416,4360509,19566096,12131070,11631649,5990697,3195672,15192749,22236114
38,PP&E,333691,800763,491597,1490140,1841131,2603684,2266554,1946496,1707415,3010025,1977826,947500,642918,423168,394164,417595,550139,476648,175284,69333,440230,637706
39,Goodwill,- -,- -,- -,- -,- -,- -,346094,346355,316065,- -,317888,315388,315388,315388,315388,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,27363903,23985123,- -,6862328,6245594,5147574,3349477,5987215,5711589,1481697,1404122,1118736,991171,863605,736041,608477,- -,- -,- -,- -,- -
41,Intangible Assets,- -,27363903,23985123,20632107,6862328,6245594,5493669,3695831,6303280,4609540,1799585,1719510,1434124,1306559,1178993,736041,608477,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000,- -,- -,4414914,3932384,795533,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3111792,8139573,279158,749528,721604,739511,1589422,1658260,207640,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97868
45,Total Non-Current Assets,3445483,36304239,24755878,22871775,9425064,9588789,9349645,7300587,8218336,7874565,3777411,2667010,6491956,5662111,2368690,1153636,1158616,476648,175284,69333,440230,735574
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8847013,39685822,33000907,30245002,22389176,29264104,22442051,20951853,24146317,17977731,8279572,8922354,16441751,8319527,6729199,20719732,13289686,12108297,6165981,3265005,15632979,22971688
48,Accounts Payable,- -,- -,- -,- -,2004010,3001945,1410856,1565355,1790248,2158557,1195673,1115028,332636,622216,900275,517079,392322,398291,535923,590231,350151,269665
49,Short-Term Debt,- -,120087,- -,- -,- -,- -,490544,477508,111356,373444,382640,67878,17748,- -,- -,25000,- -,- -,- -,- -,240915,179626
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,370346,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,662135,481038,33691,321667,139240,229008,194441,163546,266646,320781,153226,77282,- -,- -,- -,- -,- -,635
52,Other Current Liabilities,1269889,1497981,1864733,2968142,1958343,1420366,1012118,887770,1012702,1018376,706189,679177,1313538,1522019,1264515,1115802,939867,1067002,914790,902759,806506,955455
53,Total Current Liabilities,1269889,1618068,1864733,2968142,4624488,4903348,2947209,3252300,3053545,3779385,2478943,2025629,1930568,2465016,2318016,1735163,1332189,1465293,1450713,1492990,1397572,1405381
54,Long-Term Debt,- -,- -,- -,- -,696046,699360,1192132,747791,187483,- -,- -,- -,- -,- -,2502384,- -,- -,- -,- -,- -,240873,24412
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,907151,36840,50532,75582,86301,82933,82730,108541,96224,81280,25321,74308,63960,3390,809,979164,8860
58,Total Non-Current Liabilities,- -,- -,- -,- -,696046,1606511,1228971,798323,263066,86301,82933,82730,108541,96224,2583664,25321,74308,63960,3390,809,1220037,33272
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,429536,204038
61,Total Liabilities,1269889,1618068,1864733,2968142,5320534,6509859,4176180,4050623,3316611,3865686,2561876,2108359,2039109,2561240,4901680,1760484,1406497,1529253,1454103,1493799,2617609,1438653
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20211537,53957294,39351301,39684101,24732208,36164197,37992697,- -,- -,71285663,72378105,72378105,83280142,83735845,90080492,115247128,115272576,122382625,122372662,125498824,140111073,153574974
64,Retained Earnings,-14516820,-17907223,-8243221,-12292615,-10354249,-17025782,-22912823,-21711550,-51299110,-57328363,-68374028,-67464026,-72751549,-82049916,-92175113,-100985283,-109444248,-117848074,-123311946,-129737550,-135851192,-143075218
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,2573116,3451453,3010761,4781354,1592215,-5637848,-1378389,-5571257,3719419,3951771,3922140,4697403,6054861,6044493,5651162,6009932,8755489,11033279
66,Other Total Stockholders Equity,1882407,2017683,28094,-114626,-0,0,- -,- -,- -,5637848,2907531,7269171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,7577124,38067754,31136174,27276860,16951076,22589869,18090636,16756054,20687940,13957300,5533219,6611993,14248012,5637700,1827519,18959248,11883189,10579044,4711878,1771206,13015370,21533035
68,Total Liabilities And Stockholders Equity,8847013,39685822,33000907,30245002,22271610,29099728,22266816,20806677,24004551,17822986,8095095,8720352,16287121,8198940,6729199,20719732,13289686,12108297,6165981,3265005,15632979,22971688
69,Minority Interest,- -,- -,- -,- -,117566,164376,175235,145176,141766,154745,184477,202002,154630,120587,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8847013,39685822,33000907,30245002,22389176,29264104,22442051,20951853,24146317,17977731,8279572,8922354,16441751,8319527,6729199,20719732,13289686,12108297,6165981,3265005,15632979,22971688
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166272/000110465906084132/0001104659-06-084132-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465907090063/0001104659-07-090063-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465908078851/0001104659-08-078851-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465909071474/0001104659-09-071474-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465910063649/0001104659-10-063649-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465911065433/0001104659-11-065433-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465912070787/0001104659-12-070787-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465913079315/0001104659-13-079315-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465914074541/0001104659-14-074541-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465915078544/0001104659-15-078544-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465916152802/0001104659-16-152802-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465917064850/0001104659-17-064850-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465918064930/0001104659-18-064930-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465919052941/0001104659-19-052941-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2439598,-3390403,-8824594,-4325345,-6889411,-7531763,-5417868,-1665678,-5457784,-7841073,-9343766,910002,-5287523,-9298367,-10125197,-8810170,-8458965,-8403826,-5463872,-6425604,-6098930,-7077619
74,Depreciation and Amortization,289919,3466435,4094250,3483826,626725,1493553,2392945,1714112,4765366,3987996,3706330,616870,561944,398309,338445,232203,390074,371611,303749,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43497,5866,253851,2028323,223005,119531,303522,50239,120287,129635,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,1299962,-398585,-3344599,922954,-1060502,727752,-232592,-93582,81997,653316,-1550778,304443,-55631,430745,64582,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80288,178394,167333,-782923,152348,84178,204501,124889,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-23914,-85442,147463,133723,-387013,41794,175325,70115,-1031128,877065,13286,62636,-122177,- -,- -,- -
82,Other Non-Cash Items,1830995,-2304833,1413403,-152188,440576,-142109,244334,1229012,2176598,-1754669,1561282,546138,-5058915,506958,230911,-1721526,347445,667544,-655409,6425604,6098930,7077619
83,Cash Provided by Operating Activities,-318684,-2228801,-3316941,-993707,-4522150,-6578904,-6125188,2200400,423678,-4923491,-4302880,2233279,-7674174,-7516779,-10987088,-9691528,-7726838,-6813639,-5621315,- -,- -,- -
84,CAPEX,-2000,-133759,-188496,-200969,-916453,-613365,-160890,-158870,-118263,-213300,-387175,-139678,-76314,-53611,-47917,-192592,-303462,-234799,-2385,-50309,-38100,-642000
85,Acquisitions Net,-875000,-189953,300000,- -,- -,- -,- -,- -,- -,-8430,-952480,- -,10,46951,-162576,2100895,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2393814,- -,- -,- -,- -,- -,- -,- -,-469730,- -,- -,- -,- -,-114159,- -,- -,- -,- -,-500000,- -,- -
87,Sales/Maturities of Investments,- -,- -,9200000,- -,- -,- -,- -,- -,- -,- -,295195,- -,- -,- -,577497,- -,- -,- -,- -,- -,43380,- -
88,Other Investing Activites,1760083,4298142,15438,492932,- -,588085,4502,323539,70763,338269,-237402,144708,568481,-171992,-20470,57119,7131,52650,- -,25849,59507,- -
89,Cash Used for Investing Activites,- -,- -,- -,291963,-916453,-25280,-156387,164669,-47501,-353191,-1039483,5030,492177,-178652,232375,1965422,-296331,-182149,-2385,-524460,64787,-642000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-225407,-314762,-1050967,-17748,- -,- -,- -,- -,- -,- -,-183907,- -
91,Common Stock Issued,- -,- -,648750,16800,10324238,13486738,- -,- -,- -,- -,1011650,- -,10902037,481500,7000000,23289927,- -,8049369,- -,3557509,21793678,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-12100,-120087,- -,-320139,-282855,-454205,-467997,-530034,-192591,- -,- -,1000000,-25797,4922964,-422664,-1654,-939320,-9963,-431347,-3249425,13944000
95,Cash Used/Provided by Financing Activities,- -,-12100,528663,16800,10004099,13203884,-454205,-467997,-530034,-192591,786243,-314762,10851070,437955,11922964,22867263,-1654,7110049,-9963,3126162,18360346,13944000
96,Effect of Forex Changes on Cash,10469,77424,-24743,-646815,1142238,698236,-306858,1243415,-260007,-74597,35529,-125191,126495,78534,-58459,369115,863153,-305693,132443,116186,-630616,-57000
97,Net Change In Cash,574868,-582861,6513921,-1331759,5707735,7297935,-7042638,3140486,-413866,-5543870,-4520591,1798356,3795568,-7178942,1109792,15510272,-7161670,-191432,-5501220,-3355294,12082419,6689000
98,Cash at the End of Period,1229239,646378,7160299,5828540,11299106,17658312,11102278,12459772,13399483,7826902,3306311,5104667,8900235,1721293,2831085,18341357,11179687,10988255,5487035,2131741,14214160,20903000
99,Cash at the Beginning of Period,654371,1229239,646378,7160299,5591371,10360377,18144916,9319286,13813349,13370772,7826902,3306311,5104667,8900235,1721293,2831085,18341357,11179687,10988255,5487035,2131741,14214000
100,Free Cash Flow,-320684,-2362560,-3505437,-1194676,-5438602,-7192269,-6286077,2041529,305415,-5136791,-4690055,2093601,-7750488,-7570390,-11035005,-9884120,-8030300,-7048438,-5623700,-6123491,-5750198,-7198000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166272/000110465906084132/0001104659-06-084132-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465907090063/0001104659-07-090063-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465908078851/0001104659-08-078851-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465909071474/0001104659-09-071474-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465910063649/0001104659-10-063649-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465911065433/0001104659-11-065433-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465912070787/0001104659-12-070787-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465913079315/0001104659-13-079315-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465914074541/0001104659-14-074541-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465915078544/0001104659-15-078544-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465916152802/0001104659-16-152802-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465917064850/0001104659-17-064850-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465918064930/0001104659-18-064930-index.htm,https://www.sec.gov/Archives/edgar/data/1166272/000110465919052941/0001104659-19-052941-index.htm,- -,- -
102,Forex Rate,0.5967,0.5114,0.5635,0.6737,0.6985,0.7625,0.7423,0.8488,0.9579,0.8069,0.84,1.0717,1.0233,0.9136,0.943,0.7704,0.745,0.7686,0.7402,0.702,0.6902,0.7498
