,https://roic.ai/company/PLAG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,15338,43914,51927058,39418991,46774402,40609733,46151734,42584381,46034459,91486430,97003426,82157111,79279338,9921130,4789864,3627556,34378887
54,Long-Term Debt,- -,- -,102542,576975,294873,5030930,15597831,27078502,53903345,35288836,10566005,- -,- -,- -,373728,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,31363,380345
58,Total Non-Current Liabilities,- -,- -,102543,576975,294873,5030929,15597831,27078502,53903345,35288836,10566005,- -,- -,- -,373728,31363,380345
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1159079,1007185,1074829,- -,398489,- -,- -
61,Total Liabilities,15338,43914,52029601,39995966,47069275,45640662,61749565,69662883,99937804,126775266,107569431,82157111,79279338,9921130,5163592,3658919,34759232
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1962,2262,24923,25172,30240,34420,34508,34617,34617,34917,38260,38275,38275,5498,7878,11810,35582
64,Retained Earnings,-177305,-208898,13985824,27748126,38455349,48688375,65939713,84097961,99257837,99021555,101389920,-36396455,-99628547,-79038883,-73280734,-84331897,-94072383
65,Other Comprehensive Income/Loss,- -,1000000,6344355,5178616,6068569,9475745,15353885,33133155,39324757,43835337,34857653,37274360,38692080,12603236,8203941,6972163,7711057
66,Other Total Stockholders Equity,161088,-836212,24187268,29625742,44164080,63712220,66992535,53487389,53487389,53853089,57842064,57852249,57852249,74739031,85803421,95659360,137582094
67,Total Stockholders Equity,-14255,-42848,44542370,62577656,88718238,121910760,148320641,170753122,192104600,196744898,194127897,58768429,-3045943,8308882,20734506,18311436,51256350
68,Total Liabilities And Stockholders Equity,1083,1066,96571971,102573622,135787513,167551422,210070206,240416005,292042404,323520164,301697328,140925540,76233395,18230012,25898098,21970355,86015582
69,Minority Interest,- -,- -,3887021,5122021,6022883,7431697,8628127,9949229,11003908,13021555,7840202,7327909,-7745353,-1019551,- -,- -,- -
70,Total Liabilities & Equity,1083,1066,100458992,107695643,141810396,174983119,218698333,250365234,303046312,336541719,309537530,148253449,68488042,17210461,25898098,21970355,86015582
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1117057/000120445908000787/alorain041508form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445909000638/lorain10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445910000653/0001204459-10-000653-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000120445911000925/f10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445912000694/0001204459-12-000694-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000106299313001595/0001062993-13-001595-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000106299314001728/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299315001971/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299316008985/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299317004593/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299318001699/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299319001730/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390020012050/f10k2019_planetgreen.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390021019100/0001213900-21-019100-index.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390022016419/0001213900-22-016419-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-11160,-31593,9744920,14703378,14408112,17839463,19887498,20422668,16633895,3752524,3990114,-135973101,-63232092,20589664,2947196,-11051163,-9991102
74,Depreciation and Amortization,- -,- -,820725,1432363,1473322,1504745,2351806,2954505,4527952,5511333,4593505,2233588,2110403,793191,755801,449053,2212080
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,166398,890210,644243,503493,- -,366000,1283750,10200,- -,- -,- -,1759871,1159760
77,Change in Working Capital,2307,-28593,21505580,2661307,25743913,7512692,24891127,35302668,21803060,-28934431,-16396568,-109383787,-47000569,67407750,8297840,-3478150,-16964905
78,Accounts Receivable,- -,- -,- -,14642687,-1800407,-2549494,-21015097,- -,- -,- -,- -,- -,- -,- -,-19960,- -,- -
79,Inventory,- -,- -,-8560781,-6924578,-1572195,-2812750,-4541799,-3723707,-3877549,-2559509,15784117,-5156603,2009657,21548,-442021,-295975,-1331385
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-810763,- -,1121747,-6420371,14699482,9681273,-1554979,-287048,- -,- -,1364041
81,Other Working Capital,-14255,-42848,21462732,24124039,49867952,57380644,82271771,117574439,139377499,110443068,94046500,-15337287,-62337856,5069894,13367734,9889584,-7075321
82,Other Non-Cash Items,- -,33169,-35656474,711392,-52634569,-3318167,-49915744,-50227858,-51410483,30690028,40982456,213327264,107762117,-102943886,-15939779,8821286,23064771
83,Cash Provided by Operating Activities,-8853,-27017,-3585249,19508440,-10842824,24428943,-2141070,8955476,-8445576,11385454,34453257,-29785836,-360141,-14153281,-3938942,-3499103,-519396
84,CAPEX,- -,- -,-12986923,-18515775,-2472660,-28945416,-15181920,-3088340,-29446241,-3009450,-1936538,-142126,-314187,-490694,-582303,-852837,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1695315,- -,- -,- -,-2100000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-105823,-7312935,-3301571,-472270,- -,- -,-3258312,- -,- -,- -,- -,- -,- -,-3100052
87,Sales/Maturities of Investments,- -,- -,19374,- -,105756,- -,9447585,- -,270019,- -,1354349,1944420,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,527482,-2756493,2276863,-1897185,-10714259,-317238,-3204629,-2794656,-6438404,7103997,1064959,-1534,62274,-157293,-8714350
89,Cash Used for Investing Activites,- -,- -,-12440067,-20315757,-7279819,-35649378,-16217295,-3347168,-20968898,-11162418,-7020593,8906291,750772,-492228,-520029,-852837,-11814402
90,Debt Repayment,- -,- -,- -,-45936138,-57550153,-90443107,-38616269,-12347050,-16835363,-26693671,-33512447,-79729,-784093,- -,-1108584,- -,- -
91,Common Stock Issued,- -,- -,17347638,- -,10920254,8955673,- -,109,- -,- -,- -,- -,- -,15454005,9746712,3016204,10921157
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,27000,2316462,37801958,73132782,89324334,55625304,20671716,45823514,23041946,1900173,3122729,30242,32977,2153528,-2777808,-1989449
95,Cash Used/Provided by Financing Activities,- -,27000,19664100,-8134180,26502883,7836900,17009035,8324775,28988151,-3651725,-31612274,3043000,-753851,15486982,10791656,238396,8931708
96,Effect of Forex Changes on Cash,- -,- -,840513,5012863,889953,3994293,5972198,1059026,1937913,-148516,-5435891,1120365,22659,131958,-8892,256785,1117747
97,Net Change In Cash,-8853,-17,4479297,-3928634,9270193,610758,4622868,14992109,1511590,-3577205,-9615501,-16716180,-340561,973431,6323793,-3856759,-2284343
98,Cash at the End of Period,1083,1066,6769973,2841339,12111532,12722290,17353494,32345603,33857193,30279988,20664487,426054,85493,1062643,7403323,3415751,1131408
99,Cash at the Beginning of Period,9936,1083,2290676,6769973,2841339,12111532,12730626,17353494,32345603,33857193,30279988,17142234,426054,89212,1079530,7272510,3415751
100,Free Cash Flow,-8853,-27017,-16572172,992665,-13315484,-4516473,-17322990,5867136,-37891817,8376004,32516719,-29927962,-674328,-14643975,-4521245,-4351940,-519396
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1117057/000120445908000787/alorain041508form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445909000638/lorain10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445910000653/0001204459-10-000653-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000120445911000925/f10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445912000694/0001204459-12-000694-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000106299313001595/0001062993-13-001595-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000106299314001728/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299315001971/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299316008985/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299317004593/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299318001699/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299319001730/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390020012050/f10k2019_planetgreen.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390021019100/0001213900-21-019100-index.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390022016419/0001213900-22-016419-index.htm
102,false,,,,,,,,,,,,,,,,,
