,https://roic.ai/company/SILC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,600000,100000,800000,1200000,541000,733000,1073000,-1453000,-2450000,-1399000,-1098000,1453000,2732000,6989000,5317000,3725000,6932000,9289000,11796000,19284000,18305000,21192000,19721000,29381000,20867000,13856000,9666000,12905000
16,EBITDA ratio,0.2000,0.0370,0.1455,0.1333,0.0912,0.1292,0.1381,-0.3208,-0.8988,-0.3756,-0.2408,0.1336,0.1695,0.2609,0.2081,0.1815,0.2280,0.2344,0.2421,0.2631,0.2421,0.2561,0.1965,0.2338,0.1560,0.1317,0.0900,0.1005
17,Operating Income,- -,-800000,400000,1000000,199000,298000,533000,-1707000,-2637000,-1536000,-1223000,1308000,2386000,5756000,3581000,2215000,5899000,8471000,10029000,17578000,17046000,18205000,15830000,25426000,16651000,10213000,6248000,13057000
18,Operating Income ratio,- -,-0.2963,0.0727,0.1111,0.0335,0.0525,0.0686,-0.3768,-0.9674,-0.4123,-0.2683,0.1203,0.1480,0.2149,0.1401,0.1079,0.1941,0.2137,0.2058,0.2398,0.2254,0.2200,0.1578,0.2023,0.1245,0.0970,0.0582,0.1016
19,Total Other Income Expenses (Gains),500000,700000,200000,100000,189000,264000,378000,254000,- -,27000,-21000,8000,167000,956000,1188000,909000,617000,439000,752000,404000,263000,220000,35000,156000,923000,1646000,1034000,-152000
20,Income Before Tax,- -,- -,- -,- -,388000,562000,911000,-1453000,- -,-1509000,- -,- -,2553000,6712000,4769000,3124000,6516000,8910000,10781000,17982000,17309000,18425000,15865000,25582000,17574000,11859000,7282000,12905000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0654,0.0991,0.1173,-0.3208,- -,-0.4051,- -,- -,0.1584,0.2506,0.1866,0.1522,0.2143,0.2248,0.2212,0.2453,0.2289,0.2227,0.1581,0.2035,0.1314,0.1127,0.0678,0.1005
22,Income Tax expense (Gain),- -,- -,- -,- -,42000,42000,24000,33000,- -,- -,- -,- -,-46000,432000,124000,305000,801000,667000,910000,905000,2704000,1905000,2728000,3868000,2937000,1623000,1557000,2364000
23,Net Income,500000,-100000,600000,1100000,346000,520000,887000,-1486000,-2485000,-1509000,-1240000,1322000,2599000,6280000,4645000,2819000,5715000,8243000,9871000,17077000,14605000,16520000,13137000,21714000,14637000,10236000,5725000,10541000
24,Net Income ratio,0.1667,-0.0370,0.1091,0.1222,0.0583,0.0917,0.1142,-0.3280,-0.9116,-0.4051,-0.2720,0.1216,0.1612,0.2345,0.1818,0.1373,0.1880,0.2080,0.2026,0.2330,0.1931,0.1997,0.1309,0.1728,0.1094,0.0973,0.0533,0.0821
25,EPS,0.12,-0.02,0.16,0.28,0.09,0.13,0.22,-0.36,-0.60,-0.37,-0.30,0.31,0.51,1.03,0.69,0.42,0.84,1.20,1.42,2.40,2.03,2.27,1.79,2.91,1.94,1.36,0.80,1.48
26,EPS Diluted,0.12,-0.02,0.16,0.28,0.09,0.13,0.20,-0.36,-0.60,-0.37,-0.30,0.30,0.49,0.99,0.69,0.41,0.82,1.18,1.42,2.36,2.00,2.24,1.77,2.86,1.91,1.35,0.80,1.48
27,Weighted Average Shares Outstanding,4166667,5000000,3750000,3928571,3985000,3986000,4103000,4110000,4110000,4112000,4190000,4256000,5138000,6122000,6685000,6720000,6821000,6896000,6934000,7103000,7184000,7269000,7344000,7456000,7552000,7520000,7118244,7118244
28,Weighted Average Shares Outstanding Diluted,4166667,5000000,3750000,3928571,3991000,4014000,4394000,4110000,4110000,4112000,4199000,4364000,5341000,6309000,6780000,6843000,6938000,6995000,6968000,7246000,7319000,7368000,7435000,7602000,7657000,7573000,7156763,7118244
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916793/000117891304000893/zk40769.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891305000730/zk51481.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916793/000117891309000637/0001178913-09-000637-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891310000776/0001178913-10-000776-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891311000806/zk1109604.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891312000740/0001178913-12-000740-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891313000821/0001178913-13-000821-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891314001002/zk1414587.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891315000998/zk1516460.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891316005174/zk1618397.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891317001241/zk1719850.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891318001314/zk1821517.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891319001208/zk1922923.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891320001225/zk2024298.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,861000,1811000,1086000,2276000,4513000,14216000,14568000,7253000,6657000,11483000,13306000,12997000,17890000,18178000,11917000,17021000,26808000,16469000,20676000,29285000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,3799000,767000,519000,- -,1009000,3516000,8426000,17678000,17371000,14037000,15110000,17871000,19167000,8636000,16263000,7752000,1600000,27587000,40117000,8266000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,4660000,2578000,1605000,2276000,5522000,17732000,22994000,24931000,24028000,25520000,28416000,30868000,37057000,26814000,28180000,24773000,28408000,44056000,60793000,37551000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,781000,893000,1078000,2848000,3560000,6883000,5202000,5524000,7317000,9981000,14625000,17326000,20463000,25148000,30835000,47190000,27160000,28542000,27786000,34962000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1221000,1225000,1994000,2994000,3739000,4078000,5269000,4677000,8140000,11173000,14795000,28778000,25449000,26321000,44280000,51487000,42369000,36491000,47650000,75753000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,- -,64000,73000,210000,252000,50000,277000,47000,274000,567000,950000,- -,- -,6144000,1358000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6662000,4721000,4677000,8118000,12885000,28766000,33675000,35384000,39535000,46951000,57883000,77246000,83536000,79233000,103295000,123450000,104081000,110447000,136229000,148266000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,257000,277000,232000,292000,379000,675000,795000,602000,650000,837000,1190000,1479000,2458000,3825000,3915000,4121000,3670000,7357000,14023000,13341000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12242000,25561000,25561000,25561000,25561000,25561000,25561000,25561000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,2071000,5164000,2924000,1047000,966000,1718000,1170000,4314000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,14313000,30725000,28485000,26608000,26527000,27279000,26731000,29875000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16204000,18308000,21773000,23667000,28469000,24370000,20358000,24246000,7769000,5945000,45612000,46542000,15281000,23773000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000,192000,219000,135000,114000,439000,346000,595000,1537000,899000,894000,1798000,1790000,2445000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,485000,1120000,616000,635000,4589000,16201000,1066000,1105000,1302000,1275000,1377000,1543000,1425000,1374000,1436000,1591000,1517000,1640000,1833000,1882000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,742000,1397000,848000,927000,4968000,16876000,18299000,20207000,23944000,25914000,31150000,28011000,38900000,60765000,43142000,39164000,78220000,84616000,59658000,71316000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,7404000,6118000,5525000,9045000,17853000,45642000,51974000,55591000,63479000,72865000,89033000,105257000,122436000,139998000,146437000,162614000,182301000,195063000,195887000,219582000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,561000,558000,1008000,2020000,2481000,2997000,2681000,2261000,3753000,3978000,7799000,6764000,8216000,8544000,10476000,12619000,15389000,16419000,14610000,29918000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1811000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,415000,488000,522000,822000,971000,1715000,2054000,2138000,2074000,2460000,3990000,5184000,10790000,11270000,7488000,6430000,6151000,9913000,14889000,18564000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,976000,1046000,1530000,3342000,3452000,4712000,4735000,4399000,5827000,6438000,11789000,11948000,19006000,19814000,17964000,19049000,21540000,26332000,29499000,50293000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7377000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,157000,- -,- -,- -,205000,13000,6000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,743000,895000,957000,1031000,1220000,1596000,1905000,1967000,2222000,2153000,2278000,2618000,2414000,7193000,7081000,2765000,2612000,5603000,11538000,3443000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,743000,895000,957000,1031000,1220000,1596000,1905000,1967000,2222000,2153000,2278000,2618000,2698000,7350000,7081000,2765000,2612000,5808000,11551000,10826000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3783000,10095000,9188000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1719000,1941000,2487000,4373000,4672000,6308000,6640000,6366000,8049000,8591000,14067000,14566000,21704000,27164000,25045000,21814000,24152000,32140000,41050000,61119000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,14000,14000,14000,14000,16000,20000,20000,20000,20000,20000,21000,21000,21000,21000,22000,22000,22000,22000,60139000,63412000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,173000,-1336000,-2576000,-1254000,1345000,7625000,12270000,15089000,20804000,29047000,38918000,52082000,59504000,68750000,74575000,88907000,103544000,113780000,119505000,130046000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-1154000,-1297000,-1425000,-1565000,-1735000,-1997000,-2173000,-2184000,-2481000,-2666000,-2785000,-3424000,-4336000,-5894000,-7503000,-9384000,-11580000,-13252000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,6652000,6796000,7025000,7477000,13555000,33686000,35217000,36300000,37087000,37873000,38812000,42012000,45543000,49957000,54298000,61255000,66163000,62373000,-24807000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,5685000,4177000,3038000,4672000,13181000,39334000,45334000,49225000,55430000,64274000,74966000,90691000,100732000,112834000,121392000,140800000,158149000,162923000,154837000,158463000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,7404000,6118000,5525000,9045000,17853000,45642000,51974000,55591000,63479000,72865000,89033000,105257000,122436000,139998000,146437000,162614000,182301000,195063000,195887000,219582000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,7404000,6118000,5525000,9045000,17853000,45642000,51974000,55591000,63479000,72865000,89033000,105257000,122436000,139998000,146437000,162614000,182301000,195063000,195887000,219582000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/916793/000117891304000893/zk40769.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891305000730/zk51481.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916793/000117891309000637/0001178913-09-000637-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891310000776/0001178913-10-000776-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891311000806/zk1109604.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891312000740/0001178913-12-000740-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891313000821/0001178913-13-000821-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891314001002/zk1414587.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891315000998/zk1516460.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891316005174/zk1618397.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891317001241/zk1719850.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891318001314/zk1821517.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891319001208/zk1922923.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891320001225/zk2024298.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,500000,-100000,600000,1100000,346000,520000,887000,- -,-2485000,-1509000,-1240000,1322000,2599000,6280000,4645000,2819000,5715000,8243000,9871000,17077000,14605000,16520000,13137000,21714000,14637000,10236000,5725000,- -
74,Depreciation and Amortization,100000,200000,200000,100000,153000,171000,162000,- -,35000,110000,142000,131000,179000,277000,450000,437000,416000,379000,454000,659000,996000,2767000,3856000,3799000,3293000,1997000,2384000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000,-27000,-314000,19000,156000,86000,22000,-552000,-219000,-907000,-260000,453000,5000,-699000,-61000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334000,439000,231000,437000,544000,668000,1266000,1998000,1550000,2425000,2424000,2355000,2711000,- -
77,Change in Working Capital,-100000,-300000,-1300000,-200000,546000,494000,-2454000,- -,1526000,-71000,-445000,-1458000,-874000,-2384000,-412000,-945000,-4589000,-5636000,-3477000,-18764000,2290000,-4666000,-24310000,-25647000,19155000,10412000,-9282000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1681000,-341000,-1774000,-2568000,-3778000,-2461000,-3254000,-4933000,-3951000,-13445000,17246000,-1077000,3467000,- -
79,Inventory,-300000,-100000,-500000,-900000,890000,374000,-1788000,- -,504000,-4000,-769000,-1000000,-745000,-339000,-2106000,-268000,-4243000,-3801000,-4495000,-15909000,3416000,-939000,-21426000,-10287000,2540000,3529000,-13336000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-316000,-420000,1492000,225000,3897000,-1500000,1291000,226000,1801000,1704000,3067000,751000,-2076000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000,- -
82,Other Non-Cash Items,100000,- -,- -,- -,17000,98000,66000,- -,-32000,56000,7000,46000,143000,-478000,1053000,1066000,1307000,1182000,1475000,2830000,1746000,-2425000,3320000,-1336000,6164000,2425000,3479000,- -
83,Cash Provided by Operating Activities,600000,-200000,-500000,1000000,1062000,1283000,-1339000,- -,-956000,-1414000,-1536000,41000,2001000,3668000,5756000,3835000,3236000,4691000,8889000,1918000,20684000,13287000,-2707000,1408000,45678000,26726000,4956000,- -
84,CAPEX,-200000,-200000,-200000,-200000,-156000,-75000,-174000,- -,-78000,-163000,-92000,-200000,-257000,-564000,-574000,-258000,-466000,-486000,-798000,-922000,-1958000,-2984000,-1441000,-1701000,-2367000,-2459000,-3181000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10048000,-10000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2100000,-100000,-2100000,-1808000,-1650000,-3653000,- -,-1216000,-5856000,-1540000,- -,-5274000,-17794000,-12308000,-21825000,-14928000,-13071000,-17992000,-11384000,-11740000,-12935000,- -,-5961000,-41670000,-29146000,-6558000,- -
87,Sales/Maturities of Investments,- -,- -,- -,2200000,1632000,1574000,2419000,- -,1345000,8382000,2342000,537000,500000,4571000,6500000,10300000,11303000,9531000,11438000,12027000,13750000,19100000,8575000,16175000,7750000,1997000,25171000,- -
88,Other Investing Activites,-100000,- -,- -,- -,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,- -,- -,4199000,- -,-100000,-100000,19000,- -,-11000,-1022000,-1018000,-1487000,- -
89,Cash Used for Investing Activites,-300000,-2300000,-300000,-100000,-262000,-151000,-1408000,- -,-99000,2363000,710000,337000,-5031000,-13787000,-6368000,-11783000,-4091000,173000,-7352000,-279000,-9996000,-6800000,7134000,8513000,-36287000,-29608000,15432000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,4300000,- -,- -,- -,- -,62000,246000,- -,- -,1000,101000,312000,202000,19822000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7971000,-16798000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3913000,-7183000,-7274000,-7312000,-7382000,- -,- -,- -,- -
94,Other Financing Activites,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,500000,5065000,- -,964000,633000,259000,164000,277000,1893000,1353000,943000,-3511000,2651000,288000,154000,276000,- -
95,Cash Used/Provided by Financing Activities,4400000,- -,100000,- -,- -,62000,246000,- -,- -,1000,101000,812000,5267000,19822000,964000,633000,259000,164000,277000,-2020000,-5830000,-6331000,-10823000,-4731000,288000,-7817000,-16522000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202000,9000,72000,35000,132000,135000,-86000,108000,360000,341000,- -
97,Net Change In Cash,4400000,- -,100000,- -,800000,1194000,-2501000,- -,-1055000,950000,-725000,1190000,2237000,9703000,352000,-7315000,-596000,4826000,1823000,-309000,4893000,288000,-6261000,5104000,9787000,-10339000,4207000,- -
98,Cash at the End of Period,- -,- -,- -,- -,3436000,4630000,2129000,- -,861000,1811000,1086000,2276000,4513000,14216000,14568000,7253000,6657000,11483000,13306000,12997000,17890000,18178000,11917000,17021000,26808000,16469000,20676000,- -
99,Cash at the Beginning of Period,100000,4900000,2400000,1700000,2636000,3436000,4630000,- -,1916000,861000,1811000,1086000,2276000,4513000,14216000,14568000,7253000,6657000,11483000,13306000,12997000,17890000,18178000,11917000,17021000,26808000,16469000,- -
100,Free Cash Flow,400000,-400000,-700000,800000,906000,1208000,-1513000,- -,-1034000,-1577000,-1628000,-159000,1744000,3104000,5182000,3577000,2770000,4205000,8091000,996000,18726000,10303000,-4148000,-293000,43311000,24267000,1775000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/916793/000117891304000893/zk40769.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891305000730/zk51481.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916793/000117891309000637/0001178913-09-000637-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891310000776/0001178913-10-000776-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891311000806/zk1109604.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891312000740/0001178913-12-000740-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891313000821/0001178913-13-000821-index.html,https://www.sec.gov/Archives/edgar/data/916793/000117891314001002/zk1414587.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891315000998/zk1516460.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891316005174/zk1618397.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891317001241/zk1719850.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891318001314/zk1821517.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891319001208/zk1922923.htm,https://www.sec.gov/Archives/edgar/data/916793/000117891320001225/zk2024298.htm,- -,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
