,https://roic.ai/company/GNL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,5201000,9059000,2475000,2228000,1046000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2500000,840000,11109000,6007000,11255000,5860000,5682000,5394000,7154000,6279000
53,Total Current Liabilities,2500000,3359000,30466000,24666000,34116000,29087000,37211000,28297000,35464000,32166000
54,Long-Term Debt,1200000,78567000,941619000,1249670000,1419378000,1513690000,1772428000,1869118000,2265329000,2449541000
55,Deferred Revenue,- -,1862000,12252000,15491000,18429000,18535000,16223000,17236000,21481000,32756000
56,Deferred Tax Liabilities,- -,- -,- -,4016000,15065000,15861000,15227000,14975000,12157000,8254000
57,Other Non-Current Liabilities,- -,8419000,27791000,34006000,48498000,47179000,39643000,62021000,78304000,33604000
58,Total Non-Current Liabilities,1200000,88848000,981662000,1303183000,1501370000,1595265000,1843521000,1963350000,2377271000,2524155000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,5854000,21676000,27978000,33041000,31388000,35757000,23985000,25350000,22771000
61,Total Liabilities,3700000,92207000,1012128000,1327849000,1535486000,1624352000,1880732000,1991647000,2412735000,2556321000
62,Preferred Stock,- -,- -,- -,- -,- -,54000,54000,103000,107000,113000
63,Common Stock,- -,157000,1782000,1692000,1990000,2003000,2091000,2225000,2227000,2369000
64,Retained Earnings,-800000,-11348000,-155116000,-272812000,-346058000,-468396000,-615448000,-733245000,-896547000,-1072462000
65,Other Comprehensive Income/Loss,- -,319000,-5589000,-3649000,-16695000,19447000,6810000,20195000,8073000,15546000
66,Other Total Stockholders Equity,- -,133592000,1575592000,1480162000,1708541000,1860058000,2031981000,2408353000,2418659000,2675154000
67,Total Stockholders Equity,-800000,122720000,1416669000,1205393000,1347778000,1413166000,1425488000,1697631000,1532519000,1620720000
68,Total Liabilities And Stockholders Equity,2900000,214927000,2428797000,2533242000,2883264000,3037518000,3306220000,3689278000,3945254000,4177041000
69,Minority Interest,- -,- -,- -,14726000,8203000,1077000,3258000,12327000,21760000,5915000
70,Total Liabilities & Equity,2900000,214927000,2428797000,2547968000,2891467000,3038595000,3309478000,3701605000,3967014000,4182956000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1526113/000152611313000004/0001526113-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611314000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611315000002/arcg1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611316000014/0001526113-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611317000005/0001526113-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611318000004/0001526113-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611319000006/0001526113-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611320000006/0001526113-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611321000007/0001526113-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611322000005/0001526113-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-413000,-6989000,-53594000,-2065000,47140000,23565000,10897000,46476000,10778000,11366000
74,Depreciation and Amortization,30000,2112000,41504000,92456000,96973000,118342000,125175000,131169000,142778000,163318000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,879000
76,Stock Based Compensation,11000,24000,106000,2345000,3748000,-3787000,2649000,9530000,10065000,11032000
77,Change in Working Capital,-47000,16369000,51597000,21425000,9282000,47610000,104816000,86678000,-139964000,3154559000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1888000,- -,4859000,-3010000,-593000,8263000,-9730000,8399000,-3532000
81,Other Working Capital,-2271000,14098000,65695000,87120000,96402000,144012000,248828000,335506000,195542000,3350101000
82,Other Non-Cash Items,1000,-15163000,-49306000,-12006000,-42749000,-54776000,-98940000,-127854000,153194000,-3148661000
83,Cash Provided by Operating Activities,-418000,-3647000,-9693000,102155000,114394000,130954000,144597000,145999000,176851000,192493000
84,CAPEX,- -,- -,-8838000,-10495000,-200000,-3118000,-1454000,-17346000,-6383000,-7924000
85,Acquisitions Net,- -,- -,- -,- -,18983000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-490000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,10518000,- -,10625000,- -,- -,- -,- -
88,Other Investing Activites,-1357000,-111500000,-1516685000,-232797000,115164000,-89603000,-457946000,-294476000,-470527000,-436570000
89,Cash Used for Investing Activites,-1357000,-111500000,-1517175000,-222279000,134147000,-78978000,-457946000,-294476000,-470527000,-436570000
90,Debt Repayment,- -,- -,-31140000,-373888000,-179048000,-1085404000,-490600000,-809140000,-683003000,-9419000
91,Common Stock Issued,2031000,148871000,1569082000,420000,- -,18295000,171770000,258422000,- -,214044000
92,Common Stock Repurchased,- -,- -,- -,-127313000,- -,- -,-227000,- -,-470000,-156000
93,Dividends Paid,-1000,-1769000,-35415000,-97730000,-120386000,-143122000,-157256000,-161506000,-172489000,-156218000
94,Other Financing Activites,-3000,-22893000,80380000,720115000,58556000,1179574000,788505000,1012227000,996642000,170072000
95,Cash Used/Provided by Financing Activities,2027000,124209000,1582907000,121604000,-240878000,-30657000,312192000,300003000,140680000,218323000
96,Effect of Forex Changes on Cash,10000,2176000,-2855000,3774000,-7770000,9080000,-2877000,19068000,4402000,-6628000
97,Net Change In Cash,2027000,11238000,53184000,5254000,-107000,30399000,-4034000,170594000,-148594000,-32382000
98,Cash at the End of Period,262000,11500000,64684000,69938000,69831000,107727000,103693000,274287000,125693000,93311000
99,Cash at the Beginning of Period,- -,262000,11500000,64684000,69938000,77328000,107727000,103693000,274287000,125693000
100,Free Cash Flow,-418000,-3647000,-18531000,91660000,114194000,127836000,143143000,128653000,170468000,184569000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1526113/000152611313000004/0001526113-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611314000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611315000002/arcg1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611316000014/0001526113-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611317000005/0001526113-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611318000004/0001526113-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611319000006/0001526113-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611320000006/0001526113-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611321000007/0001526113-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611322000005/0001526113-22-000005-index.htm
102,false,,,,,,,,,,
