,https://roic.ai/company/GPRE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,6903231,44300000,81558000,184888000,229070000,172009000,158328000,254967000,353957000,422181000,711878000,734883000,252992000,269491000,267838000
36,Other Current Assets,3000,924399,3298743,29900000,36472000,97953000,66164000,61200000,96142000,92360000,68499000,116310000,70407000,107297000,55545000,78779000,177960000
37,Total Current Assets,33862636,44196474,25178989,190800000,252446000,638773000,576420000,568035000,633305000,910910000,912577000,1000576000,1206471000,1206642000,667913000,642353000,1117749000
38,PP&E,786846,47081787,147494283,495800000,596235000,747421000,776789000,708110000,806046000,825210000,922070000,1178706000,1176707000,886576000,879747000,863573000,957559000
39,Goodwill,- -,- -,- -,- -,14543000,23125000,40877000,40877000,40877000,40877000,40877000,183696000,182879000,34689000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,14543000,23125000,40877000,40877000,40877000,40877000,40877000,183696000,182879000,34689000,- -,- -,- -
42,Investments,- -,- -,- -,1400000,2272000,2768000,- -,- -,- -,- -,- -,- -,- -,30000000,68998000,3994000,- -
43,Tax Assets,- -,- -,143268,- -,- -,- -,- -,- -,- -,- -,- -,- -,36211000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,4728671,7456178,5300000,12585000,17779000,26742000,32712000,51817000,51560000,53804000,143514000,182382000,58525000,81560000,68997000,84447000
45,Total Non-Current Assets,786846,51810458,155093729,502500000,625635000,791093000,844408000,781699000,898740000,917647000,1016751000,1505916000,1578179000,1009790000,1030305000,936564000,1042006000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34649482,96006932,180272718,693300000,878081000,1429866000,1420828000,1349734000,1532045000,1828557000,1929328000,2506492000,2784650000,2216432000,1698218000,1578917000,2159755000
48,Accounts Payable,170701,9720752,1643764,61800000,74651000,155084000,172328000,95564000,112001000,170199000,168528000,192275000,205479000,156901000,156693000,140058000,146063000
49,Short-Term Debt,- -,60000,9218639,- -,68390000,141068000,143359000,300728000,254433000,273351000,231435000,326282000,594103000,593050000,336993000,232080000,225517000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2907000,- -,- -,9909000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,5130000,22581000,15453000,3617000,4118000,3965000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,13462603,46600000,26161000,55857000,29825000,32475000,38645000,64025000,38706000,76389000,86679000,83749000,48105000,80418000,100224000
53,Total Current Liabilities,170701,9780752,24325006,108400000,174332000,374590000,360965000,432384000,409197000,511540000,438669000,594946000,886261000,833700000,541791000,452556000,471804000
54,Long-Term Debt,- -,330000,63855402,299000000,388573000,527900000,493407000,362549000,480746000,399440000,443547000,782610000,767396000,298190000,243990000,287299000,563801000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,25079000,55970000,60082000,91294000,115235000,81797000,140262000,56801000,10123000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,6200000,4468000,4655000,5129000,4217000,5450000,4893000,6406000,9483000,15056000,11430000,47151000,62398000,22131000
58,Total Non-Current Liabilities,- -,330000,63855402,305200000,393041000,557634000,554506000,426848000,577490000,519568000,531750000,932355000,839253000,319743000,291141000,349697000,585932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54940000,64451000,66609000
61,Total Liabilities,170701,10110752,88180408,413600000,567373000,932224000,915471000,859232000,986687000,1031108000,970419000,1527301000,1725514000,1153443000,832932000,802253000,1057736000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4216,6003,7245,- -,25000,36000,36000,37000,38000,45000,45000,46000,46000,47000,47000,47000,62000
64,Retained Earnings,-447749,470371,-6668101,-10500000,9331000,57343000,95761000,107540000,148505000,299101000,290974000,283214000,325411000,324728000,148150000,39375000,-15199000
65,Other Comprehensive Income/Loss,-1693,-1693,-1031351,-600000,-123000,-420000,-2953000,3535000,-6339000,-5320000,-1165000,-4137000,-13110000,-16016000,-11064000,-2172000,-12310000
66,Other Total Stockholders Equity,34924007,85421499,99784517,290800000,- -,431289000,412268000,379390000,403154000,503623000,507976000,583384000,629835000,638060000,614772000,609602000,- -
67,Total Stockholders Equity,34478781,85896180,92092310,279700000,301464000,488248000,505112000,490502000,545358000,797449000,797830000,862507000,942182000,946819000,751905000,646852000,950500000
68,Total Liabilities And Stockholders Equity,34649482,96006932,180272718,693300000,868837000,1420472000,1420583000,1349734000,1532045000,1828557000,1768249000,2389808000,2667696000,2100262000,1584837000,1449105000,2008236000
69,Minority Interest,- -,- -,- -,- -,9244000,9394000,245000,- -,- -,- -,161079000,116684000,116954000,116170000,113381000,129812000,151519000
70,Total Liabilities & Equity,34649482,96006932,180272718,693300000,878081000,1429866000,1420828000,1349734000,1532045000,1828557000,1929328000,2506492000,2784650000,2216432000,1698218000,1578917000,2159755000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1309402/000107878208000213/gpre10k1107.htm,https://www.sec.gov/Archives/edgar/data/1309402/000107878209000444/0001078782-09-000444-index.html,- -,https://www.sec.gov/Archives/edgar/data/1309402/000119312511056267/d10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000119312512067531/0001193125-12-067531-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940213000021/0001309402-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940214000007/gpre-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940215000007/gpre-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940216000149/0001309402-16-000149-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940217000046/0001309402-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940218000045/0001309402-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940219000024/0001309402-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940220000006/0001309402-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940221000014/0001309402-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940222000008/0001309402-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-397754,918120,-7138472,-6900000,19790000,48012000,38418000,11779000,43391000,159504000,7064000,10663000,61061000,15923000,-166860000,-108775000,-65992000
74,Depreciation and Amortization,1693,13201,1028101,4700000,29413000,38810000,50076000,52828000,51002000,60362000,65950000,84226000,107361000,103619000,72127000,78244000,91952000
75,Deferred Income Tax,- -,-38800,38800,- -,- -,16520000,22710000,10704000,27493000,23537000,-27513000,4910000,-81077000,-24484000,-17252000,-13336000,1233000
76,Stock Based Compensation,- -,- -,- -,2463000,1208000,2124000,3429000,4291000,3928000,3440000,5108000,7285000,12161000,11420000,9692000,7915000,6058000
77,Change in Working Capital,164901,723787,-33561739,81546017,-4286000,186069000,-48728000,-79804000,88457000,175262000,74538000,-68278000,-85420000,52732000,-246820000,63675000,-64687000
78,Accounts Receivable,- -,- -,- -,-32274000,13493000,-30023000,-17059000,7538000,-25448000,-28145000,41923000,-36888000,3624000,39695000,-21762000,57060000,-64095000
79,Inventory,- -,- -,-6903231,-1026000,-35724000,-83497000,-38837000,-63739000,22759000,-90910000,-78410000,-42012000,-268219000,31284000,50022000,-21632000,-20543000
80,Accounts Payable,- -,- -,- -,13322000,- -,- -,- -,15045000,20564000,73023000,-33212000,49077000,6500000,-49929000,-1778000,-22772000,17189000
81,Other Working Capital,33691935,34415722,853983,82400000,78114000,264183000,215455000,135651000,224108000,399370000,473908000,405630000,320210000,372942000,126122000,189797000,3340000
82,Other Non-Cash Items,50000,-1057867,30426495,-126309017,7302000,-256719000,42984000,-10449000,-106935000,-200555000,-114921000,44181000,-173906000,-120243000,339581000,71172000,35682000
83,Cash Provided by Operating Activities,-181160,558441,-9206815,-44500000,53427000,34816000,108889000,-10651000,107336000,221550000,10226000,82987000,-159820000,38967000,-9532000,98895000,4246000
84,CAPEX,-788539,-36607170,-100211960,-79870000,-13788000,-20030000,-42483000,-26776000,-19764000,-59547000,-63418000,-58171000,-46467000,-44187000,-75481000,-110579000,-187195000
85,Acquisitions Net,- -,210291,-449055,10000000,-3101000,-41871000,-8115000,-1490000,-128065000,-28306000,-119851000,-514485000,-82013000,-127498000,29721000,59175000,-2948000
86,Purchases of Investments,-28064700,- -,- -,877000,-1173000,-665000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-124859000
87,Sales/Maturities of Investments,- -,28064700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-3500000,-2422870,-4007000,278000,- -,-3923000,109713000,245000,9258000,68000,58000,- -,679150000,76404000,39952000,78717000
89,Cash Used for Investing Activites,-28853239,-11832179,-103083885,-73000000,-17784000,-62566000,-54521000,81447000,-147584000,-78595000,-183201000,-572598000,-128480000,507465000,30644000,-11452000,-236285000
90,Debt Repayment,- -,- -,- -,-80012000,-29080000,-50392000,-3754312000,-3372597000,-3625051000,-4228379000,-3415376000,-4173771000,-4672607000,-4468865000,-2886207000,-2481472000,-3655195000
91,Common Stock Issued,34203242,48877519,9720000,60000000,- -,79732000,- -,- -,- -,- -,157452000,- -,- -,- -,- -,- -,355978000
92,Common Stock Repurchased,- -,- -,- -,60000000,- -,- -,-28201000,-10445000,- -,- -,-4003000,-6005000,-6724000,-2978000,-61646000,-11479000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-2426000,-8908000,-19795000,-37278000,-39383000,-41265000,-31686000,-9675000,-9251000
94,Other Financing Activites,- -,-310253,71396104,139212000,20922000,141836000,3669928000,3391547000,3685463000,4247815000,3414054000,4626009000,4969454000,3972511000,2910128000,2420097000,3826656000
95,Cash Used/Provided by Financing Activities,34203242,48567266,81116104,179200000,-8158000,171176000,-112585000,8505000,57986000,10528000,132332000,408955000,250740000,-540597000,-69411000,-82529000,518188000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5168843,37293528,-31174596,61800000,27485000,143426000,-58217000,79301000,17738000,153483000,-40643000,-80656000,-37560000,5835000,-13388000,4914000,286149000
98,Cash at the End of Period,5794936,43088464,11913868,73700000,89779000,233205000,174988000,254289000,272027000,425510000,384867000,304211000,266651000,318195000,269896000,274810000,560959000
99,Cash at the Beginning of Period,626093,5794936,43088464,11900000,62294000,89779000,233205000,174988000,254289000,272027000,425510000,384867000,304211000,312360000,283284000,269896000,274810000
100,Free Cash Flow,-969699,-36048729,-109418775,-124400000,39639000,14786000,66406000,-37427000,87572000,162003000,-53192000,24816000,-206287000,-5220000,-85013000,-11684000,-182949000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1309402/000107878208000213/gpre10k1107.htm,https://www.sec.gov/Archives/edgar/data/1309402/000107878209000444/0001078782-09-000444-index.html,- -,https://www.sec.gov/Archives/edgar/data/1309402/000119312511056267/d10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000119312512067531/0001193125-12-067531-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940213000021/0001309402-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940214000007/gpre-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940215000007/gpre-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940216000149/0001309402-16-000149-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940217000046/0001309402-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940218000045/0001309402-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940219000024/0001309402-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940220000006/0001309402-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940221000014/0001309402-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940222000008/0001309402-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,
