,https://roic.ai/company/BLIN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0364,-0.0896,-0.1758,-0.1701,-0.4841,0.0317,-0.0160,-0.0298,-0.0360,-0.1468,-0.2618,-0.8722,-0.4922,-0.0983,-0.5321,-0.9520,0.0299,-0.5045
25,EPS,-75.00,-175.00,-450.00,-450.00,-1362.50,87.50,-37.50,-75.00,-87.50,-287.50,-400.00,-970.00,-210.00,-22.50,-89.00,-8.16,-0.59,-1.47
26,EPS Diluted,-75.00,-175.00,-450.00,-450.00,-1362.50,87.50,-37.50,-75.00,-87.50,-287.50,-400.00,-970.00,-210.00,-22.50,-89.00,-8.16,-0.59,-1.47
27,Weighted Average Shares Outstanding,2420,3043,3237,4228,7578,8807,8948,9750,10467,12446,15751,17402,37860,82942,84548,1199322,3555032,5935981
28,Weighted Average Shares Outstanding Diluted,2420,3043,3237,4228,7578,9017,8948,9750,10467,12446,15751,17402,37860,82942,84548,1199322,3555032,5935981
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378590/000143774920025835/0001437749-20-025835-index.htm,https://www.sec.gov/Archives/edgar/data/1378590/000143774921028984/0001437749-21-028984-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,956000,138000,591000,5219000,1911000,3060000,3045000,2528000,2126000,2830000,1256000,337000,661000,748000,644000,296000,861000,8852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,956000,138000,591000,5219000,1911000,3060000,3045000,2528000,2126000,2830000,1256000,337000,661000,748000,644000,296000,861000,8852000
34,Net Receivables,916000,772000,1443000,3247000,5600000,3468000,3929000,4274000,3977000,3194000,3342000,2463000,2549000,3026000,1721000,979000,665000,1370000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6000,25000,39000,192000,529000,320000,351000,494000,648000,963000,747000,680000,381000,352000,473000,400000,379000,196000
37,Total Current Assets,1878000,935000,2073000,8658000,8040000,6848000,7325000,7296000,6751000,6987000,5345000,3480000,3591000,4126000,2838000,1675000,1905000,10418000
38,PP&E,158000,267000,429000,961000,1763000,1448000,1171000,1779000,2735000,3065000,2175000,1315000,512000,209000,80000,299000,532000,733000
39,Goodwill,2740000,5097000,6346000,14426000,10725000,13899000,20036000,20122000,21545000,23777000,23141000,12641000,12641000,12641000,7782000,5557000,5557000,15985000
40,Intangible Assets,72000,331000,303000,1441000,2980000,1490000,2292000,1527000,1527000,1517000,1582000,1028000,548000,263000,20000,3509000,2617000,7755000
41,Intangible Assets,2812000,5428000,6649000,15867000,13705000,15389000,22328000,21649000,23072000,25294000,24723000,13669000,13189000,12904000,7802000,9066000,8174000,23740000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,111000,109000,673000,273000,751000,570000,900000,685000,1132000,1631000,1317000,723000,436000,334000,280000,115000,49000,76000
45,Total Non-Current Assets,3081000,5804000,7751000,17101000,16219000,17407000,24399000,24113000,26939000,29990000,28215000,15707000,14137000,13447000,8162000,9480000,8755000,24549000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4959000,6739000,9824000,25759000,24259000,24255000,31724000,31409000,33690000,36977000,33560000,19187000,17728000,17573000,11000000,11155000,10660000,34967000
48,Accounts Payable,215000,272000,581000,652000,1770000,714000,1270000,1291000,1132000,1746000,1126000,1626000,1285000,1241000,1577000,1740000,1311000,974000
49,Short-Term Debt,120000,96000,2542000,76000,1105000,1077000,2525000,1966000,1654000,1562000,1349000,412000,45000,- -,1017000,- -,184000,893000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,67000,44000,41000,39000,- -,46000,84000
51,Deferred Revenue,381000,183000,264000,725000,1176000,890000,899000,1169000,1144000,2077000,2130000,1716000,1501000,1620000,594000,1262000,1511000,2097000
52,Other Current Liabilities,264000,563000,706000,1266000,1860000,1194000,1924000,1376000,1681000,1537000,1304000,1340000,880000,766000,580000,835000,599000,4371000
53,Total Current Liabilities,980000,1114000,4093000,2719000,5911000,3875000,6618000,5802000,5611000,6922000,5909000,5094000,3711000,3627000,3768000,3837000,3605000,8335000
54,Long-Term Debt,105000,33000,99000,146000,139000,62000,3036000,3232000,3115000,5269000,6182000,7695000,2115000,2500000,2574000,- -,198000,1517000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,19000,19000,414000,1414000,1167000,1994000,2038000,1536000,726000,400000,172000,234000,3522000,2501000,7538000
58,Total Non-Current Liabilities,105000,33000,99000,165000,158000,476000,4450000,4399000,5109000,7307000,7718000,8421000,2515000,2672000,2808000,3522000,2699000,9055000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,44000,33000,99000,146000,139000,139000,61000,431000,357000,941000,611000,320000,45000,- -,- -,- -,294000,481000
61,Total Liabilities,1085000,1147000,4192000,2884000,6069000,4351000,11068000,10201000,10720000,14229000,13627000,13515000,6226000,6299000,6576000,7359000,6304000,17390000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,4000,4000,9000,11000,11000,11000,12000,15000,18000,22000,5000,19000,4000,5000,3000,4000,10000
64,Retained Earnings,-2198000,-2715000,-4163000,-6060000,-16369000,-15611000,-15988000,-16770000,-17716000,-21314000,-27529000,-44411000,-52366000,-54249000,-61778000,-71489000,-73583000,-82287000
65,Other Comprehensive Income/Loss,- -,- -,- -,18000,-99000,-116000,-116000,-117000,-176000,-162000,-333000,-356000,-353000,-350000,-351000,-338000,-381000,-353000
66,Other Total Stockholders Equity,6069000,8303000,9791000,28908000,34647000,35620000,36749000,38083000,40847000,44206000,47773000,50434000,64202000,65869000,66548000,75620000,78316000,100207000
67,Total Stockholders Equity,3874000,5592000,5632000,22875000,18190000,19904000,20656000,21208000,22970000,22748000,19933000,5672000,11502000,11274000,4424000,3796000,4356000,17577000
68,Total Liabilities And Stockholders Equity,4959000,6739000,9824000,25759000,24259000,24255000,31724000,31409000,33690000,36977000,33560000,19187000,17728000,17573000,11000000,11155000,10660000,34967000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4959000,6739000,9824000,25759000,24259000,24255000,31724000,31409000,33690000,36977000,33560000,19187000,17728000,17573000,11000000,11155000,10660000,34967000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378590/000143774920025835/0001437749-20-025835-index.htm,https://www.sec.gov/Archives/edgar/data/1378590/000143774921028984/0001437749-21-028984-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-178000,-517000,-1448000,-1897000,-10309000,758000,-377000,-782000,-946000,-3598000,-6215000,-16768000,-7824000,-1602000,-7219000,-9474000,326000,-6689000
74,Depreciation and Amortization,109000,207000,741000,978000,1250000,1492000,1649000,1718000,1899000,2004000,2486000,2319000,1717000,641000,413000,649000,968000,1202000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000,219000,- -,- -,- -,- -,- -,- -,-1196000
76,Stock Based Compensation,- -,- -,- -,- -,- -,538000,449000,356000,386000,437000,506000,314000,320000,559000,492000,249000,194000,607000
77,Change in Working Capital,-311000,-128000,-30000,-396000,-1581000,212000,-177000,-290000,-241000,1485000,-835000,923000,-580000,-632000,313000,2533000,2000,-880000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-345000,658000,- -,- -,- -,- -,- -,1305000,1306000,630000,36000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-48000,3000,-287000,30000,-560000,64000,-73000,324000,-517000,631000,-158000,-773000,-425000,-69000,-872000,478000,-75000,-613000
82,Other Non-Cash Items,2000,8000,4000,331000,10253000,- -,- -,-179000,-819000,-507000,-9000,10449000,3685000,94000,4887000,1840000,-1988000,5967000
83,Cash Provided by Operating Activities,-378000,-430000,-733000,-984000,-387000,3000000,1544000,823000,279000,-77000,-3848000,-2763000,-2682000,-940000,-1114000,-4203000,-498000,-989000
84,CAPEX,-76000,-122000,-163000,-457000,-1377000,-483000,-906000,-618000,-1489000,-1359000,-468000,-187000,-165000,-93000,-50000,-31000,- -,-109000
85,Acquisitions Net,- -,-310000,-553000,-4230000,-1812000,-1250000,-4580000,-696000,-472000,-895000,-644000,- -,- -,- -,- -,-5668000,- -,-4408000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-150000,-113000,-126000,-440000,-528000,- -,- -,-677000,- -,-814000,-164000,-63000,-142000,-46000,-15000,-11000,- -,-30000
89,Cash Used for Investing Activites,-226000,-545000,-842000,-5127000,-3717000,-1733000,-5486000,-1373000,-1961000,-2254000,-1112000,-187000,-165000,-93000,-50000,-5699000,- -,-4517000
90,Debt Repayment,- -,- -,- -,- -,- -,-4355000,-5728000,-7395000,-2710000,-2141000,-2395000,-3982000,-2037000,-1837000,-1417000,-4019000,- -,-603000
91,Common Stock Issued,1640000,- -,- -,13594000,- -,- -,- -,858000,2214000,2118000,2778000,203000,3715000,- -,- -,4757000,- -,4626000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195000,-315000,- -,- -
94,Other Financing Activites,-178000,157000,2028000,-2854000,798000,4250000,9655000,6571000,1835000,3044000,3174000,5834000,1490000,2954000,2673000,9124000,1048000,9450000
95,Cash Used/Provided by Financing Activities,1462000,157000,2028000,10740000,798000,-105000,3927000,34000,1339000,3021000,3557000,2055000,3168000,1117000,1061000,9547000,1048000,13473000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1000,-2000,-13000,- -,-1000,-59000,14000,-171000,-24000,3000,3000,-1000,7000,15000,24000
97,Net Change In Cash,858000,-818000,453000,4628000,-3308000,1149000,-15000,-517000,-402000,704000,-1574000,-919000,324000,87000,-104000,-348000,565000,7991000
98,Cash at the End of Period,956000,138000,591000,5219000,1911000,3060000,3045000,2528000,2126000,2830000,1256000,337000,661000,748000,644000,296000,861000,8852000
99,Cash at the Beginning of Period,98000,956000,138000,591000,5219000,1911000,3060000,3045000,2528000,2126000,2830000,1256000,337000,661000,748000,644000,296000,861000
100,Free Cash Flow,-454000,-552000,-896000,-1441000,-1764000,2517000,638000,205000,-1210000,-1436000,-4316000,-2950000,-2847000,-1033000,-1164000,-4234000,-498000,-1098000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378590/000143774920025835/0001437749-20-025835-index.htm,https://www.sec.gov/Archives/edgar/data/1378590/000143774921028984/0001437749-21-028984-index.htm
102,false,,,,,,,,,,,,,,,,,,
