,https://roic.ai/company/BWEN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,-24662,-5677,-1873,-615,-7303,-2887453,-2320527,-3535000,-21743000,-115637000,-69227000,-20429000,-17297000,-13210000,-5934000,-11908000,1909000,-7433000,-25066000,-2357000,422000,-12594000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4680,-0.5768,-0.1186,-0.1001,-0.5845,-0.5057,-0.1099,-0.0821,-0.0612,-0.0246,-0.0598,0.0106,-0.0506,-0.1999,-0.0132,0.0021,-0.0865
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-13276,-253108,-866000,-2480000,3929000,-686000,-245000,-584000,2893000,-466000,-374000,-576000,-795000,859000,-2191000,-1861000,15466000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-4401000,-24223000,-111708000,-69913000,-20674000,-17881000,-10317000,-6400000,-12282000,1333000,-8228000,-24207000,-4548000,-1439000,2872000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.1477,-0.1115,-0.5647,-0.5107,-0.1112,-0.0849,-0.0478,-0.0265,-0.0617,0.0074,-0.0561,-0.1931,-0.0255,-0.0072,0.0197
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-1039000,1062000,-1589000,-160000,68000,26000,72000,-232000,-36000,-2000,-5045000,-205000,38000,48000,25000
23,Net Income,- -,-24662,-5677,-1873,-615,-7303,-3122684,-2734483,-3362000,-25285000,-110119000,-85175000,-21948000,-17907000,-10499000,-6168000,-21807000,319000,-3641000,-24146000,-4523000,-1487000,2847000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.5876,-0.6797,-0.1128,-0.1163,-0.5566,-0.6222,-0.1181,-0.0850,-0.0487,-0.0256,-0.1095,0.0018,-0.0248,-0.1926,-0.0254,-0.0075,0.0196
25,EPS,- -,-0.01,-0.00,-0.00,-0.00,-0.00,-1.29,-0.80,-0.70,-2.80,-11.40,-8.00,-1.90,-1.27,-0.73,-0.42,-1.48,0.02,-0.24,-1.56,-0.28,-0.09,0.15
26,EPS Diluted,- -,-0.01,-0.00,-0.00,-0.00,-0.00,-1.29,-0.80,-0.70,-2.80,-11.40,-8.00,-1.90,-1.27,-0.73,-0.42,-1.49,0.02,-0.24,-1.56,-0.28,-0.09,0.15
27,Weighted Average Shares Outstanding,3150000,3150000,3150000,3150000,3150000,3150000,2423013,3377176,5153513,8989900,9657400,10646875,11551579,14058000,14457000,14715000,14677000,14843000,15053000,15469000,16127000,16746000,18726000
28,Weighted Average Shares Outstanding Diluted,3150000,3150000,3150000,3150000,3150000,3150000,2423013,3377176,5153513,8989900,9657400,10646875,11551579,14058000,14457000,14715000,14677000,15081000,15053000,15469000,16127000,16746000,19388000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120370/000109230605000152/0001092306-05-000152-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1120370/000104746908004710/a2184756z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746909002770/0001047469-09-002770-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746910002156/0001047469-10-002156-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746911002218/a2202675z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746912002560/0001047469-12-002560-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746913001855/0001047469-13-001855-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746914002214/a2218854z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746915001264/a2223204z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000112037016000033/0001120370-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037017000009/0001120370-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037018000010/0001120370-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037019000008/0001120370-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037020000006/0001120370-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000143774921004032/0001437749-21-004032-index.htm,https://www.sec.gov/Archives/edgar/data/1120370/000143774922005003/0001437749-22-005003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,166023,125409,5782000,15253000,4829000,15331000,13340000,516000,24936000,12149000,6436000,18699000,78000,1177000,2416000,3372000,852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1143000,8024000,6179000,3171000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,166023,125409,5782000,15253000,4829000,15331000,13340000,516000,26079000,20173000,12615000,21870000,78000,1177000,2416000,3372000,852000
34,Net Receivables,- -,- -,- -,- -,- -,- -,179842,160351,13541000,36709000,21920000,21427000,25311000,20039000,18735000,20012000,9784000,11865000,13644000,17455000,18310000,17590000,13802000
35,Inventory,- -,- -,- -,- -,- -,- -,283428,288291,12983000,41895000,9039000,17739000,23355000,21988000,37143000,34921000,24219000,21159000,19279000,22670000,31863000,26724000,33377000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,8362,14195,2446000,4362000,7698000,10493000,12961000,12208000,4378000,2636000,6016000,3296000,2378000,1776000,2124000,2909000,4294000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,637655,588246,34752000,98219000,43486000,64990000,74967000,54751000,86335000,77742000,52634000,58190000,35379000,43078000,54713000,50595000,52325000
38,PP&E,- -,- -,- -,- -,- -,- -,2675917,2798783,58890000,144707000,136249000,106317000,87766000,79889000,69077000,62952000,51906000,54606000,55693000,49087000,62920000,64516000,61684000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,27611000,30954000,9715000,- -,- -,- -,- -,- -,- -,- -,4993000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,84022000,105593000,37248000,10073000,9214000,- -,5903000,5459000,5016000,4572000,16078000,6602000,4919000,4186000,3453000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,111633000,136547000,46963000,10073000,9214000,7454000,5903000,5459000,5016000,4572000,21071000,6602000,4919000,4186000,3453000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,16313,507585,543000,275000,3338000,2126000,944000,816000,2379000,464000,351000,294000,207000,398000,314000,385000,585000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,2692230,3306368,171066000,281529000,186550000,118516000,97924000,88159000,77359000,68875000,57273000,59472000,76971000,56087000,68153000,69087000,65722000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,3329885,3894614,205818000,379748000,230036000,183506000,172891000,142910000,163694000,146617000,109907000,117662000,112350000,99165000,122866000,119682000,118047000
48,Accounts Payable,- -,- -,1195,85,170,- -,1169299,1617054,10136000,40225000,14710000,22342000,17358000,16377000,27537000,18461000,13822000,15852000,11756000,11618000,21876000,18180000,16462000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3894625,5062162,38433000,14029000,20868000,2543000,3167000,3524000,1134000,1034000,3246000,465000,15014000,12897000,14789000,4665000,6650000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636000,284000,283000,226000,221000,66000,61000,78000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,97000,- -,- -,- -,17328000,4063000,22993000,22619000,9940000,18011000,9791000,23507000,22717000,18819000,- -
52,Other Current Liabilities,- -,24662,29144,32127,32657,40130,794040,1722500,13783000,31488000,17164000,19617000,10582000,9872000,8864000,9553000,9747000,8923000,4423000,3833000,4911000,6307000,19571000
53,Total Current Liabilities,- -,24662,30339,32212,32827,40130,5857964,8401716,62449000,85742000,52742000,44502000,48435000,33836000,60528000,51667000,36755000,43251000,40984000,51855000,64293000,47971000,42683000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,896827,806536,17620000,26374000,15778000,9671000,4797000,2956000,2755000,2650000,2600000,2600000,797000,1408000,505000,9381000,6827000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,139000,1497000,403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1074000,3979000,5518000,3137000,1800000,2810000,5081000,3920000,3060000,3228000,4498000,2540000,17308000,21669000,-28280000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,896827,806536,18833000,31850000,21699000,12808000,6597000,5766000,7836000,6570000,5660000,5828000,5295000,3948000,17813000,31050000,-21453000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,686000,3521000,4416000,2768000,1940000,2858000,2126000,1193000,447000,1503000,1703000,1538000,19136000,24824000,- -
61,Total Liabilities,- -,24662,30339,32212,32827,40130,6754791,9208252,81282000,117592000,74441000,57310000,55032000,39602000,68364000,58237000,42415000,49079000,46279000,55803000,82106000,79021000,21230000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2100,2100,2100,2100,2100,- -,- -,35236,76000,96000,97000,107000,140000,14000,15000,15000,15000,15000,15000,16000,17000,17000,20000
64,Retained Earnings,-2100,-26762,-32439,-34312,-34927,-42230,-3875383,-6609866,-9877000,-35162000,-145281000,-230456000,-252404000,-270311000,-280810000,-286978000,-308785000,-308466000,-312107000,-336253000,-340776000,-342263000,-339416000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-309614,-635218,1304000,-13021000,-27981000,-38027000,-49725000,-63200000,-70922000,-81309000,-79104000,-85363000,-90041000,-94085000,-99669000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,2100,760091,1896210,133033000,310243000,328760000,394572000,419848000,436805000,447047000,456652000,455366000,462397000,468204000,473684000,481188000,382907000,393530000
67,Total Stockholders Equity,- -,-24662,-30339,-32212,-32827,-40130,-3424906,-5313638,124536000,262156000,155595000,126196000,117859000,103308000,95330000,88380000,67492000,68583000,66071000,43362000,40760000,40661000,54134000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,3329885,3894614,205818000,379748000,230036000,183506000,172891000,142910000,163694000,146617000,109907000,117662000,112350000,99165000,122866000,119682000,75364000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42683000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,3329885,3894614,205818000,379748000,230036000,183506000,172891000,142910000,163694000,146617000,109907000,117662000,112350000,99165000,122866000,119682000,118047000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120370/000109230605000152/0001092306-05-000152-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1120370/000104746908004710/a2184756z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746909002770/0001047469-09-002770-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746910002156/0001047469-10-002156-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746911002218/a2202675z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746912002560/0001047469-12-002560-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746913001855/0001047469-13-001855-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746914002214/a2218854z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746915001264/a2223204z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000112037016000033/0001120370-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037017000009/0001120370-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037018000010/0001120370-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037019000008/0001120370-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037020000006/0001120370-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000143774921004032/0001437749-21-004032-index.htm,https://www.sec.gov/Archives/edgar/data/1120370/000143774922005003/0001437749-22-005003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-24662,-5677,-1873,-615,-7303,-3122684,-2734483,-3362000,-25285000,-110119000,-85175000,-21948000,-17907000,-10499000,-6168000,-21807000,319000,-3641000,-24146000,-4523000,-1487000,2847000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,244531,327277,3538000,21866000,25725000,16463000,14534000,16537000,14856000,12183000,9179000,6914000,8999000,9183000,7497000,6279000,6336000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,139000,506000,-1094000,1338000,- -,- -,- -,- -,- -,- -,-5045000,-2556000,-30000,-4000,-2000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1870000,1745000,1906000,3356000,1821000,886000,919000,753000,813000,1488000,1920000,1156000,1541000
77,Change in Working Capital,- -,- -,-5677,-1873,-615,-7303,-5180179,-2593161,-19883530,40174000,-21733000,29744000,6044000,-5617000,4892000,268000,-10196000,-940000,-20544000,-3172000,-803000,12204000,7018000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14652000,1202000,-4888000,5257000,1808000,-1266000,7223000,-2141000,884000,-3776000,-792000,2627000,1961000
79,Inventory,- -,- -,- -,- -,- -,- -,48959,-4863,715000,-28419000,32856000,-8914000,-5616000,1367000,-15155000,2222000,6925000,3060000,7057000,-2944000,-9193000,5139000,-6653000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25014000,7565000,-5008000,-1165000,11671000,-8578000,-3625000,989000,-5287000,801000,9769000,-3320000,-1736000
81,Other Working Capital,- -,-24662,-30339,-32212,-32827,-40130,-5220309,-7813470,-27697000,12477000,-9256000,20488000,26532000,20915000,25807000,26075000,15879000,14939000,-5605000,-8777000,-9580000,2624000,9642000
82,Other Non-Cash Items,- -,24662,11354,3746,1230,6603,6523819,4290107,19436530,-39620000,107338000,22412000,-11691000,749000,15184000,-4668000,11066000,10985000,9990000,21248000,460000,-12957000,-30566000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-8003,-1534513,-710260,-132000,-2359000,1987000,-13473000,-11155000,-2882000,26254000,2501000,-10839000,18031000,-9428000,2045000,4521000,5191000,-12826000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1097910,-407600,-5854000,-83720000,-11836000,-6893000,-4708000,-5738000,-6950000,-6504000,-2789000,-6624000,-6688000,-2324000,-1844000,-1547000,-1707000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-76474000,-23016000,- -,- -,952000,375000,250000,- -,- -,- -,-16449000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1983000,-15088000,-8062000,-19223000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1840000,- -,- -,840000,8207000,9907000,22231000,3171000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,-684000,-75000,1168000,659000,13497000,1065000,4020000,1067000,72000,676000,1000,- -,33000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1097910,-407600,-82328000,-106696000,-12520000,-5128000,-2588000,-4704000,5654000,-12320000,3076000,-2549000,-19894000,-1648000,-1843000,-1547000,-1674000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14409000,-22094000,-2494000,-82220000,-82714000,-16985000,-121160000,-3338000,-148653000,-142615000,-178525000,-166341000,-161000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,65400000,117603000,1687000,54031000,11697000,- -,18000,9000,- -,- -,- -,- -,- -,232000,1193000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1842000,- -,- -,- -,-52000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,8003,2798446,1077246,22717000,923000,12831000,-2303000,2019000,76982000,75208000,15850000,123209000,77000,159313000,143474000,177081000,163421000,10948000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,8003,2798446,1077246,88117000,118526000,109000,29634000,11222000,-5238000,-7488000,-2968000,2049000,-3261000,10660000,807000,-1444000,-2688000,11980000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-40614,5657000,9471000,-10424000,10630000,-1991000,-12824000,24420000,-12787000,-5621000,12219000,-18660000,1099000,1239000,956000,-2520000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,166023,125409,5782000,15253000,4829000,15331000,13340000,516000,24936000,12149000,6436000,18738000,78000,1177000,2416000,3372000,852000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,166023,125000,5782000,15253000,4701000,15331000,13340000,516000,24936000,12057000,6519000,18738000,78000,1177000,2416000,3372000
100,Free Cash Flow,- -,- -,- -,- -,- -,-8003,-2632423,-1117860,-5986000,-86079000,-9849000,-20366000,-15863000,-8620000,19304000,-4003000,-13628000,11407000,-16116000,-279000,2677000,3644000,-14533000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120370/000109230605000152/0001092306-05-000152-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1120370/000104746908004710/a2184756z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746909002770/0001047469-09-002770-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746910002156/0001047469-10-002156-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746911002218/a2202675z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746912002560/0001047469-12-002560-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746913001855/0001047469-13-001855-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000104746914002214/a2218854z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000104746915001264/a2223204z10-k.htm,https://www.sec.gov/Archives/edgar/data/1120370/000112037016000033/0001120370-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037017000009/0001120370-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037018000010/0001120370-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037019000008/0001120370-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000112037020000006/0001120370-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1120370/000143774921004032/0001437749-21-004032-index.htm,https://www.sec.gov/Archives/edgar/data/1120370/000143774922005003/0001437749-22-005003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
