,https://roic.ai/company/HDVY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,6296886,24427041,33776646,73950073,103566777,115895692,132718789,169165786,173418302,215644462,230268377,232374255,235494741,253292935,266052322,271718989,271718989,271718989,388646386,397632390
28,Weighted Average Shares Outstanding Diluted,6296886,24427041,33776646,73950073,103566777,115895692,132718789,169165786,173418302,215644462,230268377,232374255,235494741,253292935,266052322,271718989,271718989,271718989,388646386,397632390
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811207000904/0001188112-07-000904-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811209000776/0001188112-09-000776-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811210000762/0001188112-10-000762-index.html,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811212000918/0001188112-12-000918-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811213000882/0001188112-13-000882-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811214000887/0001188112-14-000887-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000157104915002516/0001571049-15-002516-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000157104916013492/0001571049-16-013492-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141788/000110465920060250/0001104659-20-060250-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000168316821001010/0001683168-21-001010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,79,80000,160000,720000,670000,1650000,330000,2330000,3300000,890000,170000,70000,10000,417210,41250,43540,70,2295720,917000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,620000,- -,- -,1720000,720000,360000,141980,154370,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,79,80000,160000,720000,670000,1650000,330000,2950000,3300000,890000,1890000,790000,370000,559190,195620,43540,70,2295720,917000
34,Net Receivables,- -,- -,- -,- -,- -,20000,110000,110000,110000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,20000,60000,40000,30000,20000,170000,50000,- -,10000,- -,- -,10,- -,- -,16800,15000
37,Total Current Assets,- -,79,80000,160000,740000,750000,1800000,470000,3080000,3800000,940000,1890000,800000,370000,559190,195630,43540,70,2312520,932000
38,PP&E,- -,- -,- -,10000,10000,20000,10000,20000,20000,20000,20000,10000,10000,- -,200,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1340000,3340000,3570000,3310000,3040000,2780000,2520000,2250000,1990000,1730000,1470000,1200000,941070,678350,415630,152910,- -,- -
41,Intangible Assets,- -,- -,1340000,3340000,3570000,3310000,3040000,2780000,2520000,2250000,1990000,1730000,1470000,1200000,941070,678350,415630,152910,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,18540,- -,- -,- -,-10000,110000,- -,10000,60000,40000,- -,-10000,10000,-10,-10,- -,- -,- -,- -
45,Total Non-Current Assets,- -,18540,1340000,3350000,3580000,3320000,3160000,2800000,2550000,2330000,2050000,1740000,1470000,1210000,941260,678340,415630,152910,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18619,1420000,3510000,4320000,4070000,4960000,3270000,5630000,6130000,2990000,3630000,2270000,1580000,1500450,873970,459170,152980,2312520,932000
48,Accounts Payable,- -,8417,10000,240000,270000,240000,60000,220000,570000,820000,380000,140000,330000,240000,37630,39820,152650,148210,21480,128000
49,Short-Term Debt,- -,- -,- -,697491,26780,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407060,200000,212000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,101111000,- -,- -,- -,- -,114035,1024988,1024988,43388,43388,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,250000,182509,63220,-100861000,300000,300000,250000,260000,35965,55012,305012,376612,545912,250030,398730,591450,2561540,217000
53,Total Current Liabilities,- -,8417,260000,1120000,360000,490000,360000,520000,820000,1080000,530000,1220000,1660000,660000,626930,289850,551380,1146720,2783020,557000
54,Long-Term Debt,- -,- -,250000,1300000,990000,1530000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,717829,1216616,191628,148240,104853,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,140000,460000,400000,520000,1020000,322171,453384,-1628,-8240,-3,61460,18080,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,250000,1300000,990000,1670000,460000,400000,520000,1020000,1040000,1670000,190000,140000,104850,61460,193080,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,8417,510000,2420000,1350000,2160000,820000,920000,1340000,2100000,1570000,2890000,1850000,800000,731780,351310,744460,1146720,2783020,557000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,594975,594975,1490015,1490015,1490015,1490015,837902,332000,560732,900000,900000,900000,- -,217000
63,Common Stock,- -,853666,2090000,3790000,9520000,11060000,15390000,15750000,18810000,25590000,25510000,25450000,26370000,27060000,27410930,28894270,28960210,29047230,28909760,30297000
64,Retained Earnings,- -,-878883,-1190000,-3390000,-6550000,-9150000,-11850000,-13990000,-16010000,-23050000,-25580000,-26020000,-26790000,-26620000,-27202990,-29271610,-30145500,-30940970,-29380270,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,695761,-10000,-10000,-20000,-30000,-20000,-30000,-40000,-50000,-60000,-60000,-60690,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,35419,30264,20876,12562,13516,25524,22327,17822,31759,41774,-134228,56318,60005,60686,-2,- -,-8,3,-30139000
67,Total Stockholders Equity,- -,10202,930264,1116637,2972562,1913516,4140499,2347302,4287837,4031774,1421789,735787,414220,772005,768668,522658,-285290,-993748,-470507,375000
68,Total Liabilities And Stockholders Equity,- -,18619,1440264,3536637,4322562,4073516,4960499,3267302,5627837,6131774,2991789,3625787,2264220,1572005,1500448,873968,459170,152972,2312513,932000
69,Minority Interest,- -,- -,-20264,-26637,-2562,-3516,-499,2698,2163,-1774,-1789,4213,5780,7995,2,2,- -,8,7,- -
70,Total Liabilities & Equity,- -,18619,1420000,3510000,4320000,4070000,4960000,3270000,5630000,6130000,2990000,3630000,2270000,1580000,1500450,873970,459170,152980,2312520,932000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811207000904/0001188112-07-000904-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811209000776/0001188112-09-000776-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811210000762/0001188112-10-000762-index.html,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811212000918/0001188112-12-000918-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811213000882/0001188112-13-000882-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811214000887/0001188112-14-000887-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000157104915002516/0001571049-15-002516-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000157104916013492/0001571049-16-013492-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141788/000110465920060250/0001104659-20-060250-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000168316821001010/0001683168-21-001010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-346470,-355768,-310000,-2210000,-3160000,-2600000,-2700000,-2150000,-2020000,-7040000,-3490000,-440000,-770000,180000,-587060,-2068620,-873890,-795470,1560710,- -
74,Depreciation and Amortization,- -,- -,14,144326,256038,270316,270865,268147,269062,270865,272384,272877,270633,267351,263644,262914,262719,262719,152908,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,31954,383605,-82172,94098,30855,73766,68283,196729,65939,87016,512952,268000
77,Change in Working Capital,6507,-8338,-171662,-780000,1340000,-120000,1180000,-1490000,2310000,460000,-2310000,260000,-1530000,570000,222260,-26480,-413620,-638810,676150,845500
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,112500,- -,-221638,334591,307,10,-1889,1969,71933,112825,-4440,-126725,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,159799,349865,249288,41686,-238364,186476,-86357,-80773,71933,112825,-4440,-126725,107000
81,Other Working Capital,- -,-8338,-180000,-960000,380000,260000,1440000,-50000,2260000,2720000,410000,670000,-860000,-290000,-67740,-94220,-507840,-1146650,-470500,375000
82,Other Non-Cash Items,330733,92675,24221,1342123,-857108,1314550,-217983,2062021,-1889956,529432,3228011,-2155192,231314,-1827286,-575732,1169500,644847,809009,-700007,-2492500
83,Cash Provided by Operating Activities,-9230,-271431,-457427,-1503551,-2421070,-1135134,-1467118,-1309832,-1298940,-5396098,-2381777,-1968217,-1767198,-736169,-608605,-465957,-314005,-275536,2202713,-1379000
84,CAPEX,- -,- -,- -,-8090,-305367,-9287,-998,-12720,-16122,-6953,-3798,-3878,-2336,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-9043,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1294,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,9023,- -,- -,- -,- -,- -,- -,- -,- -,- -,1624092,1519313,499820,331465,- -,141297,- -,- -,- -
88,Other Investing Activites,-185688,- -,- -,-166529,- -,- -,- -,- -,-622358,622358,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-185688,-20,- -,-174619,-305367,-9287,-998,-12720,-638480,615405,-3798,1620214,1516977,499820,330171,- -,141297,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000,- -
91,Common Stock Issued,177980,290070,534016,2241650,3842375,126400,2491540,- -,- -,- -,- -,- -,- -,- -,120000,90000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104922,-19729,-370899,-9212,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14644,-18540,- -,-476592,-560248,973220,-49351,- -,4440445,5852333,- -,- -,160000,172000,568000,- -,175000,232060,214940,- -
95,Cash Used/Provided by Financing Activities,192624,271530,534016,1765058,3282127,1099620,2442189,- -,3940445,5747411,-19729,-370899,150788,172000,688000,90000,175000,232060,92940,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,192624,271530,534016,86888,555690,-44801,974073,-1322552,2003025,966718,-2405304,-718902,-99433,-64349,409566,-375957,2292,-43476,2295653,-1379000
98,Cash at the End of Period,-2294,79,76589,163477,719167,674366,1648439,325887,2328912,3295630,890326,171424,71991,7642,417208,41251,43543,67,2295720,917000
99,Cash at the Beginning of Period,- -,- -,- -,76589,163477,719167,674366,1648439,325887,2328912,3295630,890326,171424,71991,7642,417208,41251,43543,67,2296000
100,Free Cash Flow,-9230,-271431,-457427,-1511641,-2726437,-1144421,-1468116,-1322552,-1315062,-5403051,-2385575,-1972095,-1769534,-736169,-608605,-465957,-314005,-275536,2202713,-1379000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811207000904/0001188112-07-000904-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811209000776/0001188112-09-000776-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811210000762/0001188112-10-000762-index.html,- -,https://www.sec.gov/Archives/edgar/data/1141788/000118811212000918/0001188112-12-000918-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811213000882/0001188112-13-000882-index.html,https://www.sec.gov/Archives/edgar/data/1141788/000118811214000887/0001188112-14-000887-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000157104915002516/0001571049-15-002516-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000157104916013492/0001571049-16-013492-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141788/000110465920060250/0001104659-20-060250-index.htm,https://www.sec.gov/Archives/edgar/data/1141788/000168316821001010/0001683168-21-001010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
