,https://roic.ai/company/OMEX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,111654,61793,101904,93656,5760,5615,- -,121439,305644,475368,196409,334364,515878,1155072,6263589,3581642,1560254,4551799,2396994,2727235,3142280,5360192,6915535,10829464
14,Depreciation and Amortization,- -,- -,- -,13893,27295,28263,34877,72324,101371,- -,1445551,3139589,3535852,2617809,2276353,2162194,2165967,1589133,1937641,5510909,1419295,1063267,760766,453466,169667,142086,9
15,EBITDA,- -,-74151,-38005,-983303,-690941,-1098652,-657109,-1514019,-2519566,- -,-10071385,-15642852,-19821634,-22027053,-16017481,-20664994,-12904269,-10331391,-4725934,-19883006,-12236069,-2855760,-4271471,-1576690,-4910102,-7754535,-5298307
16,EBITDA ratio,- -,-35.0928,-Infinity,-72.8373,-2.9308,-4394.6080,-657109.0000,-151.7814,-Infinity,- -,-1.0035,-3.0891,-3.2247,-5.3662,-3.6843,-0.9840,-0.8205,-0.7828,-0.1976,-15.0301,-2.2956,-0.6098,-3.4213,-0.4813,-1.5978,-3.8044,-5.7513
17,Operating Income,- -,-74151,-38005,-1005057,-810677,-1147984,-1616966,-1623367,-2620937,- -,-11649510,-19744744,-23759898,-24965137,-18354674,-16407242,-15368702,-15585876,-16966851,-28192692,-21524114,-10550893,-8357093,-6067216,-10346693,-12635399,-14951179
18,Operating Income ratio,- -,-35.0928,-Infinity,-74.4487,-3.4387,-4591.9360,-1616966.0000,-162.7436,-Infinity,- -,-1.1607,-3.8991,-3.8654,-6.0820,-4.2219,-0.7813,-0.9772,-1.1810,-0.7095,-21.3116,-4.0381,-2.2530,-6.6938,-1.8522,-3.3670,-6.1989,-16.2294
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,81675,-9046,901524,-28681,500,- -,11135,656659,-72956,123866,-273524,-6935824,-856606,-2598237,2601597,-950851,272869,1472818,-2664049,-3037069,-5153033,-8457070,-1176601
20,Income Before Tax,- -,-74151,-38005,- -,- -,- -,- -,- -,- -,- -,-11638375,-19088085,-23832854,-24841271,-18628198,-23343066,-16225308,-18184113,-14365254,-29143543,-21251245,-9078075,-11021142,-9104285,-15499726,-21092469,-16127780
21,Income Before Tax Ratio,- -,-35.0928,-Infinity,- -,- -,- -,- -,- -,- -,- -,-1.1596,-3.7694,-3.8772,-6.0518,-4.2848,-1.1115,-1.0317,-1.3778,-0.6007,-22.0303,-3.9869,-1.9385,-8.8277,-2.7793,-5.0439,-10.3479,-17.5066
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3281510,- -,- -,- -,- -,- -,- -,- -,496055,-481055,- -,- -,- -,- -,- -,- -,-6171385
23,Net Income,- -,-74151,-38005,-1108850,-780029,-1228819,-785642,-1592103,-2592756,- -,-14919885,-19088085,-23832854,-24841271,-18628198,-23343066,-16225308,-18184113,-10741272,-26473114,-18207163,-6316021,-7759472,-5172436,-10439961,-14812156,-9956395
24,Net Income ratio,- -,-35.0928,-Infinity,-82.1370,-3.3087,-4915.2760,-785642.0000,-159.6093,-Infinity,- -,-1.4866,-3.7694,-3.8772,-6.0518,-4.2848,-1.1115,-1.0317,-1.3778,-0.4492,-20.0117,-3.4158,-1.3487,-6.2152,-1.5790,-3.3973,-7.2668,-10.8076
25,EPS,- -,-0.38,-0.05,-2.28,-0.96,-1.44,-0.72,-0.96,-1.08,- -,-4.20,-4.92,-6.12,-6.00,-3.96,-4.32,-3.36,-3.00,-1.56,-3.72,-2.46,-0.84,-0.95,-0.60,-1.12,-1.41,-0.94
26,EPS Diluted,- -,-0.38,-0.05,-2.28,-0.96,-1.44,-0.72,-0.96,-1.08,- -,-4.20,-4.92,-6.12,-6.00,-3.96,-4.32,-3.36,-3.00,-1.56,-3.72,-2.46,-0.84,-0.95,-0.60,-1.12,-1.41,-0.94
27,Weighted Average Shares Outstanding,- -,203332,696698,476776,859632,881933,1112746,1763285,2307406,2746002,3531087,3845867,3928241,4100183,4684310,5469426,5848304,6157401,6858947,7072524,7416538,7564082,8209539,8583795,9346213,10538114,10538114
28,Weighted Average Shares Outstanding Diluted,- -,203332,696698,476776,859632,881933,1112746,1763285,2307406,2746002,3531087,3845867,3928241,4100183,4684310,5469426,5848304,6157401,6858947,7072524,7416538,7564082,8209539,8583795,9346213,10538114,10538114
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798528/000119312506053689/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312507057070/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312508055524/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312509050880/0001193125-09-050880-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312510051349/0001193125-10-051349-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312511049873/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312512109723/0001193125-12-109723-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312513103176/0001193125-13-103176-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312514101158/d643774d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312515092429/d828573d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312516522498/0001193125-16-522498-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312517077690/0001193125-17-077690-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312518095089/0001193125-18-095089-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312519094529/0001193125-19-094529-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312520090214/0001193125-20-090214-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312521101428/0001193125-21-101428-index.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312522091806/0001193125-22-091806-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,97,19209,106440,47175,2433187,857549,785559,3050721,3283331,2415842,18321349,10740358,2145449,235762,7971794,10096414,21322257,3143550,2241317,1662643,1108193,2786832,203254,6163,2275
32,Short-Term Investments,- -,- -,- -,16000,136987,183583,10754,- -,- -,2104914,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3254
33,Cash and Short-Term Investments,- -,- -,97,35209,243427,230758,2443941,857549,785559,5155635,3283331,2415842,18321349,10740358,2145449,235762,7971794,10096414,21322257,3143550,2241317,1662643,1108193,2786832,203254,6163,5529
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1527913,443523,585051,468796,246266,2095571,500626,2101941,207005,6476049,801575,473806,232380,789421,421593,160,269
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3759552,4728394,2263078,2024676,792812,637882,409613,557151,418926,314738,674992,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2998,3000,2184,3690,10006,8600,11178,70536,2291754,729678,359665,401329,1154489,874131,1030890,992266,1151021,11766096,1176390,502698,619462,505537,1026271,599975,587,- -
37,Total Current Assets,- -,2998,3097,37393,247117,240764,2452541,868727,856095,11206941,10269316,5482108,21332405,13156455,3903728,3771836,10021837,13768302,33610096,11470981,3545590,2755911,1846110,4602524,1224822,6911,5798
38,PP&E,- -,- -,- -,107073,98461,80734,204115,229093,692065,8618043,11981154,11934407,10330170,9785504,8667876,8329293,6532870,6450951,9778251,6210541,2826836,1378925,593816,117979,756841,615,479
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26230,17487,- -,- -,- -,3648,- -,- -,- -,- -,- -,- -,1821251,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26230,17487,- -,- -,- -,3648,- -,- -,- -,- -,- -,- -,1821251,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447471,- -,- -,- -,- -,- -,- -,- -,- -,752667,1500000,2370794,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1176796,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,122256,224020,177868,214706,290646,334151,6919020,7939988,9791338,6868895,7503015,7236896,7305564,6859696,6673923,8072259,7408017,540590,948829,532500,- -,26806,-2370794,4630
45,Total Non-Current Assets,- -,- -,- -,229329,322481,258602,418821,519739,1026216,16713859,19921142,21725745,17225295,17306006,16352243,15634857,13392566,13128522,17850510,13618558,3367426,2327754,1126316,870646,4104898,615,5109
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2998,3097,266722,569598,499366,2871362,1388466,1882311,27920800,30190458,27207853,38557700,30462461,20255971,19406693,23414403,26896824,51460606,25089539,6913016,5083665,2972426,5473170,5329720,7526,8909
48,Accounts Payable,- -,54742,68346,20454,46744,204613,60899,50555,99943,591138,601129,498482,776378,988406,365029,2238356,1105902,1948555,3472612,5070973,1567620,1397347,2396835,2772423,6237987,4150,1817
49,Short-Term Debt,- -,- -,- -,407729,515622,814462,- -,- -,56144,173700,111433,3443605,449024,5172331,5100794,5174537,4802930,14809737,16369582,9356724,15058845,20731807,24363442,29448988,31446389,- -,163
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730098,3545140,2917697,1862487,- -,383148,- -,- -,- -,450000,3819,- -
52,Other Current Liabilities,- -,- -,- -,544868,487968,455550,123502,17271,36457,2043980,1946330,1959061,3644350,2166315,3390450,11128616,9395267,19324868,6243160,4614407,7667872,5078125,6551335,9804546,13095867,45915,50628
53,Total Current Liabilities,- -,54742,68346,973051,1050334,1474625,184401,67826,192544,2808818,2658892,5901148,4869752,8327052,8856273,19271607,18849239,39000857,27947841,19042104,24677485,27207279,33311612,42025957,51230243,53884,52609
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,48821,56144,- -,1858333,1758333,3053485,2601286,3123233,2950331,2776383,5690125,4010946,5662226,11808157,3140787,4335501,3000000,- -,2957097,- -,316
55,Deferred Revenue,- -,- -,- -,- -,675000,- -,- -,- -,- -,- -,- -,- -,- -,- -,887500,887500,8400000,4643750,4643750,4643750,4643750,4643750,4643750,4643750,3818750,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,825000,887500,887500,887500,887500,887500,887500,887500,887500,- -,4019523,250000,- -,- -,- -,- -,- -,- -,- -,621046,- -,18473
58,Total Non-Current Liabilities,- -,- -,- -,- -,675000,825000,936321,943644,887500,2745833,2645833,3940985,3488786,4010733,3837831,7683406,14340125,8654696,10305976,16451907,7784537,8979251,7643750,4643750,7396893,- -,18789
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744198,621046,- -
61,Total Liabilities,- -,54742,68346,973051,1725334,2299625,1120722,1011470,1080044,5554651,5304725,9842133,8358538,12337785,12694104,26955013,33189364,47655553,38253817,35494011,32462022,36186530,40955362,46669707,58627136,15787,18789
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250,690,690,191,21,21,21,3,3,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,52838,77338,1010,1055,1113,1786,2656,2872,3853,4582,4678,4777,5241,5943,6708,7309,7542,8388,8558,754,772,847,922,948,1,1
64,Retained Earnings,- -,-104582,-142587,-2885961,-3665990,-4894809,-5680451,-7272555,-9865311,-4069192,-18989077,-38077162,-62247514,-88306625,-106934823,-130277889,-147018753,-165212866,-175954138,-202427252,-220634415,-226950436,-234709910,-239882346,-250322307,- -,-275091
65,Other Comprehensive Income/Loss,- -,- -,- -,-15264,-41761,-63748,-83722,-156046,-257417,554,-2738572,-4539855,-6875121,-9156023,-10826125,-12979576,-13620956,-15038811,-16973085,-22443492,-19633420,-15809774,-16145082,-10915557,-10647910,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,2193886,2550960,3157185,7513027,7802941,10922123,- -,46608800,59977809,99316330,115581393,125316681,135702416,150857418,159485385,210245661,220767122,224071568,223772120,228248426,228909510,231674967,-27627848,249056
67,Total Stockholders Equity,- -,-51744,-65249,-706329,-1155736,-1800259,1750640,376996,802267,22366149,24885733,17365720,30199162,18124676,7561867,-7548320,-9774961,-20758729,17326829,-4095061,-16195513,-18987318,-22605719,-21887471,-29294302,-27627847,-26034
68,Total Liabilities And Stockholders Equity,- -,2998,3097,266722,569598,499366,2871362,1388466,1882311,27920800,30190458,27207853,38557700,30462461,20255971,19406693,23414403,26896824,55580646,31398950,16266509,17199212,18349643,24782236,29332834,-27612060,-7245
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4120040,-6309411,-9353493,-12115547,-15377217,-19309066,-24003114,27619586,16154
70,Total Liabilities & Equity,- -,2998,3097,266722,569598,499366,2871362,1388466,1882311,27920800,30190458,27207853,38557700,30462461,20255971,19406693,23414403,26896824,51460606,25089539,6913016,5083665,2972426,5473170,5329720,7526,8909
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798528/000119312506053689/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312507057070/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312508055524/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312509050880/0001193125-09-050880-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312510051349/0001193125-10-051349-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312511049873/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312512109723/0001193125-12-109723-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312513103176/0001193125-13-103176-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312514101158/d643774d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312515092429/d828573d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312516522498/0001193125-16-522498-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312517077690/0001193125-17-077690-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312518095089/0001193125-18-095089-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312519094529/0001193125-19-094529-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312520090214/0001193125-20-090214-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312521101428/0001193125-21-101428-index.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312522091806/0001193125-22-091806-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-74151,-38005,-1108850,-780029,-1228819,-785642,-1592103,-2592756,566881,-14919885,-19088085,-23832854,-24841271,-18628198,-23343066,-16225308,-18184113,-10741272,-26473114,-18207163,-6316021,-7759472,-5172436,-10439961,-14812156,-16127780
74,Depreciation and Amortization,- -,- -,- -,13893,27295,28263,34877,72324,101371,380013,1445551,3139589,3535852,2617809,2276353,2162194,2165967,1589133,1937641,5510909,1419295,1063267,760766,453466,169667,142086,8821
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6036598,2828400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2027340,2137136,1551589,1489807,2451565,2227235,2697365,1662978,725875,278947,55200,192532,1230082
77,Change in Working Capital,- -,- -,-870409,132441,-430644,3502001,-1467239,-137350,7766560,-31988,-787699,-8029464,16881693,-11633250,-9781948,-10547226,6672369,-16405153,30894810,-13233378,-13560772,-3319473,-7014134,-5957931,-12581988,49958448,162
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222530,-10343976,- -,-1601315,1792266,-6269044,-615991,297837,241426,-578156,367828,261336,-108610
79,Inventory,- -,- -,- -,- -,-20000,- -,- -,- -,- -,-4049689,-717110,952071,1844591,577871,605418,158045,371353,65192,472715,-264904,1189123,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-623377,1873327,- -,832653,1515694,-242041,-3503353,-329864,999488,496068,3690481,4563544,6292180
81,Other Working Capital,- -,-65249,-935658,-803217,-1233861,2268140,800901,663551,8430111,8398123,7610424,-419040,16462653,4829403,-4952545,-15499771,-8827402,-25232555,5662255,-7571123,-21131895,-24451368,-31465502,-37423433,-50005421,-46973,-46811
82,Other Non-Cash Items,- -,51203,885933,393073,449659,-2934468,875384,34392,-7766849,-2918827,456564,10872335,-11691783,12423102,11509313,17432138,-9354828,24821567,-44609369,3413770,10487068,-1395943,7436283,3945539,17352783,-44768079,9585236
83,Cash Provided by Operating Activities,- -,-22948,-22481,-569443,-733719,-633023,-1342620,-1622737,-2491674,-8040519,-10977069,-13105625,-15107092,-21433610,-12597140,-12158824,-15190211,-6688759,-20066625,-28554578,-17164207,-8305192,-5850682,-6452415,-5444299,-9287169,-5303479
84,CAPEX,- -,- -,- -,-111683,-17885,-2845,-162315,-97301,-564343,-3607691,-1869532,-2310954,-679874,-1375461,-1149981,-1630108,-973764,-946190,-4504779,-2968197,-48411,-129684,- -,-9624,-15492,- -,-19137
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-1200,- -,- -,- -,- -,-2000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-112276,-13000,- -,- -,- -,- -,-1991555,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3607335,402573,- -,12000,- -,- -,485000,- -,- -,- -,850000,200000,80000,1003662,- -,- -,342125
89,Cash Used for Investing Activites,- -,101000,- -,-223959,-30885,-2845,-162315,-97301,-564343,-5599246,-5476867,-1908381,-679874,-1363461,-1649981,-1631308,-488764,-946190,-4504779,-2968197,799589,70316,80000,994038,-15492,- -,322988
90,Debt Repayment,- -,- -,- -,-20000,-12790,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244438,-1099015,-2906633,-10685396,-814089,-14505450,-1808344,-158798,-408768,-349598,-394968,-409350,-142080
91,Common Stock Issued,- -,40000,- -,2500,102500,270000,3517500,200000,2999027,12936313,16848813,10696193,35184250,10823120,5106250,6243000,15627196,860482,37861336,- -,- -,- -,- -,4561739,- -,12115000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186254,- -,- -,-1250000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-515556,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,17250,22578,828250,762125,306603,373447,-55600,-15000,1269233,-162267,3450324,-3491777,4392960,790400,6922714,11210000,19594483,- -,27849518,17270729,7815000,5625000,2924875,3271181,3531335,1234117
95,Cash Used/Provided by Financing Activities,- -,-192750,22578,810750,851835,576603,3890947,144400,2984027,14205546,16686546,14146517,31692473,15216080,5652212,11880445,23415007,9759569,35797247,13344068,15462385,7656202,5216232,7137016,2876213,15236985,1092037
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-192750,22578,17348,87231,-59265,2386012,-1575638,-71990,565781,232610,-867489,15905507,-7580991,-8594909,-1909687,7736032,2124620,11225843,-18178707,-902233,-578674,-554450,1678639,-2583578,5949816,-3888454
98,Cash at the End of Period,- -,- -,97,19209,106440,47175,2433187,857549,785559,1351340,3283331,2415842,18321349,10740358,2145449,235762,7971794,10096414,21322257,3143550,2241317,1662643,1108193,2786832,203254,6163205,2274751
99,Cash at the Beginning of Period,- -,114698,- -,1861,19209,106440,47175,2433187,857549,785559,3050721,3283331,2415842,18321349,10740358,2145449,235762,7971794,10096414,21322257,3143550,2241317,1662643,1108193,2786832,213389,6163205
100,Free Cash Flow,- -,-22948,-22481,-681126,-751604,-635868,-1504935,-1720038,-3056017,-11648210,-12846601,-15416579,-15786966,-22809071,-13747121,-13788932,-16163975,-7634949,-24571404,-31522775,-17212618,-8434876,-5850682,-6462039,-5459791,-9287169,-5322616
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798528/000119312506053689/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312507057070/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312508055524/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312509050880/0001193125-09-050880-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312510051349/0001193125-10-051349-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312511049873/d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312512109723/0001193125-12-109723-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312513103176/0001193125-13-103176-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312514101158/d643774d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312515092429/d828573d10k.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312516522498/0001193125-16-522498-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312517077690/0001193125-17-077690-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312518095089/0001193125-18-095089-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312519094529/0001193125-19-094529-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312520090214/0001193125-20-090214-index.html,https://www.sec.gov/Archives/edgar/data/798528/000119312521101428/0001193125-21-101428-index.htm,https://www.sec.gov/Archives/edgar/data/798528/000119312522091806/0001193125-22-091806-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
