,https://roic.ai/company/ERLFF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,-77571.9547,-39972.0249,-44636.9924,-65344.0368,-352169.9050,- -,Infinity,-Infinity,-Infinity,-Infinity,-10.6541,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-56696,-35463,-38272,-48628,-234838,- -,-752662,-2922460,-14007309,-10358143,-10705068,-17010839,-17330487,-19872812,-23089483,-13815293,-13657437,-12648082,-7139883,-4802000,-3089000,-1835000,-2108000,-2280000,-2960000
18,Operating Income ratio,- -,-79260.9537,-50702.0316,-55870.9905,-71979.0405,-360787.9027,- -,-Infinity,-Infinity,-Infinity,-Infinity,-9.8147,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-211188,- -,-1227181,-3421,1597,-19071,-1128348,-1824571,- -,-742008,1119581,-1051066,172656,-77753,-530789,-414000,-6000,-3363000,-3416000,-3720000,-4595000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20614820,-21969902,-14866359,-13484781,-12725835,-7670672,-5216000,-3095000,-5198000,-5524000,-6000000,-7555000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-545412,-4829694,329770,-2062756,-4056647,160391,-553000,-72000,- -,- -,- -,- -
23,Net Income,- -,-55488,-27958,-30576,-44145,-229228,-22251,-1959451,-5528096,-13691767,-9655341,-11833416,-16730278,-17102254,-20069408,-17140208,-15196129,-11422025,-8669188,-7831063,-4663000,-3199000,-5198000,-5524000,-6000000,-7555000
24,Net Income ratio,- -,-77571.9547,-39972.0249,-44636.9924,-65344.0368,-352169.9050,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.8492,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.01,-0.00,-0.00,-0.00,-0.01,-0.01,-0.08,-0.13,-0.23,-0.14,-0.16,-0.18,-0.18,-0.19,-0.15,-0.12,-0.08,-0.06,-0.05,-0.03,-0.02,-0.03,-0.03,-0.03,- -
26,EPS Diluted,- -,-0.01,-0.00,-0.00,-0.00,-0.01,-0.01,-0.08,-0.13,-0.23,-0.14,-0.16,-0.18,-0.18,-0.19,-0.15,-0.12,-0.08,-0.06,-0.05,-0.03,-0.02,-0.03,-0.03,-0.03,- -
27,Weighted Average Shares Outstanding,- -,3878600,86588800,86588800,86588800,17608500,1744800,25409570,43251687,60281810,70540759,74784545,94181194,97074346,105814724,115978815,128650791,143847888,146883700,147036578,151925000,172259000,173266667,174907000,178612000,- -
28,Weighted Average Shares Outstanding Diluted,- -,3878600,86588800,86588800,86588800,17608500,1744800,25409570,45739975,60281810,70540759,74784545,94181194,97074346,105814724,115978815,128650791,143847888,146883700,147036578,151925000,172259000,173266667,174907000,178612000,- -
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,5436789,6060351,21687487,14258422,67106113,45212815,40360436,21296169,14512198,4255508,46701216,33517096,22785658,13391000,7068000,6154000,5380000,7260000,7090000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4916421,- -,- -,- -,- -,- -,- -,912000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,5436789,6060351,21687487,14258422,67106113,45212815,40360436,21296169,19428619,4255508,46701216,33517096,22785658,13391000,7068000,7066000,5380000,7260000,7090000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,78930,100410,310888,246405,615826,622443,863548,309079,424522,223722,203346,133729,97783,35000,263000,68000,122000,130000,157000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,34860,62513,169133,160345,475074,268518,811431,1140253,955121,779605,751140,856358,311072,275000,119000,- -,158000,162000,165000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,5550579,6223274,22167508,14665172,68197013,46103776,42035415,22745501,20808262,5258835,47655702,34507183,23194513,13701000,7450000,7134000,5660000,7552000,7412000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,11005068,139119,742560,844922,841819,672124,1063170,52744291,53433609,58156491,49095508,44597104,37823676,38943000,644000,87000,316000,220000,128000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1329568,2260751,5684019,98450,- -,- -,- -,- -,146000,151000,199000,114000,177000,239000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,3032751,- -,444784,185287,249489,758204,643895,586211,644296,490000,12000,12000,12000,12000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,11005068,139120,742560,844922,3874570,2001692,3768705,58613597,53781548,58914695,49739403,45183315,38467972,39579000,807000,298000,442000,409000,367000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,16555647,6362394,22910068,15510094,72071583,48105468,45804120,81359098,74589810,64173530,97395105,79690498,61662485,53280000,8257000,7432000,6102000,7961000,7779000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,129004,198763,502449,356229,603623,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000,108000,99000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942238,1160912,1477300,1804126,559579,1261206,1903472,1350261,455000,247000,346000,72000,124000,101000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,129004,198763,502449,356229,603623,942238,1160912,1477300,1804126,559579,1261206,1903472,1350261,455000,247000,346000,175000,232000,200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326183,676083,1783692,4327878,5563657,5978133,6355408,6823726,7334000,7841000,8380000,9035000,9615000,10262000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37638211,34507372,28924857,22987000,24658000,38411000,43671000,48222000,52419000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14374498,9392614,9722384,7340516,3407124,3567297,3015000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000,201000,100000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326183,676083,16158190,13720492,15286041,50956860,44269904,39315880,33336000,32499000,46835000,52907000,57937000,62681000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000,208000,99000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,129004,198763,502449,356229,603623,1268421,1836995,17635490,15524618,15845620,52218066,46173376,40666141,33791000,32746000,47181000,53082000,58169000,62881000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,45423077,- -,- -,111993990,- -,- -,- -,167428814,177065075,177138693,177206360,178740000,139689000,172955000,173095000,176221000,179515000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-2921563,-19607920,-33299753,-42955094,-5488510,-71518788,-88621042,-108690450,-125830658,-141026787,-152448812,-161118000,-168949063,-173612000,-191583000,-236591000,-242113000,-248113000,-255668000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,2139630,180481,1280436,1532753,5072288,-7410930,82553,5750714,1901351,3253019,465615,-2850122,-7778347,-7061000,5230000,23887000,22038000,21684000,21051000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,19359513,25806086,9003859,58470400,77609996,13772775,133366729,173345101,185835191,18672864,20095161,20346551,20517394,21422000,22175000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,16426642,6163631,22407619,15153865,71467960,46837047,43967125,63723608,59065192,48327910,45177039,33517122,20996344,19489000,-24489000,-39749000,-46980000,-50208000,-55102000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,16555647,6362394,22910068,15510094,72071583,48105468,45804120,81359098,74589810,64173530,97395105,79690498,61662485,53280000,8257000,7432000,6102000,7961000,7779000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,16555647,6362394,22910068,15510094,72071583,48105468,45804120,81359098,74589810,64173530,97395105,79690498,61662485,53280000,8257000,7432000,6102000,7961000,7779000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-55488,-27958,-30576,-44145,-229228,- -,-1959451,-5528096,-13691767,-9655341,-11833416,-16730278,-17102254,-20069408,-17140208,-15196129,-11422025,-8669188,-7831063,-4663000,-3199000,-5198000,-5524000,-6000000,-7555000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,7420,24090,126375,200530,212819,146703,156144,203086,196221,150654,102941,65517,42528,31000,20000,22000,105000,98000,118000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-545412,-4981884,329770,-2381868,-3933392,160173,-553000,-72000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3672358,4183677,2897845,991161,1207878,1422297,251390,197375,489000,678000,506000,340000,538000,735000
77,Change in Working Capital,- -,41655,-66038,13328,-7477,-1118,- -,-39718,20573,-14034,-75094,-393558,512640,-790717,533713,477252,-805758,40740548,699535,187571,-6329000,-456000,466000,-314000,45000,-52000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209098,6109,55362,15457,113000,-351000,333000,-54000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,41655,-66038,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22913,-3592,35451,-2291,7000,-3000,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-0,-0,- -,-0,211188,- -,1574116,2065710,4638517,1040553,2765186,1885512,214250,1010045,-1932563,1511729,-482743,-1031499,-2578076,819000,33000,3427000,3577000,3823000,4602000
83,Cash Provided by Operating Activities,- -,-13833,-93996,-17248,-51623,-19157,- -,-417633,-3417723,-8940909,-8489352,-9248969,-10513065,-13338900,-15970131,-22390021,-12801856,27979150,-12617637,-9821492,-10206000,-2996000,-777000,-1816000,-1496000,-2152000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-6280696,-126338,-729815,-302892,-80457,-255959,-179526,-438825,-1000693,-3945893,-57623,-113074,-512445,-6000,-100000,-126000,- -,- -,-33000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77098,-6551134,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-366595,- -,- -,-5076271,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5734895,5076271,- -,- -,- -,- -,- -,- -,1035000,- -,- -
88,Other Investing Activites,- -,- -,-5042,-9319,-67535,- -,- -,22044,- -,- -,- -,- -,- -,-69568,- -,1429264,-103048,5567072,45345,-3628,40000,-8843000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-5042,-9319,-67535,- -,- -,-6258652,-126338,-729815,-302892,-80457,-622554,-326192,-6989959,1087195,1027330,5509449,-67729,-516073,34000,-8943000,-126000,1035000,- -,-33000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000,-118000,-88000
91,Common Stock Issued,- -,266054,- -,- -,114309,- -,- -,12476347,4037460,24719061,1108717,64822522,856470,2280050,2699728,14683949,1628583,9722897,- -,41135,53000,5038000,- -,- -,3313000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-875997,- -,- -,- -,- -,-7186,- -,- -,-1065065,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-21025,-521798,- -,-6012482,376230,- -,-147228,- -,-108058,-86636,- -,- -,559000,199000,165000,46000,35000,2082000
95,Cash Used/Provided by Financing Activities,- -,266054,- -,- -,114309,- -,- -,11600349,4016435,24197263,1108717,58810040,1225514,2280050,2552500,13618884,1520525,9636261,- -,41135,612000,5237000,165000,-34000,3230000,1994000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,132501,1100577,254462,3367077,-11983193,6532663,1343323,899971,-2689,-679152,-498754,-435008,165000,508000,-176000,41000,146000,21000
97,Net Change In Cash,- -,252222,-99038,-26567,-4849,-19157,- -,4924064,604875,15627116,-7429065,52847691,-21893298,-4852379,-19064267,-6783971,-10256690,42445708,-13184120,-10731438,-9395000,-6194000,-914000,-774000,1880000,-170000
98,Cash at the End of Period,- -,304040,198260,167599,160446,135427,- -,5436789,6060351,21687487,14258422,67106113,45212815,40360436,21296169,14512198,4255508,46701216,33517096,22785658,13391000,7068000,6154000,5380000,7260000,7090000
99,Cash at the Beginning of Period,- -,51818,297299,194166,165295,154584,- -,512725,5455476,6060371,21687487,14258422,67106113,45212815,40360436,21296169,14512198,4255508,46701216,33517096,22786000,13262000,7068000,6154000,5380000,7260000
100,Free Cash Flow,- -,-13833,-93996,-17248,-51623,-19157,- -,-6698329,-3544061,-9670724,-8792244,-9329426,-10769024,-13518426,-16408956,-23390714,-16747749,27921527,-12730711,-10333937,-10212000,-3096000,-903000,-1816000,-1496000,-2185000
101,SEC Link,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
