,https://roic.ai/company/OGI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1498000,1772000,2725000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2327728,- -,1498000,1772000,17046000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11108000,7001000,6113000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,153125,- -,- -,- -,- -,467490,714000,592000,8730000,34304000
45,Total Non-Current Assets,- -,- -,153125,153533,- -,9583376,13215012,48141424,99353000,232244000,264923000,293402000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,501441,336761,139937,14176117,53866965,92807709,302567000,428525000,435127000,554017000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29081000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,284713,330649,389816,421000,3509000,11595000,80000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,39570,72959,115442,1463119,2115193,6258341,10829000,40355000,-11595000,26186000
53,Total Current Liabilities,- -,- -,39570,72959,115442,1747832,2445842,6648157,11250000,43864000,29081000,26266000
54,Long-Term Debt,- -,- -,- -,- -,- -,4574153,7160831,3128490,98743000,46067000,106288000,4881000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7980000,10471000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117000,231000,43065000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,4574153,7160831,3128490,106723000,57655000,106519000,47946000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2617000,4651000
61,Total Liabilities,- -,- -,39570,72959,115442,6321985,9606673,9776647,117973000,101519000,135600000,74212000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,616092,616092,16753777,50958174,99704455,157790000,318125000,420673000,730803000
64,Retained Earnings,- -,- -,-218576,-593821,-833128,-9711672,-8865009,-19754686,759000,-8783000,-144940000,-275644000
65,Other Comprehensive Income/Loss,- -,- -,- -,241531,241531,- -,-1258395,-2602690,-6075000,-43000,23794000,24646000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,3425522,5683983,32120000,17707000,- -,- -
67,Total Stockholders Equity,- -,- -,461871,263802,24495,7854132,44260292,83031062,184594000,327006000,299527000,479805000
68,Total Liabilities And Stockholders Equity,- -,- -,501441,336761,139937,14176117,53866965,92807709,302567000,428525000,435127000,554017000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,501441,336761,139937,14176117,53866965,92807709,302567000,428525000,435127000,554017000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1620737/000106299319004607/0001062993-19-004607-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,-140164,-375245,-239307,-1276854,846663,-10889678,20513000,-9542000,-136157000,-130704000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,414801,785593,1550750,3528000,8902000,17958000,31033000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,3635000,-10471000,- -
76,Stock Based Compensation,- -,- -,- -,176696,- -,256743,442349,2211002,5033000,14894000,7796000,3896000
77,Change in Working Capital,- -,- -,-16616,25661,74991,-1592482,-3963516,494429,-40881000,-57021000,29038000,24196000
78,Accounts Receivable,- -,- -,- -,- -,- -,-521587,-795105,-2423741,337000,-13134000,1794000,-6007000
79,Inventory,- -,- -,- -,- -,- -,-1433174,-3743927,550602,-48684000,-40909000,45641000,28683000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-8884,-76558,- -,5653000,- -,- -,-542000
82,Other Non-Cash Items,- -,- -,- -,- -,173533,-574421,116788,522331,-897000,4051000,46711000,42990000
83,Cash Provided by Operating Activities,- -,- -,-156780,-172888,9217,-2772213,-1772123,-6111166,-12704000,-35081000,-45125000,-28589000
84,CAPEX,- -,- -,-10000,-30000,-30000,-7523181,-4417622,-34330129,-56435000,-110294000,-78653000,-12329000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2539000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-22775000,-36000000,-174200000,- -,-50000000,-120020000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,37398,27325937,132655000,76637000,528000,50854000
88,Other Investing Activites,- -,- -,-10000,39592,- -,- -,400,408862,-17000,-14655000,-11501000,-31613000
89,Cash Used for Investing Activites,- -,- -,-10000,9592,-30000,-7523181,-27154824,-42595330,-97997000,-46782000,-138196000,-115109000
90,Debt Repayment,- -,- -,- -,- -,- -,-120301,-274885,-1997434,-388000,-12674000,-952000,-116403000
91,Common Stock Issued,- -,- -,465000,480,- -,1407418,37606853,40253450,57500000,- -,99997000,284876000
92,Common Stock Repurchased,- -,- -,-1600,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-148428,- -,- -,4755297,-21078,2550212,106798000,87002000,61321000,5990000
95,Cash Used/Provided by Financing Activities,- -,- -,314972,480,- -,6042414,37310890,40806228,163910000,74328000,160366000,174463000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,- -,- -
97,Net Change In Cash,- -,- -,148192,-162816,-20783,-4252980,8383943,-7900267,53107000,-7509000,-22955000,30765000
98,Cash at the End of Period,- -,- -,320596,157780,136997,1473694,9857637,1957370,55064000,47555000,24600000,55365000
99,Cash at the Beginning of Period,- -,- -,172404,320596,157780,5726674,1473694,9857637,1957000,55064000,47555000,24600000
100,Free Cash Flow,- -,- -,-166780,-202888,-20783,-10295394,-6189745,-40441295,-69139000,-145375000,-123778000,-40918000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1620737/000106299319004607/0001062993-19-004607-index.html,- -,- -
102,Forex Rate,undefined,undefined,1.0129,0.9925,0.912,0.7609,0.7631,0.801,0.7669,0.7511,0.7664,0.7925
