,https://roic.ai/company/INRD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3153845,4046193,3002957,2410919,3125390,3013741,3470503,3627244,3561570,3857805,3278161,3105063,3255073,3339365,3172512,3041289,2543072,2450706,2416794,2233760,2614229,2537630,22400
11,COGS and Expenses,6408730,7509489,8081309,7073518,7042513,9632247,13426628,13004557,12702619,15344425,12174700,11650216,11650216,12869948,12732805,12222252,10800706,10262954,10353328,10621287,10629377,9755749,91800
12,Interest Income ,- -,46828,50919,10883,4781,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,15327,91154,135001,270946,358940,504509,402154,261327,170476,130387,137775,130497,164117,- -,- -,- -,- -,160643,158544,153938,150374,- -
14,Depreciation and Amortization,313190,289677,349980,508510,566764,713080,1025074,1099003,1119887,1059741,1008310,941941,835788,650170,586636,615976,548089,445999,365048,278173,267098,254194,166987
15,EBITDA,83269,1012873,401524,-971881,-1073834,302739,1518185,2294423,3511295,2025638,-1661295,345903,232472,990033,-1063325,-1898875,69154,-159086,-156840,1143325,-355062,-493993,182387
16,EBITDA ratio,0.0134,0.1281,0.0497,-0.1745,-0.1993,0.0328,0.1101,0.1648,0.2325,0.1243,-0.1503,0.0313,0.0210,0.0751,-0.0946,-0.1952,0.0066,-0.0163,-0.0159,0.0995,-0.0355,-0.0548,1.8239
17,Operating Income,-202638,400478,-6104,-1504400,-1654329,-410390,358429,916570,2397259,956784,-2681647,-596038,307246,-848716,-1497151,-2496107,-308477,-496429,-494127,867440,-621722,-748188,8200
18,Operating Income ratio,-0.0327,0.0506,-0.0008,-0.2701,-0.3070,-0.0445,0.0260,0.0658,0.1588,0.0587,-0.2427,-0.0539,0.0278,-0.0644,-0.1333,-0.2566,-0.0294,-0.0508,-0.0501,0.0755,-0.0621,-0.0831,0.0820
19,Total Other Income Expenses (Gains),-27283,307391,-33506,-110992,-257215,-358887,-369827,-123304,-267178,-161363,-118345,- -,-1041059,1024462,-152810,-18744,-170458,-108656,-188404,-160832,-154376,-150373,7200
20,Income Before Tax,-229921,707869,-39610,-1615392,-1911544,-769277,-11398,793266,2130081,795421,-2799992,- -,-733813,175746,-1649961,-2514851,-478935,-605085,-682531,706608,-776098,-898561,15400
21,Income Before Tax Ratio,-0.0370,0.0895,-0.0049,-0.2901,-0.3548,-0.0834,-0.0008,0.0570,0.1411,0.0488,-0.2534,- -,-0.0664,0.0133,-0.1469,-0.2586,-0.0456,-0.0620,-0.0692,0.0615,-0.0775,-0.0998,0.1540
22,Income Tax expense (Gain),-251710,- -,-83244,100580,-134235,-96344,- -,21000,250000,-303000,- -,- -,- -,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,21789,707869,43634,-1715972,-1777309,-672937,-11398,772266,1880081,1098421,-2799992,-733813,-733813,164746,-1649961,-2514851,-478935,-605085,-682531,706608,-776098,-898561,15400
24,Net Income ratio,0.0035,0.0895,0.0054,-0.3081,-0.3299,-0.0730,-0.0008,0.0555,0.1245,0.0674,-0.2534,-0.0664,-0.0664,0.0125,-0.1469,-0.2586,-0.0456,-0.0620,-0.0692,0.0615,-0.0775,-0.0998,0.1540
25,EPS,0.01,0.14,-0.02,-0.35,-0.35,-0.15,-0.02,0.07,0.19,0.10,-0.25,-0.06,0.01,-0.12,-0.14,-0.21,-0.04,-0.05,-0.05,0.05,-0.06,-0.07,0.00
26,EPS Diluted,0.01,0.12,-0.02,-0.35,-0.35,-0.15,-0.02,0.06,0.13,0.08,-0.25,-0.06,0.01,-0.12,-0.14,-0.21,-0.04,-0.05,-0.05,0.05,-0.06,-0.07,0.00
27,Weighted Average Shares Outstanding,4096078,4563350,5046666,5210322,5231169,5710354,7218244,7572637,8609822,10902061,11331258,11522297,11658891,11825583,11975900,12221734,12570867,12926471,13357622,13561207,13672235,13762795,13762795
28,Weighted Average Shares Outstanding Diluted,4096078,5608513,6386666,5210322,5231169,5710354,7218244,11915090,13777114,15619304,11331258,11522297,11753669,11825583,11975900,12221734,12570867,12926471,13357622,13930708,13672235,13762795,13762795
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719494/000114420413019074/0001144204-13-019074-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420414019487/0001144204-14-019487-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420415022524/0001144204-15-022524-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420416091568/0001144204-16-091568-index.htm,- -,https://www.sec.gov/Archives/edgar/data/719494/000114420418018480/0001144204-18-018480-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420419017270/0001144204-19-017270-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000110465920040561/0001104659-20-040561-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000110465921044437/0001104659-21-044437-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000155837022004783/0001558370-22-004783-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1155074,1282160,1393507,1156563,3078052,4395945,2672087,4069310,4365045,3400205,3089013,2451263,1003254,673685,973333,799953,1185553,950705,1129703,1801188
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1155074,1282160,1393507,1156563,3078052,4395945,3472087,4069310,4365045,3400205,3089013,2451263,1003254,673685,973333,799953,1185553,950705,1129703,1801188
34,Net Receivables,- -,- -,- -,1382803,1165182,1447994,2265934,2396486,2181859,2810602,1927672,2224592,2052887,1557930,1236958,1126655,1345197,1204908,1034398,1296487,1233081,824452,1287653
35,Inventory,- -,- -,- -,2082932,2219116,2479074,2423879,2336033,2931080,2732336,2265973,2390876,2909520,3596646,3129855,2686721,2995365,2739864,3196001,3015883,2834107,3206057,2524871
36,Other Current Assets,- -,- -,- -,80675,76941,87540,153723,176587,164065,188084,164081,119243,185298,158742,144581,142576,143293,143970,127900,180893,141339,214748,260116
37,Total Current Assets,- -,- -,- -,4701484,4743399,5408115,6000099,7987158,9672949,9203109,8427036,9099756,8547910,8402331,6962657,4959206,5157540,5062075,5158252,5678816,5159232,5374960,5873828
38,PP&E,- -,- -,- -,3299745,3252220,4763438,4328888,4295181,3500376,3418107,2745924,2160788,1543117,1264114,1706984,1568432,1129395,877170,712788,627086,681000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,1869646,1869646,1869646,1869646,311572,311572,311572,311572,311572,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,443750,2795420,987272,908708,830144,751580,673016,594452,515888,437324,358760,280196,201633,151402,70219,32156,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,443750,2795420,2856918,2778354,2699790,2621226,984588,906024,827460,748896,670332,280196,201633,151402,70219,32156,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,408000,408000,408000,408000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,507696,411752,559661,295116,255567,204832,81707,45192,47235,511516,1009798,508082,588581,586421,643985,601246,594367,1295014,- -,1398123
45,Total Non-Current Assets,- -,- -,- -,3807441,4107722,8118519,7480922,7329102,6404998,6529040,4183704,3522047,3290093,3022808,2885398,2437209,1917449,1672557,1384253,1253609,1976014,- -,1398123
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1653131,- -
47,Total Assets,- -,- -,- -,8508925,8851121,13526634,13481021,15316260,16077947,15732149,12610740,12621803,11838003,11425139,9848055,7396415,7074989,6734632,6542505,6932425,7135246,7028091,7271951
48,Accounts Payable,- -,- -,- -,368337,993150,2189744,2426692,2495398,635529,- -,- -,- -,877757,813705,967963,1017755,1035487,1074671,1217157,835015,978000,717537,- -
49,Short-Term Debt,- -,- -,- -,1902197,167956,526959,509247,296429,1761902,136892,9000,9000,9800,150200,156600,164100,170500,107801,12486,12960,289413,321132,2500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266818,297251,146784,170166,368068,599340,869677,772927,768243,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,385714,652264,987963,2976987,2617419,1979079,1278177,- -,- -,- -,- -,- -,- -,- -,- -,184,856802,-1210983
53,Total Current Liabilities,- -,- -,- -,2270534,1161106,3102417,3588203,3779790,5374418,2754311,1988079,1287177,1154375,1261156,1271347,1352021,1574055,1781812,2099320,1620902,2035840,1895471,1289017
54,Long-Term Debt,- -,- -,- -,1000000,4316728,5994379,5718786,6252680,2990730,2853663,2844946,2835874,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,415377,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,188512,88848,464709,244625,47087,- -,- -,- -,1125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2660270
58,Total Non-Current Liabilities,- -,- -,- -,1188512,4405576,6459088,5963411,6299767,2990730,2853663,2844946,3960874,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,415377,- -,2660270
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5325633,5869135,5712868,5548747,5378906,5270722,5257738,5244781,3497517,3777910,- -
60,Capital Lease Obligations,- -,- -,- -,188512,88848,464709,244625,47087,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688746,449072,- -
61,Total Liabilities,- -,- -,- -,3459046,5566682,9561505,9551614,10079557,8365148,5607974,4833025,5248051,3980008,4630291,4484215,4400768,4452961,4552534,4857058,4365683,5117980,5673381,3949287
62,Preferred Stock,- -,- -,- -,2600000,2600000,2600000,2600000,2582000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,52836,54459,71868,72862,78820,101046,112306,114433,115626,117137,118819,120508,123543,127380,131567,135213,136371,137353,138251,139674
64,Retained Earnings,- -,- -,- -,-7058683,-8889593,-9727350,-9873748,-9335982,-7694068,-6595647,-9395639,-10129452,-9964706,-11385539,-13035500,-15550351,-16029286,-16634371,-17316902,-16610294,-17386392,- -,-16536056
65,Other Comprehensive Income/Loss,- -,- -,- -,-6008008,-6572278,-7255427,-8143592,-9164000,-10189853,-11139771,-12016000,-12876000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,15463734,16091851,18276038,19273885,21075865,25495674,27747287,29074921,30263578,17705564,18061568,18278832,18422455,18523934,18684902,18867136,19040665,19266305,1216460,19719046
67,Total Stockholders Equity,- -,- -,- -,5049879,3284439,3965129,3929407,5236703,7712799,10124175,7777715,7373752,7857995,6794848,5363840,2995647,2622028,2182098,1685447,2566742,2017266,1354711,3322664
68,Total Liabilities And Stockholders Equity,- -,- -,- -,8508925,8851121,13526634,13481021,15316260,16077947,15732149,12610740,12621803,11838003,11425139,9848055,7396415,7074989,6734632,6542505,6932425,7135246,7028092,7271951
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -
70,Total Liabilities & Equity,- -,- -,- -,8508925,8851121,13526634,13481021,15316260,16077947,15732149,12610740,12621803,11838003,11425139,9848055,7396415,7074989,6734632,6542505,6932425,7135246,7028091,7271951
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719494/000114420413019074/0001144204-13-019074-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420414019487/0001144204-14-019487-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420415022524/0001144204-15-022524-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420416091568/0001144204-16-091568-index.htm,- -,https://www.sec.gov/Archives/edgar/data/719494/000114420418018480/0001144204-18-018480-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420419017270/0001144204-19-017270-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000110465920040561/0001104659-20-040561-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000110465921044437/0001104659-21-044437-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000155837022004783/0001558370-22-004783-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,21789,707869,43634,-1715972,-1777309,-672937,-11398,772266,1880081,1098421,-2799992,-733813,-733813,164746,-1649961,-2514851,-478935,-605085,-682531,706608,-776098,-898561,1748897
74,Depreciation and Amortization,313190,289677,349980,508510,566764,713080,1025074,1099003,1119887,1059741,1008310,941941,835788,650170,586636,615976,548089,445999,365048,278173,267098,254194,166987
75,Deferred Income Tax,- -,- -,-100000,100000,- -,- -,- -,- -,- -,-408000,- -,- -,- -,408000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,88417,112950,168054,171239,200562,138031,75403,25779,29962,59528,80518,133035,111651,115708
77,Change in Working Capital,-260231,- -,- -,2430950,1151343,-1276595,106198,1795472,91163,2150267,-9841,1373622,-419044,-252360,-1449865,-2084125,-23700,-303222,-221331,998982,-934522,356097,1105322
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-628743,882930,-296920,171705,494957,320972,110303,-218542,140289,170510,-262088,63406,408629,-463200
79,Inventory,96796,-496404,-594195,273953,-319892,-486535,309720,-14971,-758438,-103767,371735,29423,-573818,-881821,305480,326864,-536033,16930,-654665,141115,178866,-353472,681185
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-419643,30668,-151952,- -
81,Other Working Capital,- -,- -,- -,2430950,3582293,2305698,2411896,4207368,4298531,6448798,6438957,7812579,7393535,7141175,5691310,3607185,3583485,3280263,3058932,4057914,3123392,3479489,4584811
82,Other Non-Cash Items,36600,-848463,-763554,-2130323,-224181,1867955,-759613,-994888,-90433,-3440450,2504004,-1174017,-212313,-1378958,2305258,2929425,-212372,1047164,509499,-1512304,1460639,-410709,-2275643
83,Cash Provided by Operating Activities,111348,149083,-469940,-806835,-283383,631503,360261,2671853,3000698,548396,815431,575787,-358143,-207840,-69901,-978172,-141139,614818,30213,551977,150152,-587328,861271
84,CAPEX,-326700,-581520,-2223850,-553556,-101045,-1013569,-453615,-986732,-246518,-784534,-264101,-278241,-621516,-792603,-455982,-409639,-30489,-143544,-121357,-154407,-310066,-200837,-221838
85,Acquisitions Net,- -,- -,- -,- -,-183780,-732000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,314764,- -,12030,-774534,20988,- -,6000,- -,38000,96423,-24989,-30743,24000,-875,-310066,-200837,-221838
89,Cash Used for Investing Activites,-326700,-581520,-2223850,-553556,-284825,-1745569,-138851,-986732,-234488,-1574534,556887,-278241,-615516,-792603,-417982,-313216,-24989,-144287,-97357,-155282,-310066,-200837,-221838
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1762077,-136609,-9072,-9441,-66098,-149867,-156621,-163441,-170883,-108299,-12483,-74934,-6003,- -
91,Common Stock Issued,500000,2335750,308325,- -,- -,1172984,- -,112830,445247,1064357,161514,7261,18260,5349,- -,- -,- -,- -,2063,1388,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-19492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-115507,-46604,700536,1966516,695294,52429,-438862,123538,-1893564,- -,- -,- -,- -,750000,- -,- -,- -,- -,- -,- -,- -,973166,-8360
95,Cash Used/Provided by Financing Activities,384493,2289146,1008861,1966516,695294,1225413,-458354,236368,-1448317,-697720,24905,-1811,8819,689251,-149867,-156621,-163441,-170883,-106236,-11095,-74934,967163,-8360
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,169141,1856709,-1684929,606125,127086,111347,-236944,1921489,1317893,-1723858,1397223,295735,-964840,-311192,-637750,-1448009,-329569,299648,-173380,385600,-234848,178998,631073
98,Cash at the End of Period,377169,2233878,548949,1155074,1282160,1393507,1156563,3078052,4395945,2672087,4069310,4365045,3400205,3089013,2451263,1003254,673685,973333,799953,1185553,950705,1129703,1760776
99,Cash at the Beginning of Period,208028,377169,2233878,548949,1155074,1282160,1393507,1156563,3078052,4395945,2672087,4069310,4365045,3400205,3089013,2451263,1003254,673685,973333,799953,1185553,950705,1129703
100,Free Cash Flow,-215352,-432437,-2693790,-1360391,-384428,-382066,-93354,1685121,2754180,-236138,551330,297546,-979659,-1000443,-525883,-1387811,-171628,471274,-91144,397570,-159914,-788165,639433
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719494/000114420413019074/0001144204-13-019074-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420414019487/0001144204-14-019487-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420415022524/0001144204-15-022524-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420416091568/0001144204-16-091568-index.htm,- -,https://www.sec.gov/Archives/edgar/data/719494/000114420418018480/0001144204-18-018480-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000114420419017270/0001144204-19-017270-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000110465920040561/0001104659-20-040561-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000110465921044437/0001104659-21-044437-index.htm,https://www.sec.gov/Archives/edgar/data/719494/000155837022004783/0001558370-22-004783-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
