,https://roic.ai/company/SENR,2012,2013,2014,2015,2016,2017,2018,2019,2020
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,592800,208800,994400,307800,91500,246600,101400,7300,19000
77,Change in Working Capital,-587100,1989600,-1988300,-1285100,-1309100,-1200400,-151600,-1692100,-2744900
78,Accounts Receivable,-816400,-30000,-2035400,1736000,-884600,270900,-138500,592400,-10800
79,Inventory,-43800,23600,- -,- -,- -,- -,- -,26100,-291400
80,Accounts Payable,-28700,191700,169100,-248300,1387500,-279800,463600,-252300,421800
81,Other Working Capital,-1408100,581500,-1406800,-2691900,-4001000,-5201400,-5353000,-7045100,-9790000
82,Other Non-Cash Items,37900,-1698800,813600,3033600,3718600,365900,1397900,1775100,3639600
83,Cash Provided by Operating Activities,-1445800,-120100,29700,-115600,-600400,-2786300,-1044600,-2100800,-1690100
84,CAPEX,-76900,-1169600,-3485700,-854200,-208800,-218400,-60400,-70100,-131600
85,Acquisitions Net,- -,- -,- -,- -,- -,3000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-79900,-399200,13900,-733400,673900,552800,292100
89,Cash Used for Investing Activites,-76900,-1169600,-3485700,-854200,-149800,2066800,613600,482700,160500
90,Debt Repayment,-378000,-209600,-278700,-466100,-883600,-1468000,-818400,-408900,-250300
91,Common Stock Issued,- -,- -,1519800,- -,454900,- -,420000,- -,226900
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1890000,3848000,25000,1250000,1155000,1519300,850000,2266000,1245600
95,Cash Used/Provided by Financing Activities,1512000,3638400,1266100,783900,726300,51300,451600,1857100,1222200
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10700,2348700,-2189900,-185900,-23900,-179100,61600,239000,-307400
98,Cash at the End of Period,70400,2419100,229200,257100,233200,54100,115700,354700,47300
99,Cash at the Beginning of Period,81100,70400,2419100,443000,257100,233200,54100,115700,354700
100,Free Cash Flow,-1522700,-1289700,-3456000,-969800,-809200,-3004700,-1105000,-2170900,-1821700
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1576197/000138713114001080/0001387131-14-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713115001271/0001387131-15-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713116004975/0001387131-16-004975-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713117002083/0001387131-17-002083-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713118001627/0001387131-18-001627-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000138713119002684/0001387131-19-002684-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000149315220008886/0001493152-20-008886-index.htm,https://www.sec.gov/Archives/edgar/data/1576197/000149315221008904/0001493152-21-008904-index.htm
102,false,,,,,,,,,
