,https://roic.ai/company/TOFB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,26000,25000,25000,- -,25000
14,Depreciation and Amortization,600000,300000,200000,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,5000,4000,5000,5000,5000,- -,4000,5000,5000,5000,2000,- -,6000,5000,10000,5000,- -,10000
15,EBITDA,-700000,-2300000,-500000,-900000,100000,- -,100000,200000,- -,- -,100000,400000,600000,1436000,1568000,1821000,1579000,1151000,1056000,620000,1134000,804000,440000,- -,839000,137000,137000,-907000,-897000,- -,481000,755000,382000,113000,- -,886000
16,EBITDA ratio,-0.0603,-0.2987,-0.0526,-0.1139,0.0185,- -,0.0250,0.0488,- -,- -,0.0172,0.0541,0.0667,0.1206,0.1175,0.1120,0.0900,0.0605,0.0550,0.0333,0.0583,0.0420,0.0224,- -,0.0451,0.0086,0.0086,-0.0632,-0.0611,- -,0.0332,0.0535,0.0292,0.0086,- -,0.0641
17,Operating Income,-1300000,-2500000,-700000,-1100000,- -,- -,100000,100000,100000,- -,100000,400000,600000,1424000,1465000,1553000,1549000,1131000,1046000,607000,1129000,799000,- -,- -,- -,- -,-912000,-899000,-231000,- -,475000,750000,372000,108000,- -,876000
18,Operating Income ratio,-0.1121,-0.3247,-0.0737,-0.1392,- -,- -,0.0250,0.0244,0.0192,- -,0.0172,0.0541,0.0667,0.1195,0.1098,0.0955,0.0883,0.0595,0.0545,0.0326,0.0580,0.0417,- -,- -,- -,- -,-0.0573,-0.0627,-0.0157,- -,0.0328,0.0532,0.0285,0.0082,- -,0.0634
19,Total Other Income Expenses (Gains),- -,-100000,- -,-100000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,12000,103000,268000,30000,15000,5000,9000,- -,- -,- -,- -,- -,- -,1044000,-13000,-668000,- -,-26000,-26000,-25000,-25000,- -,-25000
20,Income Before Tax,-1300000,-2600000,- -,- -,- -,- -,- -,100000,- -,- -,- -,400000,- -,1436000,1568000,1821000,1579000,1146000,1051000,616000,1129000,799000,435000,- -,835000,132000,132000,-912000,-899000,- -,449000,724000,347000,83000,- -,851000
21,Income Before Tax Ratio,-0.1121,-0.3377,- -,- -,- -,- -,- -,0.0244,- -,- -,- -,0.0541,- -,0.1206,0.1175,0.1120,0.0900,0.0603,0.0548,0.0331,0.0580,0.0417,0.0222,- -,0.0449,0.0083,0.0083,-0.0636,-0.0612,- -,0.0310,0.0513,0.0266,0.0063,- -,0.0616
22,Income Tax expense (Gain),-600000,-500000,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,-100000,- -,586000,612000,671000,641000,760000,444000,264000,512000,334000,218000,- -,329000,89000,89000,-88000,9000,- -,28000,20000,-160000,5000,- -,255000
23,Net Income,-700000,-2100000,-700000,-1200000,- -,- -,- -,300000,100000,- -,100000,500000,600000,850000,956000,1150000,938000,386000,607000,352000,617000,465000,217000,- -,506000,43000,43000,-824000,-908000,- -,421000,704000,507000,78000,- -,596000
24,Net Income ratio,-0.0603,-0.2727,-0.0737,-0.1519,- -,- -,- -,0.0732,0.0192,- -,0.0172,0.0676,0.0667,0.0714,0.0716,0.0708,0.0535,0.0203,0.0316,0.0189,0.0317,0.0243,0.0111,- -,0.0272,0.0027,0.0027,-0.0574,-0.0618,- -,0.0291,0.0499,0.0388,0.0059,- -,0.0431
25,EPS,-0.12,-0.38,-0.12,-0.22,-0.01,- -,0.01,0.05,0.02,0.01,0.02,0.09,0.09,0.14,0.15,0.19,0.15,0.07,0.11,0.06,0.11,0.08,0.04,- -,0.10,0.01,-0.16,-0.18,-0.03,- -,0.08,0.14,0.10,0.02,- -,0.12
26,EPS Diluted,-0.12,-0.38,-0.12,-0.22,-0.01,- -,0.01,0.05,0.02,0.01,0.02,0.08,0.08,0.12,0.12,0.16,0.14,0.06,0.10,0.06,0.10,0.08,0.04,- -,0.10,0.01,-0.16,-0.18,-0.03,- -,0.08,0.14,0.10,0.02,- -,0.11
27,Weighted Average Shares Outstanding,5833333,5526316,5833333,5454545,5439000,5439000,5449000,6000000,5000000,6071000,6054000,5555556,6666667,6245000,6317000,6153000,6056000,5744000,5685000,5604000,5432000,5620000,5476000,- -,5177000,5176000,5154000,5154000,5154000,- -,5154000,5154000,5154000,5154000,- -,5154000
28,Weighted Average Shares Outstanding Diluted,5833333,5526316,5833333,5454545,5439000,5439000,5449000,6000000,5000000,6071000,6054000,6250000,7500000,7368000,7723000,7291000,6878000,6556000,6263000,6185000,5992000,5884000,5716000,- -,5177000,5176000,5154000,5154000,5154000,- -,5154000,5154000,5154000,5154000,- -,5456000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/730349/000093041312002089/0000930413-12-002089-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000118811213000887/0001188112-13-000887-index.html,https://www.sec.gov/Archives/edgar/data/730349/000118811214000844/0001188112-14-000844-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000157104915002399/0001571049-15-002399-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/730349/000149315217003239/0001493152-17-003239-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315218004145/0001493152-18-004145-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315219004276/0001493152-19-004276-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315220006859/0001493152-20-006859-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/730349/000149315221009160/0001493152-21-009160-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2234000,2557000,2199000,1256000,289000,1499000,238000,- -,1413000,1594000,471000,214000,341000,- -,132000,1414000,558000,514000,- -,1459000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2234000,2557000,2199000,1256000,289000,1499000,238000,- -,1413000,1594000,471000,214000,341000,- -,132000,1414000,558000,514000,- -,1459000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1369000,1508000,1614000,2643000,2084000,1991000,2129000,- -,1461000,1936000,1880000,1954000,1914000,- -,2626000,1770000,2128000,1819000,- -,2078000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,814000,774000,792000,2045000,2992000,1552000,2334000,- -,1931000,1441000,1750000,1844000,1852000,- -,1565000,1483000,1714000,1929000,- -,1997000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,275000,607000,628000,560000,1114000,343000,- -,564000,429000,573000,178000,176000,- -,166000,158000,136000,120000,- -,88000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917000,5114000,5212000,6572000,5925000,6156000,5044000,- -,5369000,5400000,4674000,4190000,4283000,- -,4489000,4825000,4536000,4382000,- -,5622000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,38000,34000,29000,24000,19000,- -,15000,5000,- -,- -,27000,- -,15000,10000,121000,145000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,331000,- -,- -,- -,- -,- -,217000,217000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000,16000,16000,16000,16000,16000,16000,- -,- -,-249000,-315000,16000,16000,- -,16000,16000,16000,282000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000,59000,54000,50000,45000,40000,35000,- -,15000,21000,16000,16000,43000,- -,31000,26000,354000,644000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5133000,5173000,5266000,6622000,5970000,6196000,5079000,- -,5384000,5421000,4690000,4206000,4326000,- -,4520000,4851000,4890000,5026000,- -,6083000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,471000,691000,1442000,711000,633000,398000,- -,164000,319000,446000,877000,1367000,- -,1148000,468000,368000,167000,- -,219000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,6000,6000,- -,- -,- -,112000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,265000,183000,153000,114000,- -,108000,94000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457000,605000,903000,1457000,1249000,1066000,1065000,- -,817000,372000,436000,459000,264000,- -,278000,536000,272000,375000,- -,652000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532000,1076000,1594000,2899000,1960000,1699000,1463000,- -,1280000,956000,1065000,1489000,1750000,- -,1540000,1104000,640000,542000,- -,983000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,616000,637000,436000,459000,22000,- -,10000,4000,500000,156000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,616000,265000,436000,459000,22000,- -,10000,4000,500000,156000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4736000,- -,- -,- -,- -,- -,520000,508000,- -,812000,- -,676000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000,- -,123000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532000,1076000,1594000,2899000,1960000,1699000,1463000,- -,5400000,956000,1065000,1489000,1772000,- -,2050000,1608000,1140000,1198000,- -,1659000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,57000,56000,55000,54000,57000,52000,- -,52000,52000,52000,52000,52000,- -,52000,52000,52000,52000,- -,52000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2461000,2847000,3454000,3668000,3900000,4215000,3564000,- -,4068000,4413000,3573000,2665000,2502000,- -,2280000,2984000,3491000,3569000,- -,4165000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-10000,-14000,-14000,-24000,-29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2081000,1198000,172000,14000,70000,249000,29000,- -,- -,- -,- -,- -,-52000,- -,138000,207000,207000,207000,- -,207000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4601000,4097000,3672000,3723000,4010000,4497000,3616000,- -,4120000,4465000,3625000,2717000,2554000,- -,2470000,3243000,3750000,3828000,- -,4424000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5133000,5173000,5266000,6622000,5970000,6196000,5079000,- -,9520000,5421000,4690000,4206000,4326000,- -,4520000,4851000,4890000,5026000,- -,6083000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4136000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5133000,5173000,5266000,6622000,5970000,6196000,5079000,- -,5384000,5421000,4690000,4206000,4326000,- -,4520000,4851000,4890000,5026000,- -,6083000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/730349/000093041312002089/0000930413-12-002089-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000118811213000887/0001188112-13-000887-index.html,https://www.sec.gov/Archives/edgar/data/730349/000118811214000844/0001188112-14-000844-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000157104915002399/0001571049-15-002399-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/730349/000149315217003239/0001493152-17-003239-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315218004145/0001493152-18-004145-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315219004276/0001493152-19-004276-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315220006859/0001493152-20-006859-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/730349/000149315221009160/0001493152-21-009160-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-700000,- -,-700000,-1200000,- -,- -,- -,300000,100000,- -,100000,500000,600000,850000,956000,1150000,938000,386000,607000,352000,617000,465000,217000,- -,506000,43000,43000,-824000,-908000,- -,421000,704000,507000,78000,- -,596000
74,Depreciation and Amortization,600000,- -,200000,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,5000,4000,5000,5000,5000,- -,4000,5000,5000,5000,2000,- -,6000,5000,10000,5000,- -,10000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,-100000,-100000,332000,-176000,-119000,-7000,265000,-373000,16000,19000,260000,-26000,- -,25000,-79000,265000,- -,- -,- -,- -,- -,-167000,- -,- -,134000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,- -,12000,- -,- -,- -,- -,- -,25000,69000,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4385000,-347000,-420000,55000,292000,492000,-876000,- -,508000,24000,-835000,-908000,-168000,- -,946000,772000,175000,-56000,- -,799000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000,- -,103000,- -,- -,-48000,42000,- -,-897000,840000,-463000,49000,- -,-309000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-200000,-200000,-100000,17000,-342000,92000,2000,40000,-18000,-1253000,-947000,1440000,-782000,- -,403000,256000,-309000,-94000,-8000,- -,-92000,82000,-336000,-215000,- -,-68000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-389000,- -,- -,- -,- -,- -,-436000,- -,- -,- -,212000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4385000,4038000,3618000,3673000,3965000,4457000,3581000,- -,4089000,4444000,3609000,2701000,2533000,- -,2949000,3721000,3896000,3840000,- -,4639000
82,Other Non-Cash Items,100000,- -,500000,900000,-100000,200000,300000,-200000,-100000,- -,-100000,-500000,-100000,310000,-21000,-629000,-4481000,752000,855000,-1069000,-1552000,-181000,517000,- -,134000,-903000,-585000,1470000,1203000,- -,-1816000,-262000,-1250000,-42000,- -,-759000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,200000,300000,- -,-100000,- -,- -,-100000,400000,1492000,759000,402000,835000,1061000,674000,-642000,-619000,1041000,-151000,- -,1189000,-910000,-1107000,-257000,129000,- -,-418000,1288000,-725000,-15000,- -,780000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121000,-29000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22000,-22000,125000,109000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,-272000,-22000,125000,109000,152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121000,-29000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,- -,-5000,-6000,-10000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,84000,50000,35000,78000,67000,192000,- -,38000,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-247000,-436000,-1117000,-957000,-1224000,-301000,-386000,- -,-1110000,- -,-14000,-24000,-16000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-200000,-200000,-100000,- -,- -,- -,- -,- -,-18000,-22000,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,165000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-200000,-200000,100000,- -,- -,- -,- -,- -,66000,-219000,-409000,-1039000,-890000,-1032000,-301000,-348000,169000,-1110000,- -,-14000,-24000,-16000,- -,-2000,- -,495000,-6000,-10000,- -,- -,165000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-200000,-200000,100000,- -,- -,- -,- -,- -,1286000,518000,118000,-95000,323000,-358000,-943000,-967000,1210000,-1261000,- -,1175000,-934000,-1123000,-257000,127000,- -,77000,1282000,-856000,-44000,- -,945000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1693000,2211000,2329000,2234000,2557000,2199000,1256000,289000,1499000,238000,- -,1413000,1594000,471000,214000,341000,- -,132000,1414000,558000,514000,- -,1459000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,100000,407000,1693000,2211000,2329000,2234000,2557000,2199000,1256000,289000,1499000,- -,238000,2528000,1594000,471000,214000,- -,55000,132000,1414000,558000,- -,514000
