,https://roic.ai/company/BRSP,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,1523426000,1300784000,2102181000,2644777000,2247166000,3529702000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,87884000,-1300784000,115720000,320846000,2160910000,949565000
37,Total Current Assets,- -,1625292000,1000000,2523403000,3308845000,4894083000,4738989000
38,PP&E,- -,8938000,219740000,- -,25480000,22056000,24970000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,11014000,101786000,84054000,58508000,49819000
41,Intangible Assets,- -,- -,11014000,101786000,84054000,58508000,49819000
42,Investments,- -,155537000,203720000,903037000,595305000,373364000,20591000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12425000,- -,5132504000,3400622000,863926000,804000000
45,Total Non-Current Assets,- -,176900000,434474000,6137327000,4105461000,1317854000,899380000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1802192000,1000000,8660730000,7414306000,6211937000,5638369000
48,Accounts Payable,- -,- -,- -,29151000,28278000,15083000,20168000
49,Short-Term Debt,- -,- -,- -,1365918000,1099233000,535224000,905122000
50,Tax Payable,- -,235000,118000,36730000,31510000,32569000,- -
51,Deferred Revenue,- -,1723000,481000,10481000,- -,- -,7669000
52,Other Current Liabilities,- -,62492000,41690000,147825000,146740000,94895000,108332000
53,Total Current Liabilities,- -,64215000,42171000,1553375000,1274251000,645202000,1041291000
54,Long-Term Debt,- -,502413000,- -,4228327000,3852179000,3588630000,3064275000
55,Deferred Revenue,- -,- -,- -,10481000,16744000,9082000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,34612000
57,Other Non-Current Liabilities,- -,- -,389661000,23345000,69782000,10345000,6876000
58,Total Non-Current Liabilities,- -,502413000,389661000,4262153000,3938705000,3608057000,3105763000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,25495000,22186000,25205000
61,Total Liabilities,- -,566628000,347490000,5815528000,5212956000,4253259000,4147054000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1278000,1285000,1286000,1298000
64,Retained Earnings,- -,- -,- -,-193327000,-819738000,-1234224000,-1410562000
65,Other Comprehensive Income/Loss,- -,-145000,-5970000,-399000,28294000,54588000,8786000
66,Other Total Stockholders Equity,- -,1235709000,6969000,2899353000,2909181000,2844023000,2855766000
67,Total Stockholders Equity,- -,1225883000,1000000,2706905000,2119022000,1665673000,1455288000
68,Total Liabilities And Stockholders Equity,- -,1792511000,348490000,8522433000,7331978000,5918932000,5602342000
69,Minority Interest,- -,9681000,-347490000,138297000,82328000,293005000,36027000
70,Total Liabilities & Equity,- -,1802192000,1000000,8660730000,7414306000,6211937000,5638369000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1717547/000119312518094233/0001193125-18-094233-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754719000003/0001717547-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754720000006/0001717547-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754721000010/0001717547-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754722000014/0001717547-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,80554000,76051000,88504000,-168498000,-414512000,-353299000,-101046000
74,Depreciation and Amortization,- -,146000,9137000,90986000,103321000,59852000,36503000
75,Deferred Income Tax,- -,- -,1744000,28354000,-4652000,-172000,-85000
76,Stock Based Compensation,- -,- -,- -,7113000,10810000,4367000,14016000
77,Change in Working Capital,-4722000,1566797000,-1602248000,1011199000,1064566000,2214287000,-19888000
78,Accounts Receivable,- -,- -,- -,11062000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-5720000,1561077000,-41171000,970028000,2034594000,4248881000,-3721000
82,Other Non-Cash Items,-11158000,-1554486000,1609845000,-868432000,-622357000,-1828679000,49230000
83,Cash Provided by Operating Activities,64674000,88508000,106982000,100722000,137176000,96356000,-21270000
84,CAPEX,- -,- -,-312000,- -,- -,- -,- -
85,Acquisitions Net,- -,-21433000,-10130000,88791000,67360000,59433000,186400000
86,Purchases of Investments,-104134000,- -,- -,-114200000,-372000,- -,- -
87,Sales/Maturities of Investments,3317000,- -,- -,4900000,28890000,172845000,45546000
88,Other Investing Activites,-711911000,220872000,449711000,-447196000,-511903000,770464000,-787735000
89,Cash Used for Investing Activites,-812728000,199372000,439269000,-467705000,-416025000,1002742000,-555789000
90,Debt Repayment,-252902000,-409524000,-343615000,-1249376000,-1847063000,-1179392000,-1300795000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-659000,-1596000,-1743000,-2613000
93,Dividends Paid,- -,-122133000,-299319000,-185291000,-217721000,-51707000,-51916000
94,Other Financing Activites,990894000,211939000,91276000,1922843000,2353163000,478780000,1739680000
95,Cash Used/Provided by Financing Activities,737992000,-319718000,-551658000,487517000,286783000,-754062000,384356000
96,Effect of Forex Changes on Cash,- -,- -,- -,-176000,287000,-690000,-764000
97,Net Change In Cash,-10062000,-31838000,-5407000,120358000,8221000,344346000,-193467000
98,Cash at the End of Period,6338000,72512000,67105000,187463000,195684000,540030000,346563000
99,Cash at the Beginning of Period,16400000,104350000,72512000,67105000,187463000,195684000,540030000
100,Free Cash Flow,64674000,88508000,106982000,100722000,137176000,96356000,-21270000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1717547/000119312518094233/0001193125-18-094233-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754719000003/0001717547-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754720000006/0001717547-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754721000010/0001717547-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754722000014/0001717547-22-000014-index.htm
102,false,,,,,,,
