,https://roic.ai/company/WDDD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,1870000,3430000,3480000,3760000,8964868,8964868,8964868,8964868,8964868,8964868,8964868,10477549,10732751,11294193,13996958,15358427,17405955,19151289,22319414,32339667,49096460,53172203,56814833,56814833,56814833
28,Weighted Average Shares Outstanding Diluted,1870000,3430000,3480000,3760000,8964868,8964868,8964868,8964868,8964868,8964868,8964868,10477549,10732751,11294193,13996958,15358427,17405955,19151289,22319414,32339667,49096460,57652203,56814833,56814833,56814833
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1961/000090389397001396/0000903893-97-001396-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1961/000126493112000261/0001264931-12-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493115000058/0001264931-15-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493114000125/0001264931-14-000125-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493115000165/0001264931-15-000165-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1961/000126493117000071/0001264931-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493118000031/0001264931-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493119000040/0001264931-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493120000059/0001264931-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493121000033/0001264931-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493122000088/0001264931-22-000088-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3540000,1580000,1820000,40000,- -,10000,- -,- -,- -,- -,270000,- -,- -,400000,150000,100000,20000,27660,26300,93380,168230,3846120,1570840,474587,44421
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3540000,1580000,1820000,40000,- -,10000,- -,- -,- -,- -,270000,170000,- -,400000,150000,100000,20000,27660,26300,93380,168230,3846120,1570840,474587,44421
34,Net Receivables,- -,- -,180000,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,130000,300000,- -,- -,- -,16000,- -,- -,217267,31461
35,Inventory,- -,60000,220000,140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,80000,50000,80000,240000,- -,- -,- -,- -,- -,- -,70000,- -,- -,- -,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23239
37,Total Current Assets,3620000,1690000,2300000,630000,- -,10000,- -,- -,- -,- -,340000,170000,- -,400000,280000,230000,320000,27660,26300,93380,184230,3846120,1570840,691854,52643
38,PP&E,210000,210000,1350000,1110000,- -,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1130000,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,1130000,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,- -,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203040,- -,231461
45,Total Non-Current Assets,210000,220000,2480000,1340000,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,203040,- -,231461
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3830000,1910000,4780000,1970000,- -,10000,- -,- -,- -,- -,350000,170000,- -,400000,280000,240000,330000,27660,26300,93380,184230,3846120,1773880,691854,284104
48,Accounts Payable,570000,320000,370000,1590000,- -,1150000,1150000,1150000,1150000,1150000,180000,910000,780000,780000,800000,800000,800000,797910,797910,797910,797910,797910,840670,981898,975255
49,Short-Term Debt,- -,- -,- -,- -,- -,2215969,2231245,2073771,1838671,1841671,773279,- -,949454,775679,773279,773279,1115812,1110082,1582779,1523279,798279,1523279,773279,773279,773279
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1300000,690000,3370000,2840000,- -,1414031,1558755,1576229,1731329,1848329,-630793279,2800000,2140546,2094321,1866721,1956721,3174188,2723978,2787091,2550721,2813651,2120071,1604911,1606565,1546480
53,Total Current Liabilities,1870000,1010000,3740000,4430000,- -,4780000,4940000,4800000,4720000,4840000,2110000,3710000,3870000,3650000,3440000,3530000,5090000,4631970,5167780,4871910,4409840,4441260,3218860,3361742,3295014
54,Long-Term Debt,1970000,1880000,70000,1420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-10000,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,1960000,1880000,60000,1420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725000,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3830000,2890000,3800000,5850000,- -,4780000,4940000,4800000,4720000,4840000,2110000,3710000,3870000,3650000,3440000,3530000,5090000,4631970,5167780,4871910,5134840,4441260,3218860,3361742,3295014
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,20000,20000,- -,30000,30000,30000,30000,30000,50000,50000,50000,70000,80000,80000,90000,96850,120940,221510,49360,56820,56820,56815,1264026
64,Retained Earnings,-6690000,-9340000,-12680000,-21600000,- -,-24940000,-25120000,-24980000,-24890000,-25020000,-22960000,-25450000,-26180000,-26770000,-28470000,-30340000,-35230000,-36208460,-40245830,-41378730,-44125700,-42371390,-43605860,-45174496,-45788666
65,Other Comprehensive Income/Loss,-440000,-370000,-600000,-880000,- -,- -,- -,- -,- -,- -,5411,- -,-10000,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,7100000,8710000,14240000,18570000,- -,20147676,20148237,20155468,20148065,20151920,21139325,24642672,22276107,23457418,25240719,26971603,31138302,31507298,34983412,36378687,39125726,41719428,42104053,42447793,41513730
67,Total Stockholders Equity,-10000,-980000,980000,-3890000,- -,-4762324,-4941763,-4794532,-4711935,-4838080,-1765264,-757328,-3863893,-3252582,-3159281,-3288397,-4001698,-4604312,-5141478,-4778533,-4950614,-595142,-1444987,-2669888,-3010910
68,Total Liabilities And Stockholders Equity,3820000,1910000,4780000,1960000,- -,17676,-1763,5468,8065,1920,344736,2952672,6107,397418,280719,241603,1088302,27658,26302,93377,184226,3846118,1773873,691854,284104
69,Minority Interest,10000,- -,- -,10000,- -,-7676,1763,-5468,-8065,-1920,5264,-2782672,-6107,2582,-719,-1603,-758302,2,-2,3,4,2,7,- -,- -
70,Total Liabilities & Equity,3830000,1910000,4780000,1970000,- -,10000,- -,- -,- -,- -,350000,170000,- -,400000,280000,240000,330000,27660,26300,93380,184230,3846120,1773880,691854,284104
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1961/000090389397001396/0000903893-97-001396-index.html,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1961/000126493112000261/0001264931-12-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493115000058/0001264931-15-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493114000125/0001264931-14-000125-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493115000165/0001264931-15-000165-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1961/000126493117000071/0001264931-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493118000031/0001264931-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493119000040/0001264931-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493120000059/0001264931-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493121000033/0001264931-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493122000088/0001264931-22-000088-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6690000,-2650000,-3340000,-8920000,-3290000,-60000,-180000,150000,80000,-130000,2060000,-790000,-730000,-600000,-1690000,-1870000,-4890000,-982580,-4037370,-1132910,-2746970,1754320,-1234470,-1568639,-614170
74,Depreciation and Amortization,20000,130000,280000,1490000,1380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3151714,- -,47007,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,310000,1750000,-1070000,-2120000,-2360000,-970000,-170000,140000,80000,-120000,3070000,-1770000,-330000,620000,90000,-140000,-1470000,165690,-537170,362950,552920,3630470,-1052880,-1021868,-572483
78,Accounts Receivable,- -,- -,-180000,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000,- -,- -,- -,- -,- -,- -,-200000000,-14234,- -
79,Inventory,- -,-60000,-160000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,250000,-50000,-1220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8685
81,Other Working Capital,- -,1750000,680000,-1440000,-3800000,-4770000,-4940000,-4800000,-4720000,-4840000,-1770000,-3540000,-3870000,-3250000,-3160000,-3300000,-4770000,-4604310,-5141480,-4778530,-4225610,-595140,-1648020,-2669888,-3242371
82,Other Non-Cash Items,6010000,-2560000,2000000,4350000,3080000,1040000,340000,-290000,-160000,250000,-5400000,1980000,550000,-160000,1030000,1490000,2108286,721420,4047163,88600,1624370,-7274890,965110,1508484,-235907
83,Cash Provided by Operating Activities,-350000,-3330000,-2130000,-5200000,-1190000,10000,-10000,- -,- -,- -,-270000,-580000,-510000,-140000,-570000,-520000,-1100000,-95470,-480370,-681360,-569680,-1890100,-1322240,-1082023,-1422560
84,CAPEX,- -,-190000,-1070000,-680000,-90000,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4692990,- -,- -,-1006588
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166451,- -,- -,-7000,95070,22134,27663,26299,93379,- -,-203033,-14234,1998982
89,Cash Used for Investing Activites,- -,-190000,-1070000,-680000,-90404,- -,- -,- -,- -,- -,-9375,-1516,166451,- -,- -,-7000,- -,- -,- -,- -,- -,4692990,-203033,-14234,992394
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97500,- -,- -,350000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,3900000,1740000,3430000,3850000,- -,- -,- -,- -,- -,- -,550000,480000,- -,550000,330000,470000,230000,228500,- -,477200,318380,875000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-180000,- -,250000,1250000,- -,- -,- -,- -,- -,- -,1007,179250,-6141,-5954,-2500,701000,-127500,479000,-78757,2,- -,-750000,- -,- -
95,Cash Used/Provided by Financing Activities,3900000,1560000,3430000,4100000,1250000,- -,- -,- -,- -,- -,550000,481007,179250,543859,324046,467500,1028500,101000,479000,748443,318382,875000,-750000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3540000,-1960000,240000,-1780000,-40000,10000,-10000,- -,- -,- -,270000,-110000,-170000,400000,-250000,-60000,-70000,5530,-1370,67080,74850,3677890,-2275280,-1096257,-430166
98,Cash at the End of Period,3540000,1580000,1820000,40000,3806120,50000,- -,- -,- -,- -,270000,160000,-170000,400000,150000,90000,30000,25530,26290,93380,168230,3846120,1570840,474587,44421
99,Cash at the Beginning of Period,- -,3540000,1580000,1820000,3846120,40000,10000,- -,- -,- -,- -,270000,- -,- -,400000,150000,100000,20000,27660,26300,93380,168230,3846120,1570844,474587
100,Free Cash Flow,-350000,-3520000,-3200000,-5880000,-1280000,10000,-10000,- -,- -,- -,-280000,-580000,-510000,-140000,-570000,-530000,-1100000,-95470,-480370,-681360,-569680,-1890100,-1322240,-1082023,-1422560
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1961/000090389397001396/0000903893-97-001396-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1961/000126493112000261/0001264931-12-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493115000058/0001264931-15-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493114000125/0001264931-14-000125-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493115000165/0001264931-15-000165-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1961/000126493117000071/0001264931-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493118000031/0001264931-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493119000040/0001264931-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1961/000126493120000059/0001264931-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493121000033/0001264931-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1961/000126493122000088/0001264931-22-000088-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
