,https://roic.ai/company/LMB,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,-46008550,-51369,14613000,69000,197000,172000,160000,465000
89,Cash Used for Investing Activites,- -,-46008550,-51369,-15460000,-3234000,-3680000,-2491000,-1323000,-19303000
90,Debt Repayment,- -,- -,- -,-23604000,-112492000,-122811000,-74618000,-11914000,-46742000
91,Common Stock Issued,- -,25000000,- -,17200000,- -,- -,- -,- -,22773000
92,Common Stock Repurchased,- -,46473320,- -,9946000,-3847000,-9191000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-245000,-875000,- -,- -,- -
94,Other Financing Activites,- -,-24875000,- -,8680000,117103000,112228000,84760000,7225000,39834000
95,Cash Used/Provided by Financing Activities,- -,46598320,- -,12222000,519000,-20649000,10142000,-4689000,15865000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,397390,-277561,1515000,-6780000,993000,6725000,33803000,-27671000
98,Cash at the End of Period,- -,397390,119826,1615000,626000,1619000,8457000,42260000,14589000
99,Cash at the Beginning of Period,- -,- -,397387,100000,7406000,626000,1732000,8457000,42260000
100,Free Cash Flow,- -,-192380,-226192,1358000,-7368000,21445000,-3589000,38332000,-25024000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1606163/000114420415015101/v400771_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416089184/0001144204-16-089184-index.html,https://www.sec.gov/Archives/edgar/data/1606163/000114420417020753/v462647_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420418018709/0001144204-18-018709-index.html,https://www.sec.gov/Archives/edgar/data/1606163/000114420419019702/tv516315_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828020007572/lmb-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828021005652/0001628280-21-005652-index.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828022006391/0001628280-22-006391-index.htm
102,false,,,,,,,,,
