,https://roic.ai/company/TVC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2030,0.1917,0.1936,-0.0253,-0.0185,-0.0077,0.2752,0.2923,0.2939,0.3166,0.3927,0.4004,0.3533,0.4376,0.4637,0.2008,0.3956
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1589000000,2215000000,2326000000,1975000000,2312000000,2811000000,2711000000,2845000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1427,0.2013,0.2191,0.1839,0.2058,0.2484,0.2645,0.2709
19,Total Other Income Expenses (Gains),52000000,65000000,-1081000000,-1367000000,-1247000000,-1270000000,-1275000000,-1240000000,-1182000000,-1120000000,-1104000000,-1093000000,-1290000000,-1193000000,-1394000000,-1359000000,-1333000000
20,Income Before Tax,- -,- -,383000000,817000000,726000000,972000000,162000000,60000000,271000000,469000000,1111000000,1233000000,685000000,1119000000,1417000000,1352000000,1512000000
21,Income Before Tax Ratio,- -,- -,0.0414,0.0787,0.0645,0.0894,0.0137,0.0053,0.0247,0.0421,0.1010,0.1161,0.0638,0.0996,0.1252,0.1319,0.1440
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,85000000,329000000,383000000,817000000,726000000,972000000,162000000,60000000,271000000,469000000,1111000000,1233000000,685000000,1119000000,1417000000,1352000000,1512000000
24,Net Income ratio,0.0109,0.0358,0.0414,0.0787,0.0645,0.0894,0.0137,0.0053,0.0247,0.0421,0.1010,0.1161,0.0638,0.0996,0.1252,0.1319,0.1440
25,EPS,161.90,626.67,729.52,1556.19,1382.86,1851.43,308.57,114.29,516.19,893.33,2116.19,2348.57,1304.76,2131.43,2699.05,2575.24,2880.00
26,EPS Diluted,161.90,626.67,729.52,1556.19,1382.86,1851.43,308.57,114.29,516.19,893.33,2116.19,2348.57,1304.76,2131.43,2699.05,2575.24,2880.00
27,Weighted Average Shares Outstanding,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000
28,Weighted Average Shares Outstanding Diluted,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376986/000137698607000014/0001376986-07-000014-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698608000067/0001376986-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698609000113/0001376986-09-000113-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698610000089/0001376986-10-000089-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698611000074/0001376986-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698612000043/0001376986-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698613000056/0001376986-13-000056-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698614000041/0001376986-14-000041-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698615000047/0001376986-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698616000080/0001376986-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698617000031/0001376986-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698618000046/0001376986-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698619000037/0001376986-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698620000030/0001376986-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698621000028/0001376986-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,538000000,536000000,165000000,213000000,201000000,328000000,507000000,868000000,1602000000,500000000,300000000,300000000,300000000,299000000,299000000,500000000,499000000
32,Short-Term Investments,- -,- -,150000000,106000000,983000000,1128000000,554000000,785000000,151000000,162000000,166000000,196000000,226000000,220000000,464000000,3198000000,- -
33,Cash and Short-Term Investments,538000000,536000000,315000000,319000000,1184000000,1456000000,1061000000,1653000000,1753000000,662000000,466000000,496000000,526000000,519000000,763000000,3698000000,499000000
34,Net Receivables,1052000000,1359000000,1453000000,1405000000,1303000000,1639000000,1739000000,1666000000,1567000000,1676000000,1600000000,1747000000,1569000000,1657000000,1739000000,1529000000,1566000000
35,Inventory,479000000,576000000,663000000,779000000,961000000,1012000000,1028000000,1097000000,1091000000,1056000000,1031000000,993000000,1065000000,961000000,999000000,1003000000,950000000
36,Other Current Assets,107000000,198000000,- -,- -,-983000000,-259000000,215000000,90000000,495000000,394000000,409000000,408000000,286000000,293000000,-223000000,-2984000000,483000000
37,Total Current Assets,2176000000,2669000000,2431000000,2503000000,2465000000,3848000000,4043000000,4506000000,4906000000,3788000000,3506000000,3644000000,3446000000,3430000000,3278000000,3246000000,3498000000
38,PP&E,23888000000,24434000000,24828000000,25779000000,26761000000,27830000000,29305000000,29727000000,29923000000,30350000000,32407000000,34043000000,34947000000,35414000000,35133000000,35579000000,36629000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,858000000,972000000,1169000000,956000000,983000000,1128000000,1168000000,1593000000,1702000000,1981000000,2011000000,2257000000,2603000000,2862000000,2968000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7551000000,6445000000,-1169000000,-956000000,-983000000,-1128000000,11877000000,11508000000,9575000000,9477000000,10901000000,10550000000,9021000000,6961000000,9088000000,- -,12329000000
45,Total Non-Current Assets,32297000000,31851000000,24828000000,25779000000,26761000000,27830000000,42350000000,42828000000,41200000000,41808000000,45319000000,46850000000,46571000000,45237000000,47189000000,35579000000,48958000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34473000000,34520000000,27259000000,28282000000,29226000000,31678000000,46393000000,47334000000,46106000000,45596000000,48825000000,50494000000,50017000000,48667000000,50467000000,38825000000,52456000000
48,Accounts Payable,740000000,890000000,1000000000,1333000000,2108000000,1698000000,1840000000,1922000000,1627000000,2029000000,2127000000,2163000000,1940000000,1982000000,1812000000,1844000000,- -
49,Short-Term Debt,5197000000,3398000000,1555000000,2269000000,1315000000,1109000000,2019000000,4271000000,2563000000,1735000000,1178000000,3082000000,3852000000,2370000000,23000000,198000000,68000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,105000000,102000000,100000000,100000000,100000000,100000000,100000000,10000000,- -,- -,- -
52,Other Current Liabilities,787000000,915000000,868000000,650000000,854000000,795000000,945000000,693000000,692000000,585000000,530000000,517000000,509000000,492000000,2477000000,2669000000,4911000000
53,Total Current Liabilities,6724000000,5203000000,3423000000,4252000000,4277000000,3602000000,4909000000,6988000000,4982000000,4449000000,3935000000,5862000000,6401000000,4854000000,4312000000,4711000000,4979000000
54,Long-Term Debt,17751000000,19544000000,1422000000,185000000,844000000,27000000,22412000000,21250000000,23626000000,23227000000,23930000000,22148000000,21438000000,21307000000,20183000000,41000000,1006000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,612000000,510000000,410000000,310000000,210000000,110000000,10000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1202000000,760000000,692000000,616000000,537000000,409000000,302000000,263000000,223000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-10383000000,-8750000000,-12877000000,-12337000000,-10920000000,-8603000000,-8705000000,-9347000000,-6059000000,2548000000,32006000000
58,Total Non-Current Liabilities,17751000000,19544000000,1422000000,185000000,844000000,27000000,13843000000,13770000000,11851000000,11816000000,13757000000,14064000000,13045000000,12223000000,14347000000,2589000000,33012000000
59,Other Liabilities,45500000000,48861000000,28921000000,29507000000,32366000000,34041000000,50098000000,48790000000,47328000000,46859000000,51444000000,50276000000,47528000000,45753000000,48877000000,37771000000,- -
60,Capital Lease Obligations,1143000000,1108000000,1072000000,1353000000,1403000000,1353000000,- -,1713000000,761000000,691000000,616000000,644000000,521000000,479000000,- -,- -,- -
61,Total Liabilities,34473000000,34520000000,30922000000,33574000000,35799000000,37616000000,41164000000,42008000000,40459000000,39492000000,41622000000,42074000000,40884000000,38384000000,38842000000,39893000000,37991000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,1244000000,1565000000,1939000000,2571000000,3291000000,4264000000,-138000000,-74000000,3000000,5000000,-2000000,-12000000,21000000,57000000,-12000000,12177000000,13689000000
65,Other Comprehensive Income/Loss,-14407000000,-15331000000,-19000000,-37000000,-75000000,-95000000,-138000000,-74000000,3000000,5000000,-2000000,-12000000,21000000,57000000,-12000000,-51000000,-22000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,5505000000,5474000000,5641000000,6094000000,7207000000,8444000000,9091000000,10169000000,11649000000,806000000,- -
67,Total Stockholders Equity,2392000000,2699000000,2980000000,3563000000,4218000000,5137000000,5229000000,5326000000,5647000000,5503000000,6613000000,7840000000,8561000000,9719000000,11625000000,12932000000,14465000000
68,Total Liabilities And Stockholders Equity,36865000000,37219000000,33902000000,37137000000,40017000000,42753000000,46393000000,47334000000,46106000000,44995000000,48235000000,49914000000,49445000000,48103000000,50467000000,52825000000,52456000000
69,Minority Interest,-2392000000,-2699000000,-6643000000,-8855000000,-10791000000,-11075000000,- -,- -,- -,601000000,590000000,580000000,572000000,564000000,- -,-14000000000,- -
70,Total Liabilities & Equity,34473000000,34520000000,27259000000,28282000000,29226000000,31678000000,46393000000,47334000000,46106000000,45596000000,48825000000,50494000000,50017000000,48667000000,50467000000,38825000000,52456000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376986/000137698607000014/0001376986-07-000014-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698608000067/0001376986-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698609000113/0001376986-09-000113-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698610000089/0001376986-10-000089-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698611000074/0001376986-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698612000043/0001376986-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698613000056/0001376986-13-000056-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698614000041/0001376986-14-000041-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698615000047/0001376986-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698616000080/0001376986-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698617000031/0001376986-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698618000046/0001376986-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698619000037/0001376986-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698620000030/0001376986-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698621000028/0001376986-21-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,85000000,329000000,383000000,817000000,726000000,972000000,162000000,60000000,271000000,469000000,1111000000,1233000000,685000000,1119000000,1417000000,1352000000,1512000000
74,Depreciation and Amortization,236000000,217000000,223000000,296000000,338000000,238000000,1792000000,1947000000,1723000000,1888000000,2077000000,1882000000,1763000000,2554000000,2633000000,1848000000,1555000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,-18000000,-16000000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-69000000,2014000000,1542000000,-757000000,-63000000,2058000000,-1112000000,-1616000000,2406000000,-585000000,232000000,-1789000000,-737000000,1531000000,390000000,-431000000,-16000000
78,Accounts Receivable,-19000000,-214000000,-72000000,-59000000,90000000,-342000000,-62000000,89000000,114000000,-79000000,93000000,-83000000,230000000,-68000000,-40000000,259000000,-18000000
79,Inventory,-12000000,-120000000,-98000000,-138000000,-182000000,-119000000,-110000000,-131000000,27000000,34000000,-12000000,50000000,1000000,65000000,-87000000,-12000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,-121000000,-4000000,-119000000,134000000,-155000000,-38000000,178000000
81,Other Working Capital,-4548000000,-2534000000,-992000000,-1749000000,-1812000000,246000000,-866000000,-2482000000,-76000000,-661000000,-429000000,-2218000000,-2955000000,-1424000000,-1034000000,-1465000000,-1481000000
82,Other Non-Cash Items,1210000000,-546000000,-385000000,1601000000,1140000000,-1367000000,1595000000,2183000000,-1803000000,1202000000,-87000000,1732000000,1025000000,-1249000000,-720000000,-2248000000,205000000
83,Cash Provided by Operating Activities,1462000000,2014000000,1763000000,1957000000,2141000000,1901000000,2437000000,2574000000,2597000000,2980000000,3315000000,3042000000,2736000000,3955000000,3720000000,521000000,3256000000
84,CAPEX,-1480000000,-1676000000,-1668000000,-2296000000,-2203000000,-2416000000,-2633000000,-2480000000,-2338000000,-2710000000,-3542000000,-3010000000,-2458000000,-2216000000,-1700000000,- -,- -
85,Acquisitions Net,74000000,59000000,18000000,13000000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-44000000,-39000000,-42000000,-42000000,-21000000,-2000000,-6000000,- -,-52000000,- -,-49000000,-49000000,-48000000,-49000000,-50000000
87,Sales/Maturities of Investments,335000000,- -,- -,- -,- -,- -,11000000,10000000,9000000,- -,- -,- -,8000000,4000000,- -,- -,- -
88,Other Investing Activites,-1597000000,-1786000000,-1635000000,-2273000000,-2234000000,- -,-499000000,-2160000000,-50000000,-46000000,9000000,-103000000,-37000000,-8000000,-495000000,-1966000000,-2288000000
89,Cash Used for Investing Activites,-1188000000,-1727000000,-1661000000,-2299000000,-2265000000,-2458000000,-3142000000,-2513000000,-2385000000,-2756000000,-3585000000,-3113000000,-2536000000,-2269000000,-2243000000,-2015000000,-2338000000
90,Debt Repayment,-2403000000,-1368000000,-1462000000,-1933000000,-2953000000,-940000000,-1166000000,-2834000000,-2817000000,-2305000000,-1292000000,-268000000,-1756000000,-2673000000,-38000000,-39000000,-41000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,-14000000,-5000000,-6000000,-5000000,-5000000,-299000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2148000000,1079000000,989000000,2323000000,3065000000,1624000000,2050000000,3134000000,3366000000,993000000,1367000000,345000000,1561000000,991000000,-1140000000,-1383000000,-880000000
95,Cash Used/Provided by Financing Activities,-255000000,-289000000,-473000000,390000000,112000000,684000000,884000000,300000000,522000000,-1326000000,70000000,71000000,-200000000,-1687000000,-1477000000,-1422000000,-921000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,19000000,-2000000,-371000000,48000000,-12000000,127000000,179000000,361000000,734000000,-1102000000,-200000000,- -,- -,-1000000,- -,199000000,-3000000
98,Cash at the End of Period,538000000,536000000,165000000,213000000,201000000,328000000,507000000,868000000,1602000000,500000000,300000000,300000000,300000000,299000000,299000000,521000000,518000000
99,Cash at the Beginning of Period,519000000,538000000,536000000,165000000,213000000,201000000,328000000,507000000,868000000,1602000000,500000000,300000000,300000000,300000000,299000000,322000000,521000000
100,Free Cash Flow,-18000000,338000000,95000000,-339000000,-62000000,-515000000,-196000000,94000000,259000000,270000000,-227000000,32000000,278000000,1739000000,2020000000,521000000,3256000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376986/000137698607000014/0001376986-07-000014-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698608000067/0001376986-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698609000113/0001376986-09-000113-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698610000089/0001376986-10-000089-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698611000074/0001376986-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698612000043/0001376986-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698613000056/0001376986-13-000056-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698614000041/0001376986-14-000041-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698615000047/0001376986-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698616000080/0001376986-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698617000031/0001376986-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698618000046/0001376986-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698619000037/0001376986-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1376986/000137698620000030/0001376986-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698621000028/0001376986-21-000028-index.htm
102,false,,,,,,,,,,,,,,,,,
