,https://roic.ai/company/LKCO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2326406,- -,- -,657542
52,Other Current Liabilities,- -,- -,4731000,2860000,4180000,11560000,10650000,2910000,2757000,14682014,28653394,24659502,26214064
53,Total Current Liabilities,- -,- -,5306000,3800000,4960000,13170000,12520000,4977000,4034000,25311113,33733890,30687760,73613138
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244760,32938930,2663835
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211796
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,-136680,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244750,32802250,2875631
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,728476,336537
61,Total Liabilities,- -,- -,5306000,3800000,4960000,13170000,12520000,4977000,4034000,25311113,33978640,63490010,76488769
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,227949,242952
63,Common Stock,- -,- -,14000,10000,10000,10000,10000,14000,14000,1,1993180,2090820,2397701
64,Retained Earnings,- -,- -,9125000,8090000,-900000,-6030000,-6030000,-5007000,-5167000,-29936158,-41863690,-73376870,-113242512
65,Other Comprehensive Income/Loss,- -,- -,1713000,2389000,3583000,4199000,4163000,3477000,2610000,388217,835463,1372074,-1523978
66,Other Total Stockholders Equity,- -,- -,- -,22233000,22237000,22234000,22233000,22233000,22233000,41819685,102125806,124092185,164753586
67,Total Stockholders Equity,- -,- -,32767000,32722000,24930000,20413000,20376000,20717000,19690000,12271745,63100759,54406158,52627749
68,Total Liabilities And Stockholders Equity,- -,- -,38073000,36522000,29890000,33583000,32896000,25694000,23724000,37582858,97079399,117896168,129116518
69,Minority Interest,- -,- -,- -,-2000,- -,-3000,-6000,- -,- -,- -,1,2,66356
70,Total Liabilities & Equity,- -,- -,38073000,36520000,29890000,33580000,32890000,25694000,23724000,37582858,97079400,117896170,129182874
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,- -,8237000,-1037000,-8988000,-5133000,-1000,1027000,-13049031,-6810454,-11927540,-31513180,-39865640
74,Depreciation and Amortization,- -,- -,225000,530000,548000,592000,600000,608000,3245161,3316181,5120727,6477357,6005980
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,302000,316000,2000,- -,- -,- -,- -,- -,- -,- -,4804378
77,Change in Working Capital,- -,- -,-4463000,-5318000,191000,2173000,-341000,-674000,12789953,-5133769,-6199573,-5676356,-5087696
78,Accounts Receivable,- -,- -,-4170000,-3004000,1576000,-1662000,-322000,-1163000,-1507296,-7933730,-16319139,419941,-1830920
79,Inventory,- -,- -,-249000,161000,-390000,-41000,-1458000,1967000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-848000,351000,-201000,796000,265000,269000,2979330,-1674058,-2108736,22486090,1078131
81,Other Working Capital,- -,- -,- -,-1407000,-71000,7500000,-683000,-7947000,- -,- -,- -,810591,-1483240
82,Other Non-Cash Items,- -,- -,- -,405000,5814000,1962000,- -,1405000,953246,-345653,6081510,12448635,18319170
83,Cash Provided by Operating Activities,- -,- -,4301000,-5104000,-2433000,-406000,258000,2366000,3939329,-8973695,-6924876,-18263544,-15823808
84,CAPEX,- -,- -,-308000,-75000,-97000,-22000,-168000,-27000,-3554258,-12689,-32691,-131261,-33974
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,612692,-14495905,-18869168
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-478254
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,29000,31000,28000,- -,29942,604467,290,- -
89,Cash Used for Investing Activites,- -,- -,-308000,-75000,-97000,7000,-137000,1000,-3554258,17253,1184468,-14626876,-19381396
90,Debt Repayment,- -,- -,-3445000,-4208000,- -,- -,-2077000,-3714000,-1197870,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,14503000,- -,- -,- -,- -,- -,- -,- -,- -,12067550,9882432
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-318000,3018000,9000,1000,- -,- -,- -,8938290,6874994,23372703,21655986
95,Cash Used/Provided by Financing Activities,- -,- -,10318000,-1190000,9000,1000,-2077000,-3714000,-1197870,8938290,6874994,35440253,31538418
96,Effect of Forex Changes on Cash,- -,- -,254000,209000,211000,91000,-9000,-76000,-32746,6688,-14747,-46364,42892
97,Net Change In Cash,- -,- -,14565000,-6160000,-2310000,-307000,-1966000,-1423000,-845545,-11464,1119839,2503469,-3623894
98,Cash at the End of Period,- -,- -,14909000,8749000,6439000,6132000,4166000,2743000,83843,72379,1192218,3695687,71793
99,Cash at the Beginning of Period,- -,- -,344000,14909000,8749000,6439000,6132000,4166000,929388,83843,72379,1192218,3695687
100,Free Cash Flow,- -,- -,3993000,-5179000,-2530000,-428000,90000,2339000,385071,-8986384,-6957567,-18394805,-15857782
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,
