,https://roic.ai/company/CXKJ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,13154403,13600068,13600068,13752580,13766735,13766735,14532912,13355471,21360479,21376918,37858294
28,Weighted Average Shares Outstanding Diluted,13154403,13600068,13600068,13752580,13766735,13766735,14532912,13355471,21360479,21376918,37858294
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1502557/000116169711001056/0001161697-11-001056-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000116169712000917/0001161697-12-000917-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000147793214000142/0001477932-14-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793215000261/0001477932-15-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793215007783/0001477932-15-007783-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000147793217000933/0001477932-17-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793217006237/0001477932-17-006237-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000121390019000724/0001213900-19-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000121390019027150/0001213900-19-027150-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000121390021001897/0001213900-21-001897-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000149315222001121/0001493152-22-001121-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,10606,53,- -,22188,- -,21070,13611,21941,5858,682,2059685
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10606,53,- -,22188,- -,21070,13611,21941,5858,682,2059685
34,Net Receivables,- -,- -,- -,70277,179033,122453,- -,4789,2943,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-21070,- -,1840,5255,3575,811472
37,Total Current Assets,10606,53,- -,92465,179033,122453,13611,28570,14056,4257,2871157
38,PP&E,- -,- -,- -,6513,6172,5801,- -,45925,14380,- -,351191
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2568
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2568
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,6270,6270,10756,- -,4369,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,12783,12442,16557,- -,50294,14380,- -,353759
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10606,53,- -,105248,191475,139010,13611,78864,28436,4257,3224916
48,Accounts Payable,- -,303,5100,49704,73583,148777,6600,- -,- -,- -,1430576
49,Short-Term Debt,- -,1000,- -,133000,1701,216009,150000,431891,518396,674030,229337
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261771
51,Deferred Revenue,- -,- -,- -,- -,23750,- -,- -,- -,- -,- -,3122705
52,Other Current Liabilities,2400,2400,- -,488259,435924,490486,5359,74075,91528,187818,407323
53,Total Current Liabilities,2400,3703,5100,670963,534958,855272,161959,505966,609924,861848,5189941
54,Long-Term Debt,- -,- -,- -,- -,125500,- -,- -,- -,- -,- -,53129
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,125500,- -,- -,- -,- -,- -,53129
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282466
61,Total Liabilities,2400,3703,5100,670963,660458,855272,161959,505966,609924,861848,5243070
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1020,1020,20400,20650,20650,20650,1449,2122,2138,2138,4000
64,Retained Earnings,-12794,-24650,-35015,-586365,-489633,-736912,-301998,-2094690,-2301435,- -,-1821105
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-30179,-25820,-35945,-32016
66,Other Total Stockholders Equity,19980,19980,9515,- -,- -,- -,152201,1695645,1743629,-823784,-4000
67,Total Stockholders Equity,8206,-3650,-5100,-565715,-468983,-716262,-148348,-427102,-581488,-857591,-1853121
68,Total Liabilities And Stockholders Equity,10606,53,- -,105248,191475,139010,13611,78864,28436,4257,3389949
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165033
70,Total Liabilities & Equity,10606,53,- -,105248,191475,139010,13611,78864,28436,4257,3224916
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1502557/000116169711001056/0001161697-11-001056-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000116169712000917/0001161697-12-000917-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000147793214000142/0001477932-14-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793215000261/0001477932-15-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793215007783/0001477932-15-007783-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000147793217000933/0001477932-17-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793217006237/0001477932-17-006237-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000121390019000724/0001213900-19-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000121390019027150/0001213900-19-027150-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000121390021001897/0001213900-21-001897-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000149315222001121/0001493152-22-001121-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-9794,-11856,-10365,15971,96732,-247279,-15816,-548366,-206745,-265978,-1612334
74,Depreciation and Amortization,- -,- -,- -,2014,2161,3007,1390,34129,20069,14643,319185
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-500,-11856,-1450,-573398,222573,-376894,584471,-329048,-118472,-261723,3369407
78,Accounts Receivable,- -,- -,- -,-16291,-189161,-65252,-180717,-1363,1952,461,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-2097,4797,29000,23878,75194,90617,- -,- -,- -,1404380
81,Other Working Capital,8206,-3650,-5100,-578498,-355925,-732819,-148348,-477396,-595868,-857591,2879891
82,Other Non-Cash Items,- -,12159,3847,581690,-334334,499278,-669122,186218,153685,368758,-162400
83,Cash Provided by Operating Activities,-10294,-11553,-7968,26277,-12868,-121888,-99077,-657067,-151463,-144300,1913858
84,CAPEX,- -,- -,- -,-3099,-1820,-2636,- -,-8479,- -,- -,-21983
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,145,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,31,- -,- -,-2677
89,Cash Used for Investing Activites,- -,- -,- -,-3099,-1820,-2636,- -,-8303,- -,- -,-21983
90,Debt Repayment,- -,- -,-2085,-16490,-7500,-49076,-31274,- -,- -,- -,- -
91,Common Stock Issued,12000,- -,- -,- -,- -,- -,- -,90000,48000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1000,10000,15500,- -,173600,143963,561824,87511,154643,- -
95,Cash Used/Provided by Financing Activities,12000,1000,7915,-990,-7500,124524,112689,651824,135511,154643,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,31,-131,-15519,26644
97,Net Change In Cash,1706,-10553,- -,- -,- -,- -,-1,-13515,-16083,-5176,1918519
98,Cash at the End of Period,10606,53,- -,22188,- -,- -,13611,21941,5858,682,2059685
99,Cash at the Beginning of Period,8900,10606,53,- -,22188,- -,- -,35456,21941,5858,141166
100,Free Cash Flow,-10294,-11553,-7968,23178,-14688,-124524,-99077,-665546,-151463,-144300,1891875
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1502557/000116169711001056/0001161697-11-001056-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000116169712000917/0001161697-12-000917-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000147793214000142/0001477932-14-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793215000261/0001477932-15-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793215007783/0001477932-15-007783-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000147793217000933/0001477932-17-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000147793217006237/0001477932-17-006237-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000121390019000724/0001213900-19-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000121390019027150/0001213900-19-027150-index.html,https://www.sec.gov/Archives/edgar/data/1502557/000121390021001897/0001213900-21-001897-index.htm,https://www.sec.gov/Archives/edgar/data/1502557/000149315222001121/0001493152-22-001121-index.htm
102,false,,,,,,,,,,,
