,https://roic.ai/company/IPIX,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355250/000117152013000616/0001171520-13-000616-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793214005027/0001477932-14-005027-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793215005843/0001477932-15-005843-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793216012448/0001477932-16-012448-index.htm,https://www.sec.gov/Archives/edgar/data/1355250/000147793217004400/0001477932-17-004400-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793218004457/0001477932-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793219005611/0001477932-19-005611-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793220005387/0001477932-20-005387-index.htm,https://www.sec.gov/Archives/edgar/data/1355250/000147793221006717/0001477932-21-006717-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8633,11797,351860,140380,3994,68661,27703,2955317,4988000,8410000,6310000,4141000,2424000,579000,6018000,10194000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,- -,- -,- -
33,Cash and Short-Term Investments,8633,11797,351860,140380,3994,68661,27703,2955317,4988000,8410000,6310000,4141000,2502000,579000,6018000,10194000
34,Net Receivables,- -,- -,- -,- -,- -,204144,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,97917,14853,97826,40290,325,4796,568000,359000,376000,334000,98000,46000,92000,495000
37,Total Current Assets,8633,11797,449777,155233,101820,313095,28028,2960113,5556000,8769000,6686000,4475000,2600000,625000,6110000,10689000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,39000,38000,90000,120000,2000,1000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,12125,11375,- -,- -,- -,- -,- -,10400,4962000,5018000,4311000,4212000,3780000,- -,3060000,2754000
41,Intangible Assets,12125,11375,- -,- -,- -,- -,- -,10400,4962000,5018000,4311000,4212000,3780000,- -,3060000,2754000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,295000,494000,358000,305000,159000,3420000,78000,856000
45,Total Non-Current Assets,12125,11375,- -,- -,- -,- -,- -,10400,5296000,5550000,4759000,4637000,3941000,3421000,3138000,3610000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20758,23172,449777,155233,101820,313095,28028,2970513,10852000,14319000,11445000,9112000,6541000,4046000,9248000,14299000
48,Accounts Payable,- -,- -,13730,340013,1187434,2139527,1966026,1849077,2664000,1838000,3528000,4699000,3185000,2127000,2043000,2563000
49,Short-Term Debt,- -,- -,- -,432310,1465217,167099,- -,- -,2022000,2022000,2022000,2022000,2022000,1922000,2039000,1620000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182000,163000,198000,207000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4500,398037,1175969,2246787,4461176,5412770,6291598,4960000,3435000,2931000,3855000,3485000,3247000,3287000,2355000
53,Total Current Liabilities,- -,4500,411767,1948292,4899438,6767802,7378796,8140675,9646000,7295000,8481000,10576000,8692000,7296000,7369000,6538000
54,Long-Term Debt,- -,- -,400000,- -,- -,349213,2022264,2022264,2022000,2022000,2022000,2022000,2022000,1922000,417000,252000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,484158,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,400000,- -,- -,833371,2022264,2022264,2022000,2022000,2022000,2022000,2022000,1922000,417000,252000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000,417000
61,Total Liabilities,- -,4500,811767,1948292,4899438,7601173,7654025,8140675,9646000,7295000,8481000,10576000,8692000,8175000,7786000,6790000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,961,978,9189,9184,9194,9172,9497,10046,11000,12000,12000,14000,17000,21000,33000,44000
64,Retained Earnings,-34122,-81283,-519802,-2005133,-5438533,-11376830,- -,- -,-28020000,-41165000,-54017000,-69553000,-85915000,-94596000,-101244000,-115116000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,53919,98977,148623,202890,631721,4079580,-7635494,-5180208,29215000,48177000,56969000,68075000,83747000,90446000,102673000,122581000
67,Total Stockholders Equity,20758,18672,-361990,-1793059,-4797618,-7288078,-7625997,-5170162,1206000,7024000,2964000,-1464000,-2151000,-4129000,1462000,7509000
68,Total Liabilities And Stockholders Equity,- -,23172,449777,155233,101820,313095,28028,2970513,10852000,14319000,11445000,9112000,6541000,4046000,9248000,14299000
69,Minority Interest,20758,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20758,23172,449777,155233,101820,313095,28028,2970513,10852000,14319000,11445000,9112000,6541000,4046000,9248000,14299000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355250/000117152013000616/0001171520-13-000616-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793214005027/0001477932-14-005027-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793215005843/0001477932-15-005843-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793216012448/0001477932-16-012448-index.htm,https://www.sec.gov/Archives/edgar/data/1355250/000147793217004400/0001477932-17-004400-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793218004457/0001477932-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793219005611/0001477932-19-005611-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793220005387/0001477932-20-005387-index.htm,https://www.sec.gov/Archives/edgar/data/1355250/000147793221006717/0001477932-21-006717-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-34122,-47161,-510193,-1485331,-3433400,-5938297,-5938297,-4894402,-8247000,-13145000,-12852000,-15536000,-16362000,-8681000,-6648000,-13872000
74,Depreciation and Amortization,- -,750,- -,- -,- -,- -,25629,616,289000,404000,420000,405000,413000,371000,373000,378000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,142162,316848,3411794,2703933,519447,548000,400000,713000,1361000,1886000,1076000,427000,183000
77,Change in Working Capital,- -,-1336,30713,-1831069,-3004559,-1657089,-896061,2170206,1090562,5564000,-3269000,-4306000,9000,-579000,5412000,5410000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,326283,847421,952093,-173502,-116949,815000,-826000,1690000,1171000,-1514000,-1057000,-84000,520000
81,Other Working Capital,8633,7297,38010,-1793059,-4797618,-6454707,-7350768,-5180562,-4090000,1474000,-1795000,-6101000,-6092000,-6671000,-1259000,4151000
82,Other Non-Cash Items,33500,41836,398980,2962758,5011818,3447889,3410937,296643,-1190562,-6294000,5101000,6365000,776000,1481000,-3720000,-1594000
83,Cash Provided by Operating Activities,-622,-5911,-80500,-211480,-1109293,-735703,-693859,-1907490,-7510000,-13071000,-9887000,-11711000,-13278000,-6332000,-4156000,-9495000
84,CAPEX,-12125,- -,- -,- -,- -,- -,- -,-11016,-2674000,-459000,-414000,-336000,-117000,-86000,-91000,-72000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-11016,-2607000,-450000,-346000,-273000,-104000,-46000,-91000,-72000
89,Cash Used for Investing Activites,-12125,- -,- -,- -,- -,- -,- -,-11016,-2650000,-459000,-414000,-336000,-104000,-46000,-91000,-72000
90,Debt Repayment,- -,- -,- -,- -,- -,-100000,-467099,- -,- -,- -,- -,- -,- -,- -,- -,-197000
91,Common Stock Issued,21380,9075,- -,- -,- -,- -,- -,4382420,9772000,16097000,8173000,10098000,11837000,- -,- -,4603000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220000,-172000,-91000,-55000,-670000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,432360,- -,972907,900370,1120000,463700,2421000,855000,28000,- -,- -,4624000,9741000,10007000
95,Cash Used/Provided by Financing Activities,21380,9075,432360,- -,972907,800370,652901,4846120,12193000,16952000,8201000,9878000,11665000,4533000,9686000,13743000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,21380,3164,432360,-211480,-136386,64667,-40958,2927614,2033000,3422000,-2100000,-2169000,-1717000,-1845000,5439000,4176000
98,Cash at the End of Period,8633,11797,351860,140380,3994,68661,27703,2955317,4988000,8410000,6310000,4141000,2424000,579000,6018000,10194000
99,Cash at the Beginning of Period,- -,8633,- -,351860,140380,3994,68661,27703,2955000,4988000,8410000,6310000,4141000,2424000,579000,6018000
100,Free Cash Flow,-12747,-5911,-80500,-211480,-1109293,-735703,-693859,-1918506,-10184000,-13530000,-10301000,-12047000,-13395000,-6418000,-4247000,-9567000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355250/000117152013000616/0001171520-13-000616-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793214005027/0001477932-14-005027-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793215005843/0001477932-15-005843-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793216012448/0001477932-16-012448-index.htm,https://www.sec.gov/Archives/edgar/data/1355250/000147793217004400/0001477932-17-004400-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793218004457/0001477932-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793219005611/0001477932-19-005611-index.html,https://www.sec.gov/Archives/edgar/data/1355250/000147793220005387/0001477932-20-005387-index.htm,https://www.sec.gov/Archives/edgar/data/1355250/000147793221006717/0001477932-21-006717-index.htm
102,false,,,,,,,,,,,,,,,,
