,https://roic.ai/company/ABEO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,227,313,374,10600,18445,44168,51426,52416,53066,60649,64749,70638,71040,117080,236370,312662,399664,483575,504863,1942905,27597434,34180253,41636752,47528248,50354596,92663574,92663574
28,Weighted Average Shares Outstanding Diluted,227,313,374,10600,18445,44168,51426,52416,53066,60649,64749,70638,71040,117080,236370,312662,399664,483575,509472,1942905,27597434,34180253,41636752,47528248,50354596,92663574,92663574
29,SEC Link,https://www.sec.gov/Archives/edgar/data/318306/000095014696000501/0000950146-96-000501-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830697000003/0000318306-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830698000004/0000318306-98-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/318306/000031830601500006/0000318306-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830602000003/0000318306-02-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318306/000031830611000002/0000318306-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830612000020/0000318306-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830613000004/0000318306-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830614000006/0000318306-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420415020126/0001144204-15-020126-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420416091600/0001144204-16-091600-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420417017709/0001144204-17-017709-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420418015277/0001144204-18-015277-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420419014623/0001144204-19-014623-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315220004015/0001493152-20-004015-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315221006705/0001493152-21-006705-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315222008259/0001493152-22-008259-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1888000,4428000,438000,1500000,869000,8415000,7426000,1444000,727000,1775000,349000,1194000,159000,2663000,607000,7033000,2460000,396000,424000,11520000,40138000,69142000,137750000,18750000,129258000,12596000,32938000
32,Short-Term Investments,- -,- -,- -,- -,- -,17394000,12700000,8332000,1860000,486000,125000,3195000,6762000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66218000,- -,82438000,12086000
33,Cash and Short-Term Investments,1888000,4428000,438000,1500000,869000,25809000,20126000,9776000,2587000,2261000,474000,4389000,6921000,2663000,607000,7033000,2460000,396000,424000,11520000,40138000,69142000,137750000,84968000,129258000,95034000,45024000
34,Net Receivables,48000,1000,1000,- -,88000,447000,193000,1273000,1226000,791000,4488000,359000,966000,782000,36000,1018000,333000,840000,74000,35000,115000,124000,107000,81000,- -,- -,3000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,461000,108000,125000,- -,- -,- -,- -,- -,- -,151000,194000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,193000,190000,51000,- -,117000,133000,611000,852000,898000,1093000,197000,283000,410000,105000,42000,70000,369000,251000,77000,- -,315000,155000,2735000,3802000,3132000,2708000,7377000
37,Total Current Assets,2129000,4619000,490000,1500000,1074000,26389000,20930000,12362000,4819000,4270000,5159000,5031000,8297000,3550000,685000,8121000,3313000,1681000,575000,11555000,40568000,69421000,140592000,88851000,132390000,97742000,55401000
38,PP&E,- -,300000,422000,200000,108000,116000,477000,742000,1004000,1040000,300000,212000,130000,87000,50000,32000,51000,7000,6000,4000,350000,721000,1374000,9443000,21204000,18354000,21742000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1868000,- -,1868000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32466000,32466000,32466000,32466000,32466000,32466000,- -
40,Intangible Assets,- -,- -,- -,400000,3260000,3002000,2642000,3440000,4887000,2440000,1121000,903000,710000,542000,787000,574000,362000,- -,- -,4991000,6609000,8384000,3977000,43042000,36178000,1500000,- -
41,Intangible Assets,- -,- -,475000,400000,3260000,3002000,2642000,5308000,4887000,4308000,1121000,903000,710000,542000,787000,574000,362000,- -,- -,4991000,39075000,40850000,36443000,75508000,68644000,33966000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9000,60000,300000,158000,1019000,1438000,1075000,1101000,1472000,633000,280000,12000,78000,61000,44000,59000,42000,32000,32000,62000,66000,357000,597000,1144000,1136000,2443000
45,Total Non-Current Assets,- -,309000,957000,900000,3526000,4137000,4557000,7125000,6992000,6820000,2054000,1395000,852000,707000,898000,650000,472000,49000,38000,5027000,39487000,41637000,38174000,85548000,90992000,53456000,24185000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2129000,4928000,1447000,2400000,4600000,30526000,25487000,19487000,11811000,11090000,7213000,6426000,9149000,4257000,1583000,8771000,3785000,1730000,613000,16582000,80055000,111058000,178766000,174399000,223382000,151198000,79586000
48,Accounts Payable,136000,- -,- -,400000,728000,1158000,1486000,2469000,1780000,2131000,2883000,1226000,1796000,1970000,4094000,2984000,1713000,2039000,863000,1896000,875000,3694000,2393000,6122000,3763000,4695000,4325000
49,Short-Term Debt,- -,- -,- -,100000,26000,- -,107000,789000,338000,8417000,106000,8833000,64000,- -,- -,5500000,2750000,- -,- -,400000,- -,- -,- -,10000000,1699000,2043000,1818000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,155000,551000,508000,1199000,1184000,1199000,173000,173000,68000,164000,347000,347000,285000,247000,578000,602000,602000,602000,3214000,296000,296000,296000,296000
52,Other Current Liabilities,300000,675000,706000,- -,77000,283000,310000,311000,311000,311000,652000,581000,130000,2772000,4193000,5426000,7442000,4343000,7520000,- -,- -,4000000,- -,3936000,32943000,34925000,10184000
53,Total Current Liabilities,436000,675000,706000,500000,986000,1992000,2411000,4768000,3613000,12058000,3814000,10813000,2058000,4906000,8634000,14257000,12190000,6629000,8961000,2898000,1477000,8296000,5607000,20354000,38701000,41959000,16623000
54,Long-Term Debt,- -,110000,- -,- -,- -,- -,468000,14230000,14023000,5693000,7636000,5500000,5500000,5500000,5500000,- -,- -,- -,- -,4000000,4000000,- -,- -,20000000,6251000,6688000,7560000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2245000,4730000,4382000,3264000,2706000,5241000,4868000,4266000,3664000,3061000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,7000,83000,142000,100000,- -,13530000,13530000,- -,- -,- -,- -,- -,910000,- -,9708000,10927000,5937000,9471000,1190000,- -,2591000,- -,- -,- -,- -,- -,4028000
58,Total Non-Current Liabilities,7000,193000,142000,100000,- -,13530000,13998000,14230000,14023000,5693000,7636000,5500000,6410000,7745000,19938000,15309000,9201000,12177000,6431000,8868000,10857000,3664000,3061000,20000000,6251000,6688000,11588000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7950000,6973000,- -
61,Total Liabilities,443000,868000,848000,600000,986000,15522000,16409000,18998000,17636000,17751000,11450000,16313000,8468000,12651000,28572000,29566000,21391000,18806000,15392000,11766000,12334000,11960000,8668000,40354000,44952000,48647000,28211000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,350000,1256000,1304000,- -,61000,132000,132000,132000,134000,155000,176000,35000,36000,70000,132000,191000,239000,247000,257000,200000,328000,403000,469000,479000,836000,961000,- -
64,Retained Earnings,-39026000,-15307000,-19748000,-23100000,-26453000,-31881000,-37908000,-47292000,-54227000,-64465000,-66165000,-77672000,-114324000,-134897000,-241807000,-251135000,-255441000,-267972000,-266421000,-296074000,-310600000,-332473000,-359792000,-410188000,-486470000,-570704000,-655640000
65,Other Comprehensive Income/Loss,- -,- -,- -,-800000,-908000,-972000,-992000,-1336000,-1325000,-1357000,-1045000,-1045000,-1045000,- -,- -,-870000,-834000,-891000,-8000,-10000,-31000,-179000,-386000,-1560000,-4157000,-10000,-27000
66,Other Total Stockholders Equity,40362000,18111000,19043000,25700000,30914000,47725000,47846000,48985000,49593000,59006000,62797000,68795000,- -,- -,- -,231019000,238430000,251540000,251393000,300700000,378024000,431347000,529807000,545314000,668221000,672304000,707042000
67,Total Stockholders Equity,1686000,4060000,599000,1800000,3614000,15004000,9078000,489000,-5825000,-6661000,-4237000,-9887000,681000,-8394000,-26989000,-20795000,-17606000,-17076000,-14779000,4816000,67721000,99098000,170098000,134045000,178430000,102551000,51375000
68,Total Liabilities And Stockholders Equity,2129000,4928000,1447000,2400000,4600000,30526000,25487000,19487000,11811000,11090000,7213000,6426000,9149000,4257000,1583000,8771000,3785000,1730000,613000,16582000,80055000,111058000,178766000,174399000,223382000,151198000,79586000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2129000,4928000,1447000,2400000,4600000,30526000,25487000,19487000,11811000,11090000,7213000,6426000,9149000,4257000,1583000,8771000,3785000,1730000,613000,16582000,80055000,111058000,178766000,174399000,223382000,151198000,79586000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/318306/000095014696000501/0000950146-96-000501-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830697000003/0000318306-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830698000004/0000318306-98-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/318306/000031830601500006/0000318306-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830602000003/0000318306-02-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318306/000031830611000002/0000318306-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830612000020/0000318306-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830613000004/0000318306-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830614000006/0000318306-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420415020126/0001144204-15-020126-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420416091600/0001144204-16-091600-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420417017709/0001144204-17-017709-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420418015277/0001144204-18-015277-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420419014623/0001144204-19-014623-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315220004015/0001493152-20-004015-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315221006705/0001493152-21-006705-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315222008259/0001493152-22-008259-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,341000,-11462000,-4441000,-3400000,-3308000,-5428000,-6027000,-9384000,-6935000,-10238000,-1700000,-12874000,-21856000,-17215000,-17340000,-7537000,-2532000,-10532000,4449000,-26778000,-14526000,-21873000,-27319000,-56671000,-76282000,-84234000,-84936000
74,Depreciation and Amortization,15000,123000,162000,200000,285000,476000,627000,686000,898000,1076000,1574000,7058000,2595000,253000,259000,238000,233000,419000,3000,11000,551000,825000,741000,2360000,8677000,5601000,4464000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,811000,1015000,1066000,390000,439000,1305000,4368000,4829000,5916000,8866000,8237000,8187000,5250000
77,Change in Working Capital,285000,2251000,-4160000,1216000,-912000,24309000,-5878000,-10925000,-6388000,-8994000,9133000,-7127000,12021000,-7595000,-6593000,1813000,-2741000,3929000,-3438000,17043000,30434000,22034000,73860000,-66488000,25192000,-37906000,-17005000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-507000,766000,39000,-79000,-9000,17000,26000,- -,- -,-3000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-461000,353000,60000,104000,- -,- -,- -,- -,- -,-151000,-43000,194000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567000,-1176000,33000,-1174000,2819000,-1301000,7665000,-1707000,-2178000,- -
81,Other Working Capital,1693000,3944000,-216000,1000000,88000,24397000,18519000,7594000,1206000,-7788000,1345000,-5782000,6239000,-1356000,-7949000,-6136000,-8877000,-4948000,-8386000,8657000,39091000,61125000,134985000,68497000,93689000,55783000,38778000
82,Other Non-Cash Items,17000,6420000,4811000,-1216000,690000,-23688000,6006000,11028000,6062000,9079000,-16308000,10985000,12083000,17997000,20615000,-2389000,-3635000,1839000,-1452000,6808000,-31250000,-18829000,-76133000,72822000,-28644000,73333000,26562000
83,Cash Provided by Operating Activities,658000,-2668000,-3628000,-3200000,-3245000,-4331000,-5272000,-8595000,-6363000,-9077000,-7301000,-1958000,4843000,-6560000,-2248000,-6860000,-7609000,-3955000,1000,-1611000,-10423000,-13014000,-22935000,-39111000,-62820000,-35019000,-65665000
84,CAPEX,- -,-38000,-16000,-100000,-5000,-72000,-419000,-403000,-462000,-221000,-28000,-3000,-18000,-93000,-2000,-7000,-40000,-13000,-2000,- -,-308000,-519000,-860000,-19494000,-6508000,-1336000,-4151000
85,Acquisitions Net,- -,- -,- -,- -,-102000,- -,- -,-1313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3697000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-17394000,- -,- -,- -,- -,- -,-3070000,-3567000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136092000,- -,-170472000,-20163000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4368000,6472000,1374000,361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70500000,66484000,88094000,90376000
88,Other Investing Activites,- -,-38000,-184000,- -,- -,- -,4094000,36000,28000,- -,9384000,550000,13000,-93000,-1000,-7000,-40000,-13000,-2000,- -,-308000,-519000,-860000,-19494000,-6508000,-1336000,- -
89,Cash Used for Investing Activites,- -,-38000,-184000,-100000,-107000,-17466000,3675000,2688000,6038000,1153000,9717000,-2523000,-3572000,-93000,-1000,-7000,-40000,-13000,-2000,- -,3389000,-519000,-860000,-85086000,59976000,-83714000,- -
90,Debt Repayment,-5000,-127000,-178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000,- -,- -,-2750000,-2750000,- -,- -,-400000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,5526000,- -,4600000,2831000,18553000,33000,32000,266000,9299000,577000,- -,35000,- -,- -,13101000,5826000,- -,- -,12307000,31417000,42187000,86174000,- -,112933000,1000,17433000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,1705000,- -,-200000,-97000,11544000,575000,-107000,-658000,-310000,-4422000,5326000,7345000,2459000,179000,192000,- -,4654000,29000,400000,4635000,350000,6229000,5477000,969000,1935000,7428000
95,Cash Used/Provided by Financing Activities,-105000,7104000,-178000,4400000,2734000,29343000,608000,-75000,-392000,8989000,-3845000,5326000,7380000,2395000,179000,13293000,3076000,1904000,29000,12707000,35652000,42537000,92403000,5477000,113902000,1936000,24861000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,553000,4398000,-3990000,1100000,-618000,7546000,-989000,-5982000,-717000,1048000,-1426000,845000,8651000,-4258000,-2070000,6426000,-4573000,-2064000,28000,11096000,28618000,29004000,68608000,-118720000,111058000,-116797000,25258000
98,Cash at the End of Period,1888000,4428000,438000,1500000,869000,8415000,7426000,1444000,727000,1775000,349000,1194000,9845000,2663000,607000,7033000,2460000,396000,424000,11520000,40138000,69142000,137750000,19310000,130368000,13571000,38829000
99,Cash at the Beginning of Period,1335000,30000,4428000,400000,1487000,869000,8415000,7426000,1444000,727000,1775000,349000,1194000,6921000,2677000,607000,7033000,2460000,396000,424000,11520000,40138000,69142000,138030000,19310000,130368000,13571000
100,Free Cash Flow,658000,-2706000,-3644000,-3300000,-3250000,-4403000,-5691000,-8998000,-6825000,-9298000,-7329000,-1961000,4825000,-6653000,-2250000,-6867000,-7649000,-3968000,-1000,-1611000,-10731000,-13533000,-23795000,-58605000,-69328000,-36355000,-69816000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/318306/000095014696000501/0000950146-96-000501-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830697000003/0000318306-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830698000004/0000318306-98-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/318306/000031830601500006/0000318306-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/318306/000031830602000003/0000318306-02-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318306/000031830611000002/0000318306-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830612000020/0000318306-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830613000004/0000318306-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000031830614000006/0000318306-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420415020126/0001144204-15-020126-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420416091600/0001144204-16-091600-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420417017709/0001144204-17-017709-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420418015277/0001144204-18-015277-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000114420419014623/0001144204-19-014623-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315220004015/0001493152-20-004015-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315221006705/0001493152-21-006705-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315222008259/0001493152-22-008259-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
