,https://roic.ai/company/SSSS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,66649050,67512800,68382550,38434510,38803640,- -,- -
58,Total Non-Current Liabilities,- -,- -,68335295,68462353,66649050,67512800,68382550,38434510,38803640,- -,- -
59,Other Liabilities,- -,- -,- -,- -,135245668,- -,- -,- -,- -,176530319,97469203
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20294994,547927,89981114,199742423,131779698,108835616,176919670,134841395,88646800,177292631,97469203
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,55201,193201,193201,193201,221810,221810,212463,197626,175642,199140,311185
64,Retained Earnings,- -,-10316745,-19192401,-31972292,-16634037,-1443996,-8593717,-16228294,-25679362,-40193778,- -
65,Other Comprehensive Income/Loss,- -,-12000000,-33000000,- -,-14000000,-2000000,-8000000,-24000000,-20000000,- -,- -
66,Other Total Stockholders Equity,71448047,274706345,339965644,317682764,298423172,195350996,221144120,235408827,245421009,341577711,- -
67,Total Stockholders Equity,71503248,252582801,287966444,285903673,268010945,192128810,204762866,195378159,199917289,301583073,364846624
68,Total Liabilities And Stockholders Equity,91798242,253130728,377947558,485646096,399790643,300964426,381682536,330219554,288564089,478875704,462315827
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,91798242,253130728,377947558,485646096,399790643,300964426,381682536,330219554,288564089,478875704,462315827
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1509470/000114420412014453/0001144204-12-014453-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420413014937/0001144204-13-014937-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1509470/000114420416088256/0001144204-16-088256-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420417015088/0001144204-17-015088-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420418015279/0001144204-18-015279-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000162828019004418/0001628280-19-004418-index.htm,https://www.sec.gov/Archives/edgar/data/1509470/000150947020000003/0001509470-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000162828021004632/0001628280-21-004632-index.htm,https://www.sec.gov/Archives/edgar/data/1509470/000162828022005867/0001628280-22-005867-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-3613664,-19834250,35383643,-2062771,8466157,-74994895,17567933,891743,23953697,75337438,- -
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73410631,- -
75,Deferred Income Tax,- -,- -,8320561,-1412895,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1962431,- -
77,Change in Working Capital,-38187,-60261096,345116023,-480218128,60733309,21860260,-67214300,12130230,44907826730,-44766388428,385257611
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,844825,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,149921,54172,-114568,-89215,- -,- -,- -,- -,- -,-381611,- -
81,Other Working Capital,71446812,11185716,356301739,-123916389,-63183080,-41322820,-108537120,-96406890,44811419840,45031412,430289023
82,Other Non-Cash Items,-71079066,-109885927,-457873692,461974096,-14963584,49174246,106236643,-3447220,-44896798115,44738875031,-385257611
83,Cash Provided by Operating Activities,-74730917,-189981273,-69053465,-21719698,54235882,-3960389,56590276,9574753,34982312,-23624159,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,89503340,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-18000000,-24000000,-3500000,-16000000,-69272565,- -,- -,- -
91,Common Stock Issued,76175200,201652500,- -,- -,- -,- -,- -,- -,- -,49882319,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-4933877,-10276450,-14792364,-10380035,- -
93,Dividends Paid,- -,- -,- -,- -,-26358885,-887240,- -,- -,-3512849,-14659850,- -
94,Other Financing Activites,-1058288,-738697,64954143,35973375,6000000,3330386,15849567,38319825,- -,-285814,- -
95,Cash Used/Provided by Financing Activities,75116912,200913803,64954143,17973375,-44358885,-1056854,-5084310,-41229190,-18305213,24556620,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10932530,-4099322,-3746323,9876997,-5017243,51505966,-31654437,16677099,932461,- -
98,Cash at the End of Period,385995,11318525,7219203,3472880,13349877,8332634,59838600,28184163,44861262,45793724,- -
99,Cash at the Beginning of Period,- -,385995,11318525,7219203,3472880,13349877,8332634,59838600,28184163,44861263,45793724
100,Free Cash Flow,-74730917,-189981273,-69053465,-21719698,54235882,-3960389,56590276,9574753,34982312,-23624159,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1509470/000114420412014453/0001144204-12-014453-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420413014937/0001144204-13-014937-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1509470/000114420416088256/0001144204-16-088256-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420417015088/0001144204-17-015088-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000114420418015279/0001144204-18-015279-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000162828019004418/0001628280-19-004418-index.htm,https://www.sec.gov/Archives/edgar/data/1509470/000150947020000003/0001509470-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1509470/000162828021004632/0001628280-21-004632-index.htm,https://www.sec.gov/Archives/edgar/data/1509470/000162828022005867/0001628280-22-005867-index.htm
102,false,,,,,,,,,,,
