,https://roic.ai/company/PFTI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10,Operating Expenses,2330361,4360267,1842091,1022095,7518745,4737858,3394060,1649,3253023,2848826,2691986,2136347,2572832,1882337,2128238,2046152,2064474,2050531,2012865,1666895,1579835,1447745,1523613,1431980
11,COGS and Expenses,3286989,5379584,2421599,1504720,8598316,6484214,5452499,2284099,5779004,5268971,5258558,4967907,5028748,3648771,4483436,4119075,4011958,3855799,4018365,3126203,3043633,3206719,3986821,2739602
12,Interest Income ,1843,- -,6763,- -,- -,- -,52553,51344,53560,63365,50413,32516,2291,175672,104,153,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),25354,- -,354281,- -,85128,52459,230482,330521,334383,460473,518265,588583,313730,157606,163258,172366,175919,218814,251131,294686,346714,273516,327452,407234
14,Depreciation and Amortization,61374,571756,104941,103033,33700,153778,379635,411458,402670,332316,232627,118228,71404,42986,46894,48841,47707,35539,39754,41700,36640,34373,47947,195475
15,EBITDA,-1896542,-3852369,-1601867,-909923,-6970565,-4350513,-2905599,-3308780,-2850715,-2398005,-1902571,-1734290,-2259413,-1870006,-1363904,-1390635,-2003847,-1078939,-865975,-1109704,-1057863,-922205,159017,-1083932
16,EBITDA ratio,-1.4289,-2.8480,-2.2624,-1.5675,-5.9447,-2.9549,-1.3596,-1.7355,-1.1532,-0.9688,-0.6191,-0.5626,-0.8382,-0.9783,-0.4390,-0.5190,-0.7799,-0.4250,-0.2782,-0.5619,-0.5427,-0.4098,0.0378,-0.7101
17,Operating Income,-1959759,-4026921,-1713571,-577220,-7425749,-5011907,-3315381,-377582,-3306945,-2793686,-2185611,-1885034,-2333108,-1737320,-1376944,-1439629,-1442459,-1317186,-905729,-1151404,-1094503,-956578,111070,-1279407
18,Operating Income ratio,-1.4766,-2.9770,-2.4202,-0.9944,-6.3329,-3.4041,-1.5513,-0.1980,-1.3377,-1.1286,-0.7112,-0.6115,-0.8655,-0.9089,-0.4432,-0.5373,-0.5614,-0.5189,-0.2910,-0.5830,-0.5615,-0.4251,0.0264,-0.8382
19,Total Other Income Expenses (Gains),- -,- -,- -,694040,421484,507616,-22406,- -,- -,- -,- -,- -,-311439,-333278,-197112,-172213,-785014,-16106,-251131,-294686,-346714,-273516,-327452,-407234
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2644547,-2070598,-1574056,-1611842,-2227473,-1333292,-1156860,-1446090,-1441217,-1230094,-216382,-1686641
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.9810,-1.0833,-0.5067,-0.6016,-0.8669,-0.5252,-0.3717,-0.7323,-0.7394,-0.5467,-0.0515,-1.1050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1983270,-4424125,-2061089,-1012956,-7089393,-4556750,-3515716,-4050759,-3587768,-3190794,-2653463,-2441101,-2644547,-2070598,-1574056,-1611842,-2227473,-1333292,-1156860,-1446090,-1441217,-1230094,-216382,-1686641
24,Net Income ratio,-1.4943,-3.2707,-2.9110,-1.7450,-6.0460,-3.0950,-1.6451,-2.1247,-1.4513,-1.2891,-0.8635,-0.7918,-0.9810,-1.0833,-0.5067,-0.6016,-0.8669,-0.5252,-0.3717,-0.7323,-0.7394,-0.5467,-0.0515,-1.1050
25,EPS,-0.24,-0.86,-0.40,-0.19,-0.55,-0.31,-0.23,-0.26,-0.21,-0.16,-0.10,-0.09,-0.08,-0.05,-0.04,-0.04,-0.05,-0.03,-0.02,-0.03,-0.03,-0.02,-0.00,-0.02
26,EPS Diluted,-0.24,-0.86,-0.40,-0.19,-0.55,-0.31,-0.23,-0.26,-0.21,-0.16,-0.10,-0.09,-0.08,-0.05,-0.04,-0.04,-0.05,-0.03,-0.02,-0.03,-0.03,-0.02,-0.00,-0.02
27,Weighted Average Shares Outstanding,8305625,5167681,5213752,5300189,12984296,14733287,15588539,15726140,17278448,20268512,25385294,28322903,33088770,39963227,44865168,46547333,47221186,48373044,48809135,48683135,51301400,69016468,69016468,69016468
28,Weighted Average Shares Outstanding Diluted,8305625,5167681,5213752,5300189,12984296,14733287,15588539,15726140,17278448,20268512,25385294,28322903,33088770,39963227,44865168,46547333,47221186,48373044,48809135,48683135,51301400,69016468,69016468,69016468
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019787/000089710109000778/0000897101-09-000778-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000089710110000775/0000897101-10-000775-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000089710111000628/0000897101-11-000628-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000094344012000320/0000943440-12-000320-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000094344013000361/0000943440-13-000361-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335014000291/0001553350-14-000291-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335015000300/0001553350-15-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335016001803/0001553350-16-001803-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335017000332/0001553350-17-000332-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335018000327/0001553350-18-000327-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335019000248/0001553350-19-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335020000331/0001553350-20-000331-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,633024,1394830,257210,155557,55175,112270,116802,140266,49813,51152,132352,161503,53288,34471,12806,54438,112769,77516
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,633024,1394830,257210,155557,55175,112270,116802,140266,49813,51152,132352,161503,53288,34471,12806,54438,112769,77516
34,Net Receivables,- -,- -,- -,- -,- -,- -,463623,224555,490650,423041,497888,382279,182660,97072,166367,309962,141073,182143,205314,116425,260171,270896,293994,12374
35,Inventory,- -,- -,- -,- -,- -,- -,1162650,1202500,1270641,1181781,1272456,1475380,1337309,851069,774818,677127,717795,593783,587690,817437,682108,400764,834708,922952
36,Other Current Assets,- -,- -,- -,- -,- -,- -,230350,228906,547469,334819,174015,181648,184537,115074,52828,46538,79523,84279,91893,23594,55447,69355,66290,26144
37,Total Current Assets,- -,- -,- -,- -,- -,- -,2489647,3050791,2565970,2095198,1999534,2151577,1821308,1203481,1043826,1084779,1070743,1021708,938185,991927,1010532,795453,1307761,1038986
38,PP&E,- -,- -,- -,- -,- -,- -,728995,659285,547819,334615,193832,162838,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338899,434587,496720,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338899,434587,496720,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,344605,289364,40930,40930,81679,59452,172264,177608,204144,211202,312035,374554,405727,97740,78323,81147,562616,1199761
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,1073600,948649,588749,375545,275511,222290,172264,177608,204144,211202,312035,374554,405727,436639,512910,577867,562616,1199761
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,3563247,3999440,3154719,2470743,2275045,2373867,1993572,1381089,1247970,1295981,1382778,1396262,1343912,1428566,1523442,1373320,1870377,2238747
48,Accounts Payable,- -,- -,- -,- -,- -,- -,247702,95140,220235,270389,316716,594372,305645,177032,217248,204422,195898,103252,130597,73844,147584,186696,416790,414768
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,7188349,7988349,325000,1247508
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,105996,36461,42391,75810,99915,136169,120647,73336,2743,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,471822,512884,506931,752330,891047,1055119,1150395,1151589,1264787,1517079,1696461,1688363,1825598,1934848,1941491,2091378,2169610,2197636
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,825520,644485,769557,1098529,1307678,1785660,1576687,1401957,1484778,1721501,1892359,1791615,1981195,2008692,9277424,10266423,2911400,3859912
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2000000,5001900,5501900,6071000,5839000,6250000,- -,- -,- -,- -,- -,9829242,10574367,11924617,- -,- -,7989622,8385132
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2665,15140,10620,6060,- -,7139,6372982,5712404,6361914,7439059,8725414,3280,- -,7198,3443,- -,- -,656577
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2002665,5017040,5512520,6077060,5839000,6257139,6372982,5712404,6361914,7439059,8725414,9832522,10574367,11931815,3443,- -,7989622,9041709
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,2665,15140,10620,6060,- -,7139,7139,5260,1989,12842,18805,11377,3280,10953,7198,3443,- -,815030
61,Total Liabilities,- -,- -,- -,- -,- -,- -,2828185,5661525,6282077,7175589,7146678,8042799,7949669,7114361,7846692,9160560,10617773,11624137,12555562,13940507,9280867,10266423,10901022,12901621
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,15648,16442,17452,22276,27310,29401,35839,43371,46071,46830,47399,48632,48683,48683,69016,69016,69016,69016
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-29901327,-33952086,-37539854,-40730646,-43384109,-45825210,-48469757,-50540355,-52114411,-53726253,-55953726,-57287018,-58443878,-59889968,-61331185,-62561279,-62777661,-64464302
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-701331,-925640,-1151096,-1099592,-1284182,-1331062,-1198649,-1196376,-1241256,-1289091,-1333414,-1360935,-1389259,-1408489,-1431086,-1450861,-1464224,-1492270
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,31322072,33199199,35546140,37103116,39769348,41457939,43676470,45960088,46710874,47103935,48004746,48371446,48572804,48737833,54935830,55050021,55142224,55224682
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,735062,-1662085,-3127358,-4704846,-4871633,-5668932,-5956097,-5733272,-6598722,-7864579,-9234995,-10227875,-11211650,-12511941,-7757425,-8893103,-9030645,-10662874
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,3563247,3999440,3154719,2470743,2275045,2373867,1993572,1381089,1247970,1295981,1382778,1396262,1343912,1428566,1523442,1373320,1870377,2238747
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,3563247,3999440,3154719,2470743,2275045,2373867,1993572,1381089,1247970,1295981,1382778,1396262,1343912,1428566,1523442,1373320,1870377,2238747
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019787/000089710109000778/0000897101-09-000778-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000089710110000775/0000897101-10-000775-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000089710111000628/0000897101-11-000628-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000094344012000320/0000943440-12-000320-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000094344013000361/0000943440-13-000361-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335014000291/0001553350-14-000291-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335015000300/0001553350-15-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335016001803/0001553350-16-001803-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335017000332/0001553350-17-000332-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335018000327/0001553350-18-000327-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335019000248/0001553350-19-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335020000331/0001553350-20-000331-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1983270,-4424125,-2061089,-1012956,-7089393,-4556750,-3515716,-4050759,-3587768,-3190794,-2653463,-2441101,-2644547,-2070598,-1574056,-1611842,-2227473,-1333292,-1156860,-1446090,-1441217,-1230094,-216382,-1686641
74,Depreciation and Amortization,61374,571756,104941,103033,33700,153778,379635,411458,402670,332316,232627,118228,71404,42986,46894,48841,47707,35539,39754,41700,36640,34373,47947,195475
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255618,131084,180233,212293,207719,181297,148702,119413,95733,41752,52590,54412
77,Change in Working Capital,-228843,-158683,844040,486233,-1060411,-238748,-627429,11135,-329556,628401,160131,453221,31360,370426,7664,-4765,176193,146353,142009,-40362,23006,309651,-189409,384236
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149198,71786,-65177,-135297,177715,-41777,-23935,88889,-143746,-10725,-23098,271620
79,Inventory,-270612,-89201,187001,132908,-257151,-509008,-369601,-39851,-68141,74368,-65856,-140360,94836,405115,-35607,22888,-90971,55669,4366,-250958,118221,142312,-447555,-118611
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288727,-128613,40215,-12825,-8523,-6930,27345,-56753,73742,39108,230094,-2022
81,Other Working Capital,61773,-14249,247893,- -,- -,-179,- -,- -,- -,- -,- -,- -,-15522,-47107,-108493,-37303,- -,- -,10147,95654,-6759,23177,-60900,-21830
82,Other Non-Cash Items,541618,619886,37760,-155879,4917546,333148,-394184,41521,61378,2582,318544,60951,-26930,389983,141701,66504,651527,12162,2491,22264,17108,141281,118032,106602
83,Cash Provided by Operating Activities,-1609121,-3391166,-1074348,-579569,-3198558,-4308572,-4157694,-3586645,-3453276,-2227495,-1942161,-1808701,-2313095,-1136119,-1197564,-1288969,-1144327,-957941,-823904,-1303075,-1268730,-703037,-187222,-945916
84,CAPEX,-317066,-281207,-31360,- -,-98261,-599113,-194213,-138355,-132782,-23012,-39455,-60878,-24091,-49260,-35531,-21341,-148540,-127845,-70722,-61924,-112912,-104576,-107277,-11845
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-7666945,-8257236,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,600000,9421347,5815930,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-250454,-49992,- -,1696,- -,- -,- -,- -,- -,- -,- -,5458,- -,- -,- -,- -,-122887,-92337,-41553,-40005,-109732,-73731,-76268,-11845
89,Cash Used for Investing Activites,-340374,-271107,-31360,1696,-7165206,564998,5621717,-138355,-132782,-23012,-39455,-55420,-24091,-49260,-35531,-21341,-148540,-127845,-70722,-61924,-112912,-101576,-102277,-11845
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1048,-1879,-3272,-1989,-6510,-7428,-8097,-4068,-103755,-53755,-253443,-3592
91,Common Stock Issued,- -,- -,- -,500000,10748409,263448,170324,1542666,1989359,1485136,2269600,1503500,1820000,1982776,445100,108335,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2846723,2986187,852834,85994,26049,3973875,-1984781,2995931,495937,564540,-236987,405069,117702,-657287,701500,1204945,1362737,1140205,794508,1350250,1463732,900000,601273,926100
95,Cash Used/Provided by Financing Activities,2846723,2986187,852834,585994,10774458,4237323,-1814457,4538597,2485296,2049676,2032613,1908569,1936654,1323610,1143328,1311291,1356227,1132777,786411,1346182,1359977,846245,347830,922508
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2581,1132,9419,-51791,-36858,99178,-151379,12647,405064,115494,-686,357,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,897228,-676086,852834,585994,408113,494881,-341015,761806,-1137620,-101653,-100382,57095,4532,23464,-90453,1338,63360,46991,-108215,-18817,-21665,41632,58331,-35253
98,Cash at the End of Period,928960,252874,- -,8121,479158,974039,633024,1394830,257210,155557,55175,112270,116802,140266,49813,51151,114512,161503,53288,34471,12806,54438,112769,77516
99,Cash at the Beginning of Period,31732,928960,252874,- -,71045,479158,974039,633024,1394830,257210,155557,55175,112270,116802,140266,49813,51152,114512,161503,53288,34471,12806,54438,112769
100,Free Cash Flow,-1926187,-3672373,-1105708,-579569,-3296819,-4907685,-4351907,-3725000,-3586058,-2250507,-1981616,-1869579,-2337186,-1185379,-1233095,-1310310,-1292867,-1085786,-894626,-1364999,-1381642,-807613,-294499,-957761
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019787/000089710109000778/0000897101-09-000778-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000089710110000775/0000897101-10-000775-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000089710111000628/0000897101-11-000628-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000094344012000320/0000943440-12-000320-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000094344013000361/0000943440-13-000361-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335014000291/0001553350-14-000291-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335015000300/0001553350-15-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335016001803/0001553350-16-001803-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335017000332/0001553350-17-000332-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335018000327/0001553350-18-000327-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335019000248/0001553350-19-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1019787/000155335020000331/0001553350-20-000331-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
