,https://roic.ai/company/MHO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0453,0.0423,0.0347,0.0402,0.0505,0.0654,0.0833,0.0799,0.0919,0.1079,0.1285,0.1309,0.1231,0.0492,-0.1756,-0.3229,-0.1345,-0.0166,-0.0200,0.0462,0.0600,0.0733,0.0790,0.0707,0.0764,0.0759,0.0802,0.1099,0.1403
17,Operating Income,28600000,29100000,30600000,36200000,41200000,59700000,83100000,90918000,101210000,123010000,144736000,159639000,175535000,148116000,12844000,-209482000,-83581000,-9611000,-18897000,32332000,64498000,86211000,115432000,112735000,146340000,163161000,187089000,319261000,518296000
18,Operating Income ratio,0.0641,0.0592,0.0580,0.0627,0.0671,0.0807,0.0975,0.0972,0.1036,0.1191,0.1353,0.1359,0.1303,0.1090,0.0126,-0.3447,-0.1466,-0.0156,-0.0334,0.0424,0.0622,0.0709,0.0814,0.0667,0.0746,0.0714,0.0748,0.1048,0.1384
19,Total Other Income Expenses (Gains),-10000000,-9900000,-14100000,-13100000,-11800000,-13100000,-14300000,-18354000,-16168000,-13810000,-9637000,-8342000,-14108000,-87997000,-163720000,-5642000,-9408000,-17793000,-15005000,-19573000,-23163000,-16475000,-28503000,-20950000,-26016000,-21872000,-21064000,-9218000,-9182000
20,Income Before Tax,18600000,19200000,16500000,23100000,29400000,46600000,68800000,72564000,85042000,109200000,135099000,151297000,161427000,60119000,-150876000,-215124000,-92989000,-27404000,-33902000,12759000,41335000,69736000,86929000,91785000,120324000,141289000,166025000,310043000,509114000
21,Income Before Tax Ratio,0.0417,0.0390,0.0313,0.0400,0.0479,0.0630,0.0807,0.0776,0.0871,0.1057,0.1263,0.1288,0.1198,0.0442,-0.1484,-0.3540,-0.1632,-0.0445,-0.0599,0.0167,0.0399,0.0574,0.0613,0.0543,0.0613,0.0618,0.0664,0.1018,0.1359
22,Income Tax expense (Gain),2500000,7600000,6600000,9000000,12000000,18900000,27200000,28120000,32441000,42588000,53369000,59763000,60642000,21244000,-58396000,30291000,-30880000,-1135000,-25000,-588000,-110088000,18947000,35166000,35176000,48243000,33626000,38438000,70169000,112246000
23,Net Income,16100000,11600000,9900000,12800000,17400000,27700000,41600000,44444000,55282000,66612000,81730000,91534000,100785000,38875000,-128126000,-245448000,-62109000,-26269000,-33877000,13347000,151423000,50789000,51763000,56609000,72081000,107663000,127587000,239874000,396868000
24,Net Income ratio,0.0361,0.0236,0.0188,0.0222,0.0283,0.0375,0.0488,0.0475,0.0566,0.0645,0.0764,0.0779,0.0748,0.0286,-0.1261,-0.4039,-0.1090,-0.0426,-0.0598,0.0175,0.1461,0.0418,0.0365,0.0335,0.0367,0.0471,0.0510,0.0787,0.1059
25,EPS,0.47,0.33,0.56,0.73,1.07,1.65,2.38,2.82,1.83,4.41,5.66,6.49,7.05,2.78,-9.69,-17.86,-3.71,-1.42,-1.81,0.68,6.11,1.88,1.91,2.10,2.57,3.81,4.58,8.38,13.64
26,EPS Diluted,0.47,0.33,0.56,0.73,1.07,1.63,2.34,2.76,1.78,4.30,5.51,6.35,6.93,2.74,-9.69,-17.86,-3.71,-1.42,-1.81,0.67,5.24,1.65,1.68,1.84,2.26,3.70,4.48,8.23,13.28
27,Weighted Average Shares Outstanding,21989529,17600000,17600000,17600000,16216586,16785120,17524000,15766000,30184000,15104000,14428000,14107000,14302000,13970000,13977000,14016000,16730000,18523000,18698000,19651000,23822000,24463000,24575000,24666000,25769000,28224000,27846000,28610000,29092000
28,Weighted Average Shares Outstanding Diluted,21989529,17600000,17600000,17600000,16216586,16975944,17766000,16112000,31060000,15505000,14825000,14407000,14539000,14168000,13977000,14016000,16730000,18523000,18698000,19891000,28763000,29912000,30047000,30116000,30688000,29178000,28475000,29152000,29880000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/799292/000095015296001280/0000950152-96-001280-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799292/000079929204000013/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929205000016/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929206000009/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929207000011/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929208000010/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929209000010/0000799292-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929210000009/0000799292-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929211000010/mihomes12311010k.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929212000006/0000799292-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929213000005/0000799292-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929214000007/mho-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929215000009/mho-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929216000048/0000799292-16-000048-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929217000004/0000799292-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929218000009/0000799292-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929219000008/0000799292-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929220000033/0000799292-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929221000032/0000799292-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929222000006/0000799292-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10600000,14100000,8100000,6800000,10800000,10100000,5700000,8555000,9988000,953000,3209000,2786000,25085000,11516000,1506000,32518000,109930000,81208000,59793000,145498000,128725000,15535000,10205000,34441000,151703000,21529000,6083000,260810000,236368000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10600000,14100000,8100000,6800000,10800000,10100000,5700000,8555000,9988000,953000,3209000,2786000,25085000,11516000,1506000,32518000,109930000,81208000,59793000,145498000,128725000,15535000,10205000,34441000,151703000,21529000,6083000,260810000,236368000
34,Net Receivables,21200000,17300000,23600000,34400000,43800000,42400000,40000000,49959000,55013000,56159000,- -,- -,- -,- -,107794000,37772000,34978000,43312000,57275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,177600000,228300000,228300000,238900000,271300000,323500000,432700000,449434000,479236000,451217000,591626000,798486000,1076132000,1184358000,797329000,516029000,420289000,450936000,466772000,556817000,690934000,918589000,1112042000,1215934000,1414574000,1674460000,1769507000,1916608000,2452434000
36,Other Current Assets,- -,- -,- -,- -,2500000,800000,800000,1710000,560000,381000,75504000,89649000,99239000,117280000,21239000,46114000,22302000,41923000,41334000,79801000,95712000,99745000,129897000,154020000,171580000,169651000,155244000,234293000,275655000
37,Total Current Assets,209400000,259700000,260000000,280100000,328400000,376800000,479200000,509658000,544797000,508710000,670339000,890921000,1200456000,1313154000,927868000,632433000,587499000,617379000,625174000,782116000,915371000,1033869000,1252144000,1404395000,1737857000,1865640000,1930834000,2411711000,2964457000
38,PP&E,2600000,3300000,2400000,1600000,8600000,20000000,19400000,18165000,22276000,20813000,34225000,33306000,34507000,36258000,35699000,27732000,18998000,16554000,14358000,10439000,10536000,11489000,12897000,22299000,26816000,29395000,40533000,78903000,88598000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16400000,16400000,16400000,16400000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11443000,7821000,6477000,9614000,9237000,8361000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11443000,7821000,22877000,26014000,25637000,24761000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13130000,10299000,10589000,10357000,11732000,35266000,27769000,36967000,28016000,20525000,35870000,37885000,34673000,57121000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67867000,- -,- -,- -,- -,- -,110911000,94412000,67404000,30875000,18438000,13482000,9631000,6183000,10251000
44,Other Non-Current Assets,16000000,14600000,18700000,23700000,29000000,30300000,33000000,39819000,45037000,48935000,42308000,54299000,94715000,127667000,86211000,19993000,47032000,17372000,14596000,27013000,38092000,43870000,46142000,51483000,53314000,54317000,60697000,85938000,94665000
45,Total Non-Current Assets,18600000,17900000,21100000,25300000,37600000,50300000,52400000,57984000,67313000,69748000,76533000,87605000,129222000,163925000,189777000,60855000,76329000,44515000,39311000,49184000,194805000,177540000,163410000,144116000,126914000,155941000,174760000,231334000,275396000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,228000000,277600000,281100000,305400000,366000000,427100000,531600000,567642000,612110000,578458000,746872000,978526000,1329678000,1477079000,1117645000,693288000,663828000,661894000,664485000,831300000,1110176000,1211409000,1415554000,1548511000,1864771000,2021581000,2105594000,2643045000,3239853000
48,Accounts Payable,24800000,31400000,29200000,32000000,42800000,51400000,63200000,67344000,55656000,58187000,55131000,51162000,73705000,81200000,66242000,27542000,38262000,29030000,41256000,47690000,70226000,75338000,86878000,103212000,117233000,131511000,125026000,185669000,244505000
49,Short-Term Debt,- -,- -,15500000,23300000,30000000,23500000,15400000,26700000,- -,91458000,179614000,317370000,- -,- -,- -,- -,229726000,- -,297423000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4181000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,124100000,34300000,25400000,35700000,43800000,53800000,55700000,62190000,82336000,89084000,109718000,122383000,137926000,108724000,74914000,65555000,-169469000,45133000,-258075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,148900000,65700000,70100000,91000000,116600000,128700000,134300000,156234000,137992000,238729000,344463000,490915000,211631000,189924000,141156000,93097000,98519000,74163000,84785000,47690000,70226000,75338000,86878000,103212000,117233000,131511000,125026000,185669000,244505000
54,Long-Term Debt,- -,122300000,111500000,102000000,134000000,131800000,196700000,182519000,194227000,- -,- -,- -,511565000,645500000,361015000,215752000,208244000,252043000,306350000,364232000,459639000,497116000,611848000,637803000,807734000,820961000,754812000,924350000,1013474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10239000,11262000,11759000,19567000,22156000,26378000,32055000,34462000,72635000,107864000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,-100000,- -,100000,- -,- -,91500000,179600000,317400000,13914000,24603000,34129000,51378000,30302000,32197000,- -,73711000,76246000,82902000,100695000,131166000,166128000,181751000,187817000,201693000,249826000
58,Total Non-Current Liabilities,- -,122300000,111500000,102100000,133900000,131800000,196800000,182519000,194227000,91500000,179600000,317400000,525479000,670103000,395144000,267130000,238546000,284240000,306350000,448182000,547147000,591777000,732110000,791125000,1000240000,1034767000,977091000,1198678000,1371164000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18415000,52474000,51497000
61,Total Liabilities,148900000,188000000,181600000,193100000,250500000,260500000,331100000,338753000,332219000,238729000,344463000,490915000,737110000,860027000,536300000,360227000,337065000,358403000,391135000,495872000,617373000,667115000,818988000,894337000,1117473000,1166278000,1102117000,1384347000,1615669000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96325000,96325000,96325000,96325000,96325000,96325000,48163000,48163000,48163000,48163000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,88000,88000,176000,176000,176000,176000,176000,176000,176000,221000,221000,221000,246000,271000,271000,271000,271000,295000,301000,301000,301000,301000
64,Retained Earnings,28400000,39000000,48800000,61700000,79100000,105500000,145300000,188184000,241956000,306970000,387250000,477370000,576726000,614186000,477339000,225956000,163847000,137578000,103701000,117048000,262625000,308539000,355427000,407161000,473329000,580992000,708579000,948453000,1345321000
65,Other Comprehensive Income/Loss,-4800000,-5700000,-6100000,-6700000,-4300000,-5000000,-5700000,-7353000,-7453000,-7798000,-7608000,-9196000,-11270000,-14227000,-16805000,-15648000,-17753000,-21601000,-24370000,-23972000,-24013000,-24771000,-24704000,-25494000,-25483000,-22413000,-16150000,- -,- -
66,Other Total Stockholders Equity,55500000,56300000,56800000,57300000,40700000,66100000,60800000,47970000,45300000,40381000,22591000,19261000,26936000,16917000,24310000,26252000,84123000,90968000,97473000,145781000,205757000,212093000,217409000,224073000,299157000,296423000,310747000,309944000,- -
67,Total Stockholders Equity,79100000,89600000,99500000,112300000,115500000,166600000,200500000,228889000,279891000,339729000,402409000,487611000,592568000,617052000,581345000,333061000,326763000,303491000,273350000,335428000,492803000,544295000,596566000,654174000,747298000,855303000,1003477000,1258698000,1624184000
68,Total Liabilities And Stockholders Equity,228000000,277600000,281100000,305400000,366000000,427100000,531600000,567642000,612110000,578458000,746872000,978526000,1329678000,1477079000,1117645000,693288000,663828000,661894000,664485000,831300000,1110176000,1211410000,1415554000,1548511000,1864771000,2021581000,2105594000,2643045000,3239853000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,228000000,277600000,281100000,305400000,366000000,427100000,531600000,567642000,612110000,578458000,746872000,978526000,1329678000,1477079000,1117645000,693288000,663828000,661894000,664485000,831300000,1110176000,1211409000,1415554000,1548511000,1864771000,2021581000,2105594000,2643045000,3239853000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/799292/000095015296001280/0000950152-96-001280-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799292/000079929204000013/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929205000016/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929206000009/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929207000011/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929208000010/basedoc.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929209000010/0000799292-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929210000009/0000799292-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929211000010/mihomes12311010k.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929212000006/0000799292-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929213000005/0000799292-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929214000007/mho-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929215000009/mho-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929216000048/0000799292-16-000048-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929217000004/0000799292-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929218000009/0000799292-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929219000008/0000799292-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929220000033/0000799292-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/799292/000079929221000032/0000799292-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/799292/000079929222000006/0000799292-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,16100000,11600000,9900000,12800000,17400000,27700000,41600000,44444000,55282000,66612000,81730000,91534000,100785000,38875000,-128126000,-245448000,-62109000,-26269000,-33877000,13347000,151423000,50789000,51763000,56609000,72081000,107663000,127587000,239874000,396868000
74,Depreciation and Amortization,1600000,1600000,1800000,1400000,1600000,1800000,2200000,2123000,2009000,2239000,2382000,2448000,4498000,6731000,7993000,7754000,7871000,7756000,7574000,6363000,4973000,5950000,7622000,10204000,10699000,11740000,13238000,15063000,14331000
75,Deferred Income Tax,-800000,-500000,-1800000,-2100000,-2200000,300000,600000,-2939000,-4310000,-5040000,6862000,2490000,557000,-28216000,-28144000,82078000,9321000,- -,- -,- -,-110911000,16499000,32526000,31311000,12437000,4957000,3851000,3448000,-4068000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2983000,3111000,2811000,1866000,1734000,2344000,3215000,3942000,5315000,6044000,5974000,5846000,7138000,8559000
77,Change in Working Capital,-27200000,133500000,-4100000,-800000,22700000,36300000,96800000,8524000,53381000,-136824000,55895000,74130000,588819000,134405000,-336518000,-247376000,-50356000,54236000,-2827000,194037000,110719000,113386000,206735000,135917000,319441000,113505000,71679000,420234000,-376381000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-28400000,-38800000,5800000,-600000,-19700000,-38100000,-86200000,10219000,-10188000,43646000,-122486000,-159605000,-228079000,-158236000,180517000,161087000,37221000,-44996000,-33014000,-73874000,-156708000,-209318000,-159011000,-83775000,-168622000,-157573000,-88358000,-134941000,-508189000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42882000,10720000,-9232000,11503000,5358000,22536000,5112000,9827000,16334000,14021000,3750000,-6485000,60643000,58836000
81,Other Working Capital,60500000,194000000,189900000,189100000,211800000,248100000,344900000,353424000,406805000,269981000,325876000,400006000,988825000,1123230000,786712000,539336000,488980000,543216000,540389000,734426000,845145000,958531000,1165266000,1301183000,1620624000,1734129000,1805808000,2226042000,42961000
82,Other Non-Cash Items,-100000,-166000000,8800000,2200000,-36100000,-56700000,-168800000,352000,-60565000,189506000,-185609000,-248521000,-787298000,-255807000,687006000,548884000,160643000,-75836000,-6697000,-262476000,-232522000,-322514000,-384747000,-205159000,-473232000,-246431000,-156570000,-517423000,-56132000
83,Cash Provided by Operating Activities,-10400000,-19800000,14600000,13500000,3400000,9400000,-27600000,52504000,45797000,116493000,-38740000,-77919000,-92639000,-104012000,202211000,148875000,68481000,-37302000,-33961000,-46995000,-73974000,-132675000,-82159000,34197000,-52530000,-2592000,65631000,168334000,-16823000
84,CAPEX,-1400000,-2100000,-700000,-600000,-8500000,-1200000,-1500000,-910000,-6105000,-811000,-15743000,-1684000,-3845000,-4806000,-4461000,-3947000,-4008000,-1560000,-1352000,-933000,-2382000,-2946000,-3659000,-13106000,-8799000,-8141000,-4526000,-11677000,-25301000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23185000,- -,- -,-4765000,-4194000,-1216000,-5406000,-6524000,-27987000,-18892000,-40886000,-18539000,-8570000,-132151000,-29376000,-26062000,-50409000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9400000,- -,- -,-19585000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1522000,1523000,1226000,3207000,3518000,676000,- -,- -,- -
88,Other Investing Activites,-9100000,-8700000,-8600000,-11900000,-14600000,-21900000,-20800000,-22271000,-13206000,-12424000,-9982000,-18920000,-37094000,-16952000,- -,9454000,-11277000,- -,-2566000,32779000,-6707000,7734000,5688000,-3207000,4040000,5659000,6308000,3869000,23988000
89,Cash Used for Investing Activites,-10500000,-10800000,-9300000,-12500000,-23100000,-23100000,-22300000,-23181000,-19311000,-13235000,-25725000,-20604000,-64124000,-21758000,-13861000,742000,-19479000,-22361000,-9324000,25322000,-35554000,-12581000,-37631000,-31645000,-9811000,-133957000,-27594000,-33870000,-51722000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112648000,-24127000,-158358000,-52000,-36139000,-3315000,-162600000,-631451000,-357026000,-438600000,-553838000,-748010000,-674556000,-250000000
91,Common Stock Issued,42200000,- -,- -,- -,- -,24700000,200000,327000,2032000,1565000,1907000,2643000,3264000,641000,97129000,- -,52568000,- -,- -,42085000,54617000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-14300000,- -,-7400000,-15568000,-5657000,-9579000,-21892000,-11261000,-392000,-17893000,- -,- -,- -,- -,- -,- -,-50352000,- -,- -,- -,-50420000,-25709000,-5150000,-1912000,-51520000
93,Dividends Paid,-16300000,-1100000,- -,- -,- -,-1300000,-1800000,-1597000,-1510000,-1510000,-1450000,-1414000,-1429000,-1415000,-8721000,-5935000,- -,- -,- -,- -,-3656000,-4875000,-4875000,-4875000,-3656000,- -,- -,- -,- -
94,Other Financing Activites,-100000,35100000,-11300000,-2400000,38400000,-10400000,54500000,-9595000,-19918000,-102769000,88156000,108132000,178054000,130868000,-286768000,-22000,-31000,189299000,21922000,101432000,95461000,199541000,750786000,380689000,672279000,585922000,699677000,796731000,345623000
95,Cash Used/Provided by Financing Activities,25800000,34000000,-11300000,-2400000,24100000,13000000,45500000,-26433000,-25053000,-112293000,66721000,98100000,179497000,112201000,-198360000,-118605000,28410000,30941000,21870000,107378000,92755000,32066000,114460000,18788000,179603000,6375000,-53483000,120263000,44103000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,25800000,34000000,-11300000,-2400000,24100000,13000000,-4400000,2890000,1433000,-9035000,2256000,-423000,22734000,-13569000,-10010000,31012000,77412000,-28722000,-21415000,85705000,-16773000,-113190000,-5330000,21340000,117262000,-130174000,-15446000,254727000,-24442000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,5700000,8555000,9988000,953000,3209000,2786000,25085000,11516000,1506000,32518000,109930000,81208000,59793000,145498000,128725000,15535000,10205000,34441000,151703000,21529000,6083000,260810000,236368000
