,https://roic.ai/company/CABO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,30455000,17155000,30925000,17079000,21670000,20790000,36351000,22686000,35716000
49,Short-Term Debt,- -,3368000,7384000,12453000,14230000,23369000,25314000,39311000,39011000,44470000
50,Tax Payable,- -,7055000,9501000,11103000,4747000,6113000,8149000,9501000,7425000,12872000
51,Deferred Revenue,- -,21325000,21004000,22363000,27479000,44806000,24134000,30190000,27351000,33691000
52,Other Current Liabilities,- -,49994000,50080000,61091000,52355000,80759000,63475000,83690000,132534000,155198000
53,Total Current Liabilities,- -,105142000,95623000,126832000,111143000,170604000,133713000,189542000,221582000,269075000
54,Long-Term Debt,- -,- -,- -,545301000,530886000,1160682000,1142056000,1711937000,2148798000,3808598000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,4981000,6854000
56,Deferred Tax Liabilities,- -,286831000,291486000,276627000,276297000,205636000,242127000,303314000,366675000,854156000
57,Other Non-Current Liabilities,- -,21112000,21643000,24489000,24434000,9991000,9980000,105469000,251003000,222216000
58,Total Non-Current Liabilities,- -,307943000,313129000,846417000,831617000,1376309000,1394163000,2120720000,2771457000,4891824000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,15747000,12473000,14731000
61,Total Liabilities,- -,413085000,408752000,973249000,942760000,1546913000,1527876000,2310262000,2993039000,5160899000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,169000,169000,59000,59000,60000,59000,59000,62000,62000
64,Retained Earnings,- -,1178610000,1325919000,447282000,511776000,723354000,850292000,980355000,1228172000,1456543000
65,Other Comprehensive Income/Loss,- -,-1364726000,-1463451000,-557000,-446000,-352000,-96000,-68158000,-140683000,-82795000
66,Other Total Stockholders Equity,- -,1021206000,990651000,-11438000,-56878000,-51646000,-74897000,-70687000,407748000,419285000
67,Total Stockholders Equity,- -,835259000,853288000,435346000,454511000,671416000,775358000,841569000,1495299000,1793095000
68,Total Liabilities And Stockholders Equity,- -,1248344000,1262040000,1408595000,1397271000,2218329000,2303234000,3151831000,4488338000,6953994000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1248344000,1262040000,1408595000,1397271000,2218329000,2303234000,3151831000,4488338000,6953994000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1632127/000143774916026995/0001437749-16-026995-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774917003513/0001437749-17-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774918003668/0001437749-18-003668-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774919003504/0001437749-19-003504-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774920003799/0001437749-20-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774921004160/0001437749-21-004160-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774922004364/0001437749-22-004364-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,93911000,104511000,147309000,89033000,98939000,234028000,164760000,178582000,304391000,291824000
74,Depreciation and Amortization,126758000,125709000,134167000,140635000,142183000,181619000,197731000,216687000,265658000,339025000
75,Deferred Income Tax,-918000,-2645000,4276000,-11282000,-403000,-86357000,34973000,50011000,87182000,28993000
76,Stock Based Compensation,2526000,2361000,1997000,9213000,12298000,10743000,10486000,12300000,14592000,20054000
77,Change in Working Capital,5817000,- -,12872000,85023000,35273000,-3014000,112370000,-192204000,459285000,-8825000
78,Accounts Receivable,-1102000,-917000,627000,-4976000,-2251000,-3065000,-17000,-3520000,139000,1884000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,6245000,1022000,-4800000,15417000,4052000,6982000,-27853000,16452000,- -,- -
81,Other Working Capital,-58374000,-58374000,-45502000,39521000,74794000,71780000,184150000,-8054000,451231000,298000
82,Other Non-Cash Items,2903000,6711000,-94788000,-66209000,-36459000,-12533000,-112551000,226365000,-556737000,33270000
83,Cash Provided by Operating Activities,230997000,236647000,205833000,246413000,251831000,324486000,407769000,491741000,574371000,704341000
84,CAPEX,-156605000,-141949000,-177400000,-156136000,-144396000,-175196000,-215761000,-257841000,-303935000,-384527000
85,Acquisitions Net,- -,- -,- -,- -,- -,-727947000,- -,-883440000,-650420000,-2156457000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-612124000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1710000,1768000,99000000,911000,-133645000,-163220000,-214295000,-250802000,306901000,-315113000
89,Cash Used for Investing Activites,-154895000,-140181000,-78400000,-155225000,-136317000,-891167000,-214295000,-1134242000,-954913000,-2471570000
90,Debt Repayment,- -,- -,- -,-1250000,-3767000,-100642000,-14391000,-702880000,-612028000,-30501000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,488750000,- -
92,Common Stock Repurchased,- -,- -,- -,-16367000,-56370000,-528000,-26582000,-5073000,- -,- -
93,Dividends Paid,- -,- -,- -,-458782000,-34445000,-37216000,-42854000,-48527000,-56574000,-63453000
94,Other Financing Activites,-74763000,-97528000,-127261000,498000000,-2091000,728779000,-7286000,1260139000,1010032000,1675076000
95,Cash Used/Provided by Financing Activities,-74763000,-97528000,-127261000,21601000,-96673000,590393000,-91113000,503659000,830180000,1581122000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1339000,-1062000,172000,112789000,18841000,23712000,102361000,-138842000,449638000,-186107000
98,Cash at the End of Period,7300000,6238000,6410000,119199000,138040000,161752000,264113000,125271000,574909000,388802000
99,Cash at the Beginning of Period,5961000,7300000,6238000,6410000,119199000,138040000,161752000,264113000,125271000,574909000
100,Free Cash Flow,74392000,94698000,28433000,90277000,107435000,149290000,192008000,233900000,270436000,319814000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1632127/000143774916026995/0001437749-16-026995-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774917003513/0001437749-17-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774918003668/0001437749-18-003668-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774919003504/0001437749-19-003504-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774920003799/0001437749-20-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774921004160/0001437749-21-004160-index.htm,https://www.sec.gov/Archives/edgar/data/1632127/000143774922004364/0001437749-22-004364-index.htm
102,false,,,,,,,,,,
