,https://roic.ai/company/VBLT,2012,2013,2014,2015,2016,2017,2018,2019,2020
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15224000,11827000,38138000,39238000,47274000,65689000,60678000,48621000,41706000
48,Accounts Payable,1309000,1348000,695000,2050000,2522000,3058000,1193000,3330000,1960000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,347000,774000,499000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,1046000,290000,386000,725000
52,Other Current Liabilities,1115000,2897000,2235000,2108000,2266000,3465000,2944000,4238000,4275000
53,Total Current Liabilities,2424000,4245000,2930000,4158000,4788000,7569000,4774000,8728000,7459000
54,Long-Term Debt,- -,31039000,- -,- -,- -,- -,449000,2167000,2029000
55,Deferred Revenue,- -,- -,- -,- -,- -,2092000,2263000,1723000,704000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,128000,126000,106000,73000,86000,128000,99000,163000,597000
58,Total Non-Current Liabilities,128000,31165000,106000,73000,86000,2220000,2811000,4053000,3330000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,796000,2941000,2528000
61,Total Liabilities,2552000,35410000,3036000,4231000,4874000,9789000,7585000,12781000,10789000
62,Preferred Stock,7000,7000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,32000,38000,50000,57000,73000,73000,108000
64,Retained Earnings,-92383000,-109753000,-127160000,-142048000,-158050000,-168188000,-188646000,-208103000,-232153000
65,Other Comprehensive Income/Loss,7000,29000,39000,45000,40000,16000,41000,-8000,-5228000
66,Other Total Stockholders Equity,105040000,86133000,162191000,176972000,200360000,224015000,241625000,243878000,268190000
67,Total Stockholders Equity,12672000,-23583000,35102000,35007000,42400000,55900000,53093000,35840000,30917000
68,Total Liabilities And Stockholders Equity,15224000,11827000,38138000,39238000,47274000,65689000,60678000,48621000,41706000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15224000,11827000,38138000,39238000,47274000,65689000,60678000,48621000,41706000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603207/000119312515104535/0001193125-15-104535-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000119312516520317/0001193125-16-520317-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000119312517096449/0001193125-17-096449-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315218003377/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315219004066/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315220004312/form20-f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-12225000,-17370000,-17407000,-14888000,-16002000,-10138000,-20458000,-19457000,-24225000
74,Depreciation and Amortization,197000,169000,135000,122000,130000,156000,1156000,1714000,1194000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,465000,494000,2617000,1041000,1420000,4152000,3867000,2251000,1661000
77,Change in Working Capital,-1541000,2013000,-1802000,432000,1071000,2276000,-244000,2620000,-2076000
78,Accounts Receivable,- -,- -,- -,- -,- -,-2000000,2000000,- -,-129000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,81000,39000,-653000,1355000,472000,421000,-1691000,2136000,-1370000
81,Other Working Capital,22000,36000,-33000,-311000,315000,3065000,-534000,-729000,-680000
82,Other Non-Cash Items,96000,1565000,2754000,90000,-31000,-267000,-1000,175000,68000
83,Cash Provided by Operating Activities,-13008000,-13129000,-13703000,-13203000,-13412000,-3821000,-15680000,-12697000,-23378000
84,CAPEX,-155000,-32000,-57000,-90000,-491000,-6482000,-2229000,-73000,-51000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-30000000,-3600000,-81332000,-21000000,-63527000,-41085000
87,Sales/Maturities of Investments,6696000,6510000,1494000,- -,- -,66974000,47958000,57000000,51027000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,4000,- -,- -
89,Cash Used for Investing Activites,6541000,6478000,1437000,-30090000,-4091000,-20840000,24733000,-6600000,9891000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-88000,-759000,-391000
91,Common Stock Issued,- -,- -,34879000,13651000,21859000,19031000,13725000,2000,17458000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10000000,5205000,95000,121000,479000,34000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,10000000,40084000,13746000,21980000,19510000,13671000,-757000,17067000
96,Effect of Forex Changes on Cash,94000,92000,-412000,-146000,18000,260000,-71000,143000,175000
97,Net Change In Cash,-6373000,3441000,27406000,-29693000,4495000,-4891000,22653000,-19911000,3755000
98,Cash at the End of Period,5936000,9377000,36783000,7090000,11585000,6694000,29347000,9436000,13697000
99,Cash at the Beginning of Period,12309000,5936000,9377000,36783000,7090000,11585000,6694000,29347000,9942000
100,Free Cash Flow,-13163000,-13161000,-13760000,-13293000,-13903000,-10303000,-17909000,-12770000,-23429000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603207/000119312515104535/0001193125-15-104535-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000119312516520317/0001193125-16-520317-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000119312517096449/0001193125-17-096449-index.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315218003377/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315219004066/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1603207/000149315220004312/form20-f.htm,- -
102,false,,,,,,,,,
