,https://roic.ai/company/IR,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,1502000,1505000,2000000,2000000,2100000,4200000,4300000
64,Retained Earnings,- -,-559613000,-596233000,-577800000,-308700000,-141400000,-175700000,378600000
65,Other Comprehensive Income/Loss,- -,-265510000,-342364000,-199800000,-247000000,-256000000,14200000,-41600000
66,Other Total Stockholders Equity,- -,1213854000,1203000000,2252400000,2229700000,2265200000,9277000000,- -
67,Total Stockholders Equity,- -,390233000,265908000,1476800000,1676000000,1869900000,9119700000,9001500000
68,Total Liabilities And Stockholders Equity,- -,4446744000,4310098000,4621200000,4487100000,4628400000,15988800000,15084800000
69,Minority Interest,- -,15302000,5850000,- -,- -,- -,69800000,69700000
70,Total Liabilities & Equity,- -,4462046000,4315948000,4621200000,4487100000,4628400000,16058600000,15154500000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1699150/000114036118008833/0001140361-18-008833-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000114036119004014/0001140361-19-004014-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000114036120004146/0001140361-20-004146-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000162828021003454/0001628280-21-003454-index.htm,https://www.sec.gov/Archives/edgar/data/1699150/000162828022003991/0001628280-22-003991-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-135023000,-351200000,-36620000,18400000,269400000,159100000,-33300000,562500000
74,Depreciation and Amortization,160350000,163000000,172725000,173800000,180400000,178100000,500900000,422100000
75,Deferred Income Tax,-25140000,-63500000,-84359000,-249000000,4000000,-21300000,-104400000,-103600000
76,Stock Based Compensation,- -,- -,- -,175000000,2800000,19200000,51300000,87200000
77,Change in Working Capital,-92849000,-35415000,211136000,-167000000,234500000,1394200000,34500000,-343800000
78,Accounts Receivable,- -,- -,- -,- -,13200000,- -,- -,- -
79,Inventory,-51008000,-27800000,23455000,-22700000,-13000000,18700000,170800000,-134400000
80,Accounts Payable,12193000,-46800000,58099000,39900000,69600000,-9200000,-13300000,118200000
81,Other Working Capital,726079000,690664000,901800000,734800000,969300000,2363500000,2398000000,-45100000
82,Other Non-Cash Items,234467000,459215000,-97238000,249300000,-246600000,-1386000000,465300000,-8900000
83,Cash Provided by Operating Activities,141805000,172100000,165644000,200500000,444500000,343300000,914300000,615500000
84,CAPEX,-73546000,-71000000,-74416000,-56800000,-52200000,-43200000,-48700000,-64100000
85,Acquisitions Net,-82319000,-26200000,-13883000,-18800000,-186300000,-12000000,9000000,-974800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,6200000,- -,- -,- -,- -
88,Other Investing Activites,-73087000,-57800000,-68193000,-48200000,-48700000,-42300000,-46900000,1889100000
89,Cash Used for Investing Activites,-155406000,-84000000,-82076000,-60800000,-235000000,-54300000,-37900000,914300000
90,Debt Repayment,-406397000,-80800000,-26482000,-2879300000,-337600000,-32800000,-1619100000,-435700000
91,Common Stock Issued,15888000,4200000,3258000,893600000,- -,- -,- -,- -
92,Common Stock Repurchased,-3210000,-2100000,-14109000,-3600000,-40700000,-18600000,-2100000,-736800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-8200000
94,Other Financing Activites,390021000,43700000,-5669000,1971900000,5300000,39900000,1949900000,23700000
95,Cash Used/Provided by Financing Activities,-3698000,-35000000,-43002000,-17400000,-373000000,-11500000,328700000,-1157000000
96,Effect of Forex Changes on Cash,-17208000,-9000000,-13085000,15200000,-8600000,6800000,40300000,-14100000
97,Net Change In Cash,-34507000,44100000,27481000,137500000,-172100000,284300000,1245400000,358700000
98,Cash at the End of Period,184157000,228300000,255803000,393300000,221200000,505500000,1750900000,2109600000
99,Cash at the Beginning of Period,218664000,184200000,228322000,255800000,393300000,221200000,505500000,1750900000
100,Free Cash Flow,68259000,101100000,91228000,143700000,392300000,300100000,865600000,551400000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1699150/000114036118008833/0001140361-18-008833-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000114036119004014/0001140361-19-004014-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000114036120004146/0001140361-20-004146-index.html,https://www.sec.gov/Archives/edgar/data/1699150/000162828021003454/0001628280-21-003454-index.htm,https://www.sec.gov/Archives/edgar/data/1699150/000162828022003991/0001628280-22-003991-index.htm
102,false,,,,,,,,
