,https://roic.ai/company/JHX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,- -,826700000,970700000,1088700000,1444900000,2127700000,2179400000,1789300000,2178100000,1960500000,2309400000,2107200000,2106000000,2044400000,2039800000,2011800000,2002500000,3546400000,4093300000,4089000000
69,Minority Interest,- -,- -,-31700000,-35700000,-22700000,-13900000,-724700000,-891400000,-625300000,-1004100000,-795500000,-769400000,-758200000,-742000000,-640400000,-637800000,-500800000,-491500000,-1696400000,-1576300000,- -
70,Total Liabilities & Equity,- -,- -,795000000,935000000,1066000000,1431000000,1403000000,1288000000,1164000000,1174000000,1165000000,1540000000,1349000000,1364000000,1404000000,1402000000,1511000000,1511000000,1850000000,2517000000,4089000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1159152/000095013704010297/0000950137-04-010297-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256905000484/0000892569-05-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000095013706010539/0000950137-06-010539-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256907000916/0000892569-07-000916-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256908000975/0000892569-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000095012309017360/0000950123-09-017360-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000095012310062873/0000950123-10-062873-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000095012311062797/0000950123-11-062797-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312512292232/0001193125-12-292232-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000119312513274942/0001193125-13-274942-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312514251077/0001193125-14-251077-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312515195809/0001193125-15-195809-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312516595132/0001193125-16-595132-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312517174339/0001193125-17-174339-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915218000030/0001159152-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915219000045/0001159152-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915220000036/0001159152-20-000036-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,38600000,29300000,170500000,129000000,126000000,-364000000,151000000,1000000,136000000,48000000,539000000,604000000,45000000,- -,291000000,244000000,244000000,457000000,371000000,334000000,262800000
74,Depreciation and Amortization,20600000,39900000,28000000,36000000,36000000,45000000,50000000,56000000,56000000,61000000,62000000,65000000,61000000,61000000,70000000,79000000,83000000,83000000,92000000,119000000,135000000
75,Deferred Income Tax,- -,-600000,-10000000,14000000,11000000,4000000,-310000000,-54000000,-58000000,19000000,-21000000,11000000,-52000000,-70000000,-37000000,- -,26000000,26000000,-76000000,12000000,85800000
76,Stock Based Compensation,- -,- -,1000000,3000000,3000000,5000000,4000000,7000000,7000000,7000000,9000000,7000000,7000000,8000000,9000000,10000000,9000000,9000000,11000000,12000000,18000000
77,Change in Working Capital,- -,6300000,-41000000,-18100000,31700000,-44000000,-214300000,81700000,-185000000,-44000000,357400000,-331500000,-82100000,33900000,-119700000,-82900000,-74500000,-71700000,-32200000,-61000000,200900000
78,Accounts Receivable,- -,- -,-10000000,-24000000,-3000000,-24000000,-4000000,39000000,6000000,-30000000,24000000,2000000,-5000000,4000000,-5000000,-39000000,-28000000,-28000000,-2000000,-18000000,46400000
79,Inventory,- -,16400000,-8000000,-24000000,4000000,-26000000,-19000000,-26000000,40000000,-12000000,-8000000,-26000000,8000000,-22000000,-38000000,16000000,-9000000,-9000000,-51000000,-28000000,98700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87400000,-46000000,48500000,30800000,-16900000,39600000,14200000,-12900000,45100000,25000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,16700000,-312600000,-120300000,346500000,-256500000,224700000,99900000,107800000,100300000,900000,95200000,- -,-15600000,-19100000
82,Other Non-Cash Items,35400000,1700000,-84500000,-1900000,11300000,594000000,252300000,227300000,-1000000,92000000,-799400000,31500000,130100000,289100000,-34300000,9900000,4500000,-503300000,-365800000,-416000000,84400000
83,Cash Provided by Operating Activities,94600000,76600000,64000000,162000000,219000000,240000000,-67000000,319000000,-45000000,183000000,147000000,387000000,109000000,322000000,179000000,260000000,292000000,- -,- -,- -,786900000
84,CAPEX,- -,-52400000,-90000000,-74000000,-153000000,-162000000,-92000000,-38000000,-26000000,-50000000,-50000000,-35000000,-61000000,-115000000,-276000000,-73000000,-101000000,- -,-203000000,- -,-120200000
85,Acquisitions Net,- -,-40800000,- -,- -,- -,8000000,- -,- -,- -,- -,- -,-14400000,- -,-4100000,- -,- -,- -,- -,-558700000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78000000,-89000000,-25000000
87,Sales/Maturities of Investments,- -,4400000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23200000
88,Other Investing Activites,-162900000,11600000,327100000,16800000,4000000,- -,- -,- -,- -,- -,700000,300000,1400000,700000,-1700000,6600000,-7100000,3100000,89800000,79000000,-7900000
89,Cash Used for Investing Activites,-162900000,-77200000,237900000,-58000000,-149200000,-154000000,-92600000,-38500000,-26100000,-50500000,-49600000,-49900000,-59700000,-118800000,-277900000,-66600000,-109000000,-200600000,-848000000,-203800000,-120400000
90,Debt Repayment,- -,- -,77000000,-6000000,15000000,93000000,80000000,70000000,23000000,48000000,38000000,29000000,83000000,11000000,35000000,57000000,51000000,- -,- -,- -,-530800000
91,Common Stock Issued,- -,113900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,- -,-22000000,-9000000,-22000000,-99000000,-99000000,- -,- -,- -
93,Dividends Paid,- -,-20300000,-34000000,-22000000,-13000000,-45000000,-42000000,-126000000,-34000000,- -,- -,-17000000,-188000000,-199000000,-390000000,-246000000,-176000000,-176000000,-177000000,-172000000,- -
94,Other Financing Activites,1300000,-134400000,-322400000,-59900000,-30200000,68500000,-174400000,-198400000,36000000,-207000000,-127700000,-77400000,-53700000,23700000,359400000,56600000,11300000,387500000,541200000,-7000000,-9500000
95,Cash Used/Provided by Financing Activities,1300000,-40800000,-279400000,-87900000,-28200000,116500000,-136400000,-254400000,25000000,-159000000,-89700000,-84400000,-158700000,-186300000,-4600000,-154400000,-212700000,112500000,364200000,-179000000,-540200000
96,Effect of Forex Changes on Cash,- -,-2600000,700000,500000,-1200000,-1500000,15100000,-25100000,53300000,3200000,-8500000,-6100000,-2600000,-3900000,2500000,700000,1400000,-4200000,6600000,-6200000,6300000
97,Net Change In Cash,1300000,-44000000,24000000,17000000,41000000,202000000,-281000000,1000000,7000000,-23000000,-1000000,247000000,-112000000,14000000,-100000000,40000000,-29000000,-28000000,120000000,-189000000,132600000
98,Cash at the End of Period,- -,31100000,55000000,72000000,113000000,315000000,34000000,35000000,42000000,19000000,18000000,265000000,153000000,167000000,67000000,107000000,78000000,- -,- -,- -,318400000
99,Cash at the Beginning of Period,- -,75100000,31000000,55000000,72000000,113000000,315000000,34000000,35000000,42000000,19000000,18000000,265000000,153000000,167000000,67000000,107000000,107000000,192000000,313000000,185800000
100,Free Cash Flow,94600000,24200000,-26000000,88000000,66000000,78000000,-159000000,281000000,-71000000,133000000,97000000,352000000,48000000,207000000,-97000000,187000000,191000000,- -,-203000000,- -,666700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159152/000095013704010297/0000950137-04-010297-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256905000484/0000892569-05-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000095013706010539/0000950137-06-010539-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256907000916/0000892569-07-000916-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000089256908000975/0000892569-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000095012309017360/0000950123-09-017360-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000095012310062873/0000950123-10-062873-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000095012311062797/0000950123-11-062797-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312512292232/0001193125-12-292232-index.htm,https://www.sec.gov/Archives/edgar/data/1159152/000119312513274942/0001193125-13-274942-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312514251077/0001193125-14-251077-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312515195809/0001193125-15-195809-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312516595132/0001193125-16-595132-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000119312517174339/0001193125-17-174339-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915218000030/0001159152-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915219000045/0001159152-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1159152/000115915220000036/0001159152-20-000036-index.html,- -
102,false,,,,,,,,,,,,,,,,,,,,,
