,https://roic.ai/company/ROG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,50400000,52100000,55800000,61200000,62400000,65600000,60200000,35500000,36800000,- -,36500000,36600000,52200000,- -,74800000,94199000,98500000,99900000,131200000,- -,140400000,141728000,147200000,145222000,123140000,120087000,148182000,149017000,146931000,150420000,178661000,176916000,179611000,242759000,260246000,272378000,326967000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,14500000,- -,14900000,- -,13600000,22200000,16700000,- -,21900000,10656000,10100000,- -,- -,25186000,102178000,105041000,108671000,98227000,175453000,208431000,237107000,264885000,262930000,270172000,370189000
40,Intangible Assets,- -,600000,400000,500000,1100000,1100000,1200000,2000000,3300000,- -,3500000,- -,- -,- -,- -,14068000,- -,- -,8400000,- -,7100000,454000,- -,- -,- -,10798000,56449000,53288000,49171000,38340000,75019000,136676000,160278000,177008000,158947000,118026000,176353000
41,Intangible Assets,- -,600000,400000,500000,1100000,1100000,1200000,2000000,3300000,- -,3500000,100000,14500000,- -,14900000,14068000,13600000,22200000,25100000,- -,29000000,11110000,10100000,9634000,10340000,35984000,158627000,158329000,157842000,136567000,250472000,345107000,397385000,441893000,421877000,388198000,546542000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5400000,- -,5500000,- -,16100000,- -,- -,- -,- -,- -,- -,73996000,76876000,64044000,54828000,26171000,18970000,17555000,15348000,16183000,18324000,18667000,16461000,15248000,16328000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,2300000,- -,5900000,- -,8200000,8300000,14100000,- -,14100000,4828000,- -,37939000,8227000,17120000,20117000,71439000,44854000,44853000,8594000,14634000,6008000,8236000,17117000,28667000,32671000
44,Other Non-Current Assets,4100000,3000000,2400000,5100000,4400000,5200000,5500000,4200000,4900000,- -,6700000,14400000,4500000,- -,800000,20398000,2500000,39600000,16900000,- -,48800000,50682000,66500000,24349000,24680000,26056000,30242000,48132000,60230000,53668000,50246000,45259000,69283000,82003000,93378000,85339000,91993000
45,Total Non-Current Assets,54500000,55700000,58600000,66800000,67900000,71900000,66900000,41700000,45000000,- -,46700000,56500000,78900000,- -,101900000,128665000,138900000,170000000,187300000,- -,232300000,208348000,223800000,291140000,243263000,263291000,411996000,453088000,428827000,403063000,503321000,598099000,670611000,793558000,809079000,789830000,1014501000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,95300000,101000000,108100000,120400000,126700000,129500000,122700000,97700000,81800000,- -,102500000,119200000,158400000,- -,176200000,221514000,223800000,257700000,314400000,- -,405200000,480902000,470900000,475433000,407478000,484874000,677628000,760024000,806534000,835117000,932458000,1056500000,1125134000,1279344000,1273181000,1264005000,1598566000
48,Accounts Payable,- -,- -,- -,- -,14100000,11900000,9500000,7600000,7700000,- -,8300000,9700000,16800000,- -,17800000,12418000,12000000,10100000,20400000,- -,21100000,25715000,22100000,11619000,9308000,16296000,15787000,16730000,17534000,20020000,19851000,28379000,36116000,40321000,33019000,35987000,64660000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,20500000,17500000,35000000,3438000,3653000,- -,- -,- -,3653000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6326000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8558000,9632000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28667000,- -
52,Other Current Liabilities,18600000,20900000,23400000,27400000,18500000,25400000,25700000,25900000,16000000,- -,15500000,14900000,17200000,- -,14500000,26327000,17700000,24700000,29600000,- -,36300000,56428000,36020000,48217000,33537000,49145000,55510000,47275000,55006000,65425000,55831000,69153000,77692000,66859000,67206000,43202000,99289000
53,Total Current Liabilities,18600000,20900000,23400000,27400000,32600000,37300000,35200000,33500000,23700000,- -,24400000,24600000,34000000,- -,32300000,38745000,29700000,34800000,50000000,- -,57400000,82143000,68300000,59836000,42845000,65441000,78797000,84505000,90040000,120445000,79120000,101185000,113808000,107180000,100225000,111509000,163949000
54,Long-Term Debt,27000000,26400000,24500000,33000000,30600000,27500000,26300000,24200000,14200000,- -,4200000,3600000,13700000,- -,13700000,9116000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,77500000,60000000,25000000,175188000,235877000,130982000,228482000,123000000,25000000,190000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5200000,5300000,6600000,6500000,7000000,6700000,4900000,6600000,2100000,- -,1600000,- -,- -,- -,- -,8626000,- -,- -,- -,- -,- -,- -,- -,- -,5406000,8745000,19259000,17545000,16077000,14647000,9455000,13883000,10706000,10806000,9220000,8375000,29451000
57,Other Non-Current Liabilities,100000,600000,300000,400000,700000,3100000,4300000,14300000,13900000,- -,12200000,13800000,16400000,- -,19900000,19214000,29700000,39900000,37600000,- -,66400000,41582000,38700000,79453000,66277000,80156000,126316000,146322000,84890000,93062000,84113000,69769000,103065000,84552000,106836000,98366000,96271000
58,Total Non-Current Liabilities,32300000,32300000,31400000,39900000,38300000,37300000,35500000,45100000,30200000,- -,18000000,17400000,30100000,- -,33600000,36956000,31000000,39900000,37600000,- -,66400000,41582000,38700000,79453000,71683000,88901000,260575000,241367000,160967000,132709000,268756000,319529000,244753000,323840000,239056000,131741000,315722000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9206000,8365000,8019000,6789000,5833000,5343000,6452000,5049000,- -,- -,- -
61,Total Liabilities,50900000,53200000,54800000,67300000,70900000,74600000,70700000,78600000,53900000,- -,42400000,42000000,64100000,- -,65900000,75701000,60700000,74700000,87600000,- -,123800000,123725000,107000000,139289000,114528000,154342000,339372000,325872000,251007000,253154000,347876000,420714000,358561000,431020000,339281000,243250000,479671000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,7500000,- -,7600000,15486000,15700000,15900000,16300000,- -,16400000,16938000,16400000,15654000,15743000,15841000,16221000,16904000,17855000,18404000,17957000,18021000,18255000,18395000,18577000,18677000,18730000
64,Retained Earnings,25500000,27500000,30500000,31200000,32400000,29600000,27000000,-5800000,900000,- -,24100000,38100000,54600000,- -,68400000,113704000,129400000,148000000,174300000,- -,214400000,277442000,296800000,323343000,260473000,295044000,332099000,400784000,438545000,491428000,543066000,591349000,684540000,776403000,823702000,873692000,981825000
65,Other Comprehensive Income/Loss,-32100000,-38500000,-46200000,-54300000,-63900000,-73900000,-72300000,-52500000,-54300000,- -,-53700000,-57900000,-63900000,- -,2600000,-78319000,-8000000,-9400000,9800000,- -,2000000,3445000,13000000,-22000000,-8000000,-14000000,-63000000,-58000000,-11000000,-65000000,-88000000,-92000000,-65000000,-79000000,-47000000,-20000000,-45243000
66,Other Total Stockholders Equity,51000000,58800000,69000000,76200000,87300000,99200000,97300000,77400000,81300000,- -,89700000,89600000,96200000,- -,31600000,94942000,26000000,28538000,26469000,- -,48567000,- -,37781000,19147000,24734000,33647000,52936000,74464000,110127000,137131000,111559000,118416000,128778000,132526000,138621000,148386000,- -
67,Total Stockholders Equity,44400000,47800000,53300000,53100000,55800000,54900000,52000000,19100000,27900000,- -,60100000,77200000,94400000,- -,110200000,145813000,163100000,183038000,226869000,- -,281367000,357177000,363981000,336144000,292950000,330532000,338256000,434152000,555527000,581963000,584582000,635786000,766573000,848324000,933900000,1020755000,1118895000
68,Total Liabilities And Stockholders Equity,95300000,101000000,108100000,120400000,126700000,129500000,122700000,97700000,81800000,- -,102500000,119200000,158500000,- -,176100000,221514000,223800000,257738000,314469000,- -,405167000,480902000,470981000,475433000,407478000,484874000,677628000,760024000,806534000,835117000,932458000,1056500000,1125134000,1279344000,1273181000,1264005000,1598566000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,- -,-38000,-69000,- -,33000,- -,-81000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,95300000,101000000,108100000,120400000,126700000,129500000,122700000,97700000,81800000,- -,102500000,119200000,158400000,- -,176200000,221514000,223800000,257700000,314400000,- -,405200000,480902000,470900000,475433000,407478000,484874000,677628000,760024000,806534000,835117000,932458000,1056500000,1125134000,1279344000,1273181000,1264005000,1598566000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/84748/000008474896000006/0000084748-96-000006-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/84748/000115752308001787/a5620596.htm,https://www.sec.gov/Archives/edgar/data/84748/000115752309001682/0001157523-09-001682-index.html,https://www.sec.gov/Archives/edgar/data/84748/000115752310001072/0001157523-10-001072-index.html,https://www.sec.gov/Archives/edgar/data/84748/000115752311000998/a6614574.htm,https://www.sec.gov/Archives/edgar/data/84748/000115752312000876/0001157523-12-000876-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474813000004/0000084748-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474814000003/rog-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474815000003/rog-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474816000013/0000084748-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474817000004/0000084748-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474818000007/0000084748-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474819000006/0000084748-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474820000009/0000084748-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474821000021/0000084748-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474822000019/0000084748-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1600000,-2400000,-2300000,-32600000,6700000,- -,13100000,13900000,16500000,- -,13800000,26720000,15700000,18600000,26300000,- -,40100000,46456000,22100000,26515000,-62870000,34571000,37055000,68685000,37761000,52883000,46320000,48283000,80459000,87651000,47319000,49990000,108133000
74,Depreciation and Amortization,- -,- -,- -,- -,10600000,11200000,11700000,10900000,6700000,- -,5700000,5800000,6600000,- -,8400000,12507000,13712000,13571000,13615000,- -,18068000,19529000,25718000,18397000,17961000,16111000,26308000,27130000,26351000,26268000,34054000,37847000,44099000,50073000,49162000,71425000,43284000
75,Deferred Income Tax,- -,- -,- -,- -,300000,-1800000,-2400000,-1900000,- -,- -,-800000,-1400000,2500000,- -,2000000,3299000,-395000,2561000,4828000,- -,-2681000,-9597000,-5460000,-5138000,43424000,-8381000,-2725000,-58253000,5634000,8150000,3668000,7382000,17513000,-3325000,-17549000,-13406000,-3195000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5644000,4679000,6628000,8096000,5153000,5393000,7533000,9643000,11275000,11818000,11223000,12305000,13532000,16994000
77,Change in Working Capital,- -,- -,- -,- -,-800000,-5900000,300000,1900000,-9400000,- -,6700000,6700000,7400000,- -,-3500000,18304000,1096000,-2300000,24200000,- -,38400000,66811000,-11611000,-54343000,-3087000,34772000,30693000,35596000,65236000,23942000,38408000,7199000,-16501000,37891000,-14729000,-1211000,-40272000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29695000,-3804000,-16237000,-5373000,-2835000,-2727000,-10188000,10056000,-13005000,-14059000,-3824000,20677000,-8934000,-26197000
79,Inventory,- -,- -,- -,- -,-1500000,1700000,1400000,1100000,1100000,- -,-2800000,-2000000,-6500000,- -,-900000,-7465000,4771000,3627000,-1664000,- -,-20509000,-25729000,20212000,7394000,9999000,-10765000,-20643000,5873000,7188000,-5240000,-10608000,9689000,-14208000,-19013000,-1200000,34687000,-34413000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21466000,-27217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,26200000,20300000,20600000,22500000,13100000,- -,31400000,38100000,45500000,- -,42000000,54104000,55200000,52900000,77100000,- -,115500000,190411000,178800000,124457000,121370000,156142000,186835000,222431000,287667000,311609000,350017000,357216000,340715000,378606000,363877000,362666000,-8038000
82,Other Non-Cash Items,- -,- -,- -,- -,600000,11300000,4300000,27500000,7900000,- -,-13300000,-10700000,-14000000,- -,-4800000,-37116000,8902000,-6405000,-39281000,- -,-65285000,-89305000,37167000,78206000,2507000,-37934000,-82566000,-38272000,-62360000,-33569000,-58171000,4981000,1594000,-116693000,84815000,44726000,-581000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,12300000,12400000,11600000,5800000,11900000,- -,11400000,14300000,19000000,- -,15900000,23714000,39015000,26027000,29662000,- -,28602000,33894000,67914000,69281000,2614000,45767000,16861000,40039000,78015000,85207000,73922000,116967000,138982000,66820000,161323000,165056000,124363000
