,https://roic.ai/company/NVCN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,1364,494,739575,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,1364,494,739575,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,130443,317868,383984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,41733,1711994,33857,142848,- -,1230138,1197998,1240881,1274277,1304105,1474998,2100829,2651518,3720556,2035395,2163441,1253364,2090010,513301,10368283
45,Total Non-Current Assets,- -,720020,2716051,1947299,922333,820945,1439516,1197998,1240881,1274277,1304105,1474998,2100829,2651518,3720556,2035395,2163441,1253364,2090010,2147132,11006663
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1451823,3570341,4398105,3235171,4535481,5745532,3960988,2171057,3715106,6170535,8844321,6990601,20354961,61228394,98809503,22206443,11993294,10105840,17878219,66224839
48,Accounts Payable,- -,36775,209365,166917,230495,179051,742512,- -,- -,- -,- -,649399,1144745,1842604,2515815,943922,1256795,898711,3993203,3705626,1434357
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,19751,16956,38180,40624,40713,42761,40899,38412,- -,- -,4261597,1423224,6490750,76158,352365
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,22105,26836,28948,73015,47529,28387,1001154,919217,647773,579310,423430,336475,322233,717156,113328117,20585505,5953828,4237605,3880784,3194806
53,Total Current Liabilities,- -,58880,236201,195866,303510,226580,790650,1018110,957397,688397,620024,1115591,1522118,2203248,3232971,114272039,26103897,8275763,14721558,7662568,4981528
54,Long-Term Debt,- -,178917,190374,176411,152636,138031,445865,343970,341034,318821,274870,242336,187913,135786,- -,- -,15745962,13194112,8174919,7641253,8609692
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,308887,121470,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-0,0,307703,316224,286740,7366,- -,- -,- -,- -,- -,- -,- -,- -,16831685,190303,1655128,596881,405508
58,Total Non-Current Liabilities,- -,178917,499261,297881,460338,454255,732605,351336,341034,318821,274870,242336,187913,135786,- -,- -,32577647,13384415,9830047,8238134,9015200
59,Other Liabilities,- -,- -,- -,- -,920677,908511,- -,- -,- -,- -,549739,- -,375826,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,904879,939791,545797
61,Total Liabilities,- -,237798,735462,493747,763849,680836,1523256,1369446,1298431,1007218,894893,1357926,1710031,2339034,3232971,114272039,58681544,21660178,24551605,15900702,13996728
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70787155,68945773,85427730,161505037,168712673,171803816,304460533,328460681,369775383,439873457
64,Retained Earnings,- -,-112189,-1088786,-5122176,-10690955,-15357273,-25881448,-49211145,-61470965,-66986414,-69532209,-71714517,-73343542,-83692350,-115288713,-201783606,-224692327,-332735195,-366532164,-395227205,-420116274
65,Other Comprehensive Income/Loss,- -,-76254,-194001,-323241,-448153,-571368,-875455,-883808,-1105492,-1141462,-1215496,-1384041,-1548265,-1679675,-9000000,-5000000,-7000000,-8000000,-6000000,-3570741,-7885024
66,Other Total Stockholders Equity,- -,1402468,4117666,9349775,13610431,19783286,30979179,52686495,63449083,70835764,76023346,9797799,11226603,17960222,20779099,22608397,23413410,26607778,29625718,31000080,40355952
67,Total Stockholders Equity,- -,1214025,2834879,3904358,2471323,3854646,4222276,2591542,872626,2707888,5275642,7486395,5280570,18015927,57995423,-15462536,-36475101,-9666884,-14445765,1977517,52228111
68,Total Liabilities And Stockholders Equity,- -,1451823,3570341,4398105,3235171,4535481,5745532,3960988,2171057,3715106,6170535,8844321,6990601,20354961,61228394,98809503,22206443,11993294,10105840,17878219,66224839
69,Minority Interest,- -,-0,- -,- -,-0,- -,- -,-0,-0,-0,-0,- -,-0,0,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1451823,3570341,4398105,3235171,4535481,5745532,3960988,2171057,3715106,6170535,8844321,6990601,20354961,61228394,98809503,22206443,11993294,10105840,17878219,66224839
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399708/000127956916003034/0001279569-16-003034-index.html,https://www.sec.gov/Archives/edgar/data/1399708/000127956917000570/0001279569-17-000570-index.html,- -,https://www.sec.gov/Archives/edgar/data/1399708/000104746919001502/0001047469-19-001502-index.html,https://www.sec.gov/Archives/edgar/data/1399708/000104746920001915/0001047469-20-001915-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10036,-55142,-952586,-3947683,-5389101,-4704840,-7907658,-28150834,-4274935,-2630464,-3780780,-353194,-6339632,-16419808,-26730490,-86494893,-22908721,-108042868,-35131015,-28695041,-24889069
74,Depreciation and Amortization,- -,52344,289330,997428,1006812,124829,207463,1909500,192531,123098,97331,136571,255135,323735,503709,755734,534545,384126,641621,768101,670977
75,Deferred Income Tax,- -,-136286,-144004,161425,419532,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200523,484428,107093,28793,-524057,86692
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,318291,242381,510020,- -,2378128,1843948,8196683,4114165,1810111,2484542,3292877,3189808,4905812,5285813
77,Change in Working Capital,-11238,-231038,-121722,-606548,52688,-7575,449125,-256726,-243565,-617388,48233,412523,-157680,83723,821165,-2427075,-112067771,1124891,1831473,-767732,-2951529
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,417451,26416,-219424,-72166,-168601,-363012,-531127,-468478,-1362272,1907768,198331,-133153,-271361,-401963
79,Inventory,- -,-174039,-147444,-907363,168219,59147,218731,-480168,-59923,-65425,165496,109397,-275054,7612,-269605,-470,-174392,139814,-359908,-220822,-640605
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1527656,-842360,-1046664,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-22637,-615,- -,- -,- -,- -,- -,- -,- -,-112519117,- -,-2150000,- -,- -
82,Other Non-Cash Items,- -,-0,39062,94086,534220,174887,748164,19213616,-0,9910,1664198,-4622056,-0,127102,8493,46361441,-7140969,80339133,5467194,-5128939,-5315654
83,Cash Provided by Operating Activities,-21274,-370123,-889920,-3301293,-3375850,-4412699,-6502906,-6966153,-4083588,-2604823,-1971018,-2048028,-4398230,-7688565,-21282958,-39794159,-138613946,-22794748,-23972126,-29441856,-27112770
84,CAPEX,- -,-117075,-98370,-164182,-75468,-169098,-547628,-39248,-48974,-113957,-162140,-314210,-977852,-1075904,-2143128,-656170,-505667,-190382,-243501,-341767,-164081
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1473350,- -,- -,-10337163,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,222249,- -,- -,- -,- -,- -,- -,- -,- -,- -,1512108,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-31497,-43650,-209301,- -,- -,- -,- -,-52780,- -,5789,- -,4275402,323884,0,9322492,-2708020,70002520,904134,-23138,-7586,- -
89,Cash Used for Investing Activites,-31497,61524,-307671,-164182,-75468,-169098,-547628,-92028,-48974,-108168,-1635490,5473299,-653968,-11413067,7179364,-3364190,69496853,713752,-266639,-349353,-164081
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-316678,-40275,-37567,-245418,-38788,-37558,-35674,-164364,- -,- -,- -,-513137,-8324437,-491331
91,Common Stock Issued,92694,887359,1003274,4476073,3395157,5922182,7322449,6763425,1890637,1510899,4581426,- -,- -,21230251,69879210,7054660,- -,- -,19601526,40397547,65322100
92,Common Stock Repurchased,- -,- -,-69914,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-118461,-188900,-28948,-29964,-29647,277080,123,2503,2403851,167153,88090,2781607,165330,1090092,75192,65578699,13816648,1200400,5361126,1047589
95,Cash Used/Provided by Financing Activities,92694,768897,744459,4447124,3365193,5892534,7599528,6446870,1852865,3877184,4503161,49303,2744049,21359906,70804938,7129852,65578699,13816648,20288789,37434236,65878358
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6868734,3956897,-1909020,- -,- -,- -,- -
97,Net Change In Cash,39923,460298,-453131,981648,-86125,1310737,548994,-611311,-2279697,1164193,896653,3474574,-2308149,2258275,49832610,-32071600,-5447414,-8264348,-3949976,7643027,38601507
98,Cash at the End of Period,222196,462739,108645,1098845,1051266,2358215,3274163,2052949,106359,1275543,2355054,5891579,3196439,5190129,55026171,22954571,17507157,9242809,5292833,12935860,51537367
99,Cash at the Beginning of Period,182273,2440,561776,117197,1137390,1047478,2725169,2664260,2386056,111350,1458401,2417006,5504588,2931854,5193561,55026171,22954571,17507157,9242809,5292833,12935860
100,Free Cash Flow,-21274,-487198,-988289,-3465475,-3451317,-4581797,-7050534,-7005401,-4132562,-2718780,-2133158,-2362239,-5376082,-8764469,-23426086,-40450329,-139119613,-22985130,-24215627,-29783623,-27276851
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399708/000127956916003034/0001279569-16-003034-index.html,https://www.sec.gov/Archives/edgar/data/1399708/000127956917000570/0001279569-17-000570-index.html,- -,https://www.sec.gov/Archives/edgar/data/1399708/000104746919001502/0001047469-19-001502-index.html,https://www.sec.gov/Archives/edgar/data/1399708/000104746920001915/0001047469-20-001915-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
