,https://roic.ai/company/ACEL,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,450506795,457467378,509317000,560241000,582253000
69,Minority Interest,- -,- -,- -,-1000,33820000
70,Total Liabilities & Equity,450506795,457467378,509317000,560240000,616073000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1698991/000156459018002111/0001564590-18-002111-index.html,https://www.sec.gov/Archives/edgar/data/1698991/000156459019002860/0001564590-19-002860-index.html,https://www.sec.gov/Archives/edgar/data/1698991/000169899120000006/0001698991-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1698991/000169899121000005/0001698991-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1698991/000169899122000004/0001698991-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-376372,6865501,-5864000,-12984000,- -
74,Depreciation and Amortization,- -,- -,44373000,43577000,- -
75,Deferred Income Tax,- -,- -,4081000,-16836000,6108000
76,Stock Based Compensation,- -,- -,2236000,5538000,- -
77,Change in Working Capital,-98133,96253645,-12736000,33103000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-405000,-16876000,- -
81,Other Working Capital,295355,96549000,-240000,132697000,3033000
82,Other Non-Cash Items,- -,-102978392,13475000,-56103000,104647000
83,Cash Provided by Operating Activities,-474505,140754,45565000,-3705000,110755000
84,CAPEX,- -,- -,-20796000,-25761000,-29753000
85,Acquisitions Net,- -,- -,-100857000,-35769000,- -
86,Purchases of Investments,- -,- -,-30000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-450000000,- -,121000,95000,-4791000
89,Cash Used for Investing Activites,-450000000,- -,-151532000,-61435000,-34544000
90,Debt Repayment,-300000,- -,-275156000,-75938000,- -
91,Common Stock Issued,450025000,- -,- -,90422000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1121578,- -,414297000,59704000,-11876000
95,Cash Used/Provided by Financing Activities,450846578,- -,139141000,74188000,-11876000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,450846578,140754,33174000,9048000,-11876000
98,Cash at the End of Period,372073,512827,125403000,134451000,- -
99,Cash at the Beginning of Period,- -,372073,92229000,125403000,- -
100,Free Cash Flow,-474505,140754,24769000,-29466000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1698991/000156459018002111/0001564590-18-002111-index.html,https://www.sec.gov/Archives/edgar/data/1698991/000156459019002860/0001564590-19-002860-index.html,https://www.sec.gov/Archives/edgar/data/1698991/000169899120000006/0001698991-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1698991/000169899121000005/0001698991-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1698991/000169899122000004/0001698991-22-000004-index.htm
102,false,,,,,
