,https://roic.ai/company/TPH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,244000,- -,1697000,30668000,27085000,24760000,24226000,21968000,22802000,20753000,18491000
41,Intangible Assets,244000,- -,1697000,169972000,166389000,164064000,163530000,161272000,162106000,160057000,157795000
42,Investments,- -,- -,- -,16805000,18999000,17546000,5870000,5410000,11745000,75056000,118095000
43,Tax Assets,- -,- -,4611000,157821000,130657000,123223000,76413000,67768000,49904000,47525000,57096000
44,Other Non-Current Assets,1274000,3061000,8824000,46453000,22392000,22644000,21933000,18225000,96195000,80572000,64446000
45,Total Non-Current Assets,1518000,3061000,15132000,402770000,346080000,338361000,278274000,306873000,370897000,412008000,471159000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,93776000,217516000,506035000,2913524000,3138071000,3564640000,3805381000,3884203000,3858690000,4021980000,4336223000
48,Accounts Payable,3223000,8280000,23397000,68860000,64840000,70252000,72870000,81313000,66120000,79690000,84854000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,250000000,250000000,250504000
50,Tax Payable,- -,- -,7764000,15659000,49943000,44750000,72049000,36804000,10324000,15749000,38399000
51,Deferred Revenue,- -,- -,- -,14229000,12132000,13437000,19568000,17464000,20390000,43602000,55156000
52,Other Current Liabilities,204000,1122000,18882000,66412000,82333000,90610000,122571000,94358000,-184440000,69297000,104007000
53,Total Current Liabilities,3427000,9402000,42279000,149501000,159305000,174299000,215009000,193135000,152070000,442589000,494521000
54,Long-Term Debt,6873000,57368000,138112000,1171691000,1172947000,1382033000,1471302000,1410804000,1283985000,1146240000,1164483000
55,Deferred Revenue,- -,- -,- -,14229000,12132000,13437000,19568000,17464000,20390000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,985000,1593000,3338000,105627000,107224000,146361000,169175000,205863000,215703000,200602000,229586000
58,Total Non-Current Liabilities,7858000,58961000,141450000,1291547000,1292303000,1541831000,1660045000,1634131000,1520078000,1346842000,1394069000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,56125000,53239000,77264000
61,Total Liabilities,11285000,68363000,183729000,1441048000,1451608000,1716130000,1875054000,1827266000,1672148000,1789431000,1888590000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,82491000,149153000,316000,1614000,1618000,1586000,1512000,1417000,1361000,1219000,1096000
64,Retained Earnings,- -,- -,11112000,546407000,751868000,947039000,1134230000,1396787000,1603974000,1886181000,2355448000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,310878000,906159000,911197000,880822000,793980000,658720000,581195000,345137000,91077000
67,Total Stockholders Equity,82491000,149153000,322306000,1454180000,1664683000,1829447000,1929722000,2056924000,2186530000,2232537000,2447621000
68,Total Liabilities And Stockholders Equity,93776000,217516000,506035000,2895228000,3116291000,3545577000,3804776000,3884190000,3858678000,4021968000,4336211000
69,Minority Interest,- -,- -,- -,18296000,21780000,19063000,605000,13000,12000,12000,12000
70,Total Liabilities & Equity,93776000,217516000,506035000,2913524000,3138071000,3564640000,3805381000,3884203000,3858690000,4021980000,4336223000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1561680/000119312513132645/0001193125-13-132645-index.html,https://www.sec.gov/Archives/edgar/data/1561680/000119312514072728/0001193125-14-072728-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156459015001605/0001564590-15-001605-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156459016013570/0001564590-16-013570-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168017000008/0001561680-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168018000015/0001561680-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168019000022/0001561680-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168020000021/0001561680-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168021000023/0001561680-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168022000009/0001561680-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-4593000,2506000,15374000,84197000,205461000,195171000,187191000,269911000,207187000,282207000,469267000
74,Depreciation and Amortization,758000,431000,866000,11423000,8274000,3087000,3500000,29097000,28396000,29497000,32421000
75,Deferred Income Tax,- -,- -,-4611000,5716000,27164000,7434000,46810000,11074000,17864000,2379000,-9571000
76,Stock Based Compensation,466000,466000,2371000,8626000,11935000,12612000,15906000,14814000,14806000,16885000,20941000
77,Change in Working Capital,-63074000,116222000,243571000,1912629000,271433000,419294000,260118000,72097000,-48472000,-168340000,-113967000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-67915000,-112060000,-261559000,-276315000,-235030000,-388145000,-205229000,-91757000,120272000,157060000,-161010000
80,Accounts Payable,1662000,6583000,15574000,5571000,-4020000,5412000,2618000,3222000,-15193000,13570000,5164000
81,Other Working Capital,88831000,205053000,448624000,2361253000,2632686000,3051980000,3312098000,3384195000,3335723000,3167383000,- -
82,Other Non-Cash Items,- -,-223862000,-477780000,-2135961000,-493262000,-795908000,-411851000,-86331000,96199000,425361000,20442000
83,Cash Provided by Operating Activities,-66443000,-104237000,-220209000,-113370000,31005000,-158310000,101674000,310662000,315980000,587989000,419533000
84,CAPEX,-308000,-288000,-506000,-7850000,-809000,-3985000,-2605000,-31651000,-30282000,-22797000,-29489000
85,Acquisitions Net,- -,- -,- -,52489000,-1468000,-32000,-980000,-63769000,-7022000,-65271000,-42644000
86,Purchases of Investments,- -,- -,-125000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,125000000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,23000,1415000,9000,6000,8000,46000,28000,2000
89,Cash Used for Investing Activites,-308000,-288000,-506000,44662000,-862000,-4008000,-3579000,-95412000,-37258000,-88040000,-72131000
90,Debt Repayment,-3570000,-65393000,-177880000,-672737000,-119620000,-333300000,-413726000,-193105000,-531895000,-808791000,-8475000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-42082000,-112217000,-146063000,-89224000,-250722000,-276045000
93,Dividends Paid,- -,- -,- -,-8606000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,68741000,179578000,414032000,916170000,133333000,531872000,502105000,118700000,393712000,851848000,-2649000
95,Cash Used/Provided by Financing Activities,65171000,114185000,236152000,234827000,13713000,156490000,-23838000,-220468000,-227407000,-207665000,-287169000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1580000,9660000,15437000,166119000,43856000,-5828000,74257000,-5218000,51315000,292284000,60233000
98,Cash at the End of Period,10164000,19824000,35261000,170629000,214485000,208657000,282914000,277696000,329011000,621295000,681528000
99,Cash at the Beginning of Period,11744000,10164000,19824000,4510000,170629000,214485000,208657000,282914000,277696000,329011000,621295000
100,Free Cash Flow,-66751000,-104525000,-220715000,-121220000,30196000,-162295000,99069000,279011000,285698000,565192000,390044000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1561680/000119312513132645/0001193125-13-132645-index.html,https://www.sec.gov/Archives/edgar/data/1561680/000119312514072728/0001193125-14-072728-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156459015001605/0001564590-15-001605-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156459016013570/0001564590-16-013570-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168017000008/0001561680-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168018000015/0001561680-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168019000022/0001561680-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168020000021/0001561680-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168021000023/0001561680-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1561680/000156168022000009/0001561680-22-000009-index.htm
102,false,,,,,,,,,,,
