,https://roic.ai/company/RSLS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-11.96,-24.36,-28.82,-34.19,-11.69,-2.25,-1.07,-2.06,-0.86,-0.59,-0.47,-0.39,-0.28,-37.53,-3.07,-75.31,-42.93,-3.12,-8.94
27,Weighted Average Shares Outstanding,159000,141564,389101,517462,2445001,16835661,29846000,8420000,30205447,39537000,55010000,67866000,89549552,622431,11022299,1118439,1728722,6927021,6927021
28,Weighted Average Shares Outstanding Diluted,159000,141564,389101,517462,2445001,16835661,29846000,8420000,30205447,39537000,55010000,67866000,89549552,622431,11022299,1118439,1728722,6927021,6927021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1371217/000119312509052380/0001193125-09-052380-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312510070134/0001193125-10-070134-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312511057769/0001193125-11-057769-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312512116517/0001193125-12-116517-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312513096235/0001193125-13-096235-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312514118800/0001193125-14-118800-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312515091468/0001193125-15-091468-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312516519841/0001193125-16-519841-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837017001478/0001558370-17-001478-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837018002717/0001558370-18-002717-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837019005143/0001558370-19-005143-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837020004843/0001558370-20-004843-index.htm,https://www.sec.gov/Archives/edgar/data/1427570/000155837021002923/0001558370-21-002923-index.htm,https://www.sec.gov/Archives/edgar/data/1427570/000155837022005238/0001558370-22-005238-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10718501,17536472,48732309,21055108,14617594,30840560,28487688,22308781,23297479,11619167,7927240,3310787,10163208,5547745,2935000,2957000,22765000
32,Short-Term Investments,- -,- -,- -,17195540,8298568,5239892,- -,- -,1005411,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10718501,34732012,57030877,26295000,14617594,30840560,29493099,22308781,23297479,11619167,7927240,3310787,10163208,5547745,2935000,2957000,22765000
34,Net Receivables,- -,- -,21601,155521,96312,77273,10007,- -,- -,52406,17742,2812,57928,143692,488613,916813,4096000,2620000,2815000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1068623,1271207,1127941,980519,1686324,1789578,2817112,984735,1317000,2244000,3003000
36,Other Current Assets,- -,- -,141636,67646,426718,421817,474336,6963569,1004799,771654,546744,421673,831495,476624,467783,1269741,1761000,1123000,1672000
37,Total Current Assets,- -,- -,10881738,34955179,57553907,26794090,15101937,37804129,31566521,24404048,24989906,13024171,10502987,5720681,13936716,8719034,10109000,8944000,30255000
38,PP&E,- -,- -,642548,1102327,1491768,1263903,965829,741564,630354,609672,577095,481522,326296,200720,438621,63548,774000,1049000,1720000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27186620,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46152577,36927221,28674000,27022000,20827000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73339197,36927221,28674000,27022000,20827000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000
44,Other Non-Current Assets,- -,- -,36564,6395,5000,220907,146234,141572,288980,1082765,820767,879905,757802,1119405,990015,562863,99000,46000,901000
45,Total Non-Current Assets,- -,- -,679112,1108722,1496768,1484810,1112063,883136,919334,1692437,1397862,1361427,1084098,1320125,74767833,37553632,29547000,28117000,24003000
46,Other Assets,717000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,717000,- -,11560850,36063901,59050675,28278900,16214000,38687265,32485855,26096485,26387768,14385598,11587085,7040806,88704549,46272666,39656000,37061000,54258000
48,Accounts Payable,- -,- -,316850,678762,300342,163377,33618,125188,434436,340555,127329,399336,172050,1311706,1088271,1626545,4263000,3655000,3468000
49,Short-Term Debt,- -,- -,- -,- -,- -,2674597,3880656,921998,2307162,3000000,4000000,2976164,717391,- -,- -,- -,- -,717391,279000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,398000,- -
52,Other Current Liabilities,- -,- -,1925186,4355567,7451069,3039971,2366221,2949863,6822191,4197287,4712732,4345703,3596587,2751415,5955518,6735997,5924000,6834609,3584000
53,Total Current Liabilities,- -,- -,2242036,5034329,7751411,5877945,6280495,3997049,9563789,7537842,8840061,7721203,4486028,4063121,7043789,8362542,10389000,11605000,7331000
54,Long-Term Debt,- -,- -,7344262,1726959,6017744,10995811,3880810,4983159,2881161,6683972,2868330,- -,549791,- -,- -,- -,- -,430,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5292291,1844297,702000,615000,555000
57,Other Non-Current Liabilities,- -,- -,- -,728841,- -,- -,471585,- -,- -,- -,- -,- -,2877817,39119,1600,4403389,4458000,10352570,300000
58,Total Non-Current Liabilities,- -,- -,7344262,2455800,6017744,10995811,4352395,4983159,2881161,6683972,2868330,- -,3427608,39119,5293891,6247686,5160000,10968000,855000
59,Other Liabilities,1387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768000,477000,- -
61,Total Liabilities,1387000,- -,9586298,7490129,13769155,16873756,10632890,8980208,12444950,14221814,11708391,7721203,7913636,4102240,12337680,14610228,15549000,22573000,8186000
62,Preferred Stock,2000,- -,46042,103138,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015,956,1000,1000,- -
63,Common Stock,- -,- -,4801,5798,167990,168999,373784,278924,367527,418433,635514,695704,71638,27366,309571,87704,- -,6000,18000
64,Retained Earnings,-2504000,- -,-17167579,-34858056,-63433404,-101307432,-133367600,-150714987,-176712309,-200172412,-225953071,-252081791,-277580538,-300941382,-334759354,-418989911,-493197000,-514827000,-576760000
65,Other Comprehensive Income/Loss,- -,- -,-64068,-239262,-627024,-836844,-1247880,-1574507,-1872602,-2069585,-2244214,-2433118,-2621525,-2761101,-2965624,-3140981,-164000,-121000,-92000
66,Other Total Stockholders Equity,1834000,- -,19155356,63562154,109173958,113380421,139822806,181717627,198258289,213698235,242241148,260483600,283803874,306613683,413781261,453704670,517468000,529429000,622906000
67,Total Stockholders Equity,-670000,- -,1974552,28573772,45281520,11405144,5581110,29707057,20040905,11874671,14679377,6664395,3673449,2938566,76366869,31662438,24107000,14488000,46072000
68,Total Liabilities And Stockholders Equity,717000,- -,11560850,36063901,59050675,28278900,16214000,38687265,32485855,26096485,26387768,14385598,11587085,7040806,88704549,46272666,39656000,37061000,54258000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,717000,- -,11560850,36063901,59050675,28278900,16214000,38687265,32485855,26096485,26387768,14385598,11587085,7040806,88704549,46272666,39656000,37061000,54258000
71,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1371217/000119312509052380/0001193125-09-052380-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312510070134/0001193125-10-070134-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312511057769/0001193125-11-057769-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312512116517/0001193125-12-116517-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312513096235/0001193125-13-096235-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312514118800/0001193125-14-118800-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312515091468/0001193125-15-091468-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312516519841/0001193125-16-519841-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837017001478/0001558370-17-001478-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837018002717/0001558370-18-002717-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837019005143/0001558370-19-005143-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837020004843/0001558370-20-004843-index.htm,https://www.sec.gov/Archives/edgar/data/1427570/000155837021002923/0001558370-21-002923-index.htm,https://www.sec.gov/Archives/edgar/data/1427570/000155837022005238/0001558370-22-005238-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-11215191,-17690477,-28575348,-37874028,-31929200,-17347387,-25997322,-23460103,-25780659,-26128720,-25498747,-23360844,-33817972,-81151575,-74207000,-21630000,-61933000
74,Depreciation and Amortization,- -,- -,143231,95849,992373,513060,424354,375756,303972,226990,174629,188904,188606,139576,925463,440557,1706000,1667000,1971000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2314611,-3447994,-1143000,-86000,-60000
76,Stock Based Compensation,- -,- -,- -,- -,- -,2520555,2439291,2564226,2892696,4225322,5954928,6319707,6939777,2330937,4436797,3097806,2311000,1323000,12752000
77,Change in Working Capital,- -,- -,768829,21281148,19881646,-28886351,-12094703,24985638,-11804348,-5136526,-716361,-10846877,713991,-4359399,5235367,-6536435,-636492,-2381000,25585000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52406,26634,14930,-55116,-105625,28103,-507895,- -,- -,-284000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1068623,-202584,143266,147422,-705805,-103254,68441,1977651,-332000,-1175000,-369000
80,Accounts Payable,- -,- -,- -,- -,- -,-183034,-73709,-109950,367491,-224562,60732,267356,-222636,1139656,-223435,317081,- -,- -,- -
81,Other Working Capital,- -,- -,8639702,29920850,49802496,20916145,8821442,33807080,22002732,16866206,16149845,5302968,6016959,1657560,6892927,356492,-280000,-2661000,22924000
82,Other Non-Cash Items,- -,- -,25041,-19914643,-15667181,30058151,16503035,-24242840,14669568,1664948,1941734,11083323,-4949667,4593937,946748,60107471,57769492,12557000,6310000
83,Cash Provided by Operating Activities,- -,- -,-10278090,-16228123,-23368510,-33668613,-24657223,-13664607,-19935434,-22479369,-18425729,-19383663,-22606040,-20655793,-24588208,-27490170,-14200000,-8550000,-15375000
84,CAPEX,- -,- -,-449811,-634973,-800393,-244439,-186981,-2592,-252274,-76394,-416010,-88680,-38915,-14000,-137123,-49579,-14000,-390000,-352000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6230567,-10278807,-2000000,-2000000,- -
86,Purchases of Investments,- -,- -,- -,-20039098,-6944194,-10313071,- -,- -,-5007980,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,3000000,15990000,13388414,5226000,- -,4000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-6527031,6327031,- -,200000,- -,- -,- -,- -,- -,- -,-390000,1855000
89,Cash Used for Investing Activites,- -,- -,-449811,-17674071,8245413,2830904,5039019,-6529623,5066777,923606,-216010,-88680,-38915,-14000,-6367690,-10328386,-2014000,-2390000,1855000
90,Debt Repayment,- -,- -,- -,- -,- -,-11674658,-11783065,-1889904,-921997,-752841,-3000000,-4000000,-3000000,-446867,- -,- -,-2200000,- -,- -
91,Common Stock Issued,- -,- -,7778951,40864599,40865664,- -,20005807,- -,14520000,5050000,24050598,9836464,22651932,- -,6468148,37745233,478000,- -,2813000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-898969,-2599091,-1214071,-367871,- -,- -,- -,- -,- -,-500000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,8335852,-144434,5453270,14835166,5856917,40906191,131853,11447568,-1420161,1957567,-698904,16500207,31340171,-4042140,15381000,11075000,30486000
95,Cash Used/Provided by Financing Activities,- -,- -,16114803,40720165,46318934,3160508,13180690,36417196,12515785,15376856,19630437,7794031,18953028,16053340,37808319,33203093,13659000,11075000,33299000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000,-113000,29000
97,Net Change In Cash,- -,- -,5386902,6817971,31195837,-27677201,-6437514,16222966,-2352872,-6178907,988698,-11678312,-3691927,-4616453,6852421,-4615463,-2563000,22000,19808000
98,Cash at the End of Period,- -,- -,10718501,17536472,48732309,21055108,14617594,30840560,28487688,22308781,23297479,11619167,7927240,3310787,10163208,5547745,2985000,3007000,22815000
99,Cash at the Beginning of Period,- -,- -,5331599,10718501,17536472,48732309,21055108,14617594,30840560,28487688,22308781,23297479,11619167,7927240,3310787,10163208,5548000,2985000,3007000
100,Free Cash Flow,- -,- -,-10727901,-16863096,-24168903,-33913052,-24844204,-13667199,-20187708,-22555763,-18841739,-19472343,-22644955,-20669793,-24725331,-27539749,-14214000,-8940000,-15727000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1371217/000119312509052380/0001193125-09-052380-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312510070134/0001193125-10-070134-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312511057769/0001193125-11-057769-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312512116517/0001193125-12-116517-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312513096235/0001193125-13-096235-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312514118800/0001193125-14-118800-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312515091468/0001193125-15-091468-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000119312516519841/0001193125-16-519841-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837017001478/0001558370-17-001478-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837018002717/0001558370-18-002717-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837019005143/0001558370-19-005143-index.htm,https://www.sec.gov/Archives/edgar/data/1371217/000155837020004843/0001558370-20-004843-index.htm,https://www.sec.gov/Archives/edgar/data/1427570/000155837021002923/0001558370-21-002923-index.htm,https://www.sec.gov/Archives/edgar/data/1427570/000155837022005238/0001558370-22-005238-index.htm
102,false,,,,,,,,,,,,,,,,,,,
