,https://roic.ai/company/SDC,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,66406000,555194000,885645000,884789000,794558000
48,Accounts Payable,7916000,25250000,52706000,36848000,19922000
49,Short-Term Debt,- -,- -,35376000,15664000,10997000
50,Tax Payable,- -,- -,- -,- -,8769000
51,Deferred Revenue,12437000,19059000,25435000,26619000,20258000
52,Other Current Liabilities,43935000,73164000,93339000,107410000,127063000
53,Total Current Liabilities,64288000,117473000,206856000,186541000,178240000
54,Long-Term Debt,35397000,138922000,173150000,392939000,750325000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,575000,389236000,47354000,71171000,347000
58,Total Non-Current Liabilities,35972000,528158000,220504000,464110000,750672000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,27771000,31349000
61,Total Liabilities,100260000,645631000,427360000,650651000,928912000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,38000,38000,39000
64,Retained Earnings,-34169000,-90752000,-114513000,-192879000,-295321000
65,Other Comprehensive Income/Loss,-3153000,-11958000,-39365000,-102000,293000
66,Other Total Stockholders Equity,3468000,12273000,486959000,501013000,- -
67,Total Stockholders Equity,-33854000,-90437000,333119000,308070000,171498000
68,Total Liabilities And Stockholders Equity,66406000,555194000,760479000,958721000,1100410000
69,Minority Interest,- -,- -,125166000,-73932000,-305852000
70,Total Liabilities & Equity,66406000,555194000,885645000,884789000,794558000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1775625/000177562520000007/0001775625-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1775625/000177562521000025/0001775625-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1775625/000177562522000020/0001775625-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-32778000,-74771000,-114513000,-78366000,-102442000
74,Depreciation and Amortization,2513000,8861000,27336000,56390000,70113000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,6860000,19839000,350122000,44903000,44628000
77,Change in Working Capital,-8077000,346328000,58679000,10603000,21434000
78,Accounts Receivable,-35804000,-128811000,-171577000,52400000,49560000
79,Inventory,-721000,-6058000,-9650000,-11602000,-11775000
80,Accounts Payable,2307000,24449000,-1182000,-7670000,-11296000
81,Other Working Capital,-21375000,324953000,383632000,394235000,-6361000
82,Other Non-Cash Items,1214000,-415043000,-654816000,-117098000,-175252000
83,Cash Provided by Operating Activities,-30268000,-114786000,-333192000,-83568000,-141519000
84,CAPEX,-10027000,-41841000,-106361000,-97141000,-106567000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-106361000,- -,- -
89,Cash Used for Investing Activites,-10027000,-41841000,-106361000,-97141000,-106567000
90,Debt Repayment,-7799000,-35532000,-215868000,-204577000,-412161000
91,Common Stock Issued,12764000,- -,1277016000,- -,- -
92,Common Stock Repurchased,-1602000,- -,-782173000,-11056000,-10028000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,34602000,502017000,165107000,394608000,577906000
95,Cash Used/Provided by Financing Activities,37965000,466485000,444082000,178975000,155717000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,505000
97,Net Change In Cash,-2330000,309858000,4529000,-1734000,-91864000
98,Cash at the End of Period,4071000,313929000,318458000,316724000,224860000
99,Cash at the Beginning of Period,6401000,4071000,313929000,318458000,316724000
100,Free Cash Flow,-40295000,-156627000,-439553000,-180709000,-248086000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1775625/000177562520000007/0001775625-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1775625/000177562521000025/0001775625-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1775625/000177562522000020/0001775625-22-000020-index.htm
102,false,,,,,
