,https://roic.ai/company/NFE,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,389054000,381190000,685062000,821295000,1899964000,6876492000
69,Minority Interest,- -,- -,14340000,302519000,8127000,- -
70,Total Liabilities & Equity,389054000,381190000,699402000,1123814000,1908091000,6876492000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1749723/000114036120004834/0001140361-20-004834-index.html,https://www.sec.gov/Archives/edgar/data/1749723/000114036121008724/0001140361-21-008724-index.htm,https://www.sec.gov/Archives/edgar/data/1749723/000114036122007364/0001140361-22-007364-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-32926000,-31671000,-78182000,-33809000,-182147000,- -
74,Depreciation and Amortization,2389000,3214000,4034000,8641000,33303000,- -
75,Deferred Income Tax,-361000,521000,-345000,392000,2754000,- -
76,Stock Based Compensation,- -,- -,- -,41205000,8743000,- -
77,Change in Working Capital,-14559000,-64547000,-373829000,359832000,462003000,- -
78,Accounts Receivable,-16149000,-3114000,-9516000,- -,- -,- -
79,Inventory,-7656000,-3496000,-4807000,-50345000,23230000,- -
80,Accounts Payable,9824000,-110000,12232000,3036000,55514000,17527000
81,Other Working Capital,187401000,122854000,-250975000,108857000,570860000,- -
82,Other Non-Cash Items,1964000,37591000,355095000,-610522000,-450222000,84770000
83,Cash Provided by Operating Activities,-43493000,-54892000,-93227000,-234261000,-125566000,84770000
84,CAPEX,-96325000,-28727000,-181151000,-377051000,-156995000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2000000,-1667000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-102040000,-50729000,-177486000,-376164000,-157631000,- -
89,Cash Used for Investing Activites,-104040000,-52396000,-177486000,-376164000,-157631000,- -
90,Debt Repayment,-65853000,-5828000,-76520000,-5000000,-1490002000,-461015000
91,Common Stock Issued,- -,- -,- -,274948000,291992000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-33742000,- -
94,Other Financing Activites,343552000,17174000,340826000,332659000,2051250000,2277959000
95,Cash Used/Provided by Financing Activities,277699000,11346000,264306000,602607000,819498000,1816944000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,130166000,-95942000,-6407000,-7818000,536301000,1816944000
98,Cash at the End of Period,180650000,84708000,78301000,93035000,629336000,- -
99,Cash at the Beginning of Period,50484000,180650000,84708000,100853000,93035000,- -
100,Free Cash Flow,-139818000,-83619000,-274378000,-611312000,-282561000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1749723/000114036120004834/0001140361-20-004834-index.html,https://www.sec.gov/Archives/edgar/data/1749723/000114036121008724/0001140361-21-008724-index.htm,https://www.sec.gov/Archives/edgar/data/1749723/000114036122007364/0001140361-22-007364-index.htm
102,false,,,,,,
