,https://roic.ai/company/FPI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1591670/000155837015000260/0001558370-15-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837016004168/0001558370-16-004168-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837017000878/0001558370-17-000878-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837018001471/0001558370-18-001471-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837019002049/0001558370-19-002049-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837020002626/0001558370-20-002626-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837021003254/0001558370-21-003254-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837022002442/0001558370-22-002442-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,42955,16805,33736166,23514296,47166000,53536000,16891000,12561000,27217000,30171000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,42955,16805,33736166,23514296,47166000,53536000,16891000,12561000,27217000,30171000
34,Net Receivables,- -,463700,519682,3514835,7024000,16410000,18013000,10282000,6468000,11012000
35,Inventory,- -,- -,- -,248597,283000,126000,341000,1550000,1117000,3059000
36,Other Current Assets,- -,- -,- -,- -,1056000,3057000,3638000,3440000,2889000,3922000
37,Total Current Assets,42955,480505,34255848,27277728,55529000,73129000,38883000,27833000,37691000,48164000
38,PP&E,- -,38355424,- -,- -,- -,- -,- -,73000,93000,107000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,2706000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1915000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4621000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3427000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,36870868,832747,166767359,317676557,600000000,1092957000,1100626000,1074647000,1053207000,1065206000
45,Total Non-Current Assets,36870868,39188171,166767359,317676557,600000000,1092957000,1100626000,1074720000,1053300000,1073361000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36913823,39668676,201023207,344954285,655529000,1166086000,1139509000,1102553000,1090991000,1121525000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,148326,- -,241221,764542,1225000,1584000,1666000,1873000,1817000,1762000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,381724,1327361,2254330,4798352,10259000,12424000,11224000,12445000,15147000,16679000
53,Total Current Liabilities,381724,1327361,2254330,4798352,10259000,12424000,11224000,12445000,15147000,16679000
54,Long-Term Debt,36198731,43065237,113878300,187074041,308779000,514071000,523641000,511403000,506718000,511430000
55,Deferred Revenue,- -,- -,1364737,4853837,982000,3907000,238000,71000,37000,45000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,9694453,119915000,120510000,121375000,122227000,123409000,785000
58,Total Non-Current Liabilities,36198731,43065237,115243037,201622331,429676000,638488000,645254000,633701000,630164000,512260000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,73000,93000,107000
61,Total Liabilities,36580455,44392598,117497367,206420683,439935000,650912000,656478000,646146000,645311000,528939000
62,Preferred Stock,- -,- -,- -,- -,- -,144223000,143758000,142861000,139766000,- -
63,Common Stock,- -,10,75175,117634,172000,329000,300000,292000,297000,444000
64,Retained Earnings,- -,- -,-2698410,-6529273,4103000,-26038000,-37843000,-42533000,-53714000,-66592000
65,Other Comprehensive Income/Loss,- -,-450474,- -,- -,- -,- -,-865000,-1644000,-2380000,279000
66,Other Total Stockholders Equity,333368,-4273458,68980437,114783088,157627000,350147000,332996000,338387000,345870000,524183000
67,Total Stockholders Equity,333368,-4723922,66357202,108371449,161902000,468661000,438346000,437363000,429839000,458314000
68,Total Liabilities And Stockholders Equity,36913823,39668676,183854569,314792132,601837000,1119573000,1094824000,1083509000,1075150000,987253000
69,Minority Interest,- -,- -,17168638,30162153,53692000,46513000,44685000,19044000,15841000,134272000
70,Total Liabilities & Equity,36913823,39668676,201023207,344954285,655529000,1166086000,1139509000,1102553000,1090991000,1121525000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1591670/000155837015000260/0001558370-15-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837016004168/0001558370-16-004168-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837017000878/0001558370-17-000878-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837018001471/0001558370-18-001471-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837019002049/0001558370-19-002049-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837020002626/0001558370-20-002626-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837021003254/0001558370-21-003254-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837022002442/0001558370-22-002442-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,586352,34172,-568192,1227214,4302000,7914000,12254000,13886000,7119000,9991000
74,Depreciation and Amortization,- -,148547,- -,- -,- -,- -,- -,- -,7972000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,680540,941802,1224000,1392000,1649000,1428000,1060000,1263000
77,Change in Working Capital,36072,- -,-508087,32848374,-9522142,22790624,15435000,-33046000,-12271000,-3807000
78,Accounts Receivable,31800,-463700,-458934,-76687,-3478000,-1105000,-422000,1260000,1203000,-974000
79,Inventory,- -,- -,- -,-248597,-34000,257000,-216000,-1264000,433000,-1715000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-338769,-338769,-846856,32001518,22479376,45270000,60705000,27659000,15388000,-58000
82,Other Non-Cash Items,152544,-159100,2178320,-27322619,9037142,-31167624,-9335000,35726000,15846000,409000
83,Cash Provided by Operating Activities,774968,23619,1782581,7694771,5041000,929000,20003000,17994000,19726000,7856000
84,CAPEX,-439173,-502227,-46300,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1847000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3811770,-1147188,-126250011,-119690651,-137396000,-234107000,-15864000,31052000,18668000,-16922000
89,Cash Used for Investing Activites,-4250943,-1649415,-126296311,-119690651,-137396000,-234107000,-15864000,31052000,18668000,-18769000
90,Debt Repayment,-2961966,-6869535,-12311237,-9128300,-84750000,-81219000,-11508000,-11385000,-59027000,-35908000
91,Common Stock Issued,- -,1000,93620980,35112000,44386000,- -,- -,- -,10000000,27156000
92,Common Stock Repurchased,- -,- -,-1000,-20932,- -,-10000000,-21220000,-22899000,-9914000,-650000
93,Dividends Paid,-2973355,-6764912,-1658549,-4427680,-6600000,-20949000,-26996000,-18662000,-18276000,-16412000
94,Other Financing Activites,9430449,15233093,78581897,80238922,202971000,351716000,18940000,-430000,53479000,39681000
95,Cash Used/Provided by Financing Activities,3495128,1599646,158232091,101774010,156007000,239548000,-40784000,-53376000,-23738000,13867000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,19153,-26150,33718361,-10221870,23652000,6370000,-36645000,-4330000,14656000,2954000
98,Cash at the End of Period,42955,16805,33736166,23514296,47166000,53536000,16891000,12561000,27217000,30171000
99,Cash at the Beginning of Period,23802,42955,17805,33736166,23514000,47166000,53536000,16891000,12561000,27217000
100,Free Cash Flow,335795,-478608,1736281,7694771,5041000,929000,20003000,17994000,19726000,7856000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1591670/000155837015000260/0001558370-15-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837016004168/0001558370-16-004168-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837017000878/0001558370-17-000878-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837018001471/0001558370-18-001471-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837019002049/0001558370-19-002049-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837020002626/0001558370-20-002626-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837021003254/0001558370-21-003254-index.htm,https://www.sec.gov/Archives/edgar/data/1591670/000155837022002442/0001558370-22-002442-index.htm
102,false,,,,,,,,,,
