,https://roic.ai/company/CYAD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637890/000119312517109926/0001193125-17-109926-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312518110096/0001193125-18-110096-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312519099411/0001193125-19-099411-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312520084305/0001193125-20-084305-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1645026,19058260,27633000,100175000,48357000,23253000,40542000,39338000,17234000,30018000
32,Short-Term Investments,- -,- -,3000000,2671000,7338000,34230000,10653000,9197000,- -,- -,- -
33,Cash and Short-Term Investments,- -,1645026,22058260,30304000,107513000,82587000,33906000,49739000,39338000,17234000,30018000
34,Net Receivables,1667247,442837,421280,1717000,1075000,1503000,1592000,1269000,2702000,907000,2340000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1802134,104297,122930,914000,831000,1277000,896000,684000,796000,1564000,1934000
37,Total Current Assets,3469381,2192160,22602470,32935000,109419000,85367000,36394000,51692000,42836000,19705000,34292000
38,PP&E,355468,383119,243210,598000,1136000,3563000,3290000,3014000,5061000,4119000,3248000
39,Goodwill,- -,- -,- -,- -,1003000,1040000,914000,883000,883000,883000,883000
40,Intangible Assets,- -,- -,9400110,10266000,47786000,48526000,35594000,35281000,35316000,35288000,35285000
41,Intangible Assets,2869947,11020202,9400110,10266000,48789000,49566000,36508000,36164000,36199000,36171000,36168000
42,Investments,- -,150529,- -,68000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,182661,- -,140120,109000,180000,311000,1434000,3429000,5740000,6089000,6235000
45,Total Non-Current Assets,3408075,11553849,9783440,11041000,50105000,53440000,41232000,42607000,47000000,46379000,45651000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6877456,13746009,32385910,43976000,159524000,138807000,77626000,94299000,89836000,66084000,79943000
48,Accounts Payable,1086261,1770307,2169360,4042000,8576000,8098000,4800000,5916000,6969000,4736000,6611000
49,Short-Term Debt,- -,247991,79250,134000,248000,561000,636000,765000,1359000,1113000,902000
50,Tax Payable,61168,56312,102930,- -,- -,- -,947000,1351000,- -,- -,- -
51,Deferred Revenue,- -,- -,428450,777000,898000,1108000,226000,276000,346000,2209000,1458000
52,Other Current Liabilities,4834824,712409,711720,1100000,1768000,1508000,2283000,2690000,3248000,3776000,4856000
53,Total Current Liabilities,5921085,2730706,3388780,6053000,11490000,11275000,7945000,9647000,11922000,11834000,13827000
54,Long-Term Debt,116258,921387,27120,279000,427000,917000,808000,881000,3004000,2525000,1730000
55,Deferred Revenue,- -,- -,12072000,10778000,10484000,7330000,1544000,2864000,4139000,4220000,5851000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,11406348,- -,182000,25651000,28399000,19794000,25318000,25152000,16511000,14896000
58,Total Non-Current Liabilities,116258,12327734,12099120,11239000,36562000,36646000,22146000,29063000,32295000,23256000,22477000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,116258,108887,106370,413000,675000,735000,909000,1136000,4134000,3601000,2632000
61,Total Liabilities,6037342,15058441,15487900,17292000,48052000,47921000,30091000,38710000,44217000,35090000,36304000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9974507,9974507,22138010,24615000,32571000,32571000,34337000,41553000,48513000,48513000,78585000
64,Retained Earnings,-9134394,-11286939,-36388440,-71215000,-100313000,-124026000,-180421000,-217778000,-74424000,-91826000,-308997000
65,Other Comprehensive Income/Loss,- -,- -,-1872260,19982000,21205000,24329000,23322000,25667000,28181000,30958000,267734000
66,Other Total Stockholders Equity,0,0,33020700,53302000,158010000,158010000,170297000,206149000,43349000,43349000,6317000
67,Total Stockholders Equity,840114,-1312432,16898010,26684000,111473000,90884000,47535000,55591000,45619000,30994000,43639000
68,Total Liabilities And Stockholders Equity,6877456,13746009,32385910,43976000,159525000,138805000,77626000,94301000,89836000,66084000,79943000
69,Minority Interest,- -,- -,- -,- -,-1000,2000,- -,-2000,- -,- -,- -
70,Total Liabilities & Equity,6877456,13746009,32385910,43976000,159524000,138807000,77626000,94299000,89836000,66084000,79943000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637890/000119312517109926/0001193125-17-109926-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312518110096/0001193125-18-110096-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312519099411/0001193125-19-099411-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312520084305/0001193125-20-084305-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-2152546,-12346220,-16453000,-29114000,-23606000,-56395000,-37427000,-28632000,-17204000,-26512000
74,Depreciation and Amortization,- -,893810,886020,870000,1033000,1516000,9004000,1114000,1788000,1832000,1520000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,150780,273770,1098000,795000,2847000,2569000,3595000,2775000,2782000,2172000
77,Change in Working Capital,- -,-393330,-204720,28000,1719000,-1758000,-3314000,481000,-609000,-2874000,1405000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1163000,-1726000,2964000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-18617000,-1459000,- -,- -,- -
82,Other Non-Cash Items,- -,-6835554,752760,-2957000,-1736000,-3691000,3695000,4988000,-3524000,-12201000,-5228000
83,Cash Provided by Operating Activities,- -,-8336840,-10638390,-17414000,-27303000,-24692000,-44441000,-27249000,-28202000,-27665000,-26643000
84,CAPEX,- -,-656960,-531450,-640000,-838000,-1782000,-858000,-1765000,-622000,-319000,-393000
85,Acquisitions Net,- -,- -,- -,-1500000,-5186000,-1560000,-5107000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-3000000,372000,-5000000,-34230000,-10749000,-26561000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,372000,333000,7338000,34326000,28859000,9379000,- -,- -
88,Other Investing Activites,- -,-616880,-458600,-422000,-27000,-18000,-6000,-858000,25000,307000,205000
89,Cash Used for Investing Activites,- -,-656960,-3531450,-1768000,-10691000,-30157000,17613000,607000,8987000,157000,-126000
90,Debt Repayment,- -,-291270,-163010,-138000,-188000,-399000,-576000,-749000,-1487000,-1447000,-1136000
91,Common Stock Issued,- -,- -,30623020,25305000,109154000,- -,625000,43011000,16448000,- -,36568000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9178720,1123060,2590000,1569000,3430000,556000,1666000,3315000,6843000,4089000
95,Cash Used/Provided by Financing Activities,- -,8887450,31583070,27757000,110535000,3031000,605000,43928000,18276000,5396000,39521000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,1120000,3000,-265000,8000,32000
97,Net Change In Cash,- -,-106350,17413230,8575000,72542000,-51817000,-25104000,17289000,-1204000,-22104000,12784000
98,Cash at the End of Period,- -,1645030,19058260,27633000,100175000,48357000,23253000,40542000,39338000,17234000,30018000
99,Cash at the Beginning of Period,- -,1751380,1645030,19058000,27633000,100174000,48357000,23253000,40542000,39338000,17234000
100,Free Cash Flow,- -,-8993800,-11169840,-18054000,-28141000,-26474000,-45299000,-29014000,-28824000,-27984000,-27036000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637890/000119312517109926/0001193125-17-109926-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312518110096/0001193125-18-110096-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312519099411/0001193125-19-099411-index.htm,https://www.sec.gov/Archives/edgar/data/1637890/000119312520084305/0001193125-20-084305-index.htm,- -,- -
102,Forex Rate,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
