,https://roic.ai/company/HTZ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,- -,- -,922438000,978638000,1018085000,665284000,560358000,729797000,1041754000,1577100000,1488000000,1195000000,856000000,1119000000,1185000000,1184000000,784000000,1410000000
37,Total Current Assets,- -,- -,- -,- -,2772628000,3365648000,3518794000,3619622000,3069673000,4378510000,3361936000,3567333000,3605200000,3642000000,3806000000,2955000000,3556000000,3899000000,3889000000,2657000000,4426000000
38,PP&E,- -,- -,- -,- -,10864989000,11173565000,11653408000,9946098000,10039714000,10102978000,11357263000,14344722000,15707700000,14975000000,14376000000,11676000000,12176000000,13197000000,16417000000,8403000000,11400000000
39,Goodwill,- -,- -,- -,- -,1022381000,964693000,959993000,264061000,295350000,300174000,392094000,1341900000,1347500000,1359000000,1354000000,1081000000,1084000000,1083000000,1083000000,1045000000,1045000000
40,Intangible Assets,- -,- -,- -,- -,3235265000,3173495000,3123467000,2621586000,2597682000,2550559000,2562234000,4032100000,3928000000,4009000000,3822000000,3332000000,3242000000,3203000000,3238000000,2992000000,2912000000
41,Intangible Assets,- -,- -,- -,- -,4257646000,4138188000,4083460000,2885647000,2893032000,2850733000,2954328000,5374000000,5275500000,5368000000,5176000000,4413000000,4326000000,4286000000,4321000000,4037000000,3957000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,- -,- -,- -,1811000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,15311753000,15736868000,12831745000,12932746000,12953711000,14311591000,19718722000,20983200000,20343000000,19552000000,16200000000,16502000000,17483000000,20738000000,14251000000,15357000000
46,Other Assets,- -,11128900000,12579000000,14096400000,15808251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11128900000,12579000000,14096400000,18580879000,18677401000,19255662000,16451367000,16002419000,17332221000,17673527000,23286038000,24588400000,23985000000,23358000000,19155000000,20058000000,21382000000,24627000000,16908000000,19783000000
48,Accounts Payable,- -,- -,- -,- -,621876000,654327000,1064878000,931336000,658671000,944973000,897489000,999061000,967900000,1008000000,875000000,821000000,946000000,988000000,943000000,418000000,572000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365300000,467800000,479000000,470000000,381000000,663000000,428000000,443000000,140000000,146000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,108356000,108940000,125803000,118610000,140400000,134000000,172000000,165000000,160000000,136000000,150000000,121000000,157000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,1069418000,1156114000,1266234000,1133178000,1179022000,1254261000,1299148000,1245100000,1282000000,1278000000,1145000000,1080000000,1440000000,1336000000,880000000,1020000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,1723745000,2220992000,2197570000,1791849000,2123995000,2151750000,2663509000,2680800000,2769000000,2623000000,2347000000,2689000000,2856000000,2722000000,1438000000,1738000000
54,Long-Term Debt,- -,- -,- -,- -,12515005000,12276184000,11960126000,10972297000,10642195000,11306429000,11317090000,15083300000,15841600000,15514000000,15437000000,13160000000,14202000000,15896000000,18494000000,7763000000,12271000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1852542000,1801073000,1797099000,1481866000,1470934000,1491789000,1688478000,2699668000,2947100000,2853000000,2877000000,2149000000,1220000000,1092000000,1124000000,730000000,1010000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,312211000,343028000,311352000,- -,278685000,281534000,332256000,347700000,385000000,402000000,424000000,427000000,418000000,399000000,6884000000,1787000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,14367547000,14389468000,14100253000,12765515000,12113129000,13076903000,13287102000,18115224000,19136400000,18752000000,18716000000,15733000000,15849000000,17406000000,20017000000,15377000000,15068000000
59,Other Liabilities,- -,9207000000,10353600000,11426200000,30664386000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337600000,385400000,364000000,362000000,244000000,- -,- -,1848000000,1636000000,1510000000
61,Total Liabilities,- -,9207000000,10353600000,11426200000,16296839000,16113213000,16321245000,14963085000,13904978000,15200898000,15438852000,20778733000,21817200000,21521000000,21339000000,18080000000,18538000000,20262000000,22739000000,16815000000,16806000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2295000,3206000,3219000,3230000,4102000,4135000,4170000,4215000,4500000,5000000,4000000,1000000,1000000,1000000,1000000,2000000,5000000
64,Retained Earnings,- -,- -,- -,- -,-21346000,9535000,270450000,-936296000,-1062318000,-1110362000,-947064000,-703985000,-378800000,-664000000,-391000000,-882000000,-506000000,-909000000,-967000000,-2681000000,-2315000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-7472000,94528000,170507000,-100135000,-3331000,37823000,-28414000,-26892000,7100000,-115000000,-245000000,-171000000,-118000000,-192000000,-189000000,-212000000,-214000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,2292705000,2427293000,2469213000,2503819000,3141695000,3183225000,3205964000,3233948000,3138400000,3238000000,2651000000,2127000000,2143000000,2161000000,2924000000,2947000000,5501000000
67,Total Stockholders Equity,- -,1921900000,2225400000,2670200000,2266182000,2534562000,2913389000,1470618000,2080148000,2114821000,2234656000,2507286000,2771200000,2464000000,2019000000,1075000000,1520000000,1061000000,1769000000,56000000,2977000000
68,Total Liabilities And Stockholders Equity,- -,11128900000,12579000000,14096400000,18563021000,18647775000,19234634000,16433703000,15985126000,17315719000,17673508000,23286019000,24588400000,23985000000,23358000000,19155000000,20058000000,21323000000,24508000000,16871000000,19783000000
69,Minority Interest,- -,- -,- -,- -,17858000,29626000,21028000,17664000,17293000,16502000,19000,19000,- -,- -,- -,- -,- -,59000000,119000000,37000000,- -
70,Total Liabilities & Equity,- -,11128900000,12579000000,14096400000,18580879000,18677401000,19255662000,16451367000,16002419000,17332221000,17673527000,23286038000,24588400000,23985000000,23358000000,19155000000,20058000000,21382000000,24627000000,16908000000,19783000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1657853/000165785321000006/0001657853-21-000006-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,349977000,115943000,264559000,-1206746000,-126022000,-48044000,176170000,243079000,346200000,-82000000,273000000,-491000000,327000000,-225000000,-58000000,-1714000000,366000000
74,Depreciation and Amortization,- -,- -,- -,- -,190698000,2016046000,2243067000,2433294000,2157110000,2008647000,2037657000,2325056000,2771800000,3320000000,3042000000,2796000000,2962000000,2764000000,2994000000,2484000000,796000000
75,Deferred Income Tax,- -,- -,- -,- -,-423704000,30354000,59743000,-234810000,111233000,-26123000,68138000,128760000,241300000,6000000,3000000,-78000000,-922000000,-66000000,27000000,-353000000,270000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,28023000,35464000,36560000,31093000,30255000,34800000,11000000,17000000,13000000,19000000,14000000,18000000,-2000000,10000000
77,Change in Working Capital,- -,- -,- -,- -,-304052000,1641903000,-344101000,124250000,-144228000,976691000,-1044329000,-306362000,20576000,-51400000,310000000,-575000000,259000000,176000000,124000000,52000000,-418000000
78,Accounts Receivable,- -,- -,- -,- -,- -,229663000,84541000,- -,- -,- -,- -,-157732000,-34700000,-90000000,-58000000,-174000000,-75000000,-136000000,-88000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-17128000,709000,17956000,5568000,-61886000,478000,-30802000,-28000000,-64000000,-22000000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-4708000,304170000,36615000,-227479000,118011000,-1139000,49896000,23200000,23000000,-16000000,31000000,20000000,70000000,65000000,98000000,-70000000
81,Other Working Capital,- -,- -,- -,- -,- -,1641903000,1297802000,1422052000,1277824000,2254515000,1210186000,903824000,924400000,873000000,1183000000,608000000,867000000,1043000000,1167000000,1219000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,1639900000,-1189681000,866220000,951491000,-258559000,-739052000,964610000,297195000,174924000,248400000,-313000000,864000000,-251000000,-107000000,-205000000,486000000,782000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1452819000,2614565000,3089488000,2095502000,1774998000,2208679000,2233339000,2717983000,3589600000,3452000000,3332000000,2529000000,2394000000,2556000000,2900000000,953000000,1806000000
84,CAPEX,- -,- -,- -,- -,-13107054000,-11868784000,-11734097000,-10202849000,-7628018000,-8620081000,-9736006000,-9926025000,-10612200000,-11663000000,-12985000000,-11091000000,-10769000000,-12670000000,-13938000000,-5640000000,-7225000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-70920000,-76419000,-47571000,-227081000,-1820152000,-254000000,-105000000,267000000,220000000,95000000,-2000000,-1000000,- -,871000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-260726000,- -,- -,-3492000,- -,- -,- -,- -,- -,- -,- -,- -,-60000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,514000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,- -,74000000,- -
88,Other Investing Activites,- -,- -,- -,- -,-6149848000,-1803745000,-2147604000,-1388655000,-1109131000,7724084000,7770185000,6686620000,6713600000,8211000000,9626000000,8741000000,7354000000,8322000000,9290000000,10059000000,-4415000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6492894000,-2287900000,-2343605000,-1459575000,-1289743000,-943568000,-2192902000,-4746771000,-3838800000,-3183000000,-2765000000,-1996000000,-3147000000,-4197000000,-4425000000,4591000000,-3544000000
90,Debt Repayment,- -,- -,- -,- -,-5930380000,-1288208000,-1036098000,-1296071000,-2672765000,-3925182000,-4900700000,-2232290000,-11166800000,-6990000000,-9303000000,-14399000000,-11804000000,-12997000000,-15262000000,-11606000000,-18959000000
91,Common Stock Issued,- -,- -,- -,- -,2295000000,1284503000,5599000,- -,531177000,3215000,3654000,- -,- -,- -,- -,- -,- -,- -,748000000,28000000,1639000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2219000,-7836000,-11465000,- -,-554700000,- -,-605000000,-100000000,- -,- -,- -,- -,-2537000000
93,Dividends Paid,- -,- -,- -,- -,-1185000000,-1270348000,-13475000,-24150000,-15050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239000000
94,Other Financing Activites,- -,- -,- -,- -,10085412000,690188000,309887000,624897000,2029786000,4063557000,3421845000,3856815000,11848400000,6831000000,9368000000,14316000000,12792000000,14558000000,15988000000,6206000000,22941000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,5265032000,-583865000,-734087000,-695324000,-129071000,133754000,-1486666000,1624525000,126900000,-159000000,-540000000,-183000000,988000000,1561000000,1474000000,-5372000000,2845000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-59014000,87841000,43858000,-76540000,35192000,-10337000,3838000,5739000,- -,-31000000,-31000000,-8000000,21000000,-14000000,1000000,46000000,-34000000
97,Net Change In Cash,- -,- -,- -,- -,165943000,-169359000,55654000,-135937000,391376000,1388528000,-1442391000,-398524000,-122300000,79000000,-4000000,342000000,256000000,-94000000,-50000000,218000000,1073000000
98,Cash at the End of Period,- -,- -,- -,- -,843908000,674549000,730203000,594266000,985642000,2374170000,931779000,533255000,423200000,490000000,486000000,816000000,1072000000,1410000000,1360000000,1578000000,2651000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,677965000,843908000,674549000,730203000,594266000,985642000,2374170000,931779000,545500000,411000000,490000000,474000000,816000000,1504000000,1410000000,1360000000,1578000000
100,Free Cash Flow,- -,- -,- -,- -,-11654235000,-9254219000,-8644609000,-8107347000,-5853020000,-6411402000,-7502667000,-7208042000,-7022600000,-8211000000,-9653000000,-8562000000,-8375000000,-10114000000,-11038000000,-4687000000,-5419000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1657853/000165785321000006/0001657853-21-000006-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,
