,https://roic.ai/company/ACH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,Operating Income ratio,0.2712,0.1850,0.1264,0.2185,0.2773,0.2717,0.2812,0.1957,0.0238,-0.0467,0.0281,0.0246,-0.0320,0.0322,0.0758,0.0143,0.0345,- -,- -,- -,0.0324
19,Total Other Income Expenses (Gains),-707226000,-613240166,-490757695,-450215466,-412947235,-339692513,-621468548,-500602522,-1697849000,-2111161000,-2021372000,-2768611000,-4307492000,-4572452000,-26718793000,-1576128000,-3314695000,15645000,437432000,1139361000,-3867368000
20,Income Before Tax,4247138000,2344882053,1631435728,4628263996,8547024312,9744633765,16766051943,14430060558,124815000,-5390597000,1380354000,817996000,-9092062000,883241000,-15974523000,193293000,1659627000,3006216000,2303511000,2113801000,2155217000
21,Income Before Tax Ratio,0.2325,0.1467,0.0972,0.1991,0.2645,0.2625,0.2711,0.1891,0.0016,-0.0767,0.0114,0.0056,-0.0608,0.0052,-0.1127,0.0016,0.0115,0.0167,0.0128,0.0111,0.0116
22,Income Tax expense (Gain),1589475000,756815186,183351194,918866372,2079537505,2495979040,4389844348,2784426208,-33557000,-711003000,411216000,127492000,-448479000,339551000,1074910000,-230420000,404172000,642267000,822499000,625720000,582188000
23,Net Income,2522997000,1588066867,1401271992,3552029993,6223943634,7024574733,11734746258,10259268962,158372000,-4642894000,778008000,237974000,-8233754000,975246000,-16216880000,206319000,402494000,1378435000,746477000,850999000,741004000
24,Net Income ratio,0.1381,0.0993,0.0835,0.1528,0.1926,0.1892,0.1897,0.1345,0.0021,-0.0661,0.0064,0.0016,-0.0551,0.0058,-0.1144,0.0017,0.0028,0.0077,0.0041,0.0045,0.0040
25,EPS,8.00,4.14,3.25,8.50,14.00,16.01,25.72,20.50,0.02,-8.58,1.50,0.50,-15.25,1.75,-30.00,0.25,0.50,2.25,0.93,0.93,0.70
26,EPS Diluted,8.00,4.14,3.25,8.50,14.00,16.01,25.72,20.50,0.02,-8.58,1.50,0.50,-15.25,1.75,-30.00,0.25,0.50,2.25,0.93,0.93,0.70
27,Weighted Average Shares Outstanding,315374625,324899276,431109130,417814455,444481755,438857056,456162467,500383731,540960000,540979516,540979516,540979516,540979516,540979516,540979516,570908661,596151929,596151929,596151929,680906918,680906920
28,Weighted Average Shares Outstanding Diluted,315374625,324899276,431109130,417814455,444481755,450059007,458114150,500383731,540960000,540979516,540979516,540979516,540979516,540979516,540979516,570908661,596151929,596151929,596151929,680906918,680906920
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2341711548,2596441748,6223769793,7600053813,12791946903,7814119890,16295585000,7401410000,9032710000,10781678000,9063593000,11381695000,16268600000,20753136000,23808048000,27750686000,19130652000,7759190000,9631152000
32,Short-Term Investments,- -,- -,- -,- -,10860933,- -,- -,- -,- -,347059000,872017000,5807000,8983000,23000,5416936000,978988000,952498000,1015723000,546170000,4688641000,1082074000
33,Cash and Short-Term Investments,- -,- -,2341711548,2596441748,6234630725,7600053813,12791946903,7814119890,16295585000,7748469000,9904727000,10787485000,9072576000,11381718000,21685536000,21732124000,24760546000,28766409000,19676822000,12447831000,10713226000
34,Net Receivables,- -,- -,2387919791,787889483,2225481290,961489262,2463019718,2979946674,2035324000,5391921000,5411610000,8267024000,6210233000,19404371000,13587458000,15207362000,17911913000,15155773000,14369600000,13850952000,13031176000
35,Inventory,- -,- -,3255984094,4125821682,5231906694,7236948151,9028740845,13493498166,19876015000,20423227000,21780047000,24124379000,25596476000,23535948000,22441448000,20177028000,17903986000,20346709000,20459668000,19515420000,19856754000
36,Other Current Assets,- -,- -,570376268,1128419461,664578160,1169381887,1422443343,1960734608,4280063000,2770260000,4228163000,6790820000,8136731000,8743384000,5759941000,7052664000,5849785000,4080415000,4389144000,2899549000,2602536000
37,Total Current Assets,- -,- -,8555991702,8638572373,14356596869,16967873113,25706150808,26248299338,42486987000,36333877000,41324547000,49969708000,49016016000,63065421000,63474383000,64169178000,66426230000,68349306000,58895234000,48713752000,46203692000
38,PP&E,- -,- -,22558330909,25554210308,33464595216,39785804325,48596406035,62367704906,86014123000,89661081000,90778672000,96333685000,98030070000,108847936000,102465731000,98562364000,99415933000,105091703000,115798447000,117164561000,111861447000
39,Goodwill,- -,- -,- -,- -,- -,- -,405906660,- -,- -,2362735000,2362735000,2362735000,2362735000,2344953000,2345057000,2345837000,2346853000,2345930000,3510633000,3510892000,3509857000
40,Intangible Assets,- -,- -,736765676,706018579,729156008,783993365,957688950,3795310484,4697429000,2630287000,2852086000,1786035000,2709512000,3009446000,3473974000,2886257000,3466051000,3834392000,4852681000,13124722000,13812713000
41,Intangible Assets,- -,- -,736765676,706018579,729156008,783993365,1363595610,3795310484,4697429000,4993022000,5214821000,4148770000,5072247000,5354399000,5819031000,5232094000,5812904000,6180322000,8363314000,16635614000,17322570000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,845373000,938842000,2248054000,3994693000,19213415000,6984771000,7441565000,10884028000,12331126000,14870855000,11486636000,15137234000,14074666000
43,Tax Assets,- -,- -,32723250,136879210,307367710,408995437,406569448,401231519,698504000,1647240000,1410781000,1517339000,2116986000,1793310000,952057000,1362995000,1426707000,1602825000,1542569000,1522216000,1481235000
44,Other Non-Current Assets,- -,- -,28749772,42632473,122673905,1081308076,1865622053,1661343209,785103000,401127000,345164000,1169962000,1568148000,13461217000,12479204000,9058592000,4664046000,4051605000,4789914000,3897287000,3958074000
45,Total Non-Current Assets,- -,- -,23356569608,26439740570,34623792839,42060101202,52232193145,68225590118,93040532000,97641312000,99997492000,107164449000,126000866000,136441633000,129157588000,125100073000,123650716000,131797310000,141980880000,154356912000,148697992000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,31912561309,35078312943,48980389708,59027974314,77938343953,94473889455,135527519000,133975189000,141322039000,157134157000,175016882000,199507054000,192631971000,189269251000,190076946000,200146616000,200876114000,203070664000,194901684000
48,Accounts Payable,- -,- -,1971043960,1867666534,1968419898,2650061787,2885028215,3616613617,4761940000,6843326000,4339300000,6511435000,6162230000,10336197000,13211687000,9439620000,8481425000,9349450000,8568438000,7858214000,9972937000
49,Short-Term Debt,- -,- -,5102095271,4617129884,4522568577,5705566671,10089426973,8372140341,22290215000,27551464000,43756911000,48627720000,67915181000,73348346000,75167251000,54422862000,58292394000,62752570000,47513582000,42286604000,34707283000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,24161000,415365000,486782000,371949000,452763000,557377000,454141000,428910000,1070133000,1028935000,1197514000,1159101000,1368267000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1278746000,- -,2697439000,- -,1799200000,- -,1579322000,1638826000,1399339000
52,Other Current Liabilities,- -,- -,3933222097,3786607929,6702495207,6586450109,8567893000,6870690723,11398673000,5635071000,7637336000,7221243000,8497254000,13053038000,13159189000,17074849000,14371645000,17874882000,17087215000,17386084000,16547667000
53,Total Current Liabilities,- -,- -,11006361328,10271404348,13193483682,14942078566,21542348188,18859444680,38450828000,40029861000,55733547000,62360398000,83853411000,96737581000,104235566000,80937331000,82944664000,89976902000,74748557000,69169728000,62627226000
54,Long-Term Debt,- -,- -,4948147817,5412626987,7391667751,9693463922,8473566643,14188795681,36132552000,37804482000,27723867000,35968526000,36635652000,46294828000,44769211000,53725670000,47322748000,40289703000,54207386000,59243563000,57518097000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540654000,649975000,824631000,1473820000,1660380000,1582896000,687550000,497381000,423924000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,177043782,196902470,172706701,53768000,34535000,- -,4456000,- -,1088150000,1061265000,1006155000,984304000,993742000,1812805000,1712739000,1437087000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,8074,- -,148512276,693549000,525154000,677770000,646091000,216015000,1034401000,2112456000,1828839000,1577361000,1789494000,1750614000,1722193000,1723634000
58,Total Non-Current Liabilities,- -,- -,4948147817,5412626987,7391667751,9870515777,8670469113,14510014658,36879869000,38364171000,28401637000,36619073000,37392321000,49067354000,48767563000,58034484000,51544793000,44655835000,58458355000,63175876000,61102742000
59,Other Liabilities,- -,- -,9896295635,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429446000,6656038000,9682916000,12425963000,5689175000,15387871000,7086151000
61,Total Liabilities,- -,- -,15954509146,15684031335,20585151433,24812594343,30212817300,33369459338,75330697000,78394032000,84135184000,98979471000,121245732000,145804935000,153003129000,138971815000,134489457000,134632737000,133206912000,132345604000,123729968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10499809057,10499906122,11049881574,11053267380,11640022228,13543917828,13524488000,13524488000,13524488000,13524488000,13524488000,13524488000,13524488000,14903798000,14903798000,14903798000,14903798000,17022673000,17022673000
64,Retained Earnings,- -,- -,1324815645,3593147564,7410128025,11355426191,17199109498,23677356787,22488006000,17792998000,18502681000,18586803000,10353049000,11327787000,-4889093000,-4677058000,-4488590000,-3368095000,-2816481000,-2216946000,-1741596000
65,Other Comprehensive Income/Loss,- -,- -,385493629,1155695965,2492095667,10245755910,5347439728,-30814799812,-38124900000,-54926000,-14093000,19714708000,19930226000,19505450000,19640292000,28613357000,27692441000,27942747000,40327573000,39853906000,34564504000
66,Other Total Stockholders Equity,- -,- -,3310230352,3493602810,6204051239,- -,10000761600,51620916820,57110888000,19138178000,19567716000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4486429000
67,Total Stockholders Equity,- -,- -,15520348684,18742352461,27156156505,32654449481,44187333053,58027391624,54998482000,50400738000,51580792000,51825999000,43807763000,44357725000,28275687000,38840097000,38107649000,39478450000,52414890000,54659633000,54332010000
68,Total Liabilities And Stockholders Equity,- -,- -,31474857829,34426383796,47741307938,57467043824,74400150353,91396850963,130329179000,128794770000,135715976000,150805470000,165053495000,190162660000,181278816000,177811912000,172597106000,174111187000,185621802000,187005237000,178061978000
69,Minority Interest,- -,- -,437703480,651929147,1239081770,1560930490,3538193600,3077038493,5198340000,5180419000,5606063000,6328687000,9963387000,9344394000,11353155000,11457339000,17479840000,26035429000,15254312000,16065427000,16839706000
70,Total Liabilities & Equity,- -,- -,31912561309,35078312943,48980389708,59027974314,77938343953,94473889455,135527519000,133975189000,141322039000,157134157000,175016882000,199507054000,192631971000,189269251000,190076946000,200146616000,200876114000,203070664000,194901684000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2522997000,1588066867,1401271992,3552029993,6223943634,7024574733,11734746258,10259268962,158372000,-4642894000,778008000,237974000,-8233754000,975246000,-16216880000,206319000,402494000,1378435000,746477000,850999000,741004000
74,Depreciation and Amortization,- -,1814290237,2025182604,2092443141,2371011167,2525721814,3493981775,4613662071,5322608000,6001775000,5956970000,5860159000,6309166000,7314610000,7327302000,7210996000,6905029000,6993339000,7924989000,8536038000,8403610000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-1630069845,-201505023,26465246,-891622980,-653113856,-2769820153,-4243002311,-560064000,-3640736000,-2358911000,-6558717000,-569114000,2090015000,11237075000,162784000,-1589176000,-632739000,-264558000,-1228027000,-1059501000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,1998898000,- -,- -,- -,3015903000,-4042472000,844030000,-44771000,-3664653000,-2123242000,-2486201000,- -,- -
79,Inventory,- -,-501817210,484673306,-819478903,-1164495639,-1973300650,-1103174705,-2708431461,-3860311000,-512804000,-1356821000,-2353204000,-1472097000,-605814000,1094500000,1954192000,2437326000,-2605918000,1194454000,929027000,-1668260000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-66125000,- -,- -,- -,-1342116000,5762657000,3346701000,-841662000,-3447633000,1511908000,-5660000,-1385081000,3009490000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-202591784,-515498000,369162000,47707000,-648084000,270999000,-297223000,-615432000,-126364000,-264508000,-137745000,530284000,859507000,249744000
82,Other Non-Cash Items,1606740000,168665880,-553811830,331573020,561879431,-304338656,753870098,-438202529,-2466482000,1575901000,2727792000,2950340000,3616054000,-2128533000,11425552000,-348649000,5800327000,5388742000,4611268000,4314479000,6796233000
83,Cash Provided by Operating Activities,4129737000,1940953140,2671137742,6002511399,8265211252,8592844035,13212777978,10191726192,2454434000,-705954000,7103859000,2489756000,1122352000,8251338000,13773049000,7231450000,11518674000,13127777000,13018176000,12473489000,14881346000
84,CAPEX,- -,-2944521334,-3893296917,-5352775962,-8972405328,-7988518339,-6562680103,-10111392228,-17246654000,-9872562000,-8335983000,-8740943000,-9205379000,-9046523000,-8439910000,-8864054000,-6548841000,-9314941000,-6852022000,-9047319000,-5038896000
85,Acquisitions Net,- -,-179402550,- -,- -,- -,- -,-471733155,250922193,-4704494000,-99354000,487182000,-176889000,-13578409000,548306000,6344771000,5292199000,2579646000,3423582000,-63276000,-2311580000,34794000
86,Purchases of Investments,- -,-3245007,-13650554,-51067907,-3402320,- -,-649718890,-637974552,- -,-34001000,-849809000,-1493637000,-135016000,176106000,-4635600000,-830685000,-2006583000,-1848000000,-13288000,-3567953000,-7076156000
87,Sales/Maturities of Investments,- -,8989995,380792,4966890,11440403,58823521,5738960,2908115823,- -,- -,428210000,551119000,26960000,200352000,259690000,4449249000,490309000,218213000,198000000,2155000,11732509000
88,Other Investing Activites,-2016872000,542578476,126629790,3617552,-91465279,-894220860,-2557166733,392049033,-711557000,253436000,47000,-42422000,-318130000,-124265000,1148128000,2731607000,181031000,-89654000,1096075000,1382640000,2280569000
89,Cash Used for Investing Activites,-2016872000,-2575600421,-3779936890,-5395259428,-9055832524,-8823915678,-10235559920,-7198279730,-22204494000,-9477193000,-8260317000,-9714547000,-23153090000,-7686069000,-4921338000,2952550000,-4997193000,-7133382000,-5528369000,-13392301000,1932820000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-19049094000,-32644308000,-41195138000,-61078131000,-81925148000,-114926022000,-97142509000,-91665171000,-63399350000,-101435709000,-103796224000,-93145399000,-82420335000
91,Common Stock Issued,- -,3441644872,204708640,80596068,3300647412,- -,4479078938,- -,- -,- -,- -,- -,- -,- -,- -,7897472000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-119167770,- -,- -,-30000000,-21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-217937012,-496349596,-1077674401,-1848040297,-4526097863,-3517008851,-1826377000,-59460000,-109974000,-153852000,- -,- -,- -,- -,-434762000,-501933000,- -,- -,- -
94,Other Financing Activites,-2509888000,-333581790,-855075996,108857673,2194976307,3453496140,-727015508,-1636783530,47812474000,34280481000,44052665000,70095436000,102354101000,116684431000,93171768000,77953469000,60172931000,100101764000,87529748000,82671364000,66646914000
95,Cash Used/Provided by Financing Activities,-2509888000,3108063083,-868304367,-306895855,4417949317,1605455843,-774034433,-5272960151,26937003000,1576713000,2717553000,8842453000,20428953000,1758409000,-3970741000,-5814230000,-3661181000,-1835878000,-16266476000,-10474035000,-15773421000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-29785000,23921000,20205000,-9066000,74072000,-5576000,5935000,114766000,191546000,-221567000,71455000,21202000,-88401000
97,Net Change In Cash,-2509888000,2473415801,-1977103515,300356116,3627328045,1374384199,2203183625,-2279513689,7157158000,-8582513000,1581300000,1608596000,-1527713000,2318102000,4886905000,4484536000,3051846000,3936950000,-8705214000,-11371645000,952344000
98,Cash at the End of Period,- -,4273616747,2295552974,2596441748,6223769793,7600053813,9794486535,7717890071,15982129000,7401410000,8982710000,10591306000,9063593000,11381695000,16268600000,20753136000,23808048000,27750686000,19130652000,7759190000,8731197000
99,Cash at the Beginning of Period,- -,1800200945,4272656489,2296085631,2596441748,6225669614,7591302910,9997403759,8824971000,15983923000,7401410000,8982710000,10591306000,9063593000,11381695000,16268600000,20756202000,23813736000,27835866000,19130835000,7778853000
100,Free Cash Flow,4129737000,-1003568195,-1222159175,649735437,-707194076,604325696,6650097875,80333965,-14792220000,-10578516000,-1232124000,-6251187000,-8083027000,-795185000,5333139000,-1632604000,4969833000,3812836000,6166154000,3426170000,9842450000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1148,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
