,https://roic.ai/company/BLGO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,900000,1000000,300000,-200000,-1800000,-500000,1712342,552034,985963,-1320641,-1844888,-6652433,-1485483,-1707806,-976544,-698703,-2558932,-2956942,-4942809,-12869534,-4065222,-3153264,-4712202,-2517403,-3681196,-5045056,-4694740,-5225290,-6677000,-6629000,-6451000,-6664000
16,EBITDA ratio,0.1343,0.1020,0.0319,-0.0260,-0.4000,-0.3846,0.6846,0.2855,0.4122,-0.7028,-2.2133,-8.8718,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-36.9618,-Infinity,-93.1677,-25.9326,-20.1888,-71.8959,-14.9894,-33.0013,-39.5436,-16.7010,-10.1224,-4.8952,-3.5621,-2.6525,-2.6330
17,Operating Income,- -,- -,- -,- -,- -,- -,935065,58627,406323,-112286,-2149307,-6787963,-1495421,-2368108,-971944,-944807,-1762378,-3784001,-6052749,-14005006,-4198579,-3161130,-4717632,-2619654,-3391414,-4181481,-4934861,-5895025,-6412000,-6696000,-7583000,-6436000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.3739,0.0303,0.1699,-0.0598,-2.5785,-9.0525,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.3000,-Infinity,-101.3878,-26.7833,-20.2391,-71.9788,-15.5982,-30.4035,-32.7749,-17.5552,-11.4198,-4.7009,-3.5981,-3.1180,-2.5429
19,Total Other Income Expenses (Gains),- -,- -,200000,100000,200000,200000,255930,222878,153507,-1405542,35957,135530,6741,-344832,-246104,-246104,796554,-1475389,59985,-8762429,123793,- -,-616354,-281591,-348153,-895549,-3139474,-3651494,-4284000,-4744000,-2117000,-581000
20,Income Before Tax,- -,- -,300000,-200000,-1800000,300000,1190995,281505,559830,-1517828,-2113350,-6652433,-1488680,-2712940,-1218048,- -,- -,-5259390,- -,- -,- -,- -,-5333986,-2901245,-3739567,-5077030,-8074335,-9546519,-10696000,-11440000,-9700000,-7017000
21,Income Before Tax Ratio,- -,- -,0.0319,-0.0260,-0.4000,0.2308,0.4762,0.1456,0.2340,-0.8078,-2.5354,-8.8718,-Infinity,-Infinity,-Infinity,- -,- -,-65.7424,- -,- -,- -,- -,-81.3827,-17.2749,-33.5246,-39.7942,-28.7235,-18.4934,-7.8416,-6.1472,-3.9885,-2.7724
22,Income Tax expense (Gain),- -,- -,100000,-100000,-100000,-100000,554635,103679,196707,-11536,3473,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000
23,Net Income,900000,1000000,200000,-100000,-1700000,-300000,968360,261826,531123,-1506292,-2116823,-6652433,-4937097,-7622209,-1218048,-1187301,-1310706,-5259390,-7142750,-15612532,-5742341,-3954389,-5333986,-2528323,-3692116,-5055976,-7839731,-9117304,-10221000,-10690000,-8432000,-7080000
24,Net Income ratio,0.1343,0.1020,0.0213,-0.0130,-0.3778,-0.2308,0.3872,0.1354,0.2220,-0.8016,-2.5396,-8.8718,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-65.7424,-Infinity,-113.0254,-36.6312,-25.3180,-81.3827,-15.0544,-33.0992,-39.6292,-27.8889,-17.6619,-7.4934,-5.7442,-3.4671,-2.7973
25,EPS,6.82,7.58,1.52,-0.76,-12.88,-2.27,7.25,2.00,4.00,-11.50,-15.75,-39.00,-12.50,-6.25,-0.75,-0.50,-0.48,-0.18,-0.17,-0.37,-0.13,-0.07,-0.08,-0.04,-0.05,-0.06,-0.09,-0.10,-0.09,-0.08,-0.05,-0.04
26,EPS Diluted,6.82,7.58,1.52,-0.76,-12.88,-2.27,7.25,2.00,4.00,-11.50,-15.75,-39.00,-12.50,-6.25,-0.75,-0.50,-0.48,-0.18,-0.17,-0.37,-0.13,-0.07,-0.08,-0.04,-0.05,-0.06,-0.09,-0.10,-0.09,-0.08,-0.05,-0.04
27,Weighted Average Shares Outstanding,132000,132000,132000,132000,132000,132000,132000,132000,131864,131840,134688,170236,391655,1218665,1839512,2161672,2742206,28791898,41622951,42656519,45818844,55714686,63751664,72950208,80017035,84112356,87936783,98941169,122000940,152086221,195993575,195993575
28,Weighted Average Shares Outstanding Diluted,132000,132000,132000,132000,132000,132000,132000,132000,131864,131840,134688,170236,391655,1218665,1839512,2161672,2742206,28791898,41622951,42656519,45818844,55714686,63751664,72950208,80017035,84112356,87936783,98941169,122000940,152086221,195993575,195993575
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880242/000114420406017780/0001144204-06-017780-index.htm,https://www.sec.gov/Archives/edgar/data/880242/000119312508051395/d10ksba.htm,https://www.sec.gov/Archives/edgar/data/880242/000119312508081822/d10k.htm,https://www.sec.gov/Archives/edgar/data/880242/000136231009004643/0001362310-09-004643-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774910000977/biolargo_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774911002364/biolargo_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774912003511/blgo_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774913003712/0001437749-13-003712-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774914005737/0001437749-14-005737-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774915006503/blgo20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774916028674/0001437749-16-028674-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774917005635/0001437749-17-005635-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774918004890/0001437749-18-004890-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774919006047/0001437749-19-006047-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774920006639/0001437749-20-006639-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774921007650/0001437749-21-007650-index.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774922007726/0001437749-22-007726-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,9100000,6400000,5100000,5000000,4700000,4492198,3224665,1567773,800223,4422715,440827,521,671,- -,283462,229334,457809,90384,135350,425069,128498,151189,92437,154460,1763114,1910153,990457,655000,655000,716000,962000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000
33,Cash and Short-Term Investments,500000,9100000,6400000,5100000,5000000,4700000,4492198,3224665,1567773,800223,4422715,440827,521,671,- -,283462,229334,457809,90384,135350,425069,128498,151189,92437,154460,1763114,1910153,990457,655000,655000,716000,1010000
34,Net Receivables,- -,- -,- -,200000,100000,400000,848260,1168794,1322130,1591399,1382382,234054,- -,- -,- -,- -,- -,- -,- -,14607,16216,10476,11606,3929,5617,41431,67994,94413,257000,355000,484000,513000
35,Inventory,1000000,1400000,3400000,3400000,1200000,- -,- -,- -,725609,645172,539560,475291,- -,- -,- -,- -,- -,- -,- -,9678,7813,61865,53985,29830,25514,37435,34446,53973,26000,16000,277000,241000
36,Other Current Assets,- -,- -,300000,300000,700000,100000,169072,162008,189513,212429,136717,156958,- -,- -,- -,- -,16500,4584,4586,4586,3815,1346,- -,- -,45000,49167,4089,20000,17000,39000,28000,37000
37,Total Current Assets,1500000,10500000,10100000,9000000,7000000,5200000,5509530,4555467,3805025,3249223,6481374,1307130,521,671,- -,283462,245834,462393,94970,164221,452913,202185,216780,126196,230591,1891147,2016682,1158843,955000,1065000,1505000,1801000
38,PP&E,300000,300000,300000,300000,1300000,2800000,3852961,4428109,5497734,4568008,3772795,2360135,28844,- -,- -,- -,- -,- -,25954,16390,6826,2700,- -,- -,- -,- -,59315,108865,126000,506000,401000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4345000,- -,- -,- -,- -,10995541,9888337,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893000,1893000,2150000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4345000,- -,- -,- -,- -,10995541,9888337,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893000,1893000,2150000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,800000,300000,300000,251105,430864,250147,247158,57817,923067,- -,- -,- -,- -,- -,- -,- -,- -,- -,41502,51917,40997,30077,19157,36729,227712,211000,157000,823000,1222000
45,Total Non-Current Assets,300000,300000,300000,1100000,1600000,3100000,4104066,4858973,5747881,4815166,3830612,3283202,4373844,- -,- -,- -,- -,10995541,9914291,16390,6826,44202,51917,40997,30077,19157,96044,336577,2230000,2556000,3437000,1222000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1800000,10800000,10400000,10100000,8600000,8300000,9613596,9414440,9552906,8064389,10311986,4590332,4374365,671,- -,283462,245834,11457934,10009261,180611,459739,246387,268697,167193,260668,1910304,2112726,1495420,3185000,3621000,4942000,3023000
48,Accounts Payable,200000,200000,300000,100000,100000,200000,367734,253238,247126,191650,- -,- -,- -,- -,- -,- -,2311500,229518,433400,- -,- -,619968,334699,362194,313286,63578,22231,171872,302000,465000,851000,- -
49,Short-Term Debt,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,3500000,2400004,1270000,1667869,1653251,2761721,3803221,78864,431262,1512803,1545261,514496,100000,325000,58000,- -,610000,3991665,1990000,3717000,2447000,290000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142461,137500,1485,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115500,52509,118997,- -,100000,- -,- -,- -,- -,35000,48000,89000
52,Other Current Liabilities,300000,500000,- -,- -,- -,- -,148160,23280,28707,- -,190703,985776,1131579,1256475,2054270,2312663,- -,1187548,1217832,1952238,727919,186720,4673,44963,181652,396405,522522,52233,199000,137000,198000,995000
53,Total Current Liabilities,500000,800000,300000,100000,100000,200000,515894,276518,275833,191650,3690703,3385780,2401579,2924344,3707521,5074384,6114721,1495930,2082494,3465041,2388680,1373693,558369,732157,652938,459983,1154753,4215770,2491000,4354000,3544000,1374000
54,Long-Term Debt,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,926037,572675,578887,663942,390291,- -,- -,- -,308953,5250668,689271,1174000,804000,226000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,30000,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,220000,- -,-30802,- -,- -,- -,- -,- -,- -,- -,-3522497,- -,643000,643000,1407000,716000
58,Total Non-Current Liabilities,630000,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,220000,926037,541873,578887,663942,390291,- -,- -,- -,308953,1728171,689271,1817000,1447000,1633000,716000
59,Other Liabilities,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411000,340000,- -
61,Total Liabilities,1100000,800000,300000,100000,200000,200000,515894,276518,325833,191650,3690703,3385780,2401579,2924344,3707521,5074384,6114721,2421967,2624367,4043928,3052622,1763984,558369,732157,652938,768936,2882924,4905041,4308000,5801000,5177000,716000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375,375,375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,2211,2211,2211,2211,2831,3402,11483,23976,34120,41136,52256,76948,28319,28969,34734,39737,46897,50069,55293,57236,62179,69871,95000,111000,151000,171000
64,Retained Earnings,600000,- -,200000,100000,-1500000,-1800000,-828069,-653432,-122309,-1628601,-3745424,-13264532,-18201629,-25823838,-27041886,-28229187,-29539893,-35013283,-42156032,-57768564,-63510905,-67465294,-72799280,-75327603,-79019719,-84075695,-91915426,-101204846,-111723000,-123492000,-132041000,-139121000
65,Other Comprehensive Income/Loss,- -,- -,-100000,-100000,-100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9563,-9564,-29728,-32428,- -,- -,-40567,-81694,-62489,-90000,-99000,-101000,-115000
66,Other Total Stockholders Equity,100000,10000000,10000000,10000000,10000000,10100000,9923560,9789143,9347171,9499129,10363876,14465682,20162932,22875814,23299870,23396754,23618750,43972302,49512607,53885841,60892852,65937688,72495139,74849492,78511529,84410821,90609774,97093144,110222000,121327000,135849000,143718000
67,Total Stockholders Equity,700000,10000000,10100000,10000000,8400000,8100000,9097702,9137922,9227073,7872739,6621283,1204552,1972786,-2923673,-3707521,-4790922,-5868887,9035967,7384894,-3863317,-2592883,-1517597,-289672,-428042,-452897,351795,-1325167,-4104320,-1496000,-2153000,3858000,4653000
68,Total Liabilities And Stockholders Equity,1800000,10800000,10400000,10100000,8600000,8300000,9613596,9414440,9552906,8064389,10311986,4590332,4374365,671,- -,283462,245834,11457934,10009261,180611,459739,246387,268697,304115,200041,1120731,1557757,800721,2812000,3648000,9035000,5369000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136922,60627,789573,554969,694699,373000,-27000,-4093000,-2346000
70,Total Liabilities & Equity,1800000,10800000,10400000,10100000,8600000,8300000,9613596,9414440,9552906,8064389,10311986,4590332,4374365,671,- -,283462,245834,11457934,10009261,180611,459739,246387,268697,167193,260668,1910304,2112726,1495420,3185000,3621000,4942000,3023000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880242/000114420406017780/0001144204-06-017780-index.htm,https://www.sec.gov/Archives/edgar/data/880242/000119312508051395/d10ksba.htm,https://www.sec.gov/Archives/edgar/data/880242/000119312508081822/d10k.htm,https://www.sec.gov/Archives/edgar/data/880242/000136231009004643/0001362310-09-004643-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774910000977/biolargo_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774911002364/biolargo_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774912003511/blgo_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774913003712/0001437749-13-003712-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774914005737/0001437749-14-005737-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774915006503/blgo20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774916028674/0001437749-16-028674-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774917005635/0001437749-17-005635-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774918004890/0001437749-18-004890-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774919006047/0001437749-19-006047-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774920006639/0001437749-20-006639-index.html,https://www.sec.gov/Archives/edgar/data/880242/000143774921007650/0001437749-21-007650-index.htm,https://www.sec.gov/Archives/edgar/data/880242/000143774922007726/0001437749-22-007726-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,900000,1000000,200000,-100000,-1700000,-300000,968360,261826,531123,-1506292,-2116823,-6652433,-4937097,-7622209,-1218048,-1187301,-1310706,-5259390,-7142750,-15612532,-5742341,-3954389,-5333986,-2528323,-3692116,-5055976,-7839731,-9117304,-10221000,-11440000,-9700000,-6894000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-100000,189347,186529,258133,197187,268462,- -,9938,- -,- -,- -,- -,738136,1109940,1116768,9564,7866,5430,10920,10920,10920,15887,29841,50000,65000,58000,119000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,41152,-7500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1068591,- -,- -,- -,- -,- -,751113,1103090,1335000,1522000,2459000,1872000
77,Change in Working Capital,-700000,8700000,100000,-900000,-2000000,-1900000,-6364,-714687,-749757,-471619,-266902,-4869321,-322408,-522615,-783848,-1083401,-1077965,4835350,-953987,-1313296,1365053,764259,829919,-264372,183614,1853511,-569235,-3918856,1520927,25000,69000,2466000
78,Accounts Receivable,- -,- -,- -,- -,-100000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14607,-1609,5740,-1130,7677,-1688,-35814,-26563,-28919,-163000,-121000,-142000,-29000
79,Inventory,-1000000,-400000,-2100000,100000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9678,1865,-54502,7880,24155,4316,-11921,2989,-19527,28000,9000,-261000,36000
80,Accounts Payable,200000,- -,- -,-200000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,123000,- -,-1465000
81,Other Working Capital,1000000,9700000,9800000,8900000,6900000,5000000,4993636,4278949,3529192,3057573,2790671,-2078650,-2401058,-2923673,-3707521,-4790922,-5868887,-1033537,-1987524,-3300820,-1935767,-1171508,-341589,-605961,-422347,1431164,861929,-3056927,-1536000,35000,14000,427000
82,Other Non-Cash Items,- -,-9100000,-2400000,- -,4000000,3100000,-179910,169341,-157378,1691651,1215920,9903718,4119261,7410313,1934125,1445694,1073043,-1601621,5087763,14439666,2002577,1465940,2465833,1569523,1778961,1308203,3921054,7620214,3424073,5406000,2960000,-1500000
83,Cash Provided by Operating Activities,200000,600000,-2100000,-1000000,300000,800000,1012585,-104491,-117879,-89073,-899343,-1618036,-1130306,-734511,-67771,-825008,-1315628,-1287525,-1899034,-1369394,-1296556,-1716324,-2032804,-1212252,-1718621,-1883342,-3720912,-4283015,-3891000,-4422000,-4154000,-3937000
84,CAPEX,-200000,- -,- -,- -,-1000000,-1600000,-1243085,-761677,-1327758,-783424,- -,-1842620,- -,- -,- -,- -,- -,- -,-28690,- -,- -,-3740,- -,- -,- -,- -,-61931,-28671,-58000,-35000,-23000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-400000,600000,500000,51683,-272183,180717,2989,506468,-537019,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000
89,Cash Used for Investing Activites,-200000,- -,- -,-400000,-400000,-1100000,-1191402,-1033860,-1147041,-780435,506468,-2379639,440000,- -,- -,- -,- -,- -,-28690,- -,- -,-3740,- -,- -,- -,- -,-61931,-28671,-58000,-35000,-123000,-34000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22900,- -,- -,- -,-22076,- -,-20000,-20000,- -,- -,- -,- -,- -,-50000,-243000,-1090000,-61000,228000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725000,- -,- -,- -,30000,- -,- -,- -,- -,- -,1027500,1443493,2055495,692500,- -,3554713,- -,1261085,1844000,661000,3634000,367000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,- -,- -,- -,- -
93,Dividends Paid,- -,-200000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500000,8200000,-100000,- -,- -,- -,- -,- -,- -,- -,3435500,- -,250000,734661,60000,1108470,1261500,1516000,1582375,1414360,578775,- -,- -,461000,1780644,-22150,3971009,2201700,2041000,4895000,767000,3636000
95,Cash Used/Provided by Financing Activities,500000,8000000,-500000,- -,- -,- -,- -,- -,- -,- -,4160500,- -,250000,734661,67100,1108470,1261500,1516000,1560299,1414360,1586275,1423493,2055495,1153500,1780644,3532563,3971009,3372785,3642000,4466000,4340000,4231000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,2569,-129182,-391972,101958,-145133,15787,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40567,-41127,19205,-28000,-9000,-2000,- -
97,Net Change In Cash,500000,8000000,-500000,- -,- -,- -,-176248,-1267533,-1656892,-767550,3622492,-3981888,-440306,150,67100,1108470,-54128,228475,-367425,44966,289719,-296571,22691,-58752,62023,1608654,147039,-919696,-335000,- -,61000,246000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,4492198,3224665,1567773,800223,4422715,440827,521,671,- -,283462,229334,457809,90384,135350,425069,128498,151189,92437,154460,1763114,1910153,990457,655000,655000,716000,962000
99,Cash at the Beginning of Period,- -,500000,9100000,6400000,5100000,5000000,4668446,4492198,3224665,1567773,800223,4422715,440827,521,671,- -,283462,229334,457809,90384,135350,425069,128498,151189,92437,154460,1763114,1910153,990000,655000,655000,716000
100,Free Cash Flow,- -,600000,-2100000,-1000000,-700000,-800000,-230500,-866168,-1445637,-872497,-899343,-3460656,-1130306,-734511,-67771,-825008,-1315628,-1287525,-1927724,-1369394,-1296556,-1720064,-2032804,-1212252,-1718621,-1883342,-3782843,-4311686,-3949000,-4457000,-4177000,-3937000
