,https://roic.ai/company/INVH,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,829000,- -,- -,37517000,- -,- -,- -,- -
41,Intangible Assets,829000,- -,- -,295724000,258207000,258207000,258207000,258207000
42,Investments,74469000,193045000,209337000,435623000,423221000,371769000,361693000,303905000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8510993000,9065899000,9016747000,17397328000,16791043000,16277869000,16319236000,16962080000
45,Total Non-Current Assets,8595812000,9265924000,9232331000,18145270000,17484263000,16931438000,16970836000,17557762000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9199653000,9796978000,9732351000,18683638000,18063428000,17392910000,17506222000,18537846000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,3390730000,2347741000,2315541000,35000000,- -,2162287000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,92034000,82817000,88052000,158413000,169603000,186110000,149299000,193633000
53,Total Current Liabilities,3482764000,2430558000,2403593000,193413000,169603000,2348397000,149299000,193633000
54,Long-Term Debt,3173913000,5378216000,5254738000,9651662000,9249815000,6305198000,8031504000,7998659000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,86375000,101173000,116597000,188688000,274824000,473237000,769346000,506750000
58,Total Non-Current Liabilities,3260288000,5479389000,5371335000,9840350000,9524639000,6778435000,8800850000,8505409000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,6743052000,7909947000,7774928000,10033763000,9694242000,9126832000,8950149000,8699042000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5192000,5206000,5416000,5671000,6010000
64,Retained Earnings,- -,- -,- -,-157595000,-392594000,-524588000,-661162000,-794869000
65,Other Comprehensive Income/Loss,- -,- -,- -,47885000,-12963000,-276600000,-546942000,-286938000
66,Other Total Stockholders Equity,2456601000,1887031000,1957423000,8602603000,8629462000,9010194000,9707258000,10873539000
67,Total Stockholders Equity,2456601000,1887031000,1957423000,8498085000,8229111000,8214422000,8504825000,9797742000
68,Total Liabilities And Stockholders Equity,9199653000,9796978000,9732351000,18531848000,17923353000,17341254000,17454974000,18496784000
69,Minority Interest,- -,- -,- -,151790000,140075000,51656000,51248000,41062000
70,Total Liabilities & Equity,9199653000,9796978000,9732351000,18683638000,18063428000,17392910000,17506222000,18537846000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687229/000168722918000018/0001687229-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722919000014/0001687229-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722920000004/0001687229-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722921000005/0001687229-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722922000002/0001687229-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-269861000,-160208000,-78239000,-105337000,-4927000,145463000,196212000,261425000
74,Depreciation and Amortization,215808000,250239000,267681000,309578000,560541000,533719000,552530000,592135000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,24335000,27924000,10210000,81203000,29499000,18158000,17090000,27170000
77,Change in Working Capital,-24653000,979419000,-4069000,2248528000,64607000,-2296487000,2273012000,24761000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-2878923000,-1899504000,-1903573000,344955000,409562000,-1886925000,386087000,- -
82,Other Non-Cash Items,102822000,-899900000,54543000,-2274183000,-88479000,2261277000,-2342132000,2169000
83,Cash Provided by Operating Activities,48451000,197474000,250126000,259789000,561241000,662130000,696712000,907660000
84,CAPEX,-60963000,-51804000,-49793000,-65144000,192575000,212071000,-172284000,-162832000
85,Acquisitions Net,- -,- -,- -,84952000,- -,- -,-16345000,-65000000
86,Purchases of Investments,-74469000,-118576000,-16036000,-95174000,-211737000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,79292000,224035000,49960000,72106000,119920000
88,Other Investing Activites,-1825228000,-741257000,-239001000,49356000,-141880000,-159805000,-480917000,-1214478000
89,Cash Used for Investing Activites,-1899697000,-859833000,-255037000,53282000,62993000,102226000,-425156000,-1159558000
90,Debt Repayment,-2093828000,-2278111000,-381123000,-5372593000,-4899594000,-1482421000,-3254727000,-2166865000
91,Common Stock Issued,557381000,246792000,138002000,1692058000,- -,55263000,686723000,933790000
92,Common Stock Repurchased,- -,- -,- -,-1153000,- -,- -,- -,- -
93,Dividends Paid,-787598000,-682606000,-136000,-68997000,-230072000,-276681000,-332151000,-393812000
94,Other Financing Activites,4029322000,3365506000,171469000,3419373000,4448861000,865737000,2754122000,2285875000
95,Cash Used/Provided by Financing Activities,1705277000,651581000,-71788000,-331312000,-680805000,-838102000,-146033000,658988000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-145969000,-10778000,-76699000,-18241000,-56571000,-73746000,125523000,407090000
98,Cash at the End of Period,285596000,274818000,198119000,179878000,359991000,286245000,411768000,818858000
99,Cash at the Beginning of Period,431565000,285596000,274818000,198119000,416562000,359991000,286245000,411768000
100,Free Cash Flow,-12512000,145670000,200333000,197247000,415526000,497886000,524428000,744828000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687229/000168722918000018/0001687229-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722919000014/0001687229-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722920000004/0001687229-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1687229/000168722921000005/0001687229-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722922000002/0001687229-22-000002-index.htm
102,false,,,,,,,,
