,https://roic.ai/company/KNWN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1074828/000119983509000004/0001199835-09-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1074828/000119983510000864/0001199835-10-000864-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983511000801/0001199835-11-000801-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983512000757/0001199835-12-000757-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983514000045/0001199835-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000005/0001199835-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000496/0001199835-15-000496-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495417005324/0001654954-17-005324-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495417011929/0001654954-17-011929-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495418014237/0001654954-18-014237-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495419014278/0001654954-19-014278-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495420013963/0001654954-20-013963-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495421013414/0001654954-21-013414-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,519009,7160,- -,255,10000,80000,90000,1140000,750000,70000,82270,188310,103180,934410,1900840,4298179,12258218
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,519009,7160,- -,255,10000,80000,90000,1140000,750000,70000,82270,188310,103180,934410,1900840,4298179,12258218
34,Net Receivables,- -,- -,- -,- -,- -,890000,830000,1040000,1040000,850000,619850,808960,693320,320540,63050,- -,- -
35,Inventory,- -,- -,- -,- -,- -,620000,450000,340000,600000,410000,217820,295220,225910,203580,7100,- -,- -
36,Other Current Assets,- -,- -,10000,- -,- -,60000,290000,230000,50000,20000,27770,20480,27690,20140,6430,- -,- -
37,Total Current Assets,519009,7160,10000,255,10000,1650000,1660000,2750000,2440000,1350000,947710,1312970,1050100,1478670,1977420,4298179,12258218
38,PP&E,9846,- -,- -,- -,- -,590000,520000,470000,430000,450000,366250,285420,133200,169330,374000,257674,617506
39,Goodwill,- -,- -,- -,- -,- -,980000,980000,980000,980000,980000,983650,983650,- -,- -,- -,- -,- -
40,Intangible Assets,6875,- -,- -,- -,- -,920000,1140000,1110000,770000,430000,158000,43750,- -,447780,274450,101114,- -
41,Intangible Assets,6875,- -,- -,- -,- -,1900000,2120000,2090000,1750000,1410000,1141650,1027400,- -,447780,274450,101114,- -
42,Investments,- -,- -,- -,- -,50,50,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,80000,- -,- -,-50,10000,10000,10000,10000,5070,5060,5070,7170,13760,25180,13767
45,Total Non-Current Assets,16721,- -,80000,- -,- -,2490000,2650000,2570000,2190000,1870000,1512970,1317880,138270,624280,662210,383968,631273
46,Other Assets,- -,- -,- -,1766,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,535730,7160,90000,2021,10000,4140000,4310000,5320000,4630000,3220000,2460680,2630850,1188370,2102950,2639630,4682147,12889491
48,Accounts Payable,133410,306424,790000,1050000,370000,1580000,1210000,1670000,2370000,2300000,2593680,2025690,2159550,1524640,817990,493497,419093
49,Short-Term Debt,- -,165705,50750,50750,157072,1802342,2712191,2381903,753129,1457460,1273692,2079839,1735660,2400252,4078764,4302527,9735329
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5833,- -,63902,55959,- -,- -,- -
52,Other Current Liabilities,- -,8247,299250,609250,852928,937658,947809,1058097,4266871,2872540,3965765,1334811,1190048,729689,918556,1777778,1314736
53,Total Current Liabilities,133410,480376,1140000,1710000,1380000,4320000,4870000,5110000,7390000,6630000,7838970,5440340,5149160,4710540,5815310,6573802,11469158
54,Long-Term Debt,- -,- -,430000,430000,- -,1680000,1010000,- -,- -,- -,- -,- -,- -,- -,121613,- -,178170
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,40000,40000,40000,50000,- -,- -,- -,- -,- -,-3,23256,- -
58,Total Non-Current Liabilities,- -,- -,430000,430000,- -,1720000,1050000,40000,50000,- -,- -,- -,- -,- -,121610,23256,178170
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246136,132035,290541
61,Total Liabilities,133410,480376,1570000,2140000,1380000,6040000,5920000,5150000,7440000,6630000,7838970,5440340,5149160,4710540,5936920,6597058,11647328
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12,1813,2828,2816,2805,2805,2805
63,Common Stock,16307,16504,20000,20000,30000,40000,50000,90000,170000,170000,1160,2360,4660,17530,18370,24807,35168
64,Retained Earnings,-3062653,-4094689,-5730000,-6680000,-7630000,-8770000,-11180000,-13920000,-20540000,-21540000,-24166160,-27073370,-31533730,-34791320,-42403640,-55966281,-81326494
65,Other Comprehensive Income/Loss,15000,- -,- -,- -,- -,-600000,-550000,-610000,-660000,-740000,- -,- -,- -,- -,-379260,- -,- -
66,Other Total Stockholders Equity,3433666,3604969,4231667,4525366,6233538,7429599,10069610,14610616,18223007,18701413,18786694,24259703,27565451,32163384,39464435,54023758,82530684
67,Total Stockholders Equity,402320,-473216,-1478333,-2134634,-1366462,-1900401,-1610390,170616,-2806993,-3408587,-5378294,-2809494,-3960791,-2607590,-3297290,-1914911,1242163
68,Total Liabilities And Stockholders Equity,535730,7160,91667,5366,13538,4139599,4309610,5320616,4633007,3221413,2460676,2630846,1188369,2102950,2639630,4682147,12889491
69,Minority Interest,- -,- -,-1667,-3345,-3538,401,390,-616,-3007,-1413,4,4,1,- -,- -,- -,- -
70,Total Liabilities & Equity,535730,7160,90000,2021,10000,4140000,4310000,5320000,4630000,3220000,2460680,2630850,1188370,2102950,2639630,4682147,12889491
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1074828/000119983509000004/0001199835-09-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1074828/000119983510000864/0001199835-10-000864-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983511000801/0001199835-11-000801-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983512000757/0001199835-12-000757-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983514000045/0001199835-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000005/0001199835-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000496/0001199835-15-000496-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495417005324/0001654954-17-005324-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495417011929/0001654954-17-011929-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495418014237/0001654954-18-014237-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495419014278/0001654954-19-014278-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495420013963/0001654954-20-013963-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495421013414/0001654954-21-013414-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-868643,-1032036,-1640000,-950000,-950000,-1150000,-2410000,-2730000,-6620000,-1020000,-2631040,-1746500,-3901230,-3257600,-7612320,-13562641,-25360213
74,Depreciation and Amortization,3087,16721,12844,83156,- -,89235,384919,356348,397871,418271,353229,178762,81283,132615,259347,242987,200807
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,139787,152053,151118,266172,250013,178550,202963,441223,37848,290579,1259132,1702085,3575958
77,Change in Working Capital,-5364,-858815,-656784,-579745,339745,-1300000,-540000,850000,-2590000,-330000,-1611260,2763890,28310,867190,-606020,1562267,808750
78,Accounts Receivable,- -,- -,- -,- -,- -,-64176,59844,-188973,-23658,191578,167345,-189106,-20582,362035,257489,63049,- -
79,Inventory,- -,- -,- -,- -,- -,-218157,168182,109896,-256098,87959,195007,-77394,69309,22327,196479,7103,- -
80,Accounts Payable,- -,- -,- -,- -,- -,544367,-81758,749248,- -,- -,1289685,- -,- -,- -,- -,- -,- -
81,Other Working Capital,385599,-473216,-1130000,-1709745,-1370000,-2670000,-3210000,-2360000,-4950000,-5280000,-6891260,-4127370,-4099060,-3231870,-3837890,-2275623,- -
82,Other Non-Cash Items,82406,1103637,1966486,1446753,475588,1767744,1101672,1199306,5058536,-626218,3446231,-5011109,2489465,850085,3595826,6141499,13923999
83,Cash Provided by Operating Activities,-788514,-770493,-317454,164,5120,-440968,-1312291,-58174,-3503580,-1379397,-239877,-3373734,-1264324,-1117131,-3104035,-3913803,-6850699
84,CAPEX,-12308,- -,- -,- -,- -,-22815,-121060,-109167,-25841,- -,- -,-23437,- -,- -,-79932,-70134,-299525
85,Acquisitions Net,- -,- -,- -,- -,- -,76216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-50,- -,- -,- -,- -,- -,- -,- -,- -,-97251,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,50,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-22815,-107683,-100109,-11933,29300,21452,-16852,33875,- -,- -,- -,- -
89,Cash Used for Investing Activites,-12308,- -,- -,- -,-50,53401,-107633,-100109,-11933,29300,21452,-16852,33875,-97251,-79932,-70134,-299525
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-160178,49422,-2039883,-264063,-292695,-580085,-125000,-420539,-92094,- -,- -
91,Common Stock Issued,1292000,95000,- -,- -,- -,- -,943233,2626669,4852372,- -,- -,2882405,550000,1750000,- -,125000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-505000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15000,163644,310385,- -,- -,466179,645245,-1468956,308988,937417,523000,1699309,720321,716147,4242490,6256280,15110263
95,Cash Used/Provided by Financing Activities,1307000,258644,310385,- -,- -,466179,1428300,1207135,3121477,673354,230305,3496629,1145321,2045608,4150396,6381280,15110263
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,506178,-511849,-7069,164,5070,78612,8376,1048852,-394036,-676743,11880,106043,-85128,831226,966429,2397343,7960039
98,Cash at the End of Period,519009,7160,91,255,5325,83937,92313,1141165,747129,70386,82266,188309,103181,934407,1900836,4298179,12258218
99,Cash at the Beginning of Period,12831,519009,7160,91,255,5325,83937,92313,1141165,747129,70386,82266,188309,103181,934407,1900836,4298179
100,Free Cash Flow,-800822,-770493,-317454,164,5120,-463783,-1433351,-167341,-3529421,-1379397,-239877,-3397171,-1264324,-1117131,-3183967,-3983937,-7150224
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1074828/000119983509000004/0001199835-09-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1074828/000119983510000864/0001199835-10-000864-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983511000801/0001199835-11-000801-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983512000757/0001199835-12-000757-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000119983514000045/0001199835-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000005/0001199835-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000496/0001199835-15-000496-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495417005324/0001654954-17-005324-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495417011929/0001654954-17-011929-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495418014237/0001654954-18-014237-index.html,https://www.sec.gov/Archives/edgar/data/1074828/000165495419014278/0001654954-19-014278-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495420013963/0001654954-20-013963-index.htm,https://www.sec.gov/Archives/edgar/data/1074828/000165495421013414/0001654954-21-013414-index.htm
102,false,,,,,,,,,,,,,,,,,
