,https://roic.ai/company/AIRG,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,95834,121541,84060,349743,269136,10000,249000,352000
45,Total Non-Current Assets,1448498,5881268,5250739,10215301,9821897,9615000,9494000,30901000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8733058,15260414,56063503,56297908,52907112,54726000,54927000,66390000
48,Accounts Payable,2413579,2873471,3949005,3969083,4136943,3838000,2975000,5474000
49,Short-Term Debt,354529,1706362,1469895,1414665,81332,85000,39000,841000
50,Tax Payable,- -,- -,- -,- -,- -,- -,509000,597000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,79000
52,Other Current Liabilities,1103762,2996487,3820793,4346350,3292545,2836000,3842000,13493000
53,Total Current Liabilities,3871870,7576320,9239693,9730098,7510820,6759000,6856000,19887000
54,Long-Term Debt,346873,2721865,1333333,- -,- -,11000,271000,2221000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,6166,7971,37577,52000,58000,109000
57,Other Non-Current Liabilities,1460097,1268145,451909,334860,211383,- -,- -,- -
58,Total Non-Current Liabilities,1806970,3990010,1791408,342831,248960,63000,329000,2330000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,731455,639973,533241,416192,292715,96000,310000,3062000
61,Total Liabilities,5678840,11566330,11031101,10072929,7759780,6822000,7185000,22217000
62,Preferred Stock,46692905,49075455,- -,- -,- -,- -,- -,- -
63,Common Stock,1017003,1094375,928,961,995,1000,100356000,106971000
64,Retained Earnings,-44389408,-46475746,-43550996,-42409741,-44994061,-44068000,-47347000,-57434000
65,Other Comprehensive Income/Loss,-1270808,-1729541,-1940338,-16907,-11141,8000,- -,- -
66,Other Total Stockholders Equity,1004526,1729541,90522808,88650666,90151539,91963000,-5267000,- -
67,Total Stockholders Equity,3054218,3694084,45032402,46224979,45147332,47904000,47742000,44173000
68,Total Liabilities And Stockholders Equity,8733058,15260414,56063503,56297908,52907112,54726000,54927000,66390000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8733058,15260414,56063503,56297908,52907112,54726000,54927000,66390000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1272842/000156459017004418/0001564590-17-004418-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459018005821/0001564590-18-005821-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459019008047/0001564590-19-008047-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459020007848/0001564590-20-007848-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000119312521049098/0001193125-21-049098-index.htm,https://www.sec.gov/Archives/edgar/data/1272842/000095017022004238/0000950170-22-004238-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,3588300,-270342,3733707,1141255,-2584320,926000,-3279000,-10087000
74,Depreciation and Amortization,371603,472747,868697,1017633,1263412,1148000,1092000,3550000
75,Deferred Income Tax,- -,- -,6166,1805,29606,14000,6000,-2279000
76,Stock Based Compensation,657730,341554,298535,736066,2910070,2204000,2564000,4049000
77,Change in Working Capital,-157255,-1609864,39770245,-5220562,-778114,-1630000,3246000,-8464000
78,Accounts Receivable,-90942,210140,-1422998,-2678746,1042843,-643000,2874000,-4848000
79,Inventory,- -,-119733,-27082,-161972,-609547,158000,177000,-6261000
80,Accounts Payable,173896,298918,1075534,-101801,293662,-303000,-862000,1817000
81,Other Working Capital,3412690,1802826,41573071,36352509,35574395,-196000,378000,-781000
82,Other Non-Cash Items,-2812004,2914730,-40008073,2069147,535860,-312000,75000,2061000
83,Cash Provided by Operating Activities,1648374,1848825,4669277,-254656,1376514,2350000,3704000,-11170000
84,CAPEX,-984697,-132854,-275649,-263063,-989866,-1196000,-727000,-736000
85,Acquisitions Net,- -,-4000000,- -,-6348730,- -,- -,- -,-14185000
86,Purchases of Investments,- -,- -,- -,-21962486,-29666317,-36456000,-753000,- -
87,Sales/Maturities of Investments,- -,- -,- -,750000,30991753,35270000,22366000,- -
88,Other Investing Activites,34786,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-949911,-4132854,-275649,-27824279,335570,-2382000,20886000,-14921000
90,Debt Repayment,-396212,-273175,-1624999,-1388563,-1333333,- -,- -,- -
91,Common Stock Issued,- -,- -,40397894,- -,- -,835000,1169000,2526000
92,Common Stock Repurchased,- -,- -,- -,-1257100,-2174430,-1227000,-608000,-97000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500220,4302372,-3341033,589263,390267,- -,- -,- -
95,Cash Used/Provided by Financing Activities,104008,4029197,35431862,-2056400,-3117496,-392000,561000,2429000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,802471,1745168,39825490,-30135335,-1405412,-424000,25151000,-23662000
98,Cash at the End of Period,3590745,5335913,45161403,15026068,13620656,13197000,38348000,14686000
99,Cash at the Beginning of Period,2788274,3590745,5335913,45161403,15026068,13621000,13197000,38348000
100,Free Cash Flow,663677,1715971,4393628,-517719,386648,1154000,2977000,-11906000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1272842/000156459017004418/0001564590-17-004418-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459018005821/0001564590-18-005821-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459019008047/0001564590-19-008047-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000156459020007848/0001564590-20-007848-index.html,https://www.sec.gov/Archives/edgar/data/1272842/000119312521049098/0001193125-21-049098-index.htm,https://www.sec.gov/Archives/edgar/data/1272842/000095017022004238/0000950170-22-004238-index.htm
102,false,,,,,,,,
