,https://roic.ai/company/GDS,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,29127000,79005000,111706000,358898000,340812000,330118000,334386000,1273578000
58,Total Non-Current Liabilities,808970000,2148414000,3738171000,6245984000,11855439000,16137455000,22947252000,32271038000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,286617000,473684000,1111552000,2400987000,4301225000,5738731000,9981446000,11661984000
61,Total Liabilities,1706600000,3073463000,5217392000,8669055000,15363318000,20136969000,30591073000,45736281000
62,Preferred Stock,2164039000,2395314000,- -,- -,- -,1061981000,1101730000,958480000
63,Common Stock,76000,76000,260000,320000,341000,412000,507000,507000
64,Retained Earnings,-483669000,-582253000,-858665000,-1185565000,-1615107000,-2057190000,-2723597000,-3910815000
65,Other Comprehensive Income/Loss,56542000,-61949000,-192080000,-200688000,-139254000,-52684000,-439635000,-599186000
66,Other Total Stockholders Equity,410486000,303621000,4036959000,5861445000,7275945000,12403043000,28728717000,28983330000
67,Total Stockholders Equity,2147474000,2054809000,2986474000,4475512000,5521925000,11355562000,26667722000,25432316000
68,Total Liabilities And Stockholders Equity,3854074000,5128272000,8203866000,13144567000,20885243000,31492531000,57258795000,71168597000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,463846000
70,Total Liabilities & Equity,3854074000,5128272000,8203866000,13144567000,20885243000,31492531000,57258795000,71632443000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1526125/000110465918021281/0001104659-18-021281-index.html,https://www.sec.gov/Archives/edgar/data/1526125/000110465919014580/0001104659-19-014580-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-129999000,-98584000,-276412000,-326900000,-430268000,-442083000,-666407000,-1187218000
74,Depreciation and Amortization,82753000,145406000,227355000,378130000,741507000,1142032000,1658886000,2616898000
75,Deferred Income Tax,-5024000,-10589000,-10624000,-11622000,-36597000,-50172000,-89739000,- -
76,Stock Based Compensation,27333000,4061000,64165000,59843000,105877000,189756000,333686000,391275000
77,Change in Working Capital,79387000,-120592000,-158411000,-322163000,-457255000,-646261000,-1023433000,-809890000
78,Accounts Receivable,-11851000,-37647000,-79383000,-134631000,-157708000,-342191000,-465189000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-6760000,-5150000,43844000,33903000,25292000,22540000,119163000,- -
81,Other Working Capital,21153000,-10657000,-28134000,41174000,-21126000,24038000,-56799000,- -
82,Other Non-Cash Items,-26513000,- -,3699000,48100000,63826000,100164000,107894000,190298000
83,Cash Provided by Operating Activities,27937000,-80298000,-150228000,-174612000,-12910000,293436000,320887000,1201363000
84,CAPEX,-248349000,-732979000,-987763000,-1766165000,-4387040000,-4921625000,-8217912000,-9699125000
85,Acquisitions Net,27407000,- -,-117363000,-263588000,-359906000,-208675000,-1172017000,-4013279000
86,Purchases of Investments,- -,- -,- -,- -,- -,-6000000,-4500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-302807000,1074000,-41938000,-12025000,13896000,5069000,16422000,20866000
89,Cash Used for Investing Activites,-523749000,-731905000,-1147064000,-2035778000,-4733050000,-5131231000,-9378007000,-13691538000
90,Debt Repayment,-486381000,-458973000,-896317000,-1850764000,-1801096000,-3017321000,-4916642000,- -
91,Common Stock Issued,- -,- -,1221518000,649834000,1283308000,4934126000,15974517000,- -
92,Common Stock Repurchased,-575030000,-23300000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-76502000,- -,- -,-25014000,-65489000,- -
94,Other Financing Activites,2117698000,1609958000,1879915000,3547697000,5394594000,6470148000,9151275000,8119155000
95,Cash Used/Provided by Financing Activities,1056287000,1127685000,2128614000,2346767000,4876806000,8361939000,20143661000,8119155000
96,Effect of Forex Changes on Cash,-2328000,2258000,55499000,-74250000,206302000,164370000,-566874000,-95542000
97,Net Change In Cash,558147000,317740000,886821000,62127000,337148000,3688514000,10519667000,-4466562000
98,Cash at the End of Period,606758000,924498000,1811319000,1873446000,2284748000,5973262000,16492929000,12026367000
99,Cash at the Beginning of Period,48611000,606758000,924498000,1811319000,1947600000,2284748000,5973262000,16492929000
100,Free Cash Flow,-220412000,-813277000,-1137991000,-1940777000,-4399950000,-4628189000,-7897025000,-8497762000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1526125/000110465918021281/0001104659-18-021281-index.html,https://www.sec.gov/Archives/edgar/data/1526125/000110465919014580/0001104659-19-014580-index.html,- -,- -,- -
102,Forex Rate,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
