,https://roic.ai/company/NBEV,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1579823/000107997415000276/0001079974-15-000276-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000107997416001104/0001079974-16-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315217003225/0001493152-17-003225-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000165495418004039/0001654954-18-004039-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000165495419003847/0001654954-19-003847-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315220003980/0001493152-20-003980-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315221006345/0001493152-21-006345-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,428574,98898,43856,529088,285245,42517000,60842000,43711000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,428574,98898,43856,529088,285245,42517000,60842000,43711000
34,Net Receivables,30166,43779,259619,4729356,7462065,10981000,11134000,12341000
35,Inventory,30688,80306,196220,4420632,7041775,37148000,36718000,48051000
36,Other Current Assets,94250,75989,26264,326846,1435058,5329000,4262000,23032000
37,Total Current Assets,583678,298972,525959,10005922,16224143,95975000,112956000,127135000
38,PP&E,420836,992139,66336,7286201,5959703,75770000,66901000,28076000
39,Goodwill,- -,- -,389014,4895241,21230212,31514000,10284000,54993000
40,Intangible Assets,- -,- -,187500,4538674,23556251,67830000,43443000,169611000
41,Intangible Assets,- -,- -,576514,9433915,44786463,99344000,53727000,224604000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,8908000,9128000,- -
44,Other Non-Current Assets,132163,13957,- -,- -,701870,6935000,8418000,- -
45,Total Non-Current Assets,552999,1006096,642850,16720116,51448036,190957000,138174000,252680000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1136677,1305068,1168809,26726038,67672179,286932000,251130000,379815000
48,Accounts Payable,3317,69667,282845,6880569,4370491,8960000,13259000,22774000
49,Short-Term Debt,- -,7910,- -,4562179,3427051,3369000,11208000,16181000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,2701000,1358000,7782000
52,Other Current Liabilities,567311,677928,288252,- -,3315717,40036000,53601000,75810000
53,Total Current Liabilities,570628,755505,571097,11442748,11113259,55066000,79426000,122547000
54,Long-Term Debt,4942,5013,102600,10404636,- -,1325000,12802000,18016000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,9747000,5441000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,3820865,66258000,61186000,- -
58,Total Non-Current Liabilities,4942,5013,102600,10404636,3820865,77330000,79429000,18016000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,194397000
60,Capital Lease Obligations,- -,12923,- -,- -,4059944,18484000,41186000,41736000
61,Total Liabilities,575570,760518,673697,21847384,14934124,132396000,158855000,298928000
62,Preferred Stock,250,250,505,535,169,- -,- -,- -
63,Common Stock,10617,12716,15436,21900,35171,75000,82000,2101000
64,Retained Earnings,-875370,-2125144,-3331878,-6964957,-10500883,-22636000,-112471000,- -
65,Other Comprehensive Income/Loss,-259440,-361620,-10215,-256337,-762579,1000000,1000000,4201000
66,Other Total Stockholders Equity,1685050,3018348,3821264,12077513,63966177,176097000,203664000,137952000
67,Total Stockholders Equity,561107,544550,495112,4878654,52738055,154536000,92275000,144254000
68,Total Liabilities And Stockholders Equity,1136677,1305068,1168809,26726038,67672179,286932000,251130000,443182000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-63367000
70,Total Liabilities & Equity,1136677,1305068,1168809,26726038,67672179,286932000,251130000,379815000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1579823/000107997415000276/0001079974-15-000276-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000107997416001104/0001079974-16-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315217003225/0001493152-17-003225-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000165495418004039/0001654954-18-004039-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000165495419003847/0001654954-19-003847-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315220003980/0001493152-20-003980-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315221006345/0001493152-21-006345-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-330342,-1249774,- -,-3633079,-3535926,-12135000,-89835000,-39344000
74,Depreciation and Amortization,103206,169402,77820,523748,1606338,2310000,8759000,8928000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-8927000,-4944000,192000
76,Stock Based Compensation,115000,902245,- -,- -,1731240,2533000,6388000,4638000
77,Change in Working Capital,-16254,- -,-469583,411395,-1391688,6547710,35798116,-7379000
78,Accounts Receivable,39035,-13613,-272175000,1157932,-2363882,1286000,-501000,1511000
79,Inventory,-22624,-49618,100419000,623005,-299632,-3374000,2792000,5758000
80,Accounts Payable,-16040,66350,142307000,327916,-1778723,-3583000,907000,-4683000
81,Other Working Capital,13050,13050,-456533,-45138,-1436826,5110884,40909000,33530000
82,Other Non-Cash Items,-3351,109087,-217887,3673112,-6820741,-12159710,12032884,-1286000
83,Cash Provided by Operating Activities,-131741,-69040,-609650,975176,-8410777,-21831000,-31801000,-34251000
84,CAPEX,-23544,-651819,-22951000,-47198,-562570,-744000,-7156000,-2471000
85,Acquisitions Net,- -,- -,- -,-9000000,-2000000,-29000000,-1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5280,67326,22910960,500000,8789991,-438000,32228000,6950000
89,Cash Used for Investing Activites,-18264,-584493,-40040,-8547198,6227421,-29438000,29429000,4479000
90,Debt Repayment,-103982,-25376,-186379000,-2753083,-15610386,-10131000,-44830000,-134000
91,Common Stock Issued,549550,345233,- -,- -,15398963,99857000,20102000,30000000
92,Common Stock Repurchased,- -,- -,86200,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,85700,4000,186469980,10810337,2150936,6675000,44122000,-1322000
95,Cash Used/Provided by Financing Activities,531268,323857,177180,8057254,1939513,96401000,19394000,28544000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,439000,1693000,1892000
97,Net Change In Cash,381263,-329676,-472510,485232,-243843,45571000,18715000,664000
98,Cash at the End of Period,428574,98898,-373610,529088,285245,45856000,64571000,65235000
99,Cash at the Beginning of Period,47311,428574,98900,43856,529088,285000,45856000,64571000
100,Free Cash Flow,-155285,-720859,-904290,927978,-8973347,-22575000,-38957000,-36722000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1579823/000107997415000276/0001079974-15-000276-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000107997416001104/0001079974-16-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315217003225/0001493152-17-003225-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000165495418004039/0001654954-18-004039-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000165495419003847/0001654954-19-003847-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315220003980/0001493152-20-003980-index.htm,https://www.sec.gov/Archives/edgar/data/1579823/000149315221006345/0001493152-21-006345-index.htm
102,false,,,,,,,,
