,https://roic.ai/company/TNL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,2568000000,2052000000,2056000000,1914000000,1740000000,1752000000,1730000000,1866000000,1940000000,1867000000,1869000000,1812000000,2964000000,5415000000,5524000000,5760000000,4509000000
38,PP&E,- -,- -,- -,- -,718000000,916000000,1009000000,1038000000,953000000,1041000000,1117000000,1292000000,1555000000,1500000000,1399000000,1340000000,1081000000,712000000,816000000,758000000,768000000
39,Goodwill,- -,- -,- -,- -,2645000000,2699000000,2723000000,1353000000,1386000000,1481000000,1479000000,1566000000,1590000000,1551000000,1563000000,1603000000,1336000000,922000000,970000000,964000000,961000000
40,Intangible Assets,- -,- -,- -,- -,992000000,1038000000,1036000000,1077000000,1051000000,731000000,1131000000,1189000000,1152000000,1114000000,1123000000,1127000000,1084000000,109000000,143000000,131000000,219000000
41,Intangible Assets,- -,- -,- -,- -,3637000000,3737000000,3759000000,2430000000,2437000000,2212000000,2610000000,2755000000,2742000000,2665000000,2686000000,2730000000,2420000000,1031000000,1113000000,1095000000,1180000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000
44,Other Non-Current Assets,- -,- -,- -,- -,2244000000,2815000000,3635000000,4191000000,4222000000,4411000000,3566000000,3550000000,3504000000,3647000000,3762000000,3937000000,3938000000,- -,- -,- -,106000000
45,Total Non-Current Assets,- -,- -,- -,- -,6599000000,7468000000,8403000000,7659000000,7612000000,7664000000,7293000000,7597000000,7801000000,7812000000,7847000000,8007000000,7439000000,1743000000,1929000000,1853000000,2079000000
46,Other Assets,3605000000,5509000000,7041000000,8343000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3605000000,5509000000,7041000000,8343000000,9167000000,9520000000,10459000000,9573000000,9352000000,9416000000,9023000000,9463000000,9741000000,9679000000,9716000000,9819000000,10403000000,7158000000,7453000000,7613000000,6588000000
48,Accounts Payable,- -,- -,- -,- -,239000000,377000000,380000000,316000000,260000000,274000000,278000000,307000000,360000000,385000000,394000000,468000000,256000000,66000000,73000000,62000000,62000000
49,Short-Term Debt,- -,- -,- -,- -,355000000,293000000,412000000,169000000,175000000,234000000,242000000,544000000,233000000,261000000,253000000,229000000,321000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000000,93000000,103000000,120000000,129000000,102000000,137000000,65000000,117000000,86000000,73000000,106000000
51,Deferred Revenue,- -,- -,- -,- -,271000000,545000000,612000000,672000000,417000000,401000000,402000000,383000000,451000000,464000000,483000000,500000000,493000000,518000000,541000000,- -,392000000
52,Other Current Liabilities,- -,- -,- -,- -,430000000,762000000,776000000,1012000000,1033000000,666000000,641000000,697000000,746000000,749000000,827000000,835000000,1469000000,1169000000,729000000,741000000,705000000
53,Total Current Liabilities,- -,- -,- -,- -,1295000000,1977000000,2180000000,2169000000,1885000000,1575000000,1563000000,1931000000,1790000000,1859000000,1957000000,2032000000,2539000000,1753000000,1343000000,803000000,1159000000
54,Long-Term Debt,- -,- -,- -,- -,1687000000,2607000000,3195000000,1815000000,1840000000,3510000000,3773000000,4018000000,4608000000,4792000000,4955000000,5283000000,5686000000,5235000000,5570000000,6575000000,5449000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,311000000,267000000,206000000,182000000,1348000000,1365000000,1401000000,1450000000,1411000000,954000000,736000000,835000000,1182000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,823000000,782000000,927000000,966000000,1137000000,1021000000,1065000000,- -,1173000000,- -,- -,- -,- -,- -,- -,- -,686000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,329000000,595000000,641000000,1970000000,1535000000,187000000,208000000,235000000,-820000000,370000000,401000000,375000000,341000000,3000000,229000000,21000000,88000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2839000000,3984000000,4763000000,5062000000,4779000000,4924000000,5228000000,5601000000,6326000000,6563000000,6806000000,7069000000,6981000000,5974000000,6634000000,7778000000,6223000000
59,Other Liabilities,1036000000,1649000000,2758000000,3664000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,185000000,164000000,145000000
61,Total Liabilities,1036000000,1649000000,2758000000,3664000000,4134000000,5961000000,6943000000,7231000000,6664000000,6499000000,6791000000,7532000000,8116000000,8422000000,8763000000,9101000000,9520000000,7727000000,7977000000,8581000000,7382000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,- -,- -,156000000,525000000,-578000000,-315000000,-25000000,293000000,558000000,832000000,1183000000,1592000000,1977000000,2609000000,1442000000,1785000000,1390000000,1587000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,5033000000,184000000,194000000,98000000,138000000,155000000,128000000,151000000,122000000,24000000,-74000000,-113000000,-10000000,-52000000,-52000000,-16000000,-48000000
66,Other Total Stockholders Equity,2569000000,3860000000,4283000000,4679000000,- -,3217000000,2795000000,2820000000,2863000000,2785000000,1809000000,1219000000,667000000,46000000,-570000000,-1152000000,-1723000000,-1966000000,-2265000000,-2351000000,-2342000000
67,Total Stockholders Equity,2569000000,3860000000,4283000000,4679000000,5033000000,3559000000,3516000000,2342000000,2688000000,2917000000,2232000000,1930000000,1623000000,1255000000,950000000,714000000,878000000,-574000000,-530000000,-975000000,-801000000
68,Total Liabilities And Stockholders Equity,3605000000,5509000000,7041000000,8343000000,9167000000,9520000000,10459000000,9573000000,9352000000,9416000000,9023000000,9462000000,9739000000,9677000000,9713000000,9815000000,10398000000,7153000000,7447000000,7606000000,6581000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2000000,2000000,3000000,4000000,5000000,5000000,6000000,7000000,7000000
70,Total Liabilities & Equity,3605000000,5509000000,7041000000,8343000000,9167000000,9520000000,10459000000,9573000000,9352000000,9416000000,9023000000,9463000000,9741000000,9679000000,9716000000,9819000000,10403000000,7158000000,7453000000,7613000000,6588000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361658/000095012309003581/0000950123-09-003581-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361658/000136165814000005/0001361658-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165815000004/0001361658-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165816000028/0001361658-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165817000004/0001361658-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165818000003/0001361658-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165819000009/0001361658-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165820000012/0001361658-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165821000025/0001361658-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165822000013/0001361658-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,431000000,287000000,403000000,-1074000000,293000000,379000000,417000000,400000000,432000000,529000000,612000000,611000000,871000000,672000000,507000000,-255000000,308000000
74,Depreciation and Amortization,- -,- -,- -,- -,131000000,148000000,166000000,184000000,178000000,173000000,178000000,185000000,216000000,233000000,234000000,252000000,213000000,138000000,121000000,126000000,124000000
75,Deferred Income Tax,- -,- -,- -,- -,236000000,103000000,156000000,110000000,90000000,76000000,70000000,62000000,64000000,47000000,40000000,93000000,-404000000,122000000,79000000,-88000000,-39000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,35000000,37000000,39000000,42000000,41000000,53000000,57000000,58000000,68000000,70000000,129000000,24000000,20000000,32000000
77,Change in Working Capital,- -,- -,- -,- -,-443000000,-1198000000,-199000000,-131000000,110000000,322000000,-10000000,-232000000,215000000,-142000000,-96000000,-132000000,645000000,3237000000,519000000,776000000,-26000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,3000000,92000000,14000000,20000000,-322000000,-318000000,-250000000,-341000000,-429000000,-529000000,-642000000,-577000000,267000000,20000000
79,Inventory,- -,- -,- -,- -,-21000000,-280000000,-322000000,-147000000,-9000000,54000000,79000000,95000000,32000000,-17000000,-25000000,-27000000,-71000000,-27000000,13000000,-119000000,-6000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,46000000,84000000,109000000,39000000,92000000,-146000000,- -,- -,24000000
81,Other Working Capital,- -,- -,- -,- -,1273000000,75000000,-124000000,-255000000,-145000000,177000000,167000000,-65000000,150000000,8000000,-88000000,-220000000,425000000,3662000000,4181000000,4957000000,-40000000
82,Other Non-Cash Items,- -,- -,- -,- -,133000000,825000000,-516000000,985000000,-19000000,-354000000,306000000,548000000,28000000,260000000,143000000,81000000,-408000000,-3856000000,-798000000,-205000000,169000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,488000000,165000000,10000000,109000000,689000000,635000000,1003000000,1004000000,1008000000,984000000,991000000,973000000,987000000,442000000,452000000,374000000,568000000
84,CAPEX,- -,- -,- -,- -,-134000000,-191000000,-194000000,-187000000,-135000000,-167000000,-239000000,-208000000,-238000000,-235000000,-222000000,-191000000,-153000000,-99000000,-108000000,-69000000,-57000000
85,Acquisitions Net,- -,- -,- -,- -,-552000000,-105000000,-16000000,-135000000,- -,-236000000,-27000000,-42000000,-3000000,3000000,12000000,-10000000,-18000000,-5000000,55000000,- -,-37000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-24000000,-50000000,-48000000,-13000000,-10000000,-10000000,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,42000000,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-6000000,-151000000,5000000,9000000,17000000,-5000000,20000000,-269000000,-157000000,-44000000,-92000000,-152000000,-223000000,-621000000,-13000000,4000000,1000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-692000000,-471000000,-255000000,-319000000,-109000000,-418000000,-256000000,-519000000,-401000000,-276000000,-302000000,-353000000,-394000000,-725000000,-66000000,-65000000,-93000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-3875000000,-3162000000,-3641000000,-3841000000,-4598000000,-2832000000,-2098000000,-1920000000,-2523000000,-3647000000,-7170000000,-4963000000,-2458000000,-3178000000
91,Common Stock Issued,- -,- -,- -,- -,- -,13000000,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,7000000,11000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-329000000,-526000000,-15000000,- -,-235000000,-893000000,-631000000,-593000000,-646000000,-658000000,-619000000,-599000000,-330000000,-340000000,-128000000,-25000000
93,Dividends Paid,- -,- -,- -,- -,- -,-1360000000,-14000000,-28000000,-29000000,-86000000,-99000000,-134000000,-156000000,-179000000,-202000000,-223000000,-242000000,-194000000,-166000000,-138000000,-109000000
94,Other Financing Activites,- -,- -,- -,- -,221000000,2149000000,692000000,4084000000,2630000000,3743000000,4080000000,4932000000,2976000000,2222000000,2105000000,2779000000,3929000000,7974000000,5169000000,3219000000,2013000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,221000000,473000000,177000000,166000000,-561000000,-219000000,-753000000,-431000000,-605000000,-701000000,-675000000,-586000000,-559000000,280000000,-289000000,502000000,-1288000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-12000000,3000000,9000000,-30000000,- -,3000000,-8000000,-1000000,-3000000,-18000000,-26000000,-20000000,14000000,-9000000,1000000,4000000,-7000000
97,Net Change In Cash,- -,- -,- -,- -,5000000,170000000,-59000000,-74000000,19000000,1000000,-14000000,53000000,-1000000,-11000000,-12000000,14000000,48000000,-12000000,98000000,815000000,-820000000
98,Cash at the End of Period,- -,- -,- -,- -,99000000,269000000,210000000,136000000,155000000,156000000,142000000,195000000,194000000,183000000,171000000,185000000,233000000,404000000,502000000,1317000000,497000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,94000000,99000000,269000000,210000000,136000000,155000000,156000000,142000000,195000000,194000000,183000000,171000000,185000000,416000000,404000000,502000000,1317000000
100,Free Cash Flow,- -,- -,- -,- -,354000000,-26000000,-184000000,-78000000,554000000,468000000,764000000,796000000,770000000,749000000,769000000,782000000,834000000,343000000,344000000,305000000,511000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361658/000095012309003581/0000950123-09-003581-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361658/000136165814000005/0001361658-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165815000004/0001361658-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165816000028/0001361658-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165817000004/0001361658-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165818000003/0001361658-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165819000009/0001361658-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165820000012/0001361658-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165821000025/0001361658-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1361658/000136165822000013/0001361658-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
