,https://roic.ai/company/USDP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1610682/000161068215000030/0001610682-15-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068216000157/0001610682-16-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068217000068/0001610682-17-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068218000054/0001610682-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068219000054/0001610682-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068220000047/0001610682-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068221000024/0001610682-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068222000024/0001610682-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4471000,6151000,40249000,10500000,11705000,7874000,6439000,3083000,3040000,3747000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4471000,6151000,40249000,10500000,11705000,7874000,6439000,3083000,3040000,3747000
34,Net Receivables,1019000,1989000,4355000,6222000,4540000,4581000,5756000,7526000,6509000,8641000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3027000
36,Other Current Assets,13559000,33036000,16860000,18739000,18320000,8581000,8772000,10378000,11705000,11422000
37,Total Current Assets,19049000,41176000,61464000,35461000,34565000,21036000,20967000,20987000,21254000,26837000
38,PP&E,7881000,61364000,84059000,133010000,125702000,146573000,145308000,159541000,149471000,138760000
39,Goodwill,- -,- -,- -,33970000,33589000,33589000,33589000,33589000,- -,- -
40,Intangible Assets,- -,- -,- -,124581000,111919000,99312000,86705000,74099000,61492000,48886000
41,Intangible Assets,- -,- -,- -,158551000,145508000,132901000,120294000,107688000,61492000,48886000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,749000,823000,4490000,360000,458000,- -,- -
44,Other Non-Current Assets,32004000,4728000,2757000,627000,-631000,-3988000,366000,892000,5331000,7108000
45,Total Non-Current Assets,39885000,66092000,86816000,292937000,271402000,279976000,266328000,268579000,216294000,194754000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,58934000,107268000,148280000,328398000,305967000,301012000,287295000,289566000,237548000,221591000
48,Accounts Payable,718000,7073000,3875000,4092000,2221000,2670000,3464000,3087000,1865000,- -
49,Short-Term Debt,266000,50991000,- -,- -,- -,- -,- -,4649000,5291000,4674000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1648000,1563000,15540000,22158000,26928000,22011000,2921000,6104000,6777000,6889000
52,Other Current Liabilities,11959000,9491000,6625000,8631000,8019000,-14151000,5149000,5097000,4605000,16394000
53,Total Current Liabilities,14591000,69118000,26040000,34881000,37168000,10530000,11534000,18937000,18538000,27957000
54,Long-Term Debt,30000000,30000000,78458000,239444000,220894000,200627000,205581000,217651000,195480000,166796000
55,Deferred Revenue,957000,5547000,3656000,2022000,264000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,749000,823000,614000,360000,458000,40000,- -
57,Other Non-Current Liabilities,- -,- -,1931000,1542000,- -,4351000,356000,11464000,17222000,7751000
58,Total Non-Current Liabilities,30957000,35547000,84045000,243757000,221981000,205592000,206297000,229573000,212742000,174547000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,12035000,9683000,5467000
61,Total Liabilities,45548000,104665000,110085000,278638000,259149000,216122000,217831000,248510000,231280000,202504000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,38201000,49678000,47864000,82876000,69198000,38416000,- -,- -
64,Retained Earnings,13391000,4003000,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-5000,-1400000,-105000,-138000,-1157000,1640000,-3009000,-127000,547000,703000
66,Other Total Stockholders Equity,1296000,403000,30000,358000,- -,14000,3266000,2894000,5721000,- -
67,Total Stockholders Equity,13386000,2603000,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,58934000,107268000,148280000,328398000,305967000,301012000,287295000,289566000,237548000,202504000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,19087000
70,Total Liabilities & Equity,58934000,107268000,148280000,328398000,305967000,301012000,287295000,289566000,237548000,221591000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1610682/000161068215000030/0001610682-15-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068216000157/0001610682-16-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068217000068/0001610682-17-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068218000054/0001610682-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068219000054/0001610682-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068220000047/0001610682-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068221000024/0001610682-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068222000024/0001610682-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,460577000,-4628000,-7678000,17693000,25557000,21331000,21132000,6516000,-19814000,21458000
74,Depreciation and Amortization,490000,502000,2631000,6110000,23092000,22132000,21103000,20664000,21496000,22075000
75,Deferred Income Tax,- -,- -,- -,814000,46000,- -,-3971000,79000,-973000,-316000
76,Stock Based Compensation,- -,- -,550000,2461000,4074000,4143000,6358000,6066000,6563000,5698000
77,Change in Working Capital,-963000,-32400000,63366000,-34844000,-3183000,13109000,-1073000,-7383000,666000,2309000
78,Accounts Receivable,-1019000,-1004000,-3996000,-702000,1829000,30000,822000,-1231000,645000,-2111000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6715000
81,Other Working Capital,4458000,-27942000,35424000,580000,-2603000,10506000,9433000,2050000,2716000,869000
82,Other Non-Cash Items,-405975000,49176000,-61954000,43970000,3490000,-12990000,1580000,12500000,37876000,-4099000
83,Cash Provided by Operating Activities,54129000,12650000,-3085000,36204000,53076000,47725000,45129000,38442000,45814000,47125000
84,CAPEX,-773000,-56114000,-33736000,-1671000,-474000,-27580000,-8816000,-8440000,-484000,-2389000
85,Acquisitions Net,- -,- -,- -,-210445000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-468000,-1167000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,436762000,10000000,29473000,- -,381000,- -,236000,- -,- -,- -
89,Cash Used for Investing Activites,435989000,-46114000,-4731000,-213283000,-93000,-27580000,-8580000,-8440000,-484000,-2389000
90,Debt Repayment,-15668000,- -,-112837000,-30492000,-41556000,-71342000,-27000000,-27000000,-35000000,-29000000
91,Common Stock Issued,- -,- -,137495000,335000,- -,33700000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-8899000,-7547000,-107828000,-24032000,-29665000,-35075000,-39632000,-41557000,-20203000,-13307000
94,Other Financing Activites,-464066000,44189000,123643000,202146000,19923000,48927000,29742000,36151000,10211000,-2455000
95,Cash Used/Provided by Financing Activities,-488633000,36642000,40473000,147957000,-51298000,-23790000,-36890000,-32406000,-44992000,-44762000
96,Effect of Forex Changes on Cash,-5000,-1498000,1441000,-627000,-480000,-186000,-1064000,705000,-28000,-45000
97,Net Change In Cash,1480000,1680000,34098000,-29749000,1205000,-3831000,-1405000,-1699000,310000,-71000
98,Cash at the End of Period,4471000,6151000,40249000,10500000,11705000,7874000,12383000,10684000,10994000,10923000
99,Cash at the Beginning of Period,2991000,4471000,6151000,40249000,10500000,11705000,13788000,12383000,10684000,10994000
100,Free Cash Flow,53356000,-43464000,-36821000,34533000,52602000,20145000,36313000,30002000,45330000,44736000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1610682/000161068215000030/0001610682-15-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068216000157/0001610682-16-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068217000068/0001610682-17-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068218000054/0001610682-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068219000054/0001610682-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068220000047/0001610682-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068221000024/0001610682-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1610682/000161068222000024/0001610682-22-000024-index.htm
102,false,,,,,,,,,,
