,https://roic.ai/company/QRHC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,1516,239450,473065,915221,7123562,9631915,12569250,13961616,14738000,15281000,15311000,15347000,16661000,18886000
28,Weighted Average Shares Outstanding Diluted,- -,1516,239450,473065,915221,7123562,9631915,12569250,13961616,14738000,15281000,15311000,15347000,16756000,20735000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1442236/000146992810000101/0001469928-10-000101-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1442236/000119312514123892/0001193125-14-123892-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459015002266/0001564590-15-002266-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459016014921/0001564590-16-014921-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459017005800/0001564590-17-005800-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459018007405/0001564590-18-007405-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459019007803/0001564590-19-007803-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459020010451/0001564590-20-010451-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459021012486/0001564590-21-012486-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000095017022004075/0000950170-22-004075-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,500,3,44309,66264,485728,2676984,3154540,2989731,1328174,1055281,2122297,3411108,7516260,8427858
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,500,3,44309,66264,485728,2676984,3154540,2989731,1328174,1055281,2122297,3411108,7516260,8427858
34,Net Receivables,- -,- -,108420,- -,- -,174013,20849140,29631843,33298797,34828495,16263276,16711809,13899451,17420889,39948973
35,Inventory,- -,- -,- -,- -,3522,4292,3251,30759,54473,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2400,1350,7394,14541,38019,401537,653273,892435,2671002,1508014,965755,1110266,1069238,1952566
37,Total Current Assets,- -,2900,109773,51703,84327,702052,23930912,33470415,37235436,38827671,18826571,19799861,18420825,26006387,50329397
38,PP&E,- -,- -,- -,5265,4065,156688,645485,533837,1308236,1340850,956867,614518,2129509,3384055,5596566
39,Goodwill,- -,- -,- -,- -,- -,- -,58337290,58337290,58337290,58337290,58337290,58208490,58208490,66310385,80621503
40,Intangible Assets,- -,- -,- -,40000,128650,128800,17636964,15115617,11828008,8489586,5031595,2610921,1590524,6528330,39118940
41,Intangible Assets,- -,- -,- -,40000,128650,128800,75974254,73452907,70165298,66826876,63368885,60819411,59799014,72838715,119740443
42,Investments,- -,- -,- -,- -,- -,4047615,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,76500,103375,226794,95892,219656,300396,1074071,363475,353507,306585,- -,- -
45,Total Non-Current Assets,- -,- -,- -,121765,236090,4559897,76715631,74206400,71773930,69241797,64689227,61787436,62235108,76222770,125337009
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2900,109773,173468,320417,5261949,100646543,107676815,109009366,108069468,83515798,81587297,80655933,102229157,175666406
48,Accounts Payable,- -,- -,250,- -,63212,316597,23589755,26621907,34847359,32944202,12739117,14025221,10436715,15246839,- -
49,Short-Term Debt,- -,- -,- -,37500,75000,171234,2775000,5250000,- -,- -,- -,- -,- -,624383,1329109
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,166362,234899,282189,328829,406057,328763,71717,19644,- -,- -
52,Other Current Liabilities,- -,- -,13900,100594,46445,648153,2689866,- -,- -,2361357,1514701,1752700,2880090,1392579,36390866
53,Total Current Liabilities,- -,- -,14150,138094,184657,1302346,29289520,32154096,35176188,35711616,14582581,15849638,13336449,17263801,37719975
54,Long-Term Debt,- -,- -,- -,- -,4271,686103,17343066,- -,4000000,4750000,6763497,5194588,4534683,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,20233338,33067,45206,341142,335644,21990,353,1140749,1973759,64318167
58,Total Non-Current Liabilities,- -,- -,- -,- -,4271,20919441,17376133,45206,4341142,5085644,6785487,5194941,5675432,1973759,64318167
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18896143,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,72128,49163,- -,- -,- -,- -,- -,627896,668019,- -
61,Total Liabilities,- -,- -,14150,138094,188928,22221787,46665653,32199302,39517330,40797260,21368068,21044579,19011881,34186185,102038142
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7400,12405,35406,38426,58040,95815,111601,111788,15273,15302,15329,15373,18413,19046
64,Retained Earnings,- -,-4500,-61777,-1067160,-1822435,-47726351,-65525702,-75423380,-82869310,-90914896,-96735172,-99174153,-99229393,- -,-96708981
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1400768,-1692835,-1973538,-2442549,-2193231,-2523700,-1994320,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,1067128,- -,30708473,120811545,152482127,154223096,160614380,161060831,162225242,162852392,68024559,170318199
67,Total Stockholders Equity,- -,2900,95623,35374,131489,-16959838,53980890,75477513,69492036,67272208,62147730,60542718,61644052,68042972,73628264
68,Total Liabilities And Stockholders Equity,- -,- -,109773,173468,320417,5261949,100646543,107676815,109009366,108069468,83515798,81587297,80655933,102229157,175666406
69,Minority Interest,- -,2900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2900,109773,173468,320417,5261949,100646543,107676815,109009366,108069468,83515798,81587297,80655933,102229157,175666406
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1442236/000146992810000101/0001469928-10-000101-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1442236/000119312514123892/0001193125-14-123892-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459015002266/0001564590-15-002266-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459016014921/0001564590-16-014921-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459017005800/0001564590-17-005800-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459018007405/0001564590-18-007405-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459019007803/0001564590-19-007803-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459020010451/0001564590-20-010451-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459021012486/0001564590-21-012486-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000095017022004075/0000950170-22-004075-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,-4500,-57277,-1000057,-755275,-42151493,-17799351,-9897678,-7445930,-8045586,-5820276,-2438981,-55240,1034369,1691057
74,Depreciation and Amortization,- -,- -,- -,- -,1200,68576,1817802,3827128,4571743,4169374,4157261,2885212,1401783,1276431,2469425
75,Deferred Income Tax,- -,- -,- -,- -,- -,932700,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,409326,1904698,2393248,1547769,1315530,1849042,1709685,793589,1085906,1488177,- -
77,Change in Working Capital,- -,-2400,92723,-182014,-13939,-405349,-4758314,6674927,742929,1056807,1127935,-293767,1134153,3658210,3866836
78,Accounts Receivable,- -,- -,-13900,- -,- -,-105932,-5246794,-9224041,-3932130,-1988617,17912946,-1534155,2752358,-2311184,- -
79,Inventory,- -,- -,- -,- -,-3522,123,1041,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,250,- -,- -,-26160,5274322,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,2900,95623,-86391,-100330,-600294,-5358608,1316319,2059248,3116055,4243990,3950223,5084376,8742586,12609422
82,Other Non-Cash Items,- -,- -,-105323,953945,1293,35830800,13903180,-10711569,3474762,-3420552,-2826856,2022435,-1290723,-4359530,-8027318
83,Cash Provided by Operating Activities,- -,-6900,-69877,-228126,-357395,-3820068,-4443435,-8559423,2659034,-4390915,-1652251,2968488,2275879,3097657,- -
84,CAPEX,- -,- -,- -,-45265,-88650,-14760,-215107,-1020024,-1644631,-830459,-315286,-239974,-301333,-506072,- -
85,Acquisitions Net,- -,- -,- -,-157500,- -,25269,4235671,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-94520,-40000,-128650,674597,987092,-839605,-969956,-361144,-254772,-196460,-156325,-62428,- -
89,Cash Used for Investing Activites,- -,- -,-94520,-202765,-128650,685106,5157656,-1020024,-1644631,-830459,-315286,-239974,-301333,-506072,- -
90,Debt Repayment,- -,- -,- -,-1689,- -,-59128,-56032,-11020015,-9989278,-22870024,-106675731,-102181261,-100160251,-71666261,- -
91,Common Stock Issued,- -,5000,150000,5000,250000,416300,- -,18577018,110066,2889350,32988,40380,- -,3047547,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2400,13900,450000,258000,1989500,1533067,2500000,8700000,23540491,108337387,100479383,99474516,70132281,- -
95,Cash Used/Provided by Financing Activities,- -,7400,163900,453311,508000,2346672,1477035,10057003,-1179212,3559817,1694644,-1661498,-685735,1513567,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,7400,-497,22420,21955,-788290,2191256,477556,-164809,-1661557,-272893,1067016,1288811,4105152,- -
98,Cash at the End of Period,- -,500,3,44309,66264,485728,2676984,3154540,2989731,1328174,1055281,2122297,3411108,7516260,- -
99,Cash at the Beginning of Period,- -,- -,500,21889,44309,1274018,485728,2676984,3154540,2989731,1328174,1055281,2122297,3411108,7516260
100,Free Cash Flow,- -,-6900,-69877,-273391,-446045,-3834828,-4658542,-9579447,1014403,-5221374,-1967537,2728514,1974546,2591585,- -
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1442236/000146992810000101/0001469928-10-000101-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1442236/000119312514123892/0001193125-14-123892-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459015002266/0001564590-15-002266-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459016014921/0001564590-16-014921-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459017005800/0001564590-17-005800-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459018007405/0001564590-18-007405-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459019007803/0001564590-19-007803-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459020010451/0001564590-20-010451-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000156459021012486/0001564590-21-012486-index.htm,https://www.sec.gov/Archives/edgar/data/1442236/000095017022004075/0000950170-22-004075-index.htm
102,false,,,,,,,,,,,,,,,
