,https://roic.ai/company/DIGP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,117805,105396,64096,99397,98337,126324,66826,85104
37,Total Current Assets,201638,322324,253622,5628725,785198,297927,544187,442098,629319,397242,826865
38,PP&E,63098,28925,1714,20735,1373691,1139748,1027049,957108,726614,1391111,1061136
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,28336,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,28336,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,14000,9200,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,63098,28925,1714,49071,1387691,1148948,1027049,957108,726614,1391111,1061136
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,264736,351249,255336,5677796,2172889,1446875,1571236,1399206,1355933,1788353,1888001
48,Accounts Payable,30678,75663,55796,151764,62383,157666,121994,325864,136612,387946,370977
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,200000,221692,1423405
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,168799,228948,39133,73121,- -,- -,525,- -,- -,- -
52,Other Current Liabilities,213932,372737,517514,- -,21671,54247,42004,58238,134881,163152,220002
53,Total Current Liabilities,244610,617199,802258,190897,157175,211913,163998,384627,471493,772790,2014384
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,458574,1660585,926949
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,444131,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,458574,2104716,926949
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,561394,444131
61,Total Liabilities,244610,617199,802258,190897,157175,211913,163998,384627,930067,2877506,2941333
62,Preferred Stock,- -,- -,- -,5850,4351,3520,1898,1426,1326,1326,1326
63,Common Stock,5427,5516,5536,58756,13763,22491,35027,42245,48361,58271,71230
64,Retained Earnings,-27549,-353240,-682887,-3515089,-7847418,-10431531,-11496671,-13150328,-14955660,-17265150,-17951653
65,Other Comprehensive Income/Loss,-1839,- -,-47065,-51652,-36000,-40800,- -,-849824,-1094113,-1335974,- -
66,Other Total Stockholders Equity,44087,81774,177494,9332567,10224551,11681282,12866984,14971060,16425952,17452374,16825765
67,Total Stockholders Equity,20126,-265950,-546922,5830432,2359247,1234962,1407238,1014579,425866,-1089153,-1053332
68,Total Liabilities And Stockholders Equity,264736,351249,255336,6021329,2516422,1446875,1571236,1399206,1355933,1788353,1888001
69,Minority Interest,- -,- -,- -,-343533,-343533,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,264736,351249,255336,5677796,2172889,1446875,1571236,1399206,1355933,1788353,1888001
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1502966/000130841111000111/0001308411-11-000111-index.html,- -,https://www.sec.gov/Archives/edgar/data/1502966/000130841113000317/0001308411-13-000317-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315214003959/0001493152-14-003959-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315216006768/0001493152-16-006768-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315217000298/0001493152-17-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315217015312/0001493152-17-015312-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315218018010/0001493152-18-018010-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315219019894/0001493152-19-019894-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315221002057/0001493152-21-002057-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315221032711/0001493152-21-032711-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-27549,-325691,-329647,-2832202,-4332329,-3699019,-1065140,-1653657,-1805332,-2309490,-686503
74,Depreciation and Amortization,1839,33110,27212,4586,83725,244580,253535,277294,260645,323391,292133
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,646724,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,10033,-251903,-253761,5986464,-4809805,-542009,294175,-322718,100355,-533374,-811971
78,Accounts Receivable,-31077,-46335,33816,-79449,74385,-103545,-210352,116159,-47162,-152862,55410
79,Inventory,- -,-49341,-109623,-126292,92694,- -,- -,- -,- -,-37900,- -
80,Accounts Payable,- -,- -,- -,- -,-63471,128666,-35672,203870,-189252,248754,-14743
81,Other Working Capital,-42972,-294875,-548636,5437828,628023,86014,380189,57471,157826,-375548,-1187519
82,Other Non-Cash Items,19000,480805,452772,-5502553,6222362,3262378,140553,1535676,402119,1847868,1070373
83,Cash Provided by Operating Activities,3323,-63679,-103424,-1696981,-2836047,-734070,-376877,-163405,-1042213,-671605,-135968
84,CAPEX,-64937,-41311,- -,-51943,-1744984,-13759,-140836,-207353,-45107,-141151,-56206
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199857,- -
86,Purchases of Investments,- -,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1027023,-300000,-57876,- -,- -,-89968,- -,-230000
89,Cash Used for Investing Activites,-64937,-41311,- -,-1055359,-1794984,-71635,-140836,-207353,-135075,-341008,-286206
90,Debt Repayment,- -,- -,- -,-98703,- -,- -,- -,- -,- -,-85023,-86781
91,Common Stock Issued,28675,30000,- -,2210000,- -,460000,560500,368608,625000,56500,20250
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,203500,100000,-56784,5708300,9506,- -,- -,- -,700000,800146,701888
95,Cash Used/Provided by Financing Activities,232175,130000,-56784,7819597,9506,460000,560500,368608,1325000,771623,635357
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,25010,-160208,5067257,-4621525,-345705,42787,-2150,147712,-240990,213183
98,Cash at the End of Period,170561,195571,35363,5102620,481095,135390,178177,176027,323739,82749,295932
99,Cash at the Beginning of Period,- -,170561,195571,35363,5102620,481095,135390,178177,176027,323739,82749
100,Free Cash Flow,-61614,-104990,-103424,-1748924,-4581031,-747829,-517713,-370758,-1087320,-812756,-192174
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1502966/000130841111000111/0001308411-11-000111-index.html,- -,https://www.sec.gov/Archives/edgar/data/1502966/000130841113000317/0001308411-13-000317-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315214003959/0001493152-14-003959-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315216006768/0001493152-16-006768-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315217000298/0001493152-17-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315217015312/0001493152-17-015312-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315218018010/0001493152-18-018010-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315219019894/0001493152-19-019894-index.html,https://www.sec.gov/Archives/edgar/data/1502966/000149315221002057/0001493152-21-002057-index.htm,https://www.sec.gov/Archives/edgar/data/1502966/000149315221032711/0001493152-21-032711-index.htm
102,false,,,,,,,,,,,
