,https://roic.ai/company/AQN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1174169/000119312510074025/0001193125-10-074025-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312511085487/0001193125-11-085487-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312512143273/0001193125-12-143273-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312513133176/0001193125-13-133176-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1174169/000162828016012691/0001628280-16-012691-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000162828017002474/0001628280-17-002474-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000162828018002905/0001628280-18-002905-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000114036119004116/0001140361-19-004116-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000117416920000018/0001174169-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000114036121015562/0001140361-21-015562-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,291845,1380386,6629705,6388796,19920476,15777071,16377615,28446770,9783882,11551990,10462486,4849630,2575685,5145177,71387855,53398068,12997173,7988043,89611513,82149394,43379722,46819000,62485000,101614000,125157000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10037246,3673412,815867,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,291845,1380386,6629705,6388796,19920476,15777071,16377615,28446770,9783882,11551990,10462486,4849630,12612931,8818589,72203722,53398068,12997173,7988043,89611513,82149394,43379722,46819000,62485000,101614000,125157000
34,Net Receivables,373955,1741730,4735799,5113705,6306612,10297210,16791721,23235231,27550370,37429650,27282642,23519310,23225098,28249480,46311459,92749515,148096772,165486794,134526443,141104085,244033400,245728000,259144000,325644000,403426000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2658178,23634189,31493186,37364540,20539169,16088833,89275547,95600000,91099000,134645000,177761000
36,Other Current Assets,122672,954052,627619,472157,435307,504348,1260825,1503985,1651455,2382464,11015854,2327034,4682456,17532195,20666014,64674366,92732703,77506332,60674935,126591771,120492247,103458000,100463000,133054000,232399000
37,Total Current Assets,788472,4076168,11993123,11974658,26662395,26578628,34430161,53185985,38985707,51364104,48760982,30695974,40520485,54600264,141839373,234456138,285319834,288345709,305352060,365934082,497180915,491605000,513191000,694957000,938743000
38,PP&E,12841600,40656398,198325658,194745582,225528587,348012780,479692621,508057298,540427071,695327728,768127840,661433854,715643205,728959367,926499510,2173954344,2543933432,2824132109,2791462070,3638081988,6289855268,6393558000,7231664000,8241838000,11042446000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9510284,61778394,79497920,79534138,79623691,228138531,951279523,954282000,1031696000,1208390000,1201244000
40,Intangible Assets,- -,- -,- -,- -,- -,38827169,63491598,69606701,66168417,96068977,100503888,- -,- -,- -,54132223,57076083,51105873,46526713,56181856,48351313,50980517,54994000,47616000,114913000,105116000
41,Intangible Assets,- -,- -,- -,- -,- -,38827169,63491598,69606701,66168417,96068977,100503888,80031224,82063795,73874180,63642507,118854478,130603792,126060851,135805547,276489845,1002260040,1009276000,1079312000,1323303000,1306360000
42,Investments,- -,- -,- -,- -,- -,40761985,45644177,40395461,49499742,25717227,- -,22295809,22948142,35896257,39000979,37841641,30754060,37281843,125966174,78441336,67170577,948901000,1416115000,2052012000,2344282000
43,Tax Assets,- -,- -,496434,- -,- -,2593517,5250738,5344635,6646289,6553706,2439665,2377979,11694203,73994161,66279138,77899742,81362172,49157521,13049745,22323488,61210338,72415000,30585000,21880000,31595000
44,Other Non-Current Assets,40840650,43066225,14263324,12354118,69662307,2498873,4058545,8770193,7589978,24353981,43579723,6887428,7265782,13435850,18946131,149668788,189347934,219303792,225511461,1756263671,458970974,473213000,640603000,889916000,1122410000
45,Total Non-Current Assets,53682250,83722623,213085416,207099700,295190894,432694323,598137681,632174289,670331496,848021620,914651116,773026294,839615127,926159814,1114368266,2558218992,2976001390,3255936116,3291794997,5771600327,7879467197,8897363000,10398279000,12528949000,15847093000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,54470722,87798791,225078539,219074358,321853290,459272951,632567842,685360274,709317203,899385724,963412097,803722268,880135613,980760078,1256207640,2792675130,3261321224,3544281826,3597147057,6137534410,8376648111,9388968000,10911470000,13223906000,16785836000
48,Accounts Payable,- -,705791,4395407,2850283,4872549,7746886,15351219,25355616,24612537,64353981,27271534,27998357,33414192,33500640,8209598,34461164,13607634,59042434,36339528,67399747,119623062,89740000,150336000,192160000,185291000
49,Short-Term Debt,- -,1249106,2205299,662888,312818,860695,1512219,1385862,1244188,1609472,1933757,10414133,3208863,71489562,2606268,1777188,7831738,7864859,6445964,7495722,12334791,13048000,225013000,139874000,356397000
50,Tax Payable,- -,- -,- -,- -,- -,527850,880650,495783,374548,120968,675553,444536,4775,199968,398629,541801,4845178,3129576,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1693531,3449665,5922683,7111704,9535296,8204229,10366526,12101752,10605304,10851064,13202060,2727198,7370834,19789834,70435847,138136164,207493637,265835674,239608990,331732758,430749901,396193000,496717000,623119000,823024000
53,Total Current Liabilities,1693531,5404562,12523389,10624875,14720662,16811810,27229964,38843230,36462029,76814516,42407351,41139688,43993888,124780035,81251714,174374516,228933009,332742966,282394483,406628227,562707753,498981000,872066000,955153000,1364712000
54,Long-Term Debt,2895537,1843114,55782177,48182728,32398020,54091634,127329442,170599930,208370932,319596774,425438756,356628595,135000478,359558471,444063663,774019682,1171378795,1094785762,1064971283,3170864519,3060837376,3323747000,3706855000,4398596000,5854978000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,15078055,13264421,16180480,29752082,49880087,46387276,49007233,61133322,81576290,70381265,54208767,80940050,52136141,127271996,144883872,124375032,126684634,214373187,397470378,444145000,491538000,568644000,530187000
57,Other Non-Current Liabilities,- -,- -,- -,580860,- -,8349055,15614951,17538723,25432237,33022478,24003837,54790140,258389839,66608343,137428991,307593257,339339012,410457764,471528944,496162488,1043475944,1424573000,1434416000,1639323000,1334354000
58,Total Non-Current Liabilities,2895537,1843114,70860232,62028009,48578500,92192770,192824479,234525929,282810401,413752574,531018883,481800000,447599083,507106863,633628795,1208884935,1655601679,1629618559,1663184861,3881400193,4501783698,5192465000,5632809000,6606563000,7719519000
59,Other Liabilities,- -,- -,- -,124056019,- -,- -,- -,469051858,- -,827505148,- -,- -,- -,- -,- -,2417769870,- -,3259237117,- -,- -,9003567396,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4589068,7247677,83383621,72652884,63299162,109004580,220054443,273369158,319272430,490567090,573426234,512500411,491592971,631886898,714880509,1383259451,1884534688,1962361525,1945579344,4288028421,5064491451,5691446000,6504875000,7561716000,9084231000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117151674,109456502,184178109,154072595,159069266,170023857,184299000,184299000,184299000,184299000
63,Common Stock,51580116,86086307,155207722,167069690,297122451,405392204,492155895,544176219,563265025,587177419,698509543,593438784,728910324,- -,- -,1251797795,1269066559,1406941406,1303528886,1467303772,2952713320,3562418000,4017044000,4935304000,6032792000
64,Retained Earnings,-1698463,-5535192,-13512804,-20648216,-38568324,-63800649,-91255196,-132185103,-173220251,-206055251,-286600020,-294908792,-294328144,-347746361,-358550441,-408253671,-458696244,-435285047,-376968920,-413677554,-491320875,-595259000,-367107000,45753000,-288424000
65,Other Comprehensive Income/Loss,- -,-1238058,-3835452,-9453818,-15328082,-25545795,-50619616,-74443077,-95816256,-122921242,-44319903,-17618735,-46520867,-99829027,-94524976,-105411980,-29499328,29472116,206629002,189663715,45184891,-19385000,-9761000,-22507000,-71677000
66,Other Total Stockholders Equity,- -,1238058,3835452,9453818,15328082,25545795,50619616,74443077,95816256,123332189,483692,0,0,948991161,1180324192,66728989,6868150,123676412,107188205,28756789,34357058,45553000,50579000,60729000,2007000
67,Total Stockholders Equity,49881653,80551115,141694918,146421474,258554128,341591554,400900699,411991116,390044774,381533116,368073311,280911257,388061312,348873180,503621939,922012806,897195638,1308982995,1394449769,1431115988,2710958250,3177626000,3875054000,5203578000,5858997000
68,Total Liabilities And Stockholders Equity,54470722,87798791,225078539,219074358,321853290,450596134,620955142,685360274,709317203,872100206,941499546,793411668,879654283,980760078,1218502449,2305272258,2781730327,3271344520,3340029113,5719144409,7775449702,8869072000,10379929000,12765294000,14943228000
69,Minority Interest,- -,-0,- -,- -,- -,8676817,11612699,-0,- -,27285518,21912552,10310600,481329,-0,37705191,487402873,479590898,272937305,257117944,418390001,601198410,519896000,531541000,458612000,1842608000
70,Total Liabilities & Equity,54470722,87798791,225078539,219074358,321853290,459272951,632567842,685360274,709317203,899385724,963412097,803722268,880135613,980760078,1256207640,2792675130,3261321224,3544281826,3597147057,6137534410,8376648111,9388968000,10911470000,13223906000,16785836000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1174169/000119312510074025/0001193125-10-074025-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312511085487/0001193125-11-085487-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312512143273/0001193125-12-143273-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312513133176/0001193125-13-133176-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1174169/000162828016012691/0001628280-16-012691-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000162828017002474/0001628280-17-002474-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000162828018002905/0001628280-18-002905-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000114036119004116/0001140361-19-004116-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000117416920000018/0001174169-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000114036121015562/0001140361-21-015562-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1698463,2076428,4977457,8912304,4311612,10258462,34321429,18967841,18760117,23983356,23902858,-15643385,59645688,19635858,22900098,14607521,19061394,65211137,84658677,97406443,153553877,184988000,530884000,782463000,264859000
74,Depreciation and Amortization,20140,1215312,2483550,6206069,6828603,13992162,25685357,30410767,30245393,34059712,44031102,36956450,45091204,49476084,47030362,57002704,93042629,99408197,109265758,145637229,261847316,281163000,284304000,314123000,402963000
75,Deferred Income Tax,- -,- -,-37284,610870,-96735,334750,-4305312,981583,1506802,-3111702,15569019,404273,-38063222,-20155775,-22858962,-14378336,6225758,11313164,26232804,21333978,67821869,42025000,53686000,59695000,-50662000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,753183,1966165,1878340,2759161,3930993,4401458,8453280,7495000,11042000,24637000,8395000
77,Change in Working Capital,1216310,1635796,1260762,-455485,4651440,-2697690,-248309,6282962,-6829688,-815889,-31045138,-3560394,-4878235,727884,-1510284,-3904185,-44876358,-454835,-7637873,2755747,-58867594,-8126000,60303000,-77479000,-522022000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6811910,-11433888,-14972407,-47053354,-18148614,4838977,4919277,-14713320,3005000,-20857000,-52778000,-56751000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1064643,-3639818,-6438010,-8444601,58370,5631277,-459642,-5838000,7957000,1295000,-43197000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3908913,-7592252,-27510167,46774805,-13159279,18245666,-18431809,-22915000,63854000,40885000,-33399000
81,Other Working Capital,- -,1635796,1260762,-455485,4651440,-2697690,-248309,6282962,-6829688,-815889,- -,- -,- -,- -,210578,-4019782,95795,-46755853,27313737,-11144260,-43129225,-8126000,-4802000,-26260000,-420669000
82,Other Non-Cash Items,1093324,-358094,518528,-244081,2884458,1210689,-10565482,-1380039,4258653,4419183,19410280,36792933,-14294719,-4511278,21947111,8019461,17575627,-12225419,-27741066,-57817127,-68756262,22807000,-328959000,-598222000,53933000
83,Cash Provided by Operating Activities,631312,4569442,9203013,15029677,18579379,23098373,44887682,55263114,47941278,58534660,71868121,54949877,47500716,45172772,68261508,63313330,92907388,166011405,188709294,213717729,364052485,530352000,611260000,505217000,157466000
84,CAPEX,- -,- -,- -,-758920,-1832309,-8319835,-18839887,-28841899,-27401412,-53078243,- -,-37437141,-10424983,-20827668,-59495593,-78333987,-148742921,-372459211,-147147418,-301869653,-588487475,-466369000,-581332000,-786030000,-1345045000
85,Acquisitions Net,- -,- -,-57316357,-8545515,-48295205,-47574493,-65466505,-12610012,-24928535,-20102093,-999697,10142153,- -,-45516717,-98000000,-712138757,-201025574,10396603,-2678552,-321924708,-1539847316,- -,-308423000,-402784000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-959305,-156943,-10106007,-14756639,-7573947,- -,- -,-21907896,-99849390,-258835652,-65565805,-1005072000,-669832000,-279188000,-622320000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36206207,- -,- -,- -,4917906,- -,- -,- -,1158000,1000000,- -,- -
88,Other Investing Activites,-53721797,-35503997,-2398625,298099,-52427166,3501216,22040146,6909345,-5402101,734386,-25956781,4843878,1908127,-427932,5429971,-1684710,2507584,-11406199,26270997,-1271051261,1592112922,14950000,234428000,238099000,169256000
89,Cash Used for Investing Activites,-53721797,-35503997,-59714982,-8626876,-102554680,-48233194,-52734872,-20121616,-44031341,-45906829,-27915783,-22608053,-18622863,-45322748,-159639569,-789908829,-347260911,-390458798,-223404363,-2153681274,-601787674,-1455333000,-1324159000,-1229903000,-1798109000
90,Debt Repayment,-5466620,-50692,-5866066,-2502834,-14260229,-3111204,- -,-59867403,-47623558,-3189774,- -,-46470008,-104097,-81258999,-135723800,-75824010,-643774712,-246844581,-141349293,-50906183,-2490431014,-1699592000,-3048008000,-3160523000,-12895091000
91,Common Stock Issued,56127009,41934750,68940090,18306102,147709142,66079108,- -,- -,- -,- -,- -,- -,25309904,- -,116401567,205262206,28159133,320413314,104269686,1135332,442651292,473911000,362364000,820767000,985619000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-3509474,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-6031715,-12750547,-16508836,-23431199,-35057898,-48121101,-52714326,-55158429,-55670899,-68076341,-47456861,-15687136,-19341905,-28506366,-37881849,-54222978,-58018193,-64510806,-95636485,-143617495,-174411000,-204877000,-262163000,-316118000
94,Other Financing Activites,2721940,-3818158,3663530,-5768590,-12223144,-3618728,53993384,89177633,79350784,48073095,56089064,57201315,-41279725,103226484,206415279,616143462,885862675,204407078,214222197,2076317238,2387926839,2332029000,3623887000,3368778000,13899306000
95,Cash Used/Provided by Financing Activities,53382329,32034185,53987006,-6474158,97794570,20781803,5872283,-23404096,-23431204,-10787577,-11987277,-36725555,-31761054,2625580,158586680,707699808,216024118,219957618,112631784,1930909903,196529622,931937000,733366000,766859000,1673716000
96,Effect of Forex Changes on Cash,- -,9099,-42808,56686,83544,-13974,-801221,-957459,-269502,-36891,-1192568,719803,-177633,-125980,-472086,-972025,1435991,556484,4992469,-1659847,-3221471,-606000,1032000,573000,-1702000
97,Net Change In Cash,- -,1108728,5163188,-14672,13902813,-4366993,-2776128,10779942,-19790770,1803363,-3134404,-3663928,-3060835,2349624,66736533,-19867716,-36893414,-3933291,82929184,-10713489,-44427038,6350000,21499000,42746000,31371000
98,Cash at the End of Period,291845,1380386,6629705,6388796,19920476,15777071,16377615,28446770,9783882,11551990,10462486,4849630,2575685,5145177,71387855,53398068,12997173,7988043,89611513,82149394,43379722,65773000,87272000,130018000,161389000
99,Cash at the Beginning of Period,- -,271658,1466517,6403468,6017664,20144063,19153744,17666827,29574651,9748627,13596890,8513558,5636520,2795553,4651322,73265784,49890587,11921334,6682328,92862882,87806759,59423000,65773000,87272000,130018000
100,Free Cash Flow,631312,4569442,9203013,14270757,16747070,14778538,26047796,26421215,20539866,5456417,71868121,17512736,37075733,24345105,8765916,-15020657,-55835533,-206447806,41561876,-88151923,-224434990,63983000,29928000,-280813000,-1187579000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1174169/000119312510074025/0001193125-10-074025-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312511085487/0001193125-11-085487-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312512143273/0001193125-12-143273-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000119312513133176/0001193125-13-133176-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1174169/000162828016012691/0001628280-16-012691-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000162828017002474/0001628280-17-002474-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000162828018002905/0001628280-18-002905-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000114036119004116/0001140361-19-004116-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000117416920000018/0001174169-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1174169/000114036121015562/0001140361-21-015562-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
