,https://roic.ai/company/LIZI,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,790619000,1006804000,1946990000,5411000,4452000
58,Total Non-Current Liabilities,790619000,1006804000,1946990000,5998000,21528000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,4296000,31005000
61,Total Liabilities,945628000,1162618000,2139114000,294627000,388031000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,171000,171000,189000,640000,698000
64,Retained Earnings,-704361000,-929888000,-2003031000,-2239281000,-2366531000
65,Other Comprehensive Income/Loss,1109000,3758000,4429000,-1909000,-9757000
66,Other Total Stockholders Equity,- -,- -,-18000,2409741000,2630445000
67,Total Stockholders Equity,-703081000,-925959000,-1998431000,169191000,254855000
68,Total Liabilities And Stockholders Equity,242547000,236659000,140683000,463818000,642886000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,242547000,236659000,140683000,463818000,642886000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-153665000,-9342000,-132957000,-82184000,- -
74,Depreciation and Amortization,5870000,9762000,12535000,19270000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,50741000,- -
77,Change in Working Capital,111824000,13026000,25847000,41638000,- -
78,Accounts Receivable,-3613000,6187000,3506000,-5382000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,40958000,24261000,-4416000,5968000,- -
81,Other Working Capital,4822000,4790000,3862000,2471000,- -
82,Other Non-Cash Items,4637000,516000,-1178000,10531000,- -
83,Cash Provided by Operating Activities,-31334000,13962000,-95753000,39996000,- -
84,CAPEX,-12695000,-17417000,-29370000,-23005000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-500000,- -,- -,-86305000,- -
87,Sales/Maturities of Investments,- -,42000,- -,14505000,- -
88,Other Investing Activites,-4770000,-3256000,-1505000,-1513000,- -
89,Cash Used for Investing Activites,-13195000,-17375000,-29370000,-94559000,- -
90,Debt Repayment,-28000000,- -,- -,-30941000,- -
91,Common Stock Issued,- -,- -,- -,259043000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,265787000,- -,- -,69944000,- -
95,Cash Used/Provided by Financing Activities,237787000,- -,- -,298046000,- -
96,Effect of Forex Changes on Cash,-5152000,2508000,2228000,-7038000,- -
97,Net Change In Cash,188106000,-905000,-122895000,236445000,- -
98,Cash at the End of Period,206509000,205604000,82709000,319154000,- -
99,Cash at the Beginning of Period,18403000,206509000,205604000,82709000,- -
100,Free Cash Flow,-44029000,-3455000,-125123000,16991000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
