,https://roic.ai/company/VNUE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.5506,-28.4300,-6.7913,-202.6242
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-10000,-1660000,-4770000,-620000,-260000,-280000,-1030000,-390000,-386748,-4267260,-2597960,-1193560,-2356280,-1400100,-4553777
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.5506,-28.4300,-6.7913,-202.6242
25,EPS,- -,-3.07,-240.00,-480.00,-40.00,-23.00,-0.20,-0.20,-0.05,-0.01,-0.10,-0.04,-0.02,-0.03,-0.00,-0.00
26,EPS Diluted,- -,-3.07,-240.00,-480.00,-40.00,-23.00,-0.20,-0.20,-0.05,-0.01,-0.10,-0.04,-0.02,-0.03,-0.00,-0.00
27,Weighted Average Shares Outstanding,- -,2087,6796,10111,10959,11260,1838100,6637900,7839300,40248388,54238220,67996257,68959474,89153042,447194161,1135193463
28,Weighted Average Shares Outstanding Diluted,- -,2087,6796,10111,10959,11600,1838100,6637900,7839300,40248388,54238220,67996257,68959474,89153042,447194161,1135193463
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376804/000141540811000404/0001415408-11-000404-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376804/000147793216014094/0001477932-16-014094-index.htm,https://www.sec.gov/Archives/edgar/data/1376804/000147793217001746/0001477932-17-001746-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376804/000147793219001759/0001477932-19-001759-index.htm,https://www.sec.gov/Archives/edgar/data/1376804/000147793220002901/0001477932-20-002901-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10000,460000,10000,- -,- -,60000,450000,40000,46,7790,17950,10280,18190,52100,4458
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10000,460000,10000,- -,- -,60000,450000,40000,46,7790,17950,10280,18190,52100,4458
34,Net Receivables,- -,- -,20000,10000,- -,- -,- -,30000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,150000,10000,10000,10000,20000,- -,- -,37500,- -,670,670,- -,100000
37,Total Current Assets,- -,10000,480000,170000,10000,10000,70000,500000,40000,46,45290,17950,10950,18860,52100,104458
38,PP&E,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,10000,336300,- -,- -,320830,233430,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,10000,336300,- -,- -,320830,233430,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,40000,10000,- -,- -,- -,10000,336300,- -,- -,320830,233430,- -,63
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10000,480000,210000,20000,10000,70000,500000,50000,336346,45290,17950,331780,252290,52100,104458
48,Accounts Payable,- -,10000,30000,70000,150000,260000,130000,110000,- -,105943,280610,- -,- -,- -,1018145,2372072
49,Short-Term Debt,- -,- -,23362,- -,411407,- -,- -,- -,- -,10667,83444,177966,656725,1241290,1520787,1991642
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74225
52,Other Current Liabilities,- -,- -,6638,160000,38593,120000,- -,240000,- -,302484,402916,1753574,2124695,2765330,1538218,3914040
53,Total Current Liabilities,- -,10000,60000,230000,600000,380000,130000,350000,- -,419094,766970,1931540,2781420,4006620,4077150,8351979
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,10000,60000,230000,600000,380000,130000,350000,- -,419094,766970,1931540,3081420,4306620,4077150,8351979
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,671,- -,- -,- -,- -,413,413
63,Common Stock,- -,- -,- -,- -,- -,- -,10000,10000,10000,40248,196150,910020,940170,254400,77090,121149
64,Retained Earnings,- -,-10000,-1670000,-6440000,-7060000,-7320000,-7600000,-8630000,-9020000,-386748,-4654010,-7251970,-8445520,-10801800,-12201900,-16755676
65,Other Comprehensive Income/Loss,- -,10350,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,20000,2100000,6440000,6480000,6950000,7529120,8765177,9053551,263081,3736174,4489888,4755713,6493071,8347052,8386593
67,Total Stockholders Equity,- -,6134,428559,-13907,-578119,-372065,-60880,145177,43551,-82748,-721686,-1852062,-2749637,-4054329,-3777345,-8247521
68,Total Liabilities And Stockholders Equity,- -,16134,488559,216093,21881,7935,69120,495177,40000,336346,45284,79478,331783,252291,299805,104458
69,Minority Interest,- -,-6134,-8559,-6093,-1881,2065,880,4823,10000,- -,6,-61528,-3,-1,-247705,- -
70,Total Liabilities & Equity,- -,10000,480000,210000,20000,10000,70000,500000,50000,336346,45290,17950,331780,252290,52100,104458
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376804/000141540811000404/0001415408-11-000404-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376804/000147793216014094/0001477932-16-014094-index.htm,https://www.sec.gov/Archives/edgar/data/1376804/000147793217001746/0001477932-17-001746-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376804/000147793219001759/0001477932-19-001759-index.htm,https://www.sec.gov/Archives/edgar/data/1376804/000147793220002901/0001477932-20-002901-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-10000,-1660000,-4770000,-620000,-260000,-280000,-1030000,-390000,-386748,-4267260,-2597960,-1193560,-2356280,-1400100,-4553777
74,Depreciation and Amortization,- -,- -,- -,14448,- -,57,676,1160,1692,17700,70800,- -,29167,185976,101032,4468
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,88210,- -,- -,65000,45833,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,2703,420000,-480000,-530000,220000,310000,210000,-110000,-474157,-302632,-1191910,-856880,-1217290,-37290,-4222471
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,105943,174666,- -,- -,258693,132008,203292
81,Other Working Capital,- -,- -,420000,-60000,-590000,-370000,-60000,150000,40000,-419048,-721680,-1913590,-2770470,-3987760,-4025050,-8247521
82,Other Non-Cash Items,- -,3584,1077742,4083342,673136,-15523,-407308,20866,75952,710515,3670925,3475546,1583599,2811757,834453,8253287
83,Cash Provided by Operating Activities,- -,-3713,-162258,-1152210,-388654,-55466,-376632,-732974,-376523,-132690,-828167,-314324,-437674,-575837,-501905,-518493
84,CAPEX,- -,- -,-545125,-1769733,- -,-2030,- -,-1933,-6773,-150000,- -,- -,-50000,- -,- -,-67380
85,Acquisitions Net,- -,- -,- -,- -,- -,32970,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,17500,12496,7277,- -,- -,-5500,-150000,-52037,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-545125,-1752233,12496,38217,- -,-1933,-6773,-150000,-52037,- -,-50000,- -,- -,-67380
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-73027,- -,- -,- -,-41000,- -,- -,- -,-30000,-45134
91,Common Stock Issued,- -,2200,1119375,2540000,- -,- -,500000,1116777,30000,186736,946319,24488,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17373,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15350,30445,-80862,368461,16171,12218,- -,-53344,96000,- -,300000,480000,583750,565810,515989
95,Cash Used/Provided by Financing Activities,- -,17550,1149820,2459138,368461,16171,439191,1116777,-23344,282736,887946,324488,480000,583750,535810,470855
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,17550,442437,-445305,-7697,-1078,62559,381870,-406640,282736,7742,10164,-7674,7913,33905,-47638
98,Cash at the End of Period,- -,13837,456274,10969,3272,2194,64753,446623,39983,46,7788,17952,10278,18191,52096,4458
99,Cash at the Beginning of Period,- -,- -,13837,456274,10969,3272,2194,64753,446623,- -,46,7788,17952,10278,18191,52096
100,Free Cash Flow,- -,-3713,-707383,-2921943,-388654,-57496,-376632,-734907,-383296,-282690,-828167,-314324,-487674,-575837,-501905,-518493
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376804/000141540811000404/0001415408-11-000404-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376804/000147793216014094/0001477932-16-014094-index.htm,https://www.sec.gov/Archives/edgar/data/1376804/000147793217001746/0001477932-17-001746-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376804/000147793219001759/0001477932-19-001759-index.htm,https://www.sec.gov/Archives/edgar/data/1376804/000147793220002901/0001477932-20-002901-index.htm,- -
102,false,,,,,,,,,,,,,,,,
