,https://roic.ai/company/SIF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,60600000,58800000,60100000,62800000,57900000,61800000,62200000,60400000,63000000,61000000,66000000,80000000,99300000,110800000,110600000,103089000,99721000,92283000,84552000,92373000,86727000,86557000,76871000,92413000,81412000,75389000,96502000,115750000,102324000,111570000,114981000,126991000,128035000,118031000,118739000,109130000,102881000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,57000,46000,33000,24000,17000,10000,51000,56000,8000,4000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,71000,128000,471000,342000,201000,584000,1715000,2208000,2139000,1057000,886000,638000
14,Depreciation and Amortization,2600000,2800000,3000000,2900000,2300000,2400000,2700000,2900000,2800000,3000000,3400000,3600000,3700000,4100000,4600000,4587000,4368000,4706000,4183000,3498000,3163000,2669000,1447000,1483000,1825000,1895000,4386000,6671000,5725000,6896000,8293000,10766000,9988000,8459000,7525000,7380000,7662000
15,EBITDA,700000,5100000,6500000,-400000,8400000,9600000,6500000,2100000,-7400000,3300000,6500000,8300000,12800000,15700000,8700000,7066000,9036000,-8742000,-1190000,-2368000,4019000,4164000,9658000,10590000,14407000,10360000,15752000,16542000,20389000,14873000,3561000,-852000,-944000,3067000,375000,17246000,6335000
16,EBITDA ratio,0.0118,0.0832,0.1030,-0.0060,0.1355,0.1410,0.0995,0.0365,-0.1426,0.0537,0.0954,0.0972,0.1176,0.1274,0.0753,0.0666,0.0855,-0.1092,-0.0149,-0.0271,0.0496,0.0479,0.1107,0.1044,0.1534,0.1244,0.1467,0.1322,0.1758,0.1243,0.0326,-0.0072,-0.0078,0.0276,0.0033,0.1518,0.0636
17,Operating Income,-1300000,2500000,3000000,3900000,4100000,6300000,3100000,-2800000,-11100000,400000,2100000,5400000,9500000,12400000,4900000,3049000,5912000,-12250000,-4613000,-4980000,-5759000,432000,10384000,8978000,12476000,7915000,10855000,9346000,13766000,8087000,-5743000,-12065000,-11534000,-5914000,-7044000,10143000,-1102000
18,Operating Income ratio,-0.0219,0.0408,0.0475,0.0585,0.0661,0.0925,0.0475,-0.0486,-0.2139,0.0065,0.0308,0.0632,0.0873,0.1006,0.0424,0.0287,0.0560,-0.1531,-0.0577,-0.0570,-0.0711,0.0050,0.1190,0.0885,0.1329,0.0951,0.1011,0.0747,0.1187,0.0676,-0.0525,-0.1013,-0.0950,-0.0532,-0.0626,0.0893,-0.0111
19,Total Other Income Expenses (Gains),-600000,-200000,500000,-7200000,2000000,900000,700000,2000000,900000,-100000,1000000,-700000,-400000,-800000,-800000,-570000,-1244000,-1198000,-760000,-886000,6615000,1063000,-129000,-158000,-149000,479000,383000,54000,80000,269000,-282000,-1268000,-1606000,-1617000,-1163000,-1163000,-863000
20,Income Before Tax,-1900000,2300000,3500000,-3300000,6100000,7200000,3800000,-800000,-10200000,300000,3100000,4700000,9100000,11600000,4100000,2479000,4668000,-13448000,-5373000,-5866000,856000,1495000,10255000,8820000,12327000,8394000,11238000,9400000,13846000,8356000,-6025000,-13333000,-13140000,-7531000,-8207000,8980000,-1965000
21,Income Before Tax Ratio,-0.0320,0.0375,0.0555,-0.0495,0.0984,0.1057,0.0582,-0.0139,-0.1965,0.0049,0.0455,0.0550,0.0836,0.0942,0.0355,0.0234,0.0442,-0.1680,-0.0672,-0.0671,0.0106,0.0172,0.1175,0.0870,0.1313,0.1008,0.1047,0.0751,0.1194,0.0698,-0.0551,-0.1119,-0.1082,-0.0677,-0.0730,0.0791,-0.0197
22,Income Tax expense (Gain),-1000000,500000,1400000,-900000,1600000,1700000,1000000,-400000,-1100000,200000,300000,-900000,2000000,2300000,300000,57000,1694000,-462000,-26000,80000,1052000,535000,1483000,3277000,4480000,3032000,3789000,2852000,4088000,2753000,-2444000,-1998000,1069000,-361000,-701000,-211000,-1222000
23,Net Income,-900000,1800000,2100000,-2400000,4500000,5500000,2800000,-400000,-9100000,100000,2800000,5600000,7100000,9300000,3800000,2422000,2974000,-12986000,-5347000,-5946000,-196000,960000,6728000,5830000,8035000,5362000,7449000,6548000,10234000,5023000,-2872000,-11335000,-14209000,-7170000,-7506000,9191000,-743000
24,Net Income ratio,-0.0152,0.0294,0.0333,-0.0360,0.0726,0.0808,0.0429,-0.0069,-0.1753,0.0016,0.0411,0.0656,0.0653,0.0755,0.0329,0.0228,0.0282,-0.1623,-0.0669,-0.0680,-0.0024,0.0110,0.0771,0.0575,0.0856,0.0644,0.0694,0.0523,0.0882,0.0420,-0.0263,-0.0952,-0.1170,-0.0645,-0.0667,0.0809,-0.0075
25,EPS,-0.18,0.37,0.42,-0.48,0.90,1.09,0.57,-0.09,-1.80,0.01,0.55,1.09,1.36,1.80,0.73,0.47,0.58,-2.49,-1.02,-1.14,-0.04,0.18,1.28,1.10,1.52,1.01,1.41,1.23,1.91,0.93,-0.53,-2.07,-2.59,-1.30,-1.35,1.62,-0.13
26,EPS Diluted,-0.18,0.37,0.42,-0.48,0.90,1.09,0.57,-0.09,-1.80,0.01,0.55,1.09,1.36,1.78,0.72,0.47,0.58,-2.49,-1.02,-1.14,-0.04,0.18,1.27,1.09,1.51,1.00,1.40,1.22,1.90,0.92,-0.53,-2.07,-2.59,-1.30,-1.35,1.59,-0.13
27,Weighted Average Shares Outstanding,5000000,4864865,5000000,5000000,5000000,5045872,4912281,4444444,5055556,5000000,5090909,5137615,5220588,5166667,5205479,5169000,5144000,5219000,5252000,5221000,5224000,5222000,5246000,5291000,5295000,5300000,5279000,5317000,5363000,5402000,5438000,5475000,5487000,5523000,5566000,5661000,5759000
28,Weighted Average Shares Outstanding Diluted,5000000,4864865,5000000,5000000,5000000,5045872,4912281,4444444,5055556,5000000,5090909,5178571,5220588,5224719,5277778,5203000,5165000,5236000,5252000,5221000,5228000,5227000,5286000,5340000,5325000,5344000,5317000,5380000,5401000,5424000,5438000,5475000,5487000,5523000,5566000,5791000,5759000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90168/000095015295003050/0000950152-95-003050-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90168/000095015205010016/0000950152-05-010016-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015206010193/0000950152-06-010193-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015207009626/0000950152-07-009626-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015208010258/0000950152-08-010258-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095012309070768/0000950123-09-070768-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312510280774/0001193125-10-280774-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312511327025/0001193125-11-327025-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312512487065/0001193125-12-487065-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016813000010/0000090168-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016814000031/0000090168-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016816000058/0000090168-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016816000108/0000090168-16-000108-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016817000030/0000090168-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016818000025/0000090168-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016819000040/0000090168-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016820000042/0000090168-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016821000041/0000090168-21-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2100000,3000000,3500000,1500000,4687000,13787000,7583000,4524000,5578000,884000,4744000,5510000,10440000,19875000,18671000,6431000,7176000,4508000,4596000,667000,471000,1399000,1252000,341000,427000,346000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2100000,3000000,3500000,1500000,4687000,13787000,7583000,4524000,5578000,884000,4744000,5510000,10440000,19875000,21691000,6431000,7176000,4508000,4596000,667000,471000,1399000,1252000,341000,427000,346000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,17900000,20500000,20100000,22200000,19743000,18705000,14505000,16648000,17720000,17832000,18840000,19473000,20439000,17899000,17874000,21020000,23354000,24811000,26325000,38540000,26931000,26186000,28127000,37149000,36872000,32889000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,17800000,19800000,27600000,23900000,19878000,18013000,10701000,9184000,7845000,8746000,8052000,16897000,11730000,7568000,6272000,10239000,18692000,18340000,18919000,27943000,28496000,20381000,18269000,10509000,15569000,12546000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,900000,700000,600000,1700000,2142000,2287000,1924000,496000,5938000,627000,601000,5982000,5162000,2252000,2129000,1968000,2684000,4813000,3061000,4385000,2177000,4168000,1935000,1459000,2338000,1792000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30600000,38700000,44000000,51800000,49300000,46450000,52792000,34713000,30852000,37081000,28089000,32237000,47862000,47771000,47594000,47966000,39658000,51906000,52472000,52901000,71535000,58075000,52134000,49583000,49458000,55206000,47573000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23500000,23200000,24700000,32600000,31400000,29009000,29383000,29106000,25704000,19882000,18744000,14059000,10570000,10253000,16940000,20749000,27558000,32259000,29632000,37148000,54865000,48958000,39508000,35390000,39610000,61222000,58651000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3493000,7015000,7620000,7658000,16480000,11748000,12170000,12020000,3493000,3493000,3493000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,4000000,3900000,3700000,3600000,3866000,3558000,2574000,2574000,- -,- -,- -,- -,- -,- -,- -,8506000,14627000,13651000,11490000,13265000,11138000,6814000,5076000,3320000,1890000,874000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,4000000,3900000,3700000,3600000,3866000,3558000,2574000,2574000,- -,- -,- -,- -,- -,- -,- -,11999000,21642000,21271000,19148000,29745000,22886000,18984000,17096000,6813000,5383000,4367000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2100000,1800000,2800000,2200000,1175000,863000,946000,2548000,2796000,2690000,2479000,2457000,2125000,1236000,935000,796000,738000,2390000,500000,544000,538000,261000,168000,218000,137000,77000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,29300000,30400000,39100000,37200000,34050000,33804000,32626000,30826000,22678000,21434000,16538000,13027000,12378000,18176000,21684000,40353000,54639000,53293000,56796000,85154000,72382000,58753000,52654000,46641000,66742000,63095000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60700000,68000000,74400000,90900000,86500000,80500000,86596000,67339000,61678000,59759000,49523000,48775000,60889000,60149000,65770000,69650000,80011000,106545000,105765000,109697000,156689000,130457000,110887000,102237000,96099000,121948000,110668000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,9400000,10500000,12200000,11100000,10263000,6717000,4130000,6491000,9354000,9288000,10454000,9735000,8310000,7629000,7939000,9778000,9727000,6773000,10526000,14201000,14520000,12817000,15513000,19799000,14002000,9811000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,2500000,1300000,1400000,1400000,1420000,1430000,1440000,1451000,4569000,1915000,52000,87000,94000,101000,108000,30000,2002000,4392000,2000000,10503000,31009000,26117000,27197000,21328000,20014000,19284000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1296000,191000,312000,- -,- -,- -,- -,636000,236000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,5900000,7700000,7900000,6600000,6091000,7702000,9618000,6471000,7129000,7267000,6720000,5690000,5052000,4324000,4287000,4626000,4953000,7460000,6437000,8134000,5234000,6791000,5107000,5557000,8645000,6635000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17900000,17800000,19500000,21500000,19100000,17774000,15849000,15188000,14413000,21052000,18470000,17226000,15512000,13456000,12054000,12334000,14434000,16682000,19921000,19154000,33150000,50763000,45725000,47817000,46684000,43297000,35966000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,10600000,11700000,16500000,13000000,11962000,15107000,11093000,9033000,5797000,10000,427000,2986000,269000,154000,35000,1186000,19683000,7381000,8429000,38426000,7623000,5151000,2332000,2052000,4606000,18108000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3655000,3295000,2110000,2359000,2233000,1542000,1733000,774000,4849000,2929000,3266000,2413000,1718000,1400000,158000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,3600000,2600000,3000000,4400000,5264000,6266000,4323000,7951000,8108000,8645000,5939000,1958000,2450000,6207000,6883000,8749000,8496000,4717000,4720000,7195000,8772000,6614000,5486000,9591000,27122000,6814000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,14200000,14300000,19500000,17400000,17226000,21373000,15416000,16984000,13905000,8655000,6366000,8599000,6014000,8471000,9277000,12168000,29721000,13831000,13923000,50470000,19324000,15031000,10231000,13361000,33128000,25080000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17179000,16227000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,32000000,33800000,41000000,36500000,35000000,37222000,30604000,31397000,34957000,27125000,23592000,24111000,19470000,20525000,21611000,26602000,46403000,33752000,33077000,83620000,70087000,60756000,58048000,60045000,76425000,61046000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,5205000,5308000,5358000,5294000,5257000,5228000,5222000,5281000,5295000,5298000,5325000,5335000,5366000,5407000,5448000,5468000,5525000,5596000,5690000,5777000,5916000,5987000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19800000,24900000,29300000,38500000,41300000,42641000,45615000,32629000,28282000,22336000,22140000,23100000,29828000,35658000,43160000,47733000,54122000,59597000,68750000,72683000,69811000,58476000,44267000,37097000,33148000,42339000,41596000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,-37400000,-39000000,-43200000,-45700000,-46067000,-49262000,-50918000,-54468000,-52762000,-11000000,-9000000,-5000000,-7000000,-10000000,-11000000,-13000000,-12000000,-10000000,-11000000,-12000000,-13000000,-9000000,-9000000,-13000000,-13000000,-9079000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,48500000,50300000,54600000,49200000,43721000,47713000,49666000,51173000,49971000,6030000,5861000,6669000,6726000,6787000,5981000,6952000,7179000,7856000,9489000,9790000,9369000,9268000,10402000,10129000,10268000,11118000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30800000,36000000,40600000,49900000,50000000,45500000,49374000,36735000,30281000,24802000,22398000,25183000,36778000,40679000,45245000,48039000,53409000,60142000,72013000,76620000,73069000,60370000,50131000,44189000,36054000,45523000,49622000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60700000,68000000,74400000,90900000,86500000,80500000,86596000,67339000,61678000,59759000,49523000,48775000,60889000,60149000,65770000,69650000,80011000,106545000,105765000,109697000,156689000,130457000,110887000,102237000,96099000,121948000,110668000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60700000,68000000,74400000,90900000,86500000,80500000,86596000,67339000,61678000,59759000,49523000,48775000,60889000,60149000,65770000,69650000,80011000,106545000,105765000,109697000,156689000,130457000,110887000,102237000,96099000,121948000,110668000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/90168/000095015295003050/0000950152-95-003050-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90168/000095015205010016/0000950152-05-010016-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015206010193/0000950152-06-010193-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015207009626/0000950152-07-009626-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015208010258/0000950152-08-010258-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095012309070768/0000950123-09-070768-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312510280774/0001193125-10-280774-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312511327025/0001193125-11-327025-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312512487065/0001193125-12-487065-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016813000010/0000090168-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016814000031/0000090168-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016816000058/0000090168-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016816000108/0000090168-16-000108-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016817000030/0000090168-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016818000025/0000090168-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016819000040/0000090168-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016820000042/0000090168-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016821000041/0000090168-21-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,2800000,-400000,-9100000,100000,2800000,5600000,7100000,9300000,3800000,2422000,2974000,-12986000,-5347000,-5946000,-196000,960000,6728000,5830000,8035000,5362000,7449000,6548000,10234000,5023000,-2872000,-11335000,-14209000,-7170000,-7506000,9191000,-743000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,2700000,2900000,2800000,3000000,3400000,3600000,3700000,4100000,4600000,4587000,4368000,4706000,4183000,3498000,3163000,2669000,1447000,1483000,1825000,1895000,4386000,6671000,5725000,6896000,8293000,10766000,9988000,8459000,7525000,7380000,7662000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-500000,- -,200000,800000,- -,-1200000,-500000,-200000,300000,176000,1286000,15000,- -,-575000,575000,34000,1208000,1184000,580000,436000,-108000,-427000,1165000,-762000,-1092000,850000,228000,-823000,-565000,-422000,-1288000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-2200000,- -,- -,- -,12700000,8200000,3600000,5800000,-100000,-1524000,8267000,-17418000,-3086000,-410000,-6410000,5392000,17339000,1965000,1225000,92000,-10408000,10000000,-2673000,1196000,4638000,-31073000,-903000,-4643000,1008000,9135000,-1088000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4752000,-1104000,-3302000,10892000,-294000,-2163000,4506000,251000,3244000
79,Inventory,- -,- -,- -,- -,- -,- -,-1400000,2600000,2000000,-900000,-2900000,-4500000,-2100000,-7800000,3700000,4057000,2081000,4054000,1517000,1344000,-901000,-261000,-9197000,5124000,5726000,1090000,-1621000,-6055000,980000,-481000,-3553000,-314000,8093000,1479000,1025000,-4653000,2044000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-746000,321000,215000,-403000,-2475000,1305000,1909000,424000,-2315000,2706000,2046000,-7060000,-4443000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,20900000,24500000,30300000,30200000,28676000,36943000,19525000,16439000,16029000,9619000,15011000,32350000,34315000,35540000,35632000,25224000,35224000,32551000,33747000,38385000,7312000,6409000,1766000,2774000,11909000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,2700000,10100000,-3900000,-18500000,-12400000,-4800000,-11200000,-1900000,6731000,-7834000,28272000,4988000,6277000,-1824000,-10930000,-31090000,-727000,3418000,2093000,8901000,-13925000,-7090000,-956000,-10754000,43073000,16891000,5472000,5267000,-24835000,-651000
