,https://roic.ai/company/RCUS,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,892000,125111000,1217000,433776000,220235000
92,Common Stock Repurchased,- -,- -,- -,- -,-54000,-6000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,70100000,106504000,3963000,-94000,4953000,17111000
95,Cash Used/Provided by Financing Activities,70100000,107396000,129074000,1123000,438675000,237340000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18295000,33266000,-27362000,-13127000,115478000,-22699000
98,Cash at the End of Period,65160000,98426000,71064000,58140000,173618000,150919000
99,Cash at the Beginning of Period,46865000,65160000,98426000,71267000,58140000,173618000
100,Free Cash Flow,-17043000,-30573000,-46739000,-75387000,108115000,-282249000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724521/000156459019006274/0001564590-19-006274-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000156459020008972/0001564590-20-008972-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000156459021008270/0001564590-21-008270-index.htm,https://www.sec.gov/Archives/edgar/data/1724521/000095017022001788/0000950170-22-001788-index.htm
102,false,,,,,,
